ID;Perioden;Totaal1eEn2eGeneratie_1;k_1eGeneratie_2;k_2eGeneratie_3;Totaal1eEn2eGeneratie_4;k_1eGeneratie_5;k_2eGeneratie_6;Totaal1eEn2eGeneratie_7;k_1eGeneratie_8;k_2eGeneratie_9;MoederNietWesters_10;MoederWesters_11;NietWesterseAllochtonen_12;WesterseAllochtonen_13;NietWesterseAllochtonen_14;WesterseAllochtonen_15;NietWesterseAllochtonen_16;WesterseAllochtonen_17
0;2004;3088152;1602730;1485422;1668297;1021074;647223;1419855;581656;838199;26320.0;7643.0;32785.0;35750.0;32690.0;30000.0;95.0;5750.0
1;2005;3118005;1600062;1517944;1695572;1018231;677341;1422433;581831;840602;25752.0;7661.0;32777.0;36386.0;31688.0;29757.0;1089.0;6629.0
2;2006;3147889;1598402;1549487;1721683;1016266;705417;1426207;582137;844070;25147.0;7696.0;33227.0;38087.0;30749.0;29642.0;2478.0;8445.0
3;2007;3179882;1599822;1580061;1748201;1015556;732645;1431682;584266;847416;24527.0;7767.0;33936.0;40593.0;29955.0;29724.0;3981.0;10869.0
4;2008;3214700;1605025;1609675;1775191;1016203;758987;1439510;588822;850688;23906.0;7882.0;34757.0;43578.0;29236.0;30038.0;5521.0;13540.0
5;2009;3252690;1614268;1638422;1802716;1018230;784487;1449974;596039;853935;23287.0;8045.0;35500.0;46805.0;28626.0;30579.0;6874.0;16226.0
6;2010;3293759;1627359;1666400;1830620;1021432;809187;1463139;605927;857213;22684.0;8257.0;35959.0;49949.0;28081.0;31319.0;7878.0;18630.0
7;2011;3337330;1643649;1693681;1858545;1025452;833094;1478785;618197;860588;22102.0;8510.0;36252.0;52747.0;27570.0;32201.0;8682.0;20546.0
8;2012;3382766;1662423;1720344;1886301;1030071;856230;1496465;632351;864114;21549.0;8791.0;36567.0;54890.0;27095.0;33155.0;9472.0;21735.0
9;2013;3429402;1682921;1746482;1913927;1035267;878661;1515475;647654;867821;21023.0;9088.0;36885.0;56138.0;26631.0;34098.0;10254.0;22040.0
10;2014;3476381;1704227;1772154;1941430;1041014;900416;1534951;663213;871738;20529.0;9383.0;37195.0;56645.0;26211.0;34959.0;10984.0;21686.0
11;2015;3523024;1725616;1797408;1968803;1047251;921551;1554221;678365;875856;20070.0;9669.0;37473.0;56841.0;25804.0;35702.0;11669.0;21139.0
12;2016;3569119;1746831;1822288;1996046;1053919;942127;1573072;692911;880161;19650.0;9937.0;37752.0;56897.0;25414.0;36321.0;12338.0;20576.0
13;2017;3614622;1767828;1846794;2023170;1060992;962178;1591452;706836;884616;19265.0;10190.0;37974.0;56945.0;25045.0;36826.0;12929.0;20119.0
14;2018;3659558;1788615;1870942;2050126;1068378;981748;1609431;720237;889194;18917.0;10426.0;38147.0;56979.0;24681.0;37231.0;13466.0;19748.0
15;2019;3703975;1809214;1894760;2076888;1076014;1000874;1627087;733200;893887;18602.0;10647.0;38258.0;56998.0;24326.0;37550.0;13932.0;19448.0
16;2020;3747863;1829604;1918258;2103410;1083814;1019596;1644452;745790;898663;18326.0;10855.0;38302.0;57007.0;23994.0;37793.0;14308.0;19214.0
17;2021;3791224;1849751;1941473;2129649;1091686;1037963;1661575;758066;903510;18080.0;11045.0;38255.0;57007.0;23638.0;37971.0;14617.0;19036.0
18;2022;3834063;1869625;1964438;2155563;1099546;1056016;1678500;770078;908422;17868.0;11222.0;38207.0;57007.0;23314.0;38087.0;14893.0;18920.0
19;2023;3876441;1889248;1987193;2181153;1107363;1073790;1695288;781886;913402;17682.0;11388.0;38175.0;57007.0;22972.0;38150.0;15203.0;18857.0
20;2024;3918465;1908683;2009783;2206496;1115154;1091342;1711969;793529;918441;17525.0;11544.0;38124.0;57007.0;22651.0;38163.0;15473.0;18844.0
21;2025;3960180;1927934;2032246;2231588;1122879;1108708;1728593;805055;923538;17396.0;11691.0;38092.0;57007.0;22328.0;38129.0;15764.0;18878.0
22;2026;4001668;1947052;2054616;2256481;1130552;1125929;1745187;816500;928687;17291.0;11836.0;38040.0;57007.0;21997.0;38051.0;16043.0;18956.0
23;2027;4042988;1966061;2076927;2281186;1138157;1143029;1761802;827904;933899;17210.0;11974.0;38001.0;57007.0;21680.0;37934.0;16321.0;19073.0
24;2028;4084220;1984987;2099233;2305737;1145685;1160052;1778483;839302;939181;17149.0;12111.0;37958.0;57007.0;21360.0;37777.0;16598.0;19230.0
25;2029;4125455;2003869;2121586;2330172;1153136;1177036;1795283;850733;944551;17110.0;12250.0;37909.0;57007.0;21050.0;37584.0;16859.0;19423.0
26;2030;4166743;2022712;2144031;2354492;1160482;1194010;1812252;862230;950021;17088.0;12390.0;37868.0;57007.0;20741.0;37358.0;17127.0;19649.0
27;2031;4208156;2041559;2166597;2378724;1167731;1210992;1829432;873827;955605;17081.0;12529.0;37822.0;57007.0;20432.0;37100.0;17390.0;19907.0
28;2032;4249728;2060415;2189313;2402872;1174866;1228006;1846856;885549;961308;17086.0;12674.0;37779.0;57007.0;20141.0;36816.0;17638.0;20191.0
29;2033;4291481;2079292;2212189;2426911;1181869;1245041;1864570;897423;967148;17105.0;12821.0;37725.0;57007.0;19839.0;36507.0;17886.0;20500.0
30;2034;4333483;2098203;2235280;2450856;1188727;1262129;1882628;909476;973152;17132.0;12968.0;37694.0;57007.0;19559.0;36179.0;18135.0;20828.0
31;2035;4375763;2117167;2258595;2474709;1195437;1279273;1901053;921731;979322;17167.0;13118.0;37655.0;57007.0;19287.0;35835.0;18368.0;21172.0
32;2036;4418314;2136184;2282130;2498430;1201973;1296458;1919884;934211;985673;17207.0;13271.0;37602.0;57007.0;19005.0;35479.0;18597.0;21528.0
33;2037;4461146;2155261;2305886;2522012;1208324;1313688;1939134;946936;992198;17252.0;13427.0;37559.0;57007.0;18756.0;35117.0;18803.0;21890.0
34;2038;4504249;2174375;2329874;2545417;1214457;1330960;1958832;959918;998914;17300.0;13583.0;37509.0;57007.0;18505.0;34752.0;19004.0;22255.0
35;2039;4547619;2193527;2354092;2568622;1220365;1348256;1978997;973162;1005835;17351.0;13735.0;37473.0;57007.0;18276.0;34391.0;19197.0;22616.0
36;2040;4591212;2212701;2378511;2591597;1226030;1365567;1999615;986672;1012943;17403.0;13890.0;37432.0;57007.0;18062.0;34037.0;19370.0;22970.0
37;2041;4634979;2231874;2403104;2614295;1231433;1382861;2020684;1000441;1020243;17457.0;14043.0;37387.0;57007.0;17863.0;33699.0;19524.0;23308.0
