ID;HuishoudensKenmerken;Perioden;BrutoExploitatieoverschot_1;BrutoGemengdInkomen_2;BrutoSaldoPrimaireInkomens_3;BrutoBeschikbaarInkomen_4;BrutoAlternatiefBeschikbaarInkomen_5;Totaal_6;BeloningVanWerknemers_7;InkomenUitVermogen_8;SocialeUitkeringenInGeld_9;OverigeInkomensoverdrachten_10;SocialeOverdrachtenInNatura_11;Totaal_12;InkomenUitVermogen_13;BelastingenOpInkomenEnVermogen_14;SocialePremies_15;OverigeInkomensoverdrachten_16;CorrectieMutatiesInPensioenrechten_17;BrutoExploitatieoverschot_18;BrutoGemengdInkomen_19;BrutoSaldoPrimaireInkomens_20;BrutoBeschikbaarInkomen_21;BrutoAlternatiefBeschikbaarInkomen_22;Totaal_23;BeloningVanWerknemers_24;InkomenUitVermogen_25;SocialeUitkeringenInGeld_26;OverigeInkomensoverdrachten_27;SocialeOverdrachtenInNatura_28;Totaal_29;InkomenUitVermogen_30;BelastingenOpInkomenEnVermogen_31;SocialePremies_32;OverigeInkomensoverdrachten_33;CorrectieMutatiesInPensioenrechten_34;BrutoExploitatieoverschot_35;BrutoGemengdInkomen_36;BrutoSaldoPrimaireInkomens_37;BrutoBeschikbaarInkomen_38;BrutoAlternatiefBeschikbaarInkomen_39;Totaal_40;BeloningVanWerknemers_41;InkomenUitVermogen_42;SocialeUitkeringenInGeld_43;OverigeInkomensoverdrachten_44;SocialeOverdrachtenInNatura_45;Totaal_46;InkomenUitVermogen_47;BelastingenOpInkomenEnVermogen_48;SocialePremies_49;OverigeInkomensoverdrachten_50;CorrectieMutatiesInPensioenrechten_51;BrutoExploitatieoverschot_52;BrutoGemengdInkomen_53;BrutoSaldoPrimaireInkomens_54;BrutoBeschikbaarInkomen_55;BrutoAlternatiefBeschikbaarInkomen_56;Totaal_57;BeloningVanWerknemers_58;InkomenUitVermogen_59;SocialeUitkeringenInGeld_60;OverigeInkomensoverdrachten_61;SocialeOverdrachtenInNatura_62;Totaal_63;InkomenUitVermogen_64;BelastingenOpInkomenEnVermogen_65;SocialePremies_66;OverigeInkomensoverdrachten_67
0;Totaal;2005;8020;47599;346697;266564;348364;499015;262825;43401;89855;21134;81800;206270;15148;39063;126372;25687;21113;1.1;6.5;47.3;36.4;47.5;68.1;35.9;5.9;12.3;2.9;11.2;28.1;2.1;5.3;17.2;3.5;2.9;0.8;4.7;33.9;26.1;34.1;48.8;25.7;4.2;8.8;2.1;8.0;20.2;1.5;3.8;12.4;2.5;2.1;2.3;13.7;99.5;76.5;100;143.2;75.4;12.5;25.8;6.1;23.5;59.2;4.3;11.2;36.3;7.4
1;Totaal;2006;12026;49946;360302;277198;371560;519090;271982;46857;93099;12790;94362;209502;20509;41676;129904;17413;14800;1.6;6.8;48.8;37.6;50.4;70.4;36.9;6.4;12.6;1.7;12.8;28.4;2.8;5.7;17.6;2.4;2.0;1.2;4.9;35.1;27.0;36.2;50.6;26.5;4.6;9.1;1.2;9.2;20.4;2.0;4.1;12.7;1.7;1.4;3.2;13.4;97.0;74.6;100;139.7;73.2;12.6;25.1;3.4;25.4;56.4;5.5;11.2;35.0;4.7
2;Totaal;2007;16112;51182;377975;289013;387477;545872;286214;52109;95941;13144;98464;225689;27642;45335;133979;18733;15507;2.2;6.9;50.9;38.9;52.2;73.5;38.6;7.0;12.9;1.8;13.3;30.4;3.7;6.1;18.0;2.5;2.1;1.6;5.0;36.7;28.0;37.6;53.0;27.8;5.1;9.3;1.3;9.6;21.9;2.7;4.4;13.0;1.8;1.5;4.2;13.2;97.5;74.6;100;140.9;73.9;13.4;24.8;3.4;25.4;58.2;7.1;11.7;34.6;4.8
3;Totaal;2008;16762;52197;398186;298085;403192;577391;301457;58098;99457;13272;105107;243158;30328;46240;148899;17691;20714;2.2;7.0;53.2;39.8;53.9;77.1;40.3;7.8;13.3;1.8;14.0;32.5;4.1;6.2;19.9;2.4;2.8;1.6;5.0;38.4;28.8;38.9;55.7;29.1;5.6;9.6;1.3;10.1;23.5;2.9;4.5;14.4;1.7;2.0;4.2;12.9;98.8;73.9;100;143.2;74.8;14.4;24.7;3.3;26.1;60.3;7.5;11.5;36.9;4.4
4;Totaal;2009;5291;51856;396621;298268;410766;587363;306005;49920;104848;14092;112498;233744;16451;52814;145400;19079;23103;0.7;6.9;52.5;39.5;54.4;77.7;40.5;6.6;13.9;1.9;14.9;30.9;2.2;7.0;19.2;2.5;3.1;0.5;5.0;37.9;28.5;39.3;56.2;29.3;4.8;10.0;1.3;10.8;22.4;1.6;5.1;13.9;1.8;2.2;1.3;12.6;96.6;72.6;100;143.0;74.5;12.2;25.5;3.4;27.4;56.9;4.0;12.9;35.4;4.6
5;Totaal;2010;3061;51501;395382;299673;415843;594319;306038;47581;109728;14802;116170;233038;12799;54587;146019;19633;18262;0.4;6.8;51.8;39.3;54.5;77.9;40.1;6.2;14.4;1.9;15.2;30.5;1.7;7.2;19.1;2.6;2.4;0.3;4.9;37.5;28.4;39.5;56.4;29.0;4.5;10.4;1.4;11.0;22.1;1.2;5.2;13.9;1.9;1.7;0.7;12.4;95.1;72.1;100;142.9;73.6;11.4;26.4;3.6;27.9;56.0;3.1;13.1;35.1;4.7
6;Totaal;2011;4846;53185;406548;306673;423815;611266;313295;50098;114505;16226;117142;245482;14876;53744;156343;20519;20238;0.6;6.9;52.8;39.8;55.1;79.4;40.7;6.5;14.9;2.1;15.2;31.9;1.9;7.0;20.3;2.7;2.6;0.5;5.0;38.3;28.9;39.9;57.6;29.5;4.7;10.8;1.5;11.0;23.1;1.4;5.1;14.7;1.9;1.9;1.1;12.5;95.9;72.4;100;144.2;73.9;11.8;27.0;3.8;27.6;57.9;3.5;12.7;36.9;4.8
7;Totaal;2012;1179;52833;413784;308109;428023;620701;318029;50086;117688;14984;119914;246690;8343;50990;167331;20026;23753;0.2;6.8;53.3;39.7;55.2;80.0;41.0;6.5;15.2;1.9;15.5;31.8;1.1;6.6;21.6;2.6;3.1;0.1;4.9;38.8;28.9;40.1;58.1;29.8;4.7;11.0;1.4;11.2;23.1;0.8;4.8;15.7;1.9;2.2;0.3;12.3;96.7;72.0;100;145.0;74.3;11.7;27.5;3.5;28.0;57.6;1.9;11.9;39.1;4.7
8;Totaal;2013;2740;53823;418402;311572;430649;625260;319999;48938;121668;15578;119077;251174;7098;50924;172008;21144;25439;0.4;6.9;53.6;39.9;55.1;80.0;41.0;6.3;15.6;2.0;15.2;32.2;0.9;6.5;22.0;2.7;3.3;0.3;5.0;39.0;29.0;40.1;58.3;29.8;4.6;11.3;1.5;11.1;23.4;0.7;4.7;16.0;2.0;2.4;0.6;12.5;97.2;72.3;100;145.2;74.3;11.4;28.3;3.6;27.7;58.3;1.6;11.8;39.9;4.9
9;Totaal;2014;4732;55878;426122;318137;438726;631632;323285;49242;122903;15613;120589;253516;7015;53337;171892;21272;24313;0.6;7.1;54.1;40.4;55.7;80.2;41.1;6.3;15.6;2.0;15.3;32.2;0.9;6.8;21.8;2.7;3.1;0.4;5.2;39.5;29.5;40.6;58.5;29.9;4.6;11.4;1.4;11.2;23.5;0.6;4.9;15.9;2.0;2.3;1.1;12.7;97.1;72.5;100;144.0;73.7;11.2;28.0;3.6;27.5;57.8;1.6;12.2;39.2;4.8
