ID;BedrijfstakBranchesSBI2008;Perioden;Werknemer_1;WerkzamePersoon_2;Werknemer_3;WerkzamePersoon_4;Totaal_5;NettoOmzet_6;OverigeBedrijfsopbrengsten_7;Totaal_8;InkoopwaardeOmzet_9;Totaal_10;Brutolonen_11;Totaal_12;SocialeVerzekeringspremiesWerkgever_13;PremiesPensioenVutInkoopsommen_14;OverigeSocialeLasten_15;OverigePersoneleKosten_16;Totaal_17;KostenEnergieverbruik_18;Huisvestingskosten_19;KostenApparatuurEnInventaris_20;KostenVervoermiddelen_21;Verkoopkosten_22;Communicatiekosten_23;KostenVanOverigeDiensten_24;NietEerderGenoemdeBedrijfskosten_25;AfschrijvingenOpVasteActiva_26;Bedrijfsresultaat_27;SaldoFinancieleBatenEnLasten_28;SaldoVoorzieningen_29;SaldoBuitengewoneBatenEnLasten_30;ResultaatVoorBelastingen_31
0;45 Autohandel en -reparatie;2009;116.1;147.1;99.3;125.4;54279.0;54133.0;146.0;52886.0;41690.0;4335.0;3314.0;705.0;435.0;269.0;32.0;284.0;6297.0;209.0;844.0;134.0;364.0;755.0;125.0;434.0;3432.0;564.0;1394.0;-261.0;-15.0;10.0;1128.0
1;45 Autohandel en -reparatie;2010;121.9;153.4;103.0;128.1;58122.0;57981.0;140.0;56116.0;44980.0;4619.0;3506.0;764.0;469.0;295.0;43.0;306.0;5917.0;224.0;919.0;154.0;399.0;759.0;136.0;467.0;2859.0;599.0;2006.0;-220.0;-33.0;51.0;1803.0
2;45 Autohandel en -reparatie;2011;126.1;157.3;107.3;134.9;66034.0;65818.0;216.0;63881.0;52152.0;4848.0;3644.0;832.0;517.0;315.0;42.0;331.0;6247.0;228.0;977.0;167.0;428.0;900.0;145.0;534.0;2869.0;635.0;2153.0;-315.0;-13.0;2.0;1827.0
3;45 Autohandel en -reparatie;2012;123.6;153.9;105.0;132.2;63198.0;62979.0;219.0;61546.0;50505.0;4842.0;3635.0;858.0;530.0;328.0;34.0;315.0;5574.0;220.0;979.0;162.0;404.0;876.0;133.0;473.0;2327.0;624.0;1652.0;-329.0;-10.0;24.0;1337.0
4;45 Autohandel en -reparatie;2013;120.4;151.3;101.5;129.1;60287.0;60083.0;204.0;58697.0;47998.0;4793.0;3579.0;869.0;535.0;334.0;29.0;315.0;5293.0;224.0;1016.0;160.0;412.0;839.0;133.0;477.0;2032.0;613.0;1590.0;-256.0;-10.0;-4.0;1320.0
5;451 Autohandel en -reparatie;2009;79.4;99.7;68.4;85.8;42353.0;42238.0;115.0;41457.0;32849.0;3011.0;2309.0;494.0;304.0;189.0;21.0;187.0;5187.0;146.0;605.0;81.0;246.0;579.0;86.0;288.0;3156.0;411.0;895.0;-230.0;-8.0;-15.0;643.0
6;451 Autohandel en -reparatie;2010;82.5;103.2;70.3;86.5;45200.0;45107.0;93.0;43928.0;35597.0;3140.0;2403.0;524.0;324.0;199.0;27.0;186.0;4777.0;153.0;640.0;105.0;256.0;596.0;93.0;316.0;2618.0;415.0;1272.0;-194.0;-29.0;41.0;1091.0
7;451 Autohandel en -reparatie;2011;85.1;105.2;72.8;90.8;51584.0;51440.0;144.0;50174.0;41465.0;3309.0;2501.0;572.0;353.0;218.0;26.0;210.0;4958.0;152.0;692.0;117.0;279.0;680.0;102.0;341.0;2596.0;441.0;1411.0;-190.0;-4.0;27.0;1244.0
8;451 Autohandel en -reparatie;2012;84.3;104.1;72.3;90.3;49040.0;48868.0;172.0;47971.0;39838.0;3339.0;2513.0;596.0;364.0;232.0;26.0;203.0;4355.0;149.0;691.0;110.0;270.0;656.0;91.0;295.0;2094.0;439.0;1069.0;-203.0;-3.0;21.0;885.0
9;451 Autohandel en -reparatie;2013;81.3;101.6;69.3;87.8;46734.0;46574.0;160.0;45560.0;37787.0;3299.0;2476.0;602.0;368.0;235.0;22.0;199.0;4039.0;149.0;698.0;111.0;278.0;646.0;91.0;294.0;1774.0;434.0;1174.0;-161.0;-2.0;-25.0;985.0
10;4511 Handel en reparatie personenauto's;2009;67.0;85.4;57.4;73.2;37632.0;37556.0;75.0;36749.0;29146.0;2438.0;1884.0;400.0;249.0;150.0;18.0;138.0;4823.0;125.0;506.0;72.0;199.0;540.0;74.0;241.0;3065.0;342.0;883.0;-189.0;-1.0;-1.0;692.0
11;4511 Handel en reparatie personenauto's;2010;70.1;88.4;59.4;74.1;40490.0;40403.0;87.0;39326.0;31945.0;2606.0;2000.0;438.0;273.0;165.0;23.0;145.0;4427.0;133.0;543.0;91.0;217.0;554.0;81.0;271.0;2538.0;349.0;1164.0;-170.0;-6.0;37.0;1025.0
12;4511 Handel en reparatie personenauto's;2011;72.7;90.5;61.7;78.0;46444.0;46339.0;105.0;45212.0;37485.0;2764.0;2091.0;482.0;298.0;183.0;23.0;168.0;4595.0;133.0;586.0;107.0;237.0;637.0;89.0;301.0;2505.0;368.0;1232.0;-169.0;-1.0;24.0;1086.0
13;4511 Handel en reparatie personenauto's;2012;72.5;90.7;61.9;78.5;44405.0;44258.0;146.0;43451.0;36250.0;2818.0;2123.0;506.0;310.0;196.0;23.0;165.0;4016.0;131.0;594.0;99.0;230.0;614.0;80.0;252.0;2015.0;368.0;954.0;-176.0;4.0;24.0;806.0
14;4511 Handel en reparatie personenauto's;2013;70.0;88.4;59.6;76.4;41974.0;41840.0;134.0;40892.0;34052.0;2774.0;2086.0;509.0;313.0;196.0;19.0;160.0;3693.0;130.0;596.0;98.0;243.0;600.0;79.0;244.0;1703.0;373.0;1082.0;-144.0;3.0;-29.0;912.0
15;45111 Import van nieuwe personenauto's;2009;2.5;3.0;2.4;2.7;10275.0;10253.0;21.0;10149.0;6997.0;204.0;149.0;31.0;16.0;15.0;1.0;23.0;2920.0;4.0;24.0;2.0;17.0;267.0;7.0;39.0;2559.0;28.0;126.0;13.0;-7.0;-19.0;113.0
16;45111 Import van nieuwe personenauto's;2010;2.7;3.0;2.4;2.8;11290.0;11266.0;24.0;11072.0;8359.0;214.0;152.0;33.0;19.0;15.0;2.0;27.0;2470.0;3.0;28.0;2.0;21.0;270.0;8.0;43.0;2095.0;29.0;219.0;-2.0;-6.0;22.0;233.0
17;45111 Import van nieuwe personenauto's;2011;2.6;2.9;2.4;2.7;12501.0;12474.0;26.0;12259.0;9468.0;212.0;149.0;34.0;17.0;17.0;1.0;28.0;2550.0;4.0;34.0;2.0;17.0;327.0;11.0;44.0;2111.0;30.0;242.0;6.0;-4.0;-2.0;241.0
18;45111 Import van nieuwe personenauto's;2012;2.7;3.0;2.4;2.8;11412.0;11358.0;54.0;11248.0;8956.0;224.0;158.0;37.0;19.0;18.0;1.0;28.0;2037.0;4.0;34.0;2.0;17.0;330.0;7.0;33.0;1611.0;31.0;164.0;-5.0;-1.0;0.0;159.0
19;45111 Import van nieuwe personenauto's;2013;2.9;3.1;2.5;2.9;10737.0;10676.0;61.0;10651.0;8724.0;229.0;159.0;41.0;20.0;22.0;1.0;28.0;1662.0;4.0;34.0;2.0;19.0;301.0;6.0;27.0;1270.0;36.0;85.0;42.0;-4.0;0.0;123.0
20;45112 Handel en reparatie personenauto's;2009;64.4;82.4;55.0;70.5;27357.0;27303.0;54.0;26599.0;22148.0;2234.0;1735.0;369.0;233.0;136.0;17.0;114.0;1903.0;121.0;482.0;69.0;182.0;273.0;67.0;202.0;507.0;314.0;758.0;-202.0;6.0;18.0;579.0
21;45112 Handel en reparatie personenauto's;2010;67.4;85.5;57.0;71.3;29200.0;29137.0;63.0;28255.0;23586.0;2392.0;1848.0;405.0;255.0;150.0;22.0;118.0;1957.0;129.0;516.0;88.0;196.0;284.0;73.0;227.0;443.0;320.0;945.0;-168.0;1.0;14.0;792.0
22;45112 Handel en reparatie personenauto's;2011;70.1;87.6;59.3;75.3;33943.0;33865.0;78.0;32953.0;28017.0;2552.0;1943.0;448.0;281.0;167.0;22.0;140.0;2045.0;129.0;552.0;105.0;220.0;310.0;78.0;257.0;395.0;339.0;991.0;-175.0;4.0;26.0;845.0
23;45112 Handel en reparatie personenauto's;2012;69.8;87.7;59.5;75.7;32992.0;32900.0;92.0;32203.0;27294.0;2594.0;1965.0;468.0;291.0;178.0;22.0;138.0;1978.0;128.0;560.0;97.0;213.0;284.0;73.0;220.0;403.0;337.0;790.0;-172.0;5.0;24.0;646.0
24;45112 Handel en reparatie personenauto's;2013;67.2;85.3;57.0;73.5;31237.0;31164.0;73.0;30240.0;25328.0;2545.0;1927.0;468.0;294.0;175.0;18.0;132.0;2031.0;127.0;562.0;96.0;224.0;299.0;73.0;218.0;433.0;337.0;997.0;-186.0;7.0;-29.0;789.0
25;4519 Handel in vrachtwagens, aanhangers;2009;12.5;14.3;11.1;12.6;4721.0;4682.0;39.0;4709.0;3703.0;573.0;426.0;94.0;55.0;39.0;3.0;50.0;364.0;20.0;99.0;10.0;47.0;39.0;12.0;47.0;91.0;69.0;12.0;-41.0;-7.0;-14.0;-50.0
26;4519 Handel in vrachtwagens, aanhangers;2010;12.3;14.8;10.9;12.4;4710.0;4704.0;6.0;4602.0;3652.0;534.0;403.0;86.0;51.0;35.0;4.0;41.0;350.0;20.0;97.0;15.0;39.0;42.0;12.0;45.0;80.0;67.0;108.0;-24.0;-23.0;5.0;66.0
27;4519 Handel in vrachtwagens, aanhangers;2011;12.4;14.7;11.2;12.8;5141.0;5101.0;39.0;4962.0;3980.0;545.0;410.0;90.0;55.0;35.0;3.0;43.0;364.0;20.0;106.0;9.0;42.0;43.0;13.0;41.0;90.0;73.0;179.0;-20.0;-4.0;3.0;158.0
28;4519 Handel in vrachtwagens, aanhangers;2012;11.8;13.4;10.4;11.9;4636.0;4610.0;25.0;4520.0;3588.0;521.0;390.0;91.0;55.0;36.0;3.0;38.0;340.0;18.0;97.0;11.0;40.0;41.0;11.0;43.0;79.0;71.0;115.0;-26.0;-7.0;-3.0;79.0
29;4519 Handel in vrachtwagens, aanhangers;2013;11.3;13.3;9.8;11.4;4760.0;4733.0;26.0;4668.0;3736.0;525.0;390.0;93.0;55.0;39.0;3.0;38.0;346.0;19.0;102.0;13.0;35.0;46.0;12.0;49.0;71.0;61.0;91.0;-17.0;-5.0;4.0;74.0
30;452 Gespecialiseerde autoreparatie;2009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;452 Gespecialiseerde autoreparatie;2010;19.8;26.0;16.1;21.4;2901.0;2894.0;7.0;2652.0;1350.0;712.0;533.0;113.0;71.0;43.0;7.0;59.0;494.0;;;;;;;;;;249.0;-24.0;-1.0;5.0;230.0
32;452 Gespecialiseerde autoreparatie;2011;20.8;27.2;17.5;23.3;2848.0;2827.0;20.0;2607.0;1241.0;749.0;556.0;127.0;81.0;46.0;9.0;56.0;519.0;;;;;;;;;;241.0;-28.0;0.0;-29.0;183.0
33;452 Gespecialiseerde autoreparatie;2012;19.6;26.0;16.1;21.7;2633.0;2615.0;18.0;2449.0;1170.0;701.0;521.0;124.0;78.0;46.0;3.0;54.0;478.0;;;;;;;;;;184.0;-38.0;1.0;3.0;150.0
34;452 Gespecialiseerde autoreparatie;2013;20.1;26.3;16.3;21.8;2606.0;2600.0;6.0;2452.0;1135.0;725.0;535.0;134.0;84.0;50.0;4.0;52.0;497.0;;;;;;;;;;154.0;-21.0;-7.0;16.0;142.0
35;453 Handel in auto-onderdelen;2009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;453 Handel in auto-onderdelen;2010;17.2;20.3;14.5;16.9;8730.0;8689.0;41.0;8277.0;6999.0;677.0;500.0;112.0;64.0;47.0;8.0;57.0;523.0;;;;;;;;;;453.0;9.0;-4.0;5.0;462.0
37;453 Handel in auto-onderdelen;2011;17.4;20.5;14.6;17.1;9458.0;9416.0;42.0;9013.0;7681.0;684.0;504.0;116.0;73.0;43.0;7.0;58.0;569.0;;;;;;;;;;445.0;-20.0;-8.0;4.0;422.0
38;453 Handel in auto-onderdelen;2012;17.0;19.6;14.6;16.7;9488.0;9469.0;19.0;9109.0;7775.0;697.0;522.0;122.0;78.0;44.0;4.0;49.0;565.0;;;;;;;;;;379.0;-62.0;-8.0;5.0;315.0
39;453 Handel in auto-onderdelen;2013;16.6;19.3;13.8;16.0;8896.0;8864.0;32.0;8630.0;7316.0;670.0;495.0;117.0;74.0;43.0;3.0;56.0;574.0;;;;;;;;;;266.0;-34.0;-1.0;5.0;236.0
40;454 Handel en reparatie van motorfietsen;2009;1.7;3.4;1.5;3.0;1248.0;1248.0;0.0;1240.0;1032.0;64.0;48.0;11.0;6.0;5.0;1.0;4.0;130.0;4.0;15.0;9.0;6.0;24.0;4.0;12.0;56.0;14.0;8.0;-4.0;-5.0;11.0;11.0
41;454 Handel en reparatie van motorfietsen;2010;2.4;3.9;2.1;3.3;1292.0;1292.0;0.0;1260.0;1035.0;90.0;70.0;15.0;10.0;6.0;1.0;4.0;124.0;6.0;23.0;3.0;8.0;24.0;5.0;11.0;45.0;11.0;32.0;-12.0;1.0;0.0;21.0
42;454 Handel en reparatie van motorfietsen;2011;2.9;4.4;2.4;3.7;2144.0;2135.0;10.0;2088.0;1764.0;106.0;82.0;17.0;10.0;7.0;0.0;7.0;201.0;6.0;25.0;6.0;7.0;84.0;4.0;25.0;44.0;17.0;56.0;-78.0;-1.0;0.0;-22.0
43;454 Handel en reparatie van motorfietsen;2012;2.7;4.3;2.1;3.4;2037.0;2027.0;10.0;2017.0;1722.0;105.0;79.0;16.0;10.0;6.0;1.0;9.0;176.0;5.0;21.0;5.0;7.0;70.0;5.0;23.0;40.0;14.0;20.0;-27.0;0.0;-6.0;-12.0
44;454 Handel en reparatie van motorfietsen;2013;2.4;4.1;2.0;3.5;2052.0;2046.0;6.0;2055.0;1760.0;98.0;74.0;15.0;9.0;6.0;0.0;9.0;183.0;5.0;21.0;4.0;10.0;64.0;4.0;26.0;49.0;15.0;-4.0;-40.0;0.0;1.0;-43.0
