ID;RegioS;Kiesgerechtigden_1;Opkomstpercentage_2;TotaalStemmen_3;GeldigeStemmen_4;OngeldigeStemmen_5;AmsterdamAnders_6;CDA_7;CU_8;CUSGP_9;D66_10;DeGroenen_11;DeGroenenNoordHollandAnders_12;DemocratischPlatformNederland_13;DrenthsBelangDOP_14;FNP_15;GemeentebelangenFrieslandGF_16;GL_17;LeefbaarBrabantBOF_18;LeefbaarFlevoland_19;LeefbaarGelderlandDeGroenen_20;LeefbaarNoordHolland_21;LeefbaarProvincialePartijLPP_22;LeefbaarProvincieUtrecht_23;LeefbaarZuidHolland_24;LijstHolsteijn_25;LijstNieuwePolitiekLNP_26;LijstVeldhoen_27;LPF_28;MOOIZUIDHOLLANDDeGroenen_29;NederlandseVolksUnieNVU_30;NieuweCommunistischePartijNCPN_31;NieuweToekomstPartijNTP_32;NSap_33;OnafhankelijkePartijDrenthe_34;OuderenpartijNHVSP_35;PartijNieuwLimburgPNL_36;PartijVoorHetNoorden_37;PARTIJVOORZEELANDPVZ_38;PolitiekePartijAlianza_39;PvdA_40;SGP_41;SP_42;VERENIGDESENIORENPARTIJ_43;VIPVooruitstrevendeIntegratiePartij_44;VVD_45;AmsterdamAnders_46;CDA_47;CU_48;CUSGP_49;D66_50;DeGroenen_51;DeGroenenNoordHollandAnders_52;DemocratischPlatformNederland_53;DrenthsBelangDOP_54;FNP_55;GemeentebelangenFrieslandGF_56;GL_57;LeefbaarBrabantBOF_58;LeefbaarFlevoland_59;LeefbaarGelderlandDeGroenen_60;LeefbaarNoordHolland_61;LeefbaarProvincialePartijLPP_62;LeefbaarProvincieUtrecht_63;LeefbaarZuidHolland_64;LijstHolsteijn_65;LijstNieuwePolitiekLNP_66;LijstVeldhoen_67;LPF_68;MOOIZUIDHOLLANDDeGroenen_69;NederlandseVolksUnieNVU_70;NieuweCommunistischePartijNCPN_71;NieuweToekomstPartijNTP_72;NSap_73;OnafhankelijkePartijDrenthe_74;OuderenpartijNHVSP_75;PartijNieuwLimburgPNL_76;PartijVoorHetNoorden_77;PARTIJVOORZEELANDPVZ_78;PolitiekePartijAlianza_79;PvdA_80;SGP_81;SP_82;VERENIGDESENIORENPARTIJ_83;VIPVooruitstrevendeIntegratiePartij_84;VVD_85;Gemeente_86;Landsdeel_87;Provincie_88;COROPGebied_89;Kamerkieskring_90;Stadsgewest_91;GrootstedelijkeAgglomeratie_92
0;Aa en Hunze;19472;62.6;12193;12186;7;;1571;145.0;;546;;;;255.0;;;924;;;;;;;;;;;268;;;;;;333.0;;;;;;4912;9.0;;;;3223;;12.9;1.2;;4.5;;;;2.1;;;7.6;;;;;;;;;;;2.2;;;;;;2.7;;;;;;40.3;0.1;;;;26.4;1680;1;22;07;03;00;00
1;Aalburg;8689;59.1;5131;5128;3;;2022;;1906.0;45;;;;;;;55;25.0;;;;;;;;1.0;;91;;;;;;;;;;;;439;;93.0;17.0;;434;;39.4;;37.2;0.9;;;;;;;1.1;0.5;;;;;;;;0.0;;1.8;;;;;;;;;;;;8.6;;1.8;0.3;;8.5;0738;4;30;34;17;00;00
2;Aalsmeer;17287;49.9;8624;8614;10;5.0;2689;;350.0;423;;25.0;;;;;437;;;;49.0;33.0;;;;;;300;;;4.0;8.0;;;39.0;;;;;1636;;282.0;;;2334;0.1;31.2;;4.1;4.9;;0.3;;;;;5.1;;;;0.6;0.4;;;;;;3.5;;;0.0;0.1;;;0.5;;;;;19.0;;3.3;;;27.1;0358;3;27;23;10;00;00
3;Aalten;13859;59.8;8285;8279;6;;4748;328.0;;174;;;;;;;323;;;55.0;;;;;;;;109;;8.0;;;;;;;;;;1408;29.0;345.0;;;752;;57.3;4.0;;2.1;;;;;;;3.9;;;0.7;;;;;;;;1.3;;0.1;;;;;;;;;;17.0;0.4;4.2;;;9.1;0197;2;25;14;07;00;00
4;Ter Aar;6647;49.5;3288;3287;1;;1608;56.0;;106;;;;;;;146;;;;;;;47.0;1.0;2.0;3.0;106;25.0;;;1.0;0.0;;;;;;0.0;349;62.0;100.0;6.0;2.0;667;;48.9;1.7;;3.2;;;;;;;4.4;;;;;;;1.4;0.0;0.1;0.1;3.2;0.8;;;0.0;0.0;;;;;;0.0;10.6;1.9;3.0;0.2;0.1;20.3;0480;3;28;28;15;00;00
5;Abcoude;6195;62.2;3854;3852;2;;1131;81.0;;335;21.0;;;;;;332;;;;;;17.0;;;;;87;;;;;;;;;;;;656;41.0;152.0;;;999;;29.4;2.1;;8.7;0.5;;;;;;8.6;;;;;;0.4;;;;;2.3;;;;;;;;;;;;17.0;1.1;3.9;;;25.9;0305;3;26;17;08;10;00
6;Achtkarspelen;21378;59.5;12726;12720;6;;4435;;1488.0;118;;;;;2285.0;273.0;283;;;;;;;;;;;201;;;13.0;;;;;;;;;2662;;329.0;;;633;;34.9;;11.7;0.9;;;;;18.0;2.1;2.2;;;;;;;;;;;1.6;;;0.1;;;;;;;;;20.9;;2.6;;;5.0;0059;1;21;04;02;00;00
7;Alblasserdam;13451;52.2;7021;7015;6;;1595;623.0;;138;;;4.0;;;;165;;;;;;;43.0;0.0;0.0;2.0;194;19.0;;;0.0;1.0;;;;;;3.0;1855;1277.0;225.0;13.0;0.0;858;;22.7;8.9;;2.0;;;0.1;;;;2.4;;;;;;;0.6;0.0;0.0;0.0;2.8;0.3;;;0.0;0.0;;;;;;0.0;26.4;18.2;3.2;0.2;0.0;12.2;0482;3;28;30;14;15;00
8;Albrandswaard;13990;48.7;6810;6806;4;;1719;170.0;;288;;;10.0;;;;239;;;;;;;77.0;1.0;7.0;3.0;722;19.0;;;4.0;0.0;;;;;;1.0;1323;137.0;275.0;18.0;0.0;1793;;25.3;2.5;;4.2;;;0.1;;;;3.5;;;;;;;1.1;0.0;0.1;0.0;10.6;0.3;;;0.1;0.0;;;;;;0.0;19.4;2.0;4.0;0.3;0.0;26.3;0613;3;28;29;14;14;00
9;Alkemade;10736;48.3;5185;5181;4;;2121;18.0;;171;;;;;;;290;;;;;;;46.0;1.0;4.0;2.0;136;35.0;;;1.0;0.0;;;;;;1.0;795;17.0;190.0;24.0;2.0;1327;;40.9;0.3;;3.3;;;;;;;5.6;;;;;;;0.9;0.0;0.1;0.0;2.6;0.7;;;0.0;0.0;;;;;;0.0;15.3;0.3;3.7;0.5;0.0;25.6;0483;3;28;25;15;00;00
10;Alkmaar;69677;45.5;31693;31651;42;21.0;5751;;515.0;1634;;166.0;;;;;3332;;;;173.0;197.0;;;;;;869;;;57.0;50.0;;;339.0;;;;;10343;;2791.0;;;5413;0.1;18.2;;1.6;5.2;;0.5;;;;;10.5;;;;0.5;0.6;;;;;;2.7;;;0.2;0.2;;;1.1;;;;;32.7;;8.8;;;17.1;0361;3;27;19;11;00;00
11;Almelo;52720;42.4;22328;22304;24;;6961;778.0;;929;;;;;;;1528;;;;;;;;;;;621;;;;;;;;;;;;6790;102.0;1206.0;;;3389;;31.2;3.5;;4.2;;;;;;;6.9;;;;;;;;;;;2.8;;;;;;;;;;;;30.4;0.5;5.4;;;15.2;0141;2;23;12;04;00;00
12;Almere;112652;38.0;42793;42751;42;;5000;1178.0;;3032;;;;;;;3294;;821.0;;;;;;;220.0;;1990;;;;;;;;;;;;12402;128.0;2531.0;680.0;;11475;;11.7;2.8;;7.1;;;;;;;7.7;;1.9;;;;;;;0.5;;4.7;;;;;;;;;;;;29.0;0.3;5.9;1.6;;26.8;0034;2;24;40;05;10;00
13;Alphen aan den Rijn;52196;44.8;23362;23323;39;;6068;1146.0;;1187;;;;;;;1623;;;;;;;134.0;38.0;10.0;2.0;705;77.0;;;8.0;4.0;;;;;;11.0;4518;484.0;1638.0;71.0;3.0;5596;;26.0;4.9;;5.1;;;;;;;7.0;;;;;;;0.6;0.2;0.0;0.0;3.0;0.3;;;0.0;0.0;;;;;;0.0;19.4;2.1;7.0;0.3;0.0;24.0;0484;3;28;28;15;00;00
14;Alphen-Chaam;7061;50.8;3585;3583;2;;1813;;6.0;102;;;;;;;138;24.0;;;;;;;;9.0;;105;;;;;;;;;;;;528;;148.0;20.0;;690;;50.6;;0.2;2.8;;;;;;;3.9;0.7;;;;;;;;0.3;;2.9;;;;;;;;;;;;14.7;;4.1;0.6;;19.3;1723;4;30;34;17;00;00
15;Ambt Montfort;8585;47.1;4041;4039;2;;2036;;;78;;;;;;;203;;;;;;;;;;;72;;;;;;;;116.0;;;;801;;142.0;;;591;;50.4;;;1.9;;;;;;;5.0;;;;;;;;;;;1.8;;;;;;;;2.9;;;;19.8;;3.5;;;14.6;1679;4;31;38;19;00;00
16;Ameland;2642;64.7;1709;1707;2;;533;;11.0;26;;;;;18.0;367.0;60;;;;;;;;;;;29;;;1.0;;;;;;;;;341;;40.0;;;281;;31.2;;0.6;1.5;;;;;1.1;21.5;3.5;;;;;;;;;;;1.7;;;0.1;;;;;;;;;20.0;;2.3;;;16.5;0060;1;21;04;02;00;00
