ID;Grootteklasse;RegioS;Rechtsvorm;Perioden;Bedrijven_1;TotaalAantalWerknemers_2;AantalVasteWerknemers_3;AantalLosseWerknemers_4;TotaalArbeid_5;ArbeidOndernemers_6;ArbeidHuwelijksPartners_7;ArbeidOverigeGezinsleden_8;TotaalBedrijfsopbrengsten_9;NettoOmzet_10;OverigeBedrijfsopbrengsten_11;TotaalBedrijfslasten_12;InkoopwaardeOmzet_13;Personeelslasten_14;OverigeBedrijfslasten_15;TotaalOverigeOpbrengstenEnLasten_16;SaldoInterest_17;SaldoBuitengewoneBatenEnLasten_18;SaldoVoorzieningen_19;ResultaatVoorBelastingen_20;TotaalInvesteringen_21;TotaalInvesteringenInNieuweActiva_22;TotaalInvesteringenIn2eHandseActiva_23;TotaalNettoOmzet_24;AgrarischLoonwerk_25;OverigLoonwerk_26;TotaalOverigeBedrijfsopbrengsten_27;OpbrengstenUitContributies_28;OpbrengstenLandbouwactiviteiten_29;OpbrengstenVerhuurMachines_30;UitkeringenSchadeverzekeringen_31;OverigeBedrijfsopbrengstenNEG_32;TotaalInkoopwaardeOmzet_33;TotaalInkopenGrondEnHulpstoffen_34;Kunstmest_35;Bestrijdingsmiddelen_36;ZaaiPlantEnPootgoed_37;OverigeGrondEnHulpstoffen_38;InkopenHandelsgoederen_39;WerkDoorDerden_40;TotaalPersoneelslasten_41;BrutoLonen_42;SocialeLasten_43;OverigePersoneelslasten_44;TotaalOverigeBedrijfslasten_45;TotaleEnergiekosten_46;BrandstoffenTrekkracht_47;Aardgas_48;Elektriciteit_49;OverigeBrandstoffen_50;OverigeBetaaldeArbeid_51;TotaleAlgemeneKosten_52;HuurGebouwenEnTerreinen_53;HuurTransportmMachinesWerktuigen_54;OnderhoudGebouwen_55;OnderhTransportmMachinesEtc_56;PremiesSchadeverzekeringen_57;KostenPrivegebruikBedrijfsauto_58;KostprijsverhBelastingenEnHeffingen_59;OverigeAlgemeneKosten_60;TotaleAfschrijvingen_61;Gebouwen_62;MachinesEnWerktuigen_63;OverigeMaterieleActiva_64;TotaalInvesteringen_65;TotaalInvesteringenInNieuweActiva_66;GrondEnTerreinen_67;Woonruimten_68;Bedrijfsruimten_69;GrondWegenEnWaterbouwkWerken_70;ExterneTransportmiddelen_71;Trekkers_72;OverigeInterneTransportmiddelen_73;Kantoormachines_74;MachinesEnWerktuigen_75;Installaties_76;OverigeMaterieleActiva_77;ImmaterieleActiva_78;TotaalInvesteringenIn2eHandseActiva_79;GrondEnTerreinen_80;Woonruimten_81;Bedrijfsruimten_82;GrondWegenEnWaterbouwkWerken_83;ExterneTransportmiddelen_84;Trekkers_85;OverigeInterneTransportmiddelen_86;Kantoormachines_87;MachinesEnWerktuigen_88;Installaties_89;OverigeMaterieleActiva_90;ImmaterieleActiva_91;TotaalDesinvesteringen_92;GrondEnTerreinen_93;Woonruimten_94;Bedrijfsruimten_95;GrondWegenEnWaterbouwkWerken_96;ExterneTransportmiddelen_97;Trekkers_98;OverigeInterneTransportmiddelen_99;Kantoormachines_100;MachinesEnWerktuigen_101;Installaties_102;OverigeMaterieleActiva_103;ImmaterieleActiva_104
0;Totaal grootteklassen;Totaal Nederland;Totaal rechtsvormen;1992;4746;11.1;4.7;6.4;3496.0;3078.0;373.0;45.0;832.0;777.0;55.0;703.0;155.0;225.0;323.0;-33.0;-36.0;3.0;0.0;96.0;202.0;178.0;24.0;777.0;690.0;86.0;55.0;0.0;34.0;2.0;1.0;19.0;155.0;103.0;10.0;36.0;28.0;30.0;16.0;36.0;225.0;167.0;50.0;9.0;323.0;34.0;29.0;1.0;2.0;2.0;3.0;142.0;6.0;9.0;3.0;68.0;13.0;-5.0;2.0;46.0;145.0;7.0;132.0;5.0;202.0;178.0;6.0;1.0;8.0;2.0;6.0;27.0;3.0;1.0;120.0;1.0;2.0;0.0;24.0;1.0;0.0;0.0;0.0;3.0;5.0;1.0;0.0;13.0;0.0;0.0;0.0;25.0;1.0;0.0;0.0;0.0;1.0;5.0;0.0;0.0;16.0;0.0;0.0;0.0
1;Totaal grootteklassen;Totaal Nederland;Totaal rechtsvormen;1995;4903;19.2;10.0;9.2;5022.0;4540.0;433.0;56.0;1446.0;1251.0;195.0;1248.0;287.0;462.0;499.0;-30.0;-37.0;7.0;-1.0;167.0;301.0;257.0;45.0;1251.0;1016.0;235.0;195.0;23.0;68.0;6.0;2.0;96.0;287.0;140.0;11.0;40.0;35.0;54.0;57.0;90.0;462.0;374.0;70.0;18.0;499.0;49.0;42.0;2.0;3.0;3.0;12.0;234.0;9.0;17.0;6.0;104.0;20.0;-6.0;3.0;82.0;203.0;14.0;179.0;9.0;301.0;257.0;9.0;2.0;15.0;3.0;10.0;39.0;7.0;2.0;162.0;3.0;4.0;1.0;45.0;1.0;1.0;3.0;0.0;4.0;8.0;1.0;0.0;25.0;0.0;1.0;0.0;46.0;1.0;1.0;1.0;0.0;2.0;8.0;1.0;0.0;31.0;0.0;1.0;0.0
2;Totaal grootteklassen;Totaal Nederland;Totaal rechtsvormen;1998;5748;23.9;13.3;10.7;6012.0;5589.0;373.0;53.0;1630.0;1436.0;193.0;1389.0;341.0;485.0;563.0;-35.0;-38.0;7.0;-4.0;206.0;339.0;290.0;49.0;1436.0;1046.0;391.0;193.0;4.0;70.0;4.0;4.0;111.0;341.0;166.0;8.0;43.0;33.0;82.0;77.0;99.0;485.0;363.0;98.0;24.0;563.0;55.0;47.0;2.0;4.0;2.0;18.0;269.0;13.0;17.0;7.0;109.0;22.0;-6.0;4.0;102.0;222.0;15.0;196.0;11.0;339.0;290.0;8.0;2.0;18.0;5.0;15.0;45.0;8.0;2.0;177.0;3.0;6.0;1.0;49.0;3.0;1.0;1.0;0.0;4.0;8.0;1.0;0.0;31.0;0.0;0.0;0.0;54.0;2.0;0.0;1.0;1.0;3.0;10.0;1.0;0.0;32.0;0.0;2.0;2.0
3;Totaal grootteklassen;Totaal Nederland;Coöperatieve vereniging;1992;141;0.5;0.2;0.3;0.0;0.0;0.0;0.0;36.0;34.0;2.0;34.0;10.0;12.0;12.0;-2.0;-2.0;0.0;0.0;0.0;11.0;11.0;0.0;34.0;32.0;2.0;2.0;0.0;1.0;0.0;0.0;1.0;10.0;8.0;2.0;4.0;2.0;1.0;2.0;1.0;12.0;9.0;2.0;0.0;12.0;1.0;1.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;3.0;1.0;0.0;0.0;1.0;6.0;0.0;6.0;0.0;11.0;11.0;1.0;0.0;1.0;0.0;0.0;2.0;0.0;0.0;7.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
4;Totaal grootteklassen;Totaal Nederland;Coöperatieve vereniging;1995;120;3.5;2.9;0.6;8.0;8.0;0.0;0.0;218.0;177.0;42.0;214.0;38.0;140.0;37.0;2.0;0.0;2.0;0.0;6.0;19.0;16.0;2.0;177.0;156.0;21.0;42.0;22.0;3.0;1.0;0.0;16.0;38.0;14.0;2.0;3.0;2.0;7.0;14.0;10.0;140.0;127.0;9.0;3.0;37.0;2.0;1.0;0.0;0.0;1.0;0.0;21.0;0.0;0.0;0.0;6.0;1.0;0.0;0.0;14.0;13.0;2.0;10.0;1.0;19.0;16.0;1.0;0.0;1.0;0.0;0.0;2.0;1.0;0.0;10.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0
5;Totaal grootteklassen;Totaal Nederland;Coöperatieve vereniging;1998;79;3.0;2.2;0.8;0.0;0.0;0.0;0.0;128.0;107.0;21.0;124.0;24.0;75.0;26.0;-2.0;-1.0;0.0;-1.0;2.0;11.0;11.0;0.0;107.0;101.0;6.0;21.0;3.0;9.0;0.0;0.0;8.0;24.0;9.0;0.0;4.0;1.0;3.0;11.0;4.0;75.0;54.0;16.0;4.0;26.0;2.0;1.0;0.0;0.0;0.0;0.0;16.0;0.0;1.0;0.0;3.0;1.0;0.0;0.0;11.0;8.0;1.0;6.0;1.0;11.0;11.0;0.0;0.0;1.0;0.0;0.0;2.0;0.0;0.0;6.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0
6;Totaal grootteklassen;Totaal Nederland;Gezinsbedrijf;1992;3997;7.4;2.7;4.8;3467.0;3051.0;372.0;45.0;574.0;534.0;39.0;463.0;93.0;141.0;229.0;-24.0;-26.0;2.0;0.0;87.0;150.0;129.0;21.0;534.0;479.0;55.0;39.0;0.0;26.0;1.0;1.0;11.0;93.0;62.0;5.0;20.0;19.0;18.0;10.0;22.0;141.0;103.0;33.0;5.0;229.0;24.0;21.0;1.0;1.0;1.0;1.0;99.0;4.0;5.0;3.0;49.0;9.0;-4.0;1.0;33.0;104.0;5.0;95.0;4.0;150.0;129.0;4.0;1.0;6.0;1.0;5.0;20.0;2.0;1.0;87.0;1.0;2.0;0.0;21.0;0.0;0.0;0.0;0.0;2.0;5.0;0.0;0.0;12.0;0.0;0.0;0.0;17.0;1.0;0.0;0.0;0.0;1.0;4.0;0.0;0.0;11.0;0.0;0.0;0.0
7;Totaal grootteklassen;Totaal Nederland;Gezinsbedrijf;1995;4076;9.7;4.0;5.8;4912.0;4437.0;426.0;56.0;836.0;748.0;88.0;671.0;153.0;193.0;325.0;-26.0;-28.0;2.0;0.0;140.0;202.0;167.0;35.0;748.0;607.0;142.0;88.0;0.0;48.0;2.0;2.0;36.0;153.0;84.0;7.0;24.0;26.0;27.0;29.0;40.0;193.0;146.0;39.0;9.0;325.0;33.0;30.0;1.0;2.0;1.0;4.0;147.0;5.0;9.0;4.0;73.0;14.0;-6.0;2.0;46.0;140.0;9.0;126.0;5.0;202.0;167.0;5.0;2.0;9.0;2.0;7.0;28.0;4.0;1.0;107.0;1.0;2.0;1.0;35.0;1.0;1.0;2.0;0.0;3.0;7.0;1.0;0.0;19.0;0.0;0.0;0.0;30.0;1.0;1.0;1.0;0.0;1.0;5.0;0.0;0.0;19.0;0.0;0.0;0.0
8;Totaal grootteklassen;Totaal Nederland;Gezinsbedrijf;1998;4843;10.8;5.7;5.1;5892.0;5479.0;365.0;53.0;901.0;822.0;79.0;717.0;174.0;201.0;343.0;-21.0;-26.0;5.0;0.0;163.0;228.0;189.0;39.0;822.0;607.0;215.0;79.0;0.0;36.0;2.0;2.0;38.0;174.0;89.0;6.0;25.0;23.0;35.0;29.0;56.0;201.0;148.0;44.0;8.0;343.0;36.0;31.0;1.0;2.0;1.0;6.0;154.0;5.0;9.0;5.0;70.0;15.0;-5.0;2.0;53.0;147.0;10.0;130.0;6.0;228.0;189.0;6.0;2.0;11.0;2.0;10.0;31.0;6.0;1.0;115.0;2.0;4.0;0.0;39.0;0.0;1.0;1.0;0.0;3.0;7.0;1.0;0.0;26.0;0.0;0.0;0.0;31.0;1.0;0.0;0.0;1.0;2.0;7.0;1.0;0.0;19.0;0.0;1.0;0.0
9;Totaal grootteklassen;Totaal Nederland;NV of BV;1992;536;3.0;1.8;1.2;1.0;1.0;0.0;0.0;214.0;200.0;14.0;199.0;50.0;71.0;78.0;-7.0;-7.0;1.0;0.0;8.0;39.0;37.0;3.0;200.0;172.0;28.0;14.0;0.0;6.0;0.0;0.0;7.0;50.0;33.0;3.0;12.0;7.0;11.0;5.0;13.0;71.0;53.0;14.0;3.0;78.0;8.0;6.0;0.0;0.0;1.0;1.0;37.0;2.0;4.0;1.0;15.0;3.0;0.0;0.0;11.0;32.0;2.0;29.0;1.0;39.0;37.0;1.0;0.0;1.0;1.0;1.0;5.0;2.0;0.0;24.0;1.0;1.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;4.0;0.0;0.0;0.0
10;Totaal grootteklassen;Totaal Nederland;NV of BV;1995;630;5.2;2.9;2.4;6.0;6.0;0.0;0.0;352.0;298.0;54.0;325.0;87.0;113.0;125.0;-9.0;-8.0;0.0;-1.0;18.0;67.0;60.0;7.0;298.0;228.0;70.0;54.0;0.0;15.0;3.0;1.0;35.0;87.0;39.0;2.0;12.0;7.0;18.0;14.0;35.0;113.0;87.0;20.0;6.0;125.0;12.0;10.0;1.0;1.0;1.0;8.0;61.0;4.0;7.0;1.0;23.0;4.0;0.0;1.0;20.0;44.0;3.0;39.0;2.0;67.0;60.0;1.0;0.0;3.0;0.0;3.0;8.0;2.0;0.0;39.0;1.0;2.0;0.0;7.0;0.0;0.0;2.0;0.0;1.0;1.0;0.0;0.0;3.0;0.0;0.0;0.0;12.0;0.0;0.0;0.0;0.0;1.0;2.0;0.0;0.0;8.0;0.0;0.0;0.0
11;Totaal grootteklassen;Totaal Nederland;NV of BV;1998;738;8.9;5.0;3.9;25.0;25.0;0.0;0.0;562.0;472.0;90.0;513.0;138.0;191.0;183.0;-12.0;-11.0;2.0;-3.0;37.0;92.0;85.0;7.0;472.0;308.0;163.0;90.0;0.0;23.0;2.0;2.0;64.0;138.0;65.0;2.0;11.0;8.0;43.0;37.0;36.0;191.0;147.0;34.0;10.0;183.0;16.0;13.0;1.0;2.0;1.0;10.0;94.0;8.0;8.0;2.0;34.0;6.0;0.0;1.0;36.0;63.0;4.0;56.0;3.0;92.0;85.0;2.0;0.0;6.0;3.0;5.0;12.0;2.0;1.0;52.0;1.0;2.0;0.0;7.0;2.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;3.0;0.0;0.0;0.0;19.0;1.0;0.0;0.0;0.0;1.0;3.0;0.0;0.0;10.0;0.0;1.0;2.0
12;Totaal grootteklassen;Totaal Nederland;Andere rechtsvormen;1992;72;0.1;0.0;0.1;27.0;26.0;1.0;0.0;9.0;8.0;1.0;8.0;1.0;2.0;4.0;-1.0;-1.0;0.0;0.0;1.0;3.0;3.0;0.0;8.0;7.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;2.0;2.0;1.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;2.0;0.0;2.0;0.0;3.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
13;Totaal grootteklassen;Totaal Nederland;Andere rechtsvormen;1995;77;0.7;0.3;0.4;96.0;88.0;8.0;0.0;39.0;28.0;11.0;37.0;9.0;16.0;12.0;2.0;-1.0;3.0;0.0;4.0;14.0;13.0;0.0;28.0;25.0;3.0;11.0;1.0;2.0;0.0;0.0;8.0;9.0;3.0;0.0;1.0;0.0;2.0;0.0;6.0;16.0;13.0;2.0;1.0;12.0;1.0;1.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;2.0;5.0;0.0;4.0;1.0;14.0;13.0;2.0;0.0;2.0;0.0;0.0;2.0;1.0;0.0;7.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0
