ID;SoortRijksmonument;RegioS;Perioden;Rijksmonumenten_1
0;Rijksmonumenten totaal;Nederland;1965;1836
1;Rijksmonumenten totaal;Nederland;1966;9663
2;Rijksmonumenten totaal;Nederland;1967;16142
3;Rijksmonumenten totaal;Nederland;1968;19492
4;Rijksmonumenten totaal;Nederland;1969;21303
5;Rijksmonumenten totaal;Nederland;1970;29025
6;Rijksmonumenten totaal;Nederland;1971;32227
7;Rijksmonumenten totaal;Nederland;1972;33932
8;Rijksmonumenten totaal;Nederland;1973;36881
9;Rijksmonumenten totaal;Nederland;1974;37901
10;Rijksmonumenten totaal;Nederland;1975;38844
11;Rijksmonumenten totaal;Nederland;1976;39892
12;Rijksmonumenten totaal;Nederland;1977;40332
13;Rijksmonumenten totaal;Nederland;1978;40840
14;Rijksmonumenten totaal;Nederland;1979;41180
15;Rijksmonumenten totaal;Nederland;1980;41569
16;Rijksmonumenten totaal;Nederland;1981;41767
17;Rijksmonumenten totaal;Nederland;1982;41982
18;Rijksmonumenten totaal;Nederland;1983;42198
19;Rijksmonumenten totaal;Nederland;1984;42595
20;Rijksmonumenten totaal;Nederland;1985;42893
21;Rijksmonumenten totaal;Nederland;1986;43070
22;Rijksmonumenten totaal;Nederland;1987;43167
23;Rijksmonumenten totaal;Nederland;1988;43311
24;Rijksmonumenten totaal;Nederland;1989;43380
25;Rijksmonumenten totaal;Nederland;1990;43500
26;Rijksmonumenten totaal;Nederland;1991;43736
27;Rijksmonumenten totaal;Nederland;1992;44088
28;Rijksmonumenten totaal;Nederland;1993;44531
29;Rijksmonumenten totaal;Nederland;1994;45175
30;Rijksmonumenten totaal;Nederland;1995;45645
31;Rijksmonumenten totaal;Nederland;1996;46065
32;Rijksmonumenten totaal;Nederland;1997;47184
33;Rijksmonumenten totaal;Nederland;1998;48418
34;Rijksmonumenten totaal;Nederland;1999;50221
35;Rijksmonumenten totaal;Nederland;2000;52024
36;Rijksmonumenten totaal;Nederland;2001;55432
37;Rijksmonumenten totaal;Nederland;2002;59339
38;Rijksmonumenten totaal;Nederland;2003;60048
39;Rijksmonumenten totaal;Nederland;2004;61076
40;Rijksmonumenten totaal;Nederland;2005;61893
41;Rijksmonumenten totaal;Nederland;2006;62673
42;Rijksmonumenten totaal;Nederland;2007;62960
43;Rijksmonumenten totaal;Nederland;2008;63100
44;Rijksmonumenten totaal;Nederland;2009;63183
45;Rijksmonumenten totaal;Nederland;2010;63479
46;Rijksmonumenten totaal;Nederland;2011;63710
47;Rijksmonumenten totaal;Nederland;2012;63971
48;Rijksmonumenten totaal;Nederland;2013;63161
49;Rijksmonumenten totaal;Nederland;2014;63201
50;Rijksmonumenten totaal;Nederland;2015;63283
51;Rijksmonumenten totaal;Nederland;2016;63406
52;Rijksmonumenten totaal;Nederland;2017;63424
53;Rijksmonumenten totaal;Nederland;2018;63366
54;Rijksmonumenten totaal;Nederland;2019;63322
55;Rijksmonumenten totaal;Nederland;2020;63273
56;Rijksmonumenten totaal;Nederland;2021;63276
57;Rijksmonumenten totaal;Nederland;2022;63241
58;Rijksmonumenten totaal;Noord-Nederland (LD);1965;409
59;Rijksmonumenten totaal;Noord-Nederland (LD);1966;924
60;Rijksmonumenten totaal;Noord-Nederland (LD);1967;1686
61;Rijksmonumenten totaal;Noord-Nederland (LD);1968;2406
62;Rijksmonumenten totaal;Noord-Nederland (LD);1969;2414
63;Rijksmonumenten totaal;Noord-Nederland (LD);1970;2722
64;Rijksmonumenten totaal;Noord-Nederland (LD);1971;3599
65;Rijksmonumenten totaal;Noord-Nederland (LD);1972;3823
66;Rijksmonumenten totaal;Noord-Nederland (LD);1973;4317
67;Rijksmonumenten totaal;Noord-Nederland (LD);1974;4378
68;Rijksmonumenten totaal;Noord-Nederland (LD);1975;4683
69;Rijksmonumenten totaal;Noord-Nederland (LD);1976;4856
70;Rijksmonumenten totaal;Noord-Nederland (LD);1977;4918
71;Rijksmonumenten totaal;Noord-Nederland (LD);1978;5015
72;Rijksmonumenten totaal;Noord-Nederland (LD);1979;5091
73;Rijksmonumenten totaal;Noord-Nederland (LD);1980;5135
74;Rijksmonumenten totaal;Noord-Nederland (LD);1981;5171
75;Rijksmonumenten totaal;Noord-Nederland (LD);1982;5232
76;Rijksmonumenten totaal;Noord-Nederland (LD);1983;5318
77;Rijksmonumenten totaal;Noord-Nederland (LD);1984;5353
78;Rijksmonumenten totaal;Noord-Nederland (LD);1985;5428
79;Rijksmonumenten totaal;Noord-Nederland (LD);1986;5456
80;Rijksmonumenten totaal;Noord-Nederland (LD);1987;5469
81;Rijksmonumenten totaal;Noord-Nederland (LD);1988;5492
82;Rijksmonumenten totaal;Noord-Nederland (LD);1989;5519
83;Rijksmonumenten totaal;Noord-Nederland (LD);1990;5539
84;Rijksmonumenten totaal;Noord-Nederland (LD);1991;5596
85;Rijksmonumenten totaal;Noord-Nederland (LD);1992;5617
86;Rijksmonumenten totaal;Noord-Nederland (LD);1993;5640
87;Rijksmonumenten totaal;Noord-Nederland (LD);1994;5979
88;Rijksmonumenten totaal;Noord-Nederland (LD);1995;6337
89;Rijksmonumenten totaal;Noord-Nederland (LD);1996;6394
90;Rijksmonumenten totaal;Noord-Nederland (LD);1997;6579
91;Rijksmonumenten totaal;Noord-Nederland (LD);1998;6860
92;Rijksmonumenten totaal;Noord-Nederland (LD);1999;7263
93;Rijksmonumenten totaal;Noord-Nederland (LD);2000;7490
94;Rijksmonumenten totaal;Noord-Nederland (LD);2001;8162
95;Rijksmonumenten totaal;Noord-Nederland (LD);2002;8240
96;Rijksmonumenten totaal;Noord-Nederland (LD);2003;8366
97;Rijksmonumenten totaal;Noord-Nederland (LD);2004;8450
98;Rijksmonumenten totaal;Noord-Nederland (LD);2005;8555
99;Rijksmonumenten totaal;Noord-Nederland (LD);2006;8579
100;Rijksmonumenten totaal;Noord-Nederland (LD);2007;8589
101;Rijksmonumenten totaal;Noord-Nederland (LD);2008;8588
102;Rijksmonumenten totaal;Noord-Nederland (LD);2009;8586
103;Rijksmonumenten totaal;Noord-Nederland (LD);2010;8592
104;Rijksmonumenten totaal;Noord-Nederland (LD);2011;8598
105;Rijksmonumenten totaal;Noord-Nederland (LD);2012;8595
106;Rijksmonumenten totaal;Noord-Nederland (LD);2013;8509
107;Rijksmonumenten totaal;Noord-Nederland (LD);2014;8503
108;Rijksmonumenten totaal;Noord-Nederland (LD);2015;8494
109;Rijksmonumenten totaal;Noord-Nederland (LD);2016;8492
110;Rijksmonumenten totaal;Noord-Nederland (LD);2017;8487
111;Rijksmonumenten totaal;Noord-Nederland (LD);2018;8481
112;Rijksmonumenten totaal;Noord-Nederland (LD);2019;8474
113;Rijksmonumenten totaal;Noord-Nederland (LD);2020;8464
114;Rijksmonumenten totaal;Noord-Nederland (LD);2021;8460
115;Rijksmonumenten totaal;Noord-Nederland (LD);2022;8455
116;Rijksmonumenten totaal;Oost-Nederland (LD);1965;448
117;Rijksmonumenten totaal;Oost-Nederland (LD);1966;1354
118;Rijksmonumenten totaal;Oost-Nederland (LD);1967;1921
119;Rijksmonumenten totaal;Oost-Nederland (LD);1968;2488
120;Rijksmonumenten totaal;Oost-Nederland (LD);1969;2539
121;Rijksmonumenten totaal;Oost-Nederland (LD);1970;2882
122;Rijksmonumenten totaal;Oost-Nederland (LD);1971;4167
123;Rijksmonumenten totaal;Oost-Nederland (LD);1972;4770
124;Rijksmonumenten totaal;Oost-Nederland (LD);1973;5379
125;Rijksmonumenten totaal;Oost-Nederland (LD);1974;5477
126;Rijksmonumenten totaal;Oost-Nederland (LD);1975;5613
127;Rijksmonumenten totaal;Oost-Nederland (LD);1976;5759
128;Rijksmonumenten totaal;Oost-Nederland (LD);1977;5869
129;Rijksmonumenten totaal;Oost-Nederland (LD);1978;6016
130;Rijksmonumenten totaal;Oost-Nederland (LD);1979;6053
131;Rijksmonumenten totaal;Oost-Nederland (LD);1980;6145
132;Rijksmonumenten totaal;Oost-Nederland (LD);1981;6194
133;Rijksmonumenten totaal;Oost-Nederland (LD);1982;6232
134;Rijksmonumenten totaal;Oost-Nederland (LD);1983;6255
135;Rijksmonumenten totaal;Oost-Nederland (LD);1984;6274
136;Rijksmonumenten totaal;Oost-Nederland (LD);1985;6306
137;Rijksmonumenten totaal;Oost-Nederland (LD);1986;6346
138;Rijksmonumenten totaal;Oost-Nederland (LD);1987;6372
139;Rijksmonumenten totaal;Oost-Nederland (LD);1988;6393
140;Rijksmonumenten totaal;Oost-Nederland (LD);1989;6389
141;Rijksmonumenten totaal;Oost-Nederland (LD);1990;6389
142;Rijksmonumenten totaal;Oost-Nederland (LD);1991;6429
143;Rijksmonumenten totaal;Oost-Nederland (LD);1992;6471
144;Rijksmonumenten totaal;Oost-Nederland (LD);1993;6519
145;Rijksmonumenten totaal;Oost-Nederland (LD);1994;6606
146;Rijksmonumenten totaal;Oost-Nederland (LD);1995;6623
147;Rijksmonumenten totaal;Oost-Nederland (LD);1996;6626
148;Rijksmonumenten totaal;Oost-Nederland (LD);1997;6814
149;Rijksmonumenten totaal;Oost-Nederland (LD);1998;6950
