ID;Partij;GeldigeStemmen_1;InVanTotaalGeldigeStemmen_2;Totaal_3;Mannen_4;Vrouwen_5
0;Totaal;8981556;100.0;150;101;47
1;1;5196;0.1;0;0;0
2;2;326401;3.6;6;4;2
3;3;220734;2.5;3;2;1
4;4;1996418;22.2;34;25;9
5;5;32327;0.4;0;0;0
6;6;1391202;15.5;24;13;11
7;7;13902;0.2;0;0;0
8;8;6825;0.1;0;0;0
9;9;311399;3.5;5;2;3
10;GPV;119158;1.3;2;2;0
11;LP;2754;0.0;0;0;0
12;NCPN;11630;0.1;0;0;0
13;NWP;27665;0.3;0;0;0
14;PDA;4845;0.1;0;0;0
15;PMR;8716;0.1;0;0;0
16;PSP92;7385;0.1;0;0;0
17;PvdA;2153135;24.0;37;26;11
18;RPF;158705;1.8;3;3;0
19;S93;7919;0.1;0;0;0
20;SAP;4347;0.0;0;0;0
21;SBP;9096;0.1;0;0;0
22;SGP;155251;1.7;2;0;0
23;SP;118768;1.3;2;2;0
24;U55;78147;0.9;1;1;0
25;VIP;17230;0.2;0;0;0
26;VVD;1792401;20.0;31;21;10
