ID;SBI;Grootteklasse;WerkzamePersonen_1;FullTimeWerknemers_2;Werknemers_3;PartTimeWerknemers_4;EigenarenGezinsledenFirmanten_5;Uitzendkrachten_6;OverigIngeleendPersoneel_7;UitgeleendPersoneel_8
54;6110 Zeevaartbedrijven;100 en meer werknemers;53.0;50.0;97.3;3.0;0.0;1.2;2.3;0.8
55;6120 Binnenvaartbedrijven, totaal;Alle bedrijven;135.0;61.0;51.6;8.3;44.6;2.6;1.4;0.3
56;6120 Binnenvaartbedrijven, totaal;0 tot 10 werknemers;91.0;23.0;30.9;6.9;65.8;1.6;2.0;0.4
57;6120 Binnenvaartbedrijven, totaal;10 en meer werknemers;44.0;38.0;94.4;11.2;0.7;4.7;0.3;0.0
58;6120 Binnenvaartbedrijven, totaal;10 tot 100 werknemers;;;;;;;;
59;6120 Binnenvaartbedrijven, totaal;100 en meer werknemers;;;;;;;;
60;61201 Vrachtvaart;Alle bedrijven;70.0;17.0;25.6;2.7;72.0;1.2;1.4;0.3
61;61201 Vrachtvaart;0 tot 10 werknemers;;;;;;;;
62;61201 Vrachtvaart;10 en meer werknemers;;;;;;;;
63;61201 Vrachtvaart;10 tot 100 werknemers;;;;;;;;
64;61201 Vrachtvaart;100 en meer werknemers;;;;;;;;
65;61202 Tankvaart;Alle bedrijven;20.0;17.0;87.5;4.0;7.4;2.4;2.7;0.0
66;61202 Tankvaart;0 tot 10 werknemers;;;;;;;;
67;61202 Tankvaart;10 en meer werknemers;;;;;;;;
68;61202 Tankvaart;10 tot 100 werknemers;;;;;;;;
69;61202 Tankvaart;100 en meer werknemers;;;;;;;;
70;61203 Sleep- en duwvaart;Alle bedrijven;13.0;9.0;71.6;2.9;26.5;0.3;1.6;0.0
71;61203 Sleep- en duwvaart;0 tot 10 werknemers;;;;;;;;
72;61203 Sleep- en duwvaart;10 en meer werknemers;;;;;;;;
73;61203 Sleep- en duwvaart;10 tot 100 werknemers;;;;;;;;
74;61203 Sleep- en duwvaart;100 en meer werknemers;;;;;;;;
75;61204 Passagiersvaart en veerdiensten;Alle bedrijven;32.0;18.0;78.2;25.6;14.9;6.8;0.5;0.3
76;61204 Passagiersvaart en veerdiensten;0 tot 10 werknemers;;;;;;;;
77;61204 Passagiersvaart en veerdiensten;10 en meer werknemers;;;;;;;;
78;61204 Passagiersvaart en veerdiensten;10 tot 100 werknemers;;;;;;;;
79;61204 Passagiersvaart en veerdiensten;100 en meer werknemers;;;;;;;;
80;6322 Dienstverl. tbv vervoer over water;Alle bedrijven;42.0;26.0;63.9;4.7;28.9;3.2;4.1;0.2
81;6322 Dienstverl. tbv vervoer over water;0 tot 10 werknemers;;;;;;;;
82;6322 Dienstverl. tbv vervoer over water;10 en meer werknemers;;;;;;;;
83;6322 Dienstverl. tbv vervoer over water;10 tot 100 werknemers;;;;;;;;
84;6322 Dienstverl. tbv vervoer over water;100 en meer werknemers;;;;;;;;
85;6200 Luchtvaartbedrijven;Alle bedrijven;361.0;329.0;92.9;0.3;0.0;4.6;2.4;0.0
86;6200 Luchtvaartbedrijven;0 tot 10 werknemers;;;;;;;;
87;6200 Luchtvaartbedrijven;10 en meer werknemers;;;;;;;;
88;6200 Luchtvaartbedrijven;10 tot 100 werknemers;;;;;;;;
89;6200 Luchtvaartbedrijven;100 en meer werknemers;;;;;;;;
90;6323 Luchthavens e.d.;Alle bedrijven;37.0;32.0;91.0;9.1;0.1;1.9;7.6;0.6
91;6323 Luchthavens e.d.;0 tot 10 werknemers;;;;;;;;
92;6323 Luchthavens e.d.;10 en meer werknemers;;;;;;;;
93;6323 Luchthavens e.d.;10 tot 100 werknemers;;;;;;;;
94;6323 Luchthavens e.d.;100 en meer werknemers;;;;;;;;
95;6311 Laad-, los- en overslagbedrijven;Alle bedrijven;112.0;90.0;87.9;8.3;1.2;3.4;8.7;1.2
96;6311 Laad-, los- en overslagbedrijven;0 tot 10 werknemers;13.0;8.0;69.7;7.9;9.4;11.7;11.2;1.9
97;6311 Laad-, los- en overslagbedrijven;10 en meer werknemers;;;;;;;;
98;6311 Laad-, los- en overslagbedrijven;10 tot 100 werknemers;40.0;30.0;91.2;18.5;0.3;4.5;5.0;0.9
99;6311 Laad-, los- en overslagbedrijven;100 en meer werknemers;59.0;52.0;89.6;1.5;0.0;0.9;10.7;1.3
100;6312 Opslagbedrijven;Alle bedrijven;119.0;90.0;82.0;8.1;2.1;14.6;2.0;0.6
101;6312 Opslagbedrijven;0 tot 10 werknemers;14.0;9.0;75.9;10.0;15.6;4.6;8.6;4.7
102;6312 Opslagbedrijven;10 en meer werknemers;;;;;;;;
103;6312 Opslagbedrijven;10 tot 100 werknemers;47.0;33.0;81.3;12.4;0.7;16.1;2.1;0.2
104;6312 Opslagbedrijven;100 en meer werknemers;58.0;48.0;84.1;4.2;0.0;15.7;0.3;0.0
105;63401 Expediteurs,cargadoors,bevrachters;Alle bedrijven;259.0;211.0;88.3;9.6;2.4;8.3;2.1;1.0
106;63401 Expediteurs,cargadoors,bevrachters;0 tot 10 werknemers;50.0;36.0;82.0;13.1;12.2;2.2;3.8;0.2
107;63401 Expediteurs,cargadoors,bevrachters;10 en meer werknemers;;;;;;;;
108;63401 Expediteurs,cargadoors,bevrachters;10 tot 100 werknemers;102.0;88.0;92.9;9.0;0.2;6.1;3.2;2.4
109;63401 Expediteurs,cargadoors,bevrachters;100 en meer werknemers;108.0;87.0;86.8;8.6;0.0;13.1;0.1;0.1
110;63402 Wegings- en metingsbedrijven;Alle bedrijven;10.0;7.0;84.0;9.6;12.3;2.4;1.3;0.0
111;63402 Wegings- en metingsbedrijven;0 tot 10 werknemers;4.0;2.0;61.6;8.8;31.6;4.1;2.7;0.0
112;63402 Wegings- en metingsbedrijven;10 en meer werknemers;6.0;5.0;97.2;10.0;0.9;1.4;0.5;0.0
113;63402 Wegings- en metingsbedrijven;10 tot 100 werknemers;;;;;;;;
114;63402 Wegings- en metingsbedrijven;100 en meer werknemers;;;;;;;;
115;63301 Reisorganisatie (touroperators);Alle bedrijven;83.0;63.0;88.3;17.8;6.8;3.0;2.0;0.1
116;63301 Reisorganisatie (touroperators);0 tot 10 werknemers;18.0;8.0;55.2;18.2;31.3;4.8;9.0;0.3
117;63301 Reisorganisatie (touroperators);10 en meer werknemers;;;;;;;;
118;63301 Reisorganisatie (touroperators);10 tot 100 werknemers;23.0;17.0;94.3;28.6;0.7;4.7;0.3;0.0
119;63301 Reisorganisatie (touroperators);100 en meer werknemers;43.0;38.0;98.6;12.1;0.0;1.4;0.0;0.0
120;63302 Reisbemiddeling (reisbureaus);Alle bedrijven;107.0;72.0;85.5;24.2;9.4;4.9;0.7;0.4
121;63302 Reisbemiddeling (reisbureaus);0 tot 10 werknemers;32.0;17.0;67.2;24.9;30.2;1.0;1.9;0.4
122;63302 Reisbemiddeling (reisbureaus);10 en meer werknemers;;;;;;;;
123;63302 Reisbemiddeling (reisbureaus);10 tot 100 werknemers;26.0;18.0;97.5;35.0;1.1;2.2;0.1;1.0
124;63302 Reisbemiddeling (reisbureaus);100 en meer werknemers;48.0;36.0;91.0;17.9;0.0;8.8;0.1;0.0
125;63303 Info verstrekking tbv toerisme;Alle bedrijven;39.0;27.0;93.1;35.5;2.2;1.5;3.5;0.3
126;63303 Info verstrekking tbv toerisme;0 tot 10 werknemers;20.0;13.0;89.9;43.0;4.3;1.5;4.4;0.1
127;63303 Info verstrekking tbv toerisme;10 en meer werknemers;19.0;15.0;96.3;27.8;0.0;1.6;2.6;0.6
128;63303 Info verstrekking tbv toerisme;10 tot 100 werknemers;;;;;;;;
129;63303 Info verstrekking tbv toerisme;100 en meer werknemers;;;;;;;;
