ID;Perioden;TotaalUitgavenEigenRD_1;Totaal_2;BrutoLoonkosten_3;OverigeExploitatiekosten_4;Totaal_5;Gebouwen_6;OverigeInvesteringen_7;Totaal_8;Onderzoekers_9;OverigPersoneel_10;Totaal_11;Onderzoekers_12;OverigPersoneel_13;ArbeidsjarenTotaal_14;Onderzoekers_15;OverigPersoneel_16
0;1999;2012;1848;1102;745;165;109;56;29.4;17.4;12.0;11.3;4.0;7.3;24.0;14.5;9.5
1;2000;2213;2043;1221;822;170;111;59;31.5;18.0;13.5;12.4;4.6;7.8;25.6;14.9;10.7
2;2001;2462;2211;1313;898;251;186;65;32.6;18.7;13.9;12.9;4.8;8.1;26.4;15.5;10.9
3;2002;2684;2357;1433;924;327;252;76;32.9;19.2;13.7;13.3;5.2;8.1;26.9;16.0;10.9
4;2003;2761;2481;1536;945;280;218;63;33.8;19.6;14.2;13.8;5.5;8.2;27.5;16.3;11.2
5;2004;2810;2572;1614;958;237;176;61;34.6;20.5;14.1;14.3;5.9;8.4;28.4;17.1;11.2
6;2005;3021;2743;1674;1069;278;212;67;34.2;20.6;13.6;14.4;6.2;8.2;28.9;17.7;11.2
7;2006;3120;2809;1663;1146;312;214;97;33.9;20.8;13.2;14.5;6.3;8.2;28.6;17.9;10.7
8;2007;3256;2899;1676;1223;357;258;99;33.9;21.1;12.8;14.7;6.4;8.3;28.6;18.2;10.5
9;2008;3489;3082;1851;1231;407;324;83;34.2;21.3;12.8;15.1;6.8;8.3;29.1;18.5;10.6
10;2009;3711;3316;2012;1304;395;314;81;34.5;21.8;12.8;15.5;7.1;8.4;29.5;19.0;10.6
11;2010;3691;3389;2111;1278;302;228;73;35.3;22.6;12.7;16.0;9.3;6.7;30.2;19.4;10.8
12;2011;3994;3638;2243;1396;356;289;67;37.6;24.4;13.2;17.1;9.9;7.1;32.2;21.0;11.2
13;2012;3953;3656;2278;1378;297;236;61;37.3;24.4;12.9;17.1;10.0;7.1;32.0;21.0;11.0
14;2013;4092;3749;2344;1405;343;284;59;37.6;24.6;13.0;17.4;10.2;7.3;32.3;21.2;11.1
15;2014;4262;3869;2456;1413;393;326;67;38.7;25.4;13.3;18.0;10.6;7.4;33.2;21.9;11.3
16;2015;4393;4036;2543;1493;357;282;76;39.0;25.8;13.2;18.3;10.9;7.4;33.6;22.3;11.3
17;2016;4304;4039;2588;1452;265;192;72;38.4;25.6;12.9;18.3;10.9;7.4;33.3;22.2;11.1
18;2017;4506;4175;2724;1451;331;252;79;39.5;26.1;13.4;19.0;11.3;7.7;34.4;22.8;11.6
19;2018;4581;4297;2808;1488;284;199;85;39.9;26.3;13.6;19.5;11.5;7.9;34.7;23.0;11.7
20;2019;4900;4565;3020;1545;335;240;95;42.1;27.8;14.4;20.5;12.1;8.4;36.0;23.8;12.2
