ID;Huishoudenssamenstelling;Postcode;Perioden;ParticuliereHuishoudens_1;GemiddeldeHuishoudensgrootte_2
0;Totaal particuliere huishoudens;Nederland;1998;6655891.0;2.32
1;Totaal particuliere huishoudens;Nederland;1999;6745411.0;2.3
2;Totaal particuliere huishoudens;Nederland;2000;6801008.0;2.3
3;Totaal particuliere huishoudens;Nederland;2001;6866954.0;2.3
4;Totaal particuliere huishoudens;Nederland;2002;6934263.0;2.29
5;Totaal particuliere huishoudens;Nederland;2003;6995724.0;2.28
6;Totaal particuliere huishoudens;Nederland;2004;7049280.0;2.28
7;Totaal particuliere huishoudens;Nederland;2005;7090965.0;2.27
8;Totaal particuliere huishoudens;Nederland;2006;7146088.0;2.26
9;Totaal particuliere huishoudens;Nederland;2007;7190543.0;2.25
10;Totaal particuliere huishoudens;Nederland;2008;7242202.0;2.24
11;Totaal particuliere huishoudens;Nederland;2009;7312579.0;2.23
12;Totaal particuliere huishoudens;Nederland;2010;7386144.0;2.22
13;Totaal particuliere huishoudens;Nederland;2011;7443801.0;2.21
14;Totaal particuliere huishoudens;Nederland;2012;7512824.0;2.2
15;Totaal particuliere huishoudens;Nederland;2013;7569371.0;2.19
16;Totaal particuliere huishoudens;Nederland;2014;7590228.0;2.18
17;Totaal particuliere huishoudens;Nederland;2015;7665198.0;2.17
18;Totaal particuliere huishoudens;Nederland;2016;7720787.0;2.17
19;Totaal particuliere huishoudens;Nederland;2017;7794075.0;2.16
20;Totaal particuliere huishoudens;Nederland;2018;7857914.0;2.15
21;Totaal particuliere huishoudens;Nederland;2019;7924691.0;2.15
22;Totaal particuliere huishoudens;Nederland;2020;7997800.0;2.14
23;Totaal particuliere huishoudens;Nederland;2021;8043443.0;2.14
24;Totaal particuliere huishoudens;Nederland;2022;8138591.0;2.13
25;Totaal particuliere huishoudens;Nederland;2023;8270244.0;2.12
26;Totaal particuliere huishoudens;Nederland;2024;8374404.0;2.11
27;Totaal particuliere huishoudens;Niet in te delen;1998;4780.0;1.61
28;Totaal particuliere huishoudens;Niet in te delen;1999;5935.0;1.68
29;Totaal particuliere huishoudens;Niet in te delen;2000;4295.0;1.79
30;Totaal particuliere huishoudens;Niet in te delen;2001;3925.0;2.22
31;Totaal particuliere huishoudens;Niet in te delen;2002;3285.0;1.83
32;Totaal particuliere huishoudens;Niet in te delen;2003;3050.0;1.91
33;Totaal particuliere huishoudens;Niet in te delen;2004;3135.0;1.84
34;Totaal particuliere huishoudens;Niet in te delen;2005;3270.0;1.94
35;Totaal particuliere huishoudens;Niet in te delen;2006;3280.0;1.95
36;Totaal particuliere huishoudens;Niet in te delen;2007;2615.0;2.1
37;Totaal particuliere huishoudens;Niet in te delen;2008;2415.0;2.22
38;Totaal particuliere huishoudens;Niet in te delen;2009;2180.0;2.28
39;Totaal particuliere huishoudens;Niet in te delen;2010;2460.0;1.48
40;Totaal particuliere huishoudens;Niet in te delen;2011;1555.0;1.57
41;Totaal particuliere huishoudens;Niet in te delen;2012;835.0;1.62
42;Totaal particuliere huishoudens;Niet in te delen;2013;725.0;1.62
43;Totaal particuliere huishoudens;Niet in te delen;2014;1660.0;1.26
44;Totaal particuliere huishoudens;Niet in te delen;2015;1165.0;1.45
45;Totaal particuliere huishoudens;Niet in te delen;2016;1075.0;1.45
46;Totaal particuliere huishoudens;Niet in te delen;2017;890.0;1.32
47;Totaal particuliere huishoudens;Niet in te delen;2018;720.0;1.53
48;Totaal particuliere huishoudens;Niet in te delen;2019;1335.0;1.37
49;Totaal particuliere huishoudens;Niet in te delen;2020;1500.0;1.35
50;Totaal particuliere huishoudens;Niet in te delen;2021;2000.0;1.27
