ID;BedrijfstakkenBranchesSBI2008;LandVanZeggenschap;Perioden;AantalBedrijven_1;Omzet_2;Productiewaarde_3;ToegevoegdeWaardeTegenFactorkosten_4;TotaleAankoopVanGoederenEnDiensten_5;AankoopVanGoederenEnDiensten_6;Personeelskosten_7;BrutoInvesteringenInMateriele_8;AantalWerkzamePersonen_9;TotaleOOUitgavenBinnenshuis_10;TotaalAantalOOWerknemers_11
0;B-S exclusief O en exclusief S94;Totaal landen;2021;2052685.0;2171966.0;1531556.0;813757.0;1570521.0;830011.0;326546.0;76111.0;8287.0;;
1;B-S exclusief O en exclusief S94;Totaal landen;2022;2204280.0;2616847.0;1575398.0;686974.0;1937247.0;1031237.0;358496.0;86518.0;8562.0;;
2;B-S exclusief O en exclusief S94;Binnenland;2021;2035175.0;1331841.0;1096161.0;664917.0;861980.0;422660.0;250920.0;55187.0;7087.0;;
3;B-S exclusief O en exclusief S94;Binnenland;2022;2186150.0;1543479.0;1018801.0;504366.0;1029184.0;508313.0;273244.0;62105.0;7259.0;;
4;B-S exclusief O en exclusief S94;Buitenland;2021;17510.0;840126.0;435395.0;148840.0;708541.0;407351.0;75626.0;20924.0;1199.0;;
5;B-S exclusief O en exclusief S94;Buitenland;2022;18130.0;1073368.0;556597.0;182609.0;908063.0;522924.0;85252.0;24412.0;1304.0;;
6;B-S exclusief O en exclusief S94;In gelijke mate gedeeld zeggenschap;2021;10.0;616.0;615.0;131.0;485.0;1.0;62.0;5.0;1.0;;
7;B-S exclusief O en exclusief S94;In gelijke mate gedeeld zeggenschap;2022;5.0;237.0;244.0;97.0;150.0;2.0;33.0;;0.0;;
8;B-S exclusief O en exclusief S94;Europese Unie;2021;8135.0;242253.0;136906.0;56606.0;187920.0;105736.0;31607.0;9935.0;543.0;;
9;B-S exclusief O en exclusief S94;Europese Unie;2022;8485.0;315881.0;179287.0;71315.0;249382.0;137375.0;36089.0;11462.0;620.0;;
10;B-S exclusief O en exclusief S94;Niet-EU;2021;9375.0;597873.0;298489.0;92234.0;520622.0;301615.0;44019.0;10989.0;657.0;;
11;B-S exclusief O en exclusief S94;Niet-EU;2022;9645.0;757487.0;377311.0;111294.0;658681.0;385549.0;49163.0;12950.0;684.0;;
12;B-S exclusief O en exclusief S94;Niet-EU niet toegewezen;2021;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
13;B-S exclusief O en exclusief S94;Niet-EU niet toegewezen;2022;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
14;B-S exclusief O en exclusief S94;Offshore financiële centra;2021;405.0;;;;;;;;;;
15;B-S exclusief O en exclusief S94;Offshore financiële centra;2022;390.0;;;;;;;;;;
16;B-S exclusief O en exclusief S94;Afghanistan;2021;0.0;;;;;;;;;;
17;B-S exclusief O en exclusief S94;Afghanistan;2022;0.0;;;;;;;;;;
18;B-S exclusief O en exclusief S94;Albanië;2021;;;;;;;;;;;
19;B-S exclusief O en exclusief S94;Albanië;2022;;;;;;;;;;;
20;B-S exclusief O en exclusief S94;Algerije;2021;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
21;B-S exclusief O en exclusief S94;Algerije;2022;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
22;B-S exclusief O en exclusief S94;Amerikaans-Samoa;2021;;;;;;;;;;;
23;B-S exclusief O en exclusief S94;Amerikaans-Samoa;2022;;;;;;;;;;;
24;B-S exclusief O en exclusief S94;Amerikaanse Maagdeneilanden;2021;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
25;B-S exclusief O en exclusief S94;Amerikaanse Maagdeneilanden;2022;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
26;B-S exclusief O en exclusief S94;Andorra;2021;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
27;B-S exclusief O en exclusief S94;Andorra;2022;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
28;B-S exclusief O en exclusief S94;Angola;2021;0.0;;;;;;;0.0;0.0;;
29;B-S exclusief O en exclusief S94;Angola;2022;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
30;B-S exclusief O en exclusief S94;Anguilla;2021;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
31;B-S exclusief O en exclusief S94;Anguilla;2022;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
32;B-S exclusief O en exclusief S94;Antarctica;2021;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
33;B-S exclusief O en exclusief S94;Antarctica;2022;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
34;B-S exclusief O en exclusief S94;Antigua en Barbuda;2021;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
35;B-S exclusief O en exclusief S94;Antigua en Barbuda;2022;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
