ID;Vorderingen;RegioS;Perioden;AantalOpenstaandeVorderingen_1;OpenstaandSaldo_2
0;Totaal;Nederland;2013 januari;405320.0;1377.9
1;Totaal;Nederland;2013 februari;405530.0;1376.6
2;Totaal;Nederland;2013 maart;409200.0;1380.9
3;Totaal;Nederland;2013 april;410770.0;1381.6
4;Totaal;Nederland;2013 mei;411300.0;1376.8
5;Totaal;Nederland;2013 juni;405330.0;1378.2
6;Totaal;Nederland;2013 juli;407640.0;1381.6
7;Totaal;Nederland;2013 augustus;407190.0;1382.0
8;Totaal;Nederland;2013 september;413430.0;1397.4
9;Totaal;Nederland;2013 oktober;423350.0;1421.6
10;Totaal;Nederland;2013 november;426170.0;1430.0
11;Totaal;Nederland;2013 december;428260.0;1434.6
12;Totaal;Nederland;2014 januari;425400.0;1443.9
13;Totaal;Nederland;2014 februari;429610.0;1446.2
14;Totaal;Nederland;2014 maart;432620.0;1449.7
15;Totaal;Nederland;2014 april;433960.0;1453.9
16;Totaal;Nederland;2014 mei;435050.0;1450.7
17;Totaal;Nederland;2014 juni;429650.0;1450.0
18;Totaal;Nederland;2014 juli;431950.0;1452.3
19;Totaal;Nederland;2014 augustus;431040.0;1452.8
20;Totaal;Nederland;2014 september;434650.0;1451.4
21;Totaal;Nederland;2014 oktober;439720.0;1453.2
22;Totaal;Nederland;2014 november;440780.0;1456.3
23;Totaal;Nederland;2014 december;443050.0;1459.5
24;Totaal;Nederland;2015 januari;434480.0;1465.9
25;Totaal;Nederland;2015 februari;439480.0;1473.4
26;Totaal;Nederland;2015 maart;444080.0;1476.3
27;Totaal;Nederland;2015 april;451820.0;1481.4
28;Totaal;Nederland;2015 mei;450330.0;1474.5
29;Totaal;Nederland;2015 juni;441850.0;1472.5
30;Totaal;Nederland;2015 juli;441440.0;1473.6
31;Totaal;Nederland;2015 augustus;441930.0;1473.4
32;Totaal;Nederland;2015 september;448270.0;1477.7
33;Totaal;Nederland;2015 oktober;453310.0;1477.4
34;Totaal;Nederland;2015 november;456770.0;1477.1
35;Totaal;Nederland;2015 december;459250.0;1475.3
36;Totaal;Nederland;2016 januari;451240.0;1480.6
37;Totaal;Nederland;2016 februari;458990.0;1487.3
38;Totaal;Nederland;2016 maart;461450.0;1489.9
39;Totaal;Nederland;2016 april;462790.0;1492.7
40;Totaal;Nederland;2016 mei;463970.0;1491.0
41;Totaal;Nederland;2016 juni;456970.0;1486.6
42;Totaal;Nederland;2016 juli;453220.0;1488.2
43;Totaal;Nederland;2016 augustus;456420.0;1487.6
44;Totaal;Nederland;2016 september;459540.0;1486.5
45;Totaal;Nederland;2016 oktober;462190.0;1487.2
46;Totaal;Nederland;2016 november;466470.0;1488.8
47;Totaal;Nederland;2016 december;468730.0;1487.3
48;Totaal;Nederland;2017 januari;464200.0;1494.0
49;Totaal;Nederland;2017 februari;469570.0;1496.9
50;Totaal;Nederland;2017 maart;474310.0;1499.2
51;Totaal;Nederland;2017 april;471590.0;1499.4
52;Totaal;Nederland;2017 mei;475110.0;1495.8
53;Totaal;Nederland;2017 juni;472850.0;1491.6
54;Totaal;Nederland;2017 juli;471330.0;1491.5
55;Totaal;Nederland;2017 augustus;472960.0;1488.4
56;Totaal;Nederland;2017 september;473200.0;1484.1
57;Totaal;Nederland;2017 oktober;477180.0;1479.3
58;Totaal;Nederland;2017 november;479870.0;1468.7
59;Totaal;Nederland;2017 december;477640.0;1460.9
60;Totaal;Nederland;2018 januari;474470.0;1465.6
61;Totaal;Nederland;2018 februari;478290.0;1466.4
62;Totaal;Nederland;2018 maart;481680.0;1465.2
63;Totaal;Nederland;2018 april;480980.0;1459.4
64;Totaal;Nederland;2018 mei;482570.0;1451.5
65;Totaal;Nederland;2018 juni;480110.0;1443.5
66;Totaal;Nederland;2018 juli;478720.0;1439.3
67;Totaal;Nederland;2018 augustus;478800.0;1434.3
68;Totaal;Nederland;2018 september;478980.0;1428.7
69;Totaal;Nederland;2018 oktober;483190.0;1421.7
70;Totaal;Nederland;2018 november;484060.0;1415.6
71;Totaal;Nederland;2018 december;481130.0;1409.3
72;Totaal;Nederland;2019 januari;477160.0;1411.6
73;Totaal;Nederland;2019 februari;481170.0;1410.4
74;Totaal;Nederland;2019 maart;481300.0;1406.9
75;Totaal;Nederland;2019 april;482640.0;1402.2
