ID;BedrijfstakkenBranchesSBI2008;Perioden;BeloningVanWerknemers_1;Lonen_2;SocialePremiesTLVWerkgevers_3;Loonkosten_4;BeloningVanWerknemers_5;Lonen_6;Loonkosten_7;BeloningPerArbeidsjaar_8;LonenPerArbeidsjaar_9;LoonkostenPerArbeidsjaar_10;BeloningPerGewerktUur_11;LonenPerGewerktUur_12;LoonkostenPerGewerktUur_13;BeloningPerArbeidsjaar_14;LonenPerArbeidsjaar_15;LoonkostenPerArbeidsjaar_16;BeloningPerGewerktUur_17;LonenPerGewerktUur_18;LoonkostenPerGewerktUur_19;Arbeidsjaren_20;GewerkteUren_21;BetaaldeUren_22;OvereengekomenUren_23;BetaaldeOverwerkuren_24;Arbeidsjaren_25;GewerkteUren_26;Totaal_27;Mannen_28;Vrouwen_29;Totaal_30;Mannen_31;Vrouwen_32;Totaal_33;Mannen_34;Vrouwen_35;Totaal_36
0;A-U Alle economische activiteiten;1969;28901.0;22564.0;6337.0;;;;;7.1;5.5;;3.6;2.8;;;;;;;;4080.0;8049.0;;;;;;4580.0;3378.0;1203.0;;;;;;;
1;A-U Alle economische activiteiten;1970;33111.0;25826.0;7285.0;;14.6;14.4;;8.0;6.2;;4.1;3.2;;12.5;12.4;;14.7;14.6;;4154.0;8040.0;;;;1.8;-0.1;4670.0;3422.0;1247.0;;;;;;;2.0
2;A-U Alle economische activiteiten;1971;38097.0;29460.0;8637.0;;15.1;14.1;;9.1;7.0;;4.8;3.7;;13.8;12.8;;15.6;14.6;;4199.0;8003.0;;;;1.1;-0.5;4731.0;3438.0;1292.0;;;;;;;1.3
3;A-U Alle economische activiteiten;1972;42737.0;32848.0;9889.0;;12.2;11.5;;10.2;7.9;;5.4;4.2;;12.9;12.2;;13.8;13.1;;4173.0;7888.0;;;;-0.6;-1.4;4706.0;3388.0;1318.0;;;;;;;-0.5
4;A-U Alle economische activiteiten;1973;49558.0;37369.0;12189.0;;16.0;13.8;;11.8;8.9;;6.3;4.8;;15.2;13.0;;16.7;14.4;;4201.0;7842.0;;;;0.7;-0.6;4756.0;3399.0;1357.0;;;;;;;1.1
5;A-U Alle economische activiteiten;1974;57562.0;43185.0;14377.0;;16.2;15.6;;13.6;10.2;;7.5;5.7;;15.4;14.9;;19.4;18.8;;4226.0;7626.0;;;;0.6;-2.7;4798.0;3403.0;1395.0;;;;;;;0.9
6;A-U Alle economische activiteiten;1975;65226.0;48942.0;16284.0;;13.3;13.3;;15.5;11.6;;8.9;6.6;;13.5;13.5;;17.4;17.4;;4219.0;7362.0;;;;-0.2;-3.5;4811.0;3384.0;1428.0;;;;;;;0.3
7;A-U Alle economische activiteiten;1976;72630.0;54215.0;18415.0;;11.3;10.8;;17.1;12.7;;9.7;7.2;;10.5;9.9;;9.1;8.5;;4252.0;7514.0;;;;0.8;2.1;4875.0;3412.0;1462.0;;;;;;;1.3
8;A-U Alle economische activiteiten;1977;79385.0;59601.0;19784.0;;9.3;9.9;;18.5;13.9;;10.6;7.9;;8.1;8.7;;9.3;10.0;;4301.0;7511.0;;;;1.2;0.0;4944.0;3435.0;1509.0;;;;;;;1.4
9;A-U Alle economische activiteiten;1978;86211.0;64741.0;21470.0;;8.6;8.6;;19.8;14.9;;11.6;8.7;;7.3;7.3;;9.6;9.6;;4354.0;7443.0;;;;1.2;-0.9;5019.0;3470.0;1549.0;;;;;;;1.5
10;A-U Alle economische activiteiten;1979;92614.0;69328.0;23286.0;;7.4;7.1;;20.9;15.6;;12.3;9.2;;5.4;5.1;;6.6;6.2;;4436.0;7502.0;;;;1.9;0.8;5134.0;3525.0;1609.0;;;;;;;2.3
11;A-U Alle economische activiteiten;1980;98486.0;73433.0;25053.0;;6.3;5.9;;22.0;16.4;;12.9;9.6;;5.3;4.9;;4.8;4.3;;4479.0;7616.0;;;;1.0;1.5;5202.0;3532.0;1670.0;;;;;;;1.3
12;A-U Alle economische activiteiten;1981;100550.0;75243.0;25307.0;;2.1;2.5;;22.7;17.0;;13.2;9.9;;3.3;3.7;;2.2;2.6;;4425.0;7608.0;;;;-1.2;-0.1;5168.0;3463.0;1704.0;;;;;;;-0.7
13;A-U Alle economische activiteiten;1982;103520.0;77971.0;25549.0;;3.0;3.6;;24.0;18.1;;13.9;10.5;;5.7;6.3;;5.5;6.2;;4312.0;7422.0;;;;-2.6;-2.4;5075.0;3357.0;1718.0;;;;;;;-1.8
14;A-U Alle economische activiteiten;1983;105243.0;78236.0;27007.0;;1.7;0.3;;24.9;18.5;;14.6;10.8;;3.5;2.2;;4.3;3.0;;4235.0;7233.0;;;;-1.8;-2.6;5019.0;3297.0;1721.0;;;;;;;-1.1
15;A-U Alle economische activiteiten;1984;105601.0;79024.0;26577.0;;0.3;1.0;;24.9;18.6;;14.6;10.9;;0.1;0.8;;0.2;0.9;;4244.0;7242.0;;;;0.2;0.1;5059.0;3293.0;1767.0;;;;;;;0.8
16;A-U Alle economische activiteiten;1985;109292.0;82572.0;26720.0;;3.5;4.5;;25.3;19.1;;15.0;11.4;;1.5;2.5;;3.2;4.2;;4328.0;7262.0;;;;2.0;0.3;5158.0;3354.0;1803.0;;;;;;;1.9
17;A-U Alle economische activiteiten;1986;114360.0;86747.0;27613.0;;4.6;5.1;;25.8;19.6;;15.5;11.7;;2.4;2.8;;2.7;3.1;;4424.0;7401.0;;;;2.2;1.9;5284.0;3418.0;1866.0;;;;;;;2.5
18;A-U Alle economische activiteiten;1987;118184.0;89808.0;28376.0;;3.3;3.5;;26.2;19.9;;15.8;12.0;;1.5;1.7;;1.9;2.1;;4506.0;7502.0;;;;1.8;1.4;5398.0;3471.0;1927.0;;;;;;;2.1
19;A-U Alle economische activiteiten;1988;121482.0;93086.0;28396.0;;2.8;3.7;;26.5;20.3;;15.8;12.1;;1.1;1.9;;0.5;1.3;;4582.0;7674.0;;;;1.7;2.3;5516.0;3539.0;1976.0;;;;;;;2.2
20;A-U Alle economische activiteiten;1989;125121.0;97575.0;27546.0;;3.0;4.8;;26.7;20.8;;15.9;12.4;;0.6;2.4;;0.5;2.3;;4692.0;7864.0;;;;2.4;2.5;5687.0;3604.0;2083.0;;;;;;;3.1
21;A-U Alle economische activiteiten;1990;133293.0;112465.0;20828.0;;6.5;15.3;;27.6;23.3;;16.4;13.9;;3.4;11.9;;3.3;11.7;;4832.0;8113.0;;;;3.0;3.2;5896.0;3700.0;2196.0;;;;;;;3.7
22;A-U Alle economische activiteiten;1991;141859.0;119644.0;22215.0;;6.4;6.4;;29.0;24.4;;17.3;14.6;;5.0;5.0;;5.4;5.3;;4897.0;8195.0;;;;1.3;1.0;6016.0;3736.0;2280.0;;;;;;;2.0
23;A-U Alle economische activiteiten;1992;150581.0;126520.0;24061.0;;6.1;5.7;;30.4;25.5;;18.0;15.1;;4.9;4.5;;3.7;3.3;;4953.0;8387.0;;;;1.2;2.3;6118.0;3748.0;2369.0;;;;;;;1.7
24;A-U Alle economische activiteiten;1993;154434.0;130643.0;23791.0;;2.6;3.3;;31.3;26.5;;18.6;15.8;;3.0;3.7;;3.8;4.6;;4932.0;8283.0;;;;-0.4;-1.2;6130.0;3719.0;2410.0;;;;;;;0.2
25;A-U Alle economische activiteiten;1994;158649.0;134542.0;24107.0;;2.7;3.0;;32.3;27.4;;19.1;16.2;;3.3;3.5;;2.4;2.6;;4905.0;8311.0;;;;-0.5;0.3;6173.0;3703.0;2470.0;;;;;;;0.7
26;A-U Alle economische activiteiten;1995;164700.0;138455.0;26245.0;164378.0;3.8;2.9;;33.0;27.7;32.9;19.4;16.3;19.4;1.9;1.0;;1.7;0.8;;4996.0;8483.0;;;;1.9;2.1;6323.0;3695.0;2628.0;;;;;;;2.4
27;A-U Alle economische activiteiten;1996;171076.0;143731.0;27345.0;170079.0;3.9;3.8;3.5;33.5;28.1;33.3;19.6;16.5;19.5;1.6;1.5;1.2;0.9;0.8;0.5;5108.0;8733.0;;;;2.2;3.0;6486.0;3797.0;2689.0;;;;;;;2.6
28;A-U Alle economische activiteiten;1997;180613.0;152989.0;27624.0;179088.0;5.6;6.4;5.3;34.2;29.0;34.0;20.2;17.1;20.0;2.2;3.1;2.0;3.0;3.8;2.7;5275.0;8952.0;;;;3.3;2.5;6693.0;3909.0;2785.0;;;;;;;3.2
29;A-U Alle economische activiteiten;1998;193708.0;154596.0;39112.0;191614.0;7.3;1.1;7.0;35.4;28.3;35.0;21.0;16.7;20.7;3.5;-2.5;3.2;3.9;-2.1;3.7;5468.0;9239.0;;;;3.7;3.2;6950.0;4031.0;2919.0;;;;;;;3.8
30;A-U Alle economische activiteiten;1999;208602.0;166229.0;42373.0;206462.0;7.7;7.5;7.7;37.0;29.5;36.6;21.8;17.4;21.6;4.4;4.2;4.5;4.2;4.0;4.3;5641.0;9549.0;;;;3.2;3.4;7191.0;4139.0;3053.0;;;;;;;3.5
