ID;RegioIndeling2015;Perioden;Levendgeborenen_1;Overledenen_2;Immigratie_3;EmigratieInclusiefCorrecties_4;VestigersUitAndereGemeente_5;VertrekkersNaarAndereGemeente_6;Woningbouwveronderstellingen_7;BevolkingAanHetEindVanDePeriode_8
0;Nederland;2015 tot 2020;882.3;744.9;1077.3;777.6;3506.3;3506.3;280.6;17337.8
1;Nederland;2020 tot 2025;945.2;774.6;941.9;834.0;3614.8;3614.8;247.7;17616.3
2;Nederland;2025 tot 2030;972.8;825.7;922.9;849.3;3663.3;3663.3;184.6;17837.0
3;Nederland;2030 tot 2035;972.1;877.7;924.0;846.6;3672.6;3672.6;;18008.8
4;Nederland;2035 tot 2040;947.1;931.6;925.3;841.5;3680.4;3680.4;;18108.2
5;Groningen (PV);2015 tot 2020;28.0;28.1;55.5;32.5;154.8;166.3;4.1;595.3
6;Groningen (PV);2020 tot 2025;31.0;27.5;40.2;37.9;158.6;165.2;2.8;594.6
7;Groningen (PV);2025 tot 2030;32.2;28.4;39.9;39.2;154.8;165.5;2.1;588.4
8;Groningen (PV);2030 tot 2035;31.6;29.6;38.8;37.9;151.4;162.7;;580.1
9;Groningen (PV);2035 tot 2040;30.0;31.0;37.7;36.3;154.4;159.3;;575.5
10;Friesland (PV);2015 tot 2020;31.6;31.2;20.0;13.7;132.1;134.6;7.4;650.3
11;Friesland (PV);2020 tot 2025;33.2;32.3;17.5;15.2;138.5;140.7;4.9;651.3
12;Friesland (PV);2025 tot 2030;34.5;34.3;17.0;15.5;139.4;140.1;3.5;652.3
13;Friesland (PV);2030 tot 2035;34.8;36.4;16.8;15.4;139.4;138.3;;653.3
14;Friesland (PV);2035 tot 2040;33.7;38.1;16.5;15.0;134.7;136.8;;648.2
15;Drenthe (PV);2015 tot 2020;21.2;25.5;15.9;8.1;90.3;92.8;4.4;489.7
16;Drenthe (PV);2020 tot 2025;22.2;26.1;10.7;9.0;92.8;94.7;4.0;485.7
17;Drenthe (PV);2025 tot 2030;23.1;27.4;10.3;9.2;94.2;93.5;2.8;483.2
18;Drenthe (PV);2030 tot 2035;23.3;28.7;10.1;9.1;95.4;92.5;;481.7
19;Drenthe (PV);2035 tot 2040;22.7;30.2;9.9;8.9;95.4;92.2;;478.4
20;Overijssel (PV);2015 tot 2020;60.0;50.9;42.6;32.4;191.1;195.6;15.5;1155.5
21;Overijssel (PV);2020 tot 2025;62.0;52.1;35.9;34.0;196.5;201.3;14.1;1162.5
22;Overijssel (PV);2025 tot 2030;63.0;54.7;35.2;34.3;197.9;202.5;10.4;1167.1
23;Overijssel (PV);2030 tot 2035;63.0;57.6;34.6;33.8;196.1;200.4;;1169.1
24;Overijssel (PV);2035 tot 2040;60.5;60.7;33.9;33.0;193.5;197.5;;1165.9
25;Flevoland (PV);2015 tot 2020;24.4;12.4;34.3;19.3;73.0;82.5;6.5;419.3
26;Flevoland (PV);2020 tot 2025;25.8;14.0;25.9;19.4;78.8;83.3;11.6;433.1
27;Flevoland (PV);2025 tot 2030;26.6;15.8;25.4;19.6;80.9;85.4;11.2;445.2
28;Flevoland (PV);2030 tot 2035;26.6;17.8;25.5;19.7;80.4;83.2;;457.1
29;Flevoland (PV);2035 tot 2040;26.3;19.8;25.6;19.7;78.0;83.4;;464.1
30;Gelderland (PV);2015 tot 2020;99.3;91.0;76.6;59.5;422.0;419.7;33.4;2054.2
31;Gelderland (PV);2020 tot 2025;105.0;94.6;68.0;65.1;438.1;434.2;26.5;2071.3
32;Gelderland (PV);2025 tot 2030;108.1;100.7;67.1;66.7;442.0;436.8;16.6;2084.4
33;Gelderland (PV);2030 tot 2035;108.7;106.9;66.7;66.1;444.4;435.2;;2095.9
34;Gelderland (PV);2035 tot 2040;105.3;113.6;66.1;65.1;449.1;436.9;;2100.7
35;Utrecht (PV);2015 tot 2020;73.2;47.8;65.9;47.9;311.6;304.0;28.9;1314.6
36;Utrecht (PV);2020 tot 2025;78.8;50.6;62.3;53.8;316.2;315.5;25.0;1352.2
37;Utrecht (PV);2025 tot 2030;82.1;54.7;62.3;55.6;327.5;326.2;22.8;1387.4
38;Utrecht (PV);2030 tot 2035;83.6;59.3;62.5;55.6;327.8;329.9;;1416.5
39;Utrecht (PV);2035 tot 2040;82.2;64.0;62.4;55.2;328.7;332.2;;1438.6
40;Noord-Holland (PV);2015 tot 2020;153.8;115.5;248.9;182.2;633.6;621.8;57.8;2878.8
41;Noord-Holland (PV);2020 tot 2025;167.8;119.2;224.4;194.9;645.5;638.1;56.6;2964.2
42;Noord-Holland (PV);2025 tot 2030;172.8;127.3;219.7;199.3;665.7;653.2;43.9;3042.6
43;Noord-Holland (PV);2030 tot 2035;173.3;136.6;222.2;200.5;671.1;663.0;;3109.1
44;Noord-Holland (PV);2035 tot 2040;171.5;146.5;225.1;201.5;677.2;671.0;;3163.9
45;Zuid-Holland (PV);2015 tot 2020;204.1;152.5;284.2;223.3;723.8;716.6;60.6;3719.6
46;Zuid-Holland (PV);2020 tot 2025;216.7;158.9;254.5;235.9;749.9;738.1;52.8;3807.8
47;Zuid-Holland (PV);2025 tot 2030;220.1;169.9;248.5;238.2;755.4;751.2;40.0;3872.7
48;Zuid-Holland (PV);2030 tot 2035;218.5;180.5;251.1;238.8;763.3;762.8;;3923.6
49;Zuid-Holland (PV);2035 tot 2040;214.8;191.5;254.2;239.7;765.0;767.2;;3959.2
50;Zeeland (PV);2015 tot 2020;18.2;19.9;19.1;13.2;64.3;67.4;4.3;381.7
51;Zeeland (PV);2020 tot 2025;19.5;19.9;16.7;14.5;66.3;69.7;2.9;380.2
