ID;Bedrijfsomvang;BedrijfstakBranchesSBI2008;Perioden;IndexcijfersOmzet_1;Omzetontwikkeling_2
0;Alle bedrijven;412-439 Bouw (geen projectontwikkeling);2005 1e kwartaal;78;-2.3
1;Alle bedrijven;412-439 Bouw (geen projectontwikkeling);2005 2e kwartaal;106;8.9
2;Alle bedrijven;412-439 Bouw (geen projectontwikkeling);2005 3e kwartaal;94;8.6
3;Alle bedrijven;412-439 Bouw (geen projectontwikkeling);2005 4e kwartaal;122;6.1
4;Alle bedrijven;412-439 Bouw (geen projectontwikkeling);2005;100;5.6
5;Alle bedrijven;412-439 Bouw (geen projectontwikkeling);2006 1e kwartaal;87;11.1
6;Alle bedrijven;412-439 Bouw (geen projectontwikkeling);2006 2e kwartaal;113;6.7
7;Alle bedrijven;412-439 Bouw (geen projectontwikkeling);2006 3e kwartaal;100;6.8
8;Alle bedrijven;412-439 Bouw (geen projectontwikkeling);2006 4e kwartaal;134;9.8
9;Alle bedrijven;412-439 Bouw (geen projectontwikkeling);2006;109;8.5
10;Alle bedrijven;412-439 Bouw (geen projectontwikkeling);2007 1e kwartaal;99;14.1
11;Alle bedrijven;412-439 Bouw (geen projectontwikkeling);2007 2e kwartaal;123;9.6
12;Alle bedrijven;412-439 Bouw (geen projectontwikkeling);2007 3e kwartaal;109;9.1
13;Alle bedrijven;412-439 Bouw (geen projectontwikkeling);2007 4e kwartaal;145;7.5
14;Alle bedrijven;412-439 Bouw (geen projectontwikkeling);2007;119;9.7
15;Alle bedrijven;412-439 Bouw (geen projectontwikkeling);2008 1e kwartaal;111;12.2
16;Alle bedrijven;412-439 Bouw (geen projectontwikkeling);2008 2e kwartaal;138;11.8
17;Alle bedrijven;412-439 Bouw (geen projectontwikkeling);2008 3e kwartaal;121;11.0
18;Alle bedrijven;412-439 Bouw (geen projectontwikkeling);2008 4e kwartaal;152;5.5
19;Alle bedrijven;412-439 Bouw (geen projectontwikkeling);2008;131;9.8
20;Alle bedrijven;412-439 Bouw (geen projectontwikkeling);2009 1e kwartaal;113;1.5
21;Alle bedrijven;412-439 Bouw (geen projectontwikkeling);2009 2e kwartaal;133;-3.6
22;Alle bedrijven;412-439 Bouw (geen projectontwikkeling);2009 3e kwartaal;116;-4.5
23;Alle bedrijven;412-439 Bouw (geen projectontwikkeling);2009 4e kwartaal;138;-9.4
24;Alle bedrijven;412-439 Bouw (geen projectontwikkeling);2009;125;-4.4
25;Alle bedrijven;412-439 Bouw (geen projectontwikkeling);2010 1e kwartaal;94;-17.2
26;Alle bedrijven;412-439 Bouw (geen projectontwikkeling);2010 2e kwartaal;122;-8.2
27;Alle bedrijven;412-439 Bouw (geen projectontwikkeling);2010 3e kwartaal;108;-6.9
28;Alle bedrijven;412-439 Bouw (geen projectontwikkeling);2010 4e kwartaal;132;-4.3
29;Alle bedrijven;412-439 Bouw (geen projectontwikkeling);2010;114;-8.9
30;Alle bedrijven;412-439 Bouw (geen projectontwikkeling);2011 1e kwartaal;102;9.3
31;Alle bedrijven;412-439 Bouw (geen projectontwikkeling);2011 2e kwartaal;126;3.0
32;Alle bedrijven;412-439 Bouw (geen projectontwikkeling);2011 3e kwartaal;112;3.7
33;Alle bedrijven;412-439 Bouw (geen projectontwikkeling);2011 4e kwartaal;135;2.5
34;Alle bedrijven;412-439 Bouw (geen projectontwikkeling);2011;119;4.3
35;Alle bedrijven;412-439 Bouw (geen projectontwikkeling);2012 1e kwartaal;94;-8.4
36;Alle bedrijven;412-439 Bouw (geen projectontwikkeling);2012 2e kwartaal;117;-7.1
37;Alle bedrijven;412-439 Bouw (geen projectontwikkeling);2012 3e kwartaal;107;-4.4
38;Alle bedrijven;412-439 Bouw (geen projectontwikkeling);2012 4e kwartaal;124;-8.7
39;Alle bedrijven;412-439 Bouw (geen projectontwikkeling);2012;110;-7.2
40;Alle bedrijven;412  Algemene B&U-bouw;2005 1e kwartaal;79;-5.1
41;Alle bedrijven;412  Algemene B&U-bouw;2005 2e kwartaal;108;8.2
42;Alle bedrijven;412  Algemene B&U-bouw;2005 3e kwartaal;91;6.1
43;Alle bedrijven;412  Algemene B&U-bouw;2005 4e kwartaal;122;5.8
44;Alle bedrijven;412  Algemene B&U-bouw;2005;100;4.1
45;Alle bedrijven;412  Algemene B&U-bouw;2006 1e kwartaal;89;13.0
46;Alle bedrijven;412  Algemene B&U-bouw;2006 2e kwartaal;116;7.0
47;Alle bedrijven;412  Algemene B&U-bouw;2006 3e kwartaal;96;5.2
48;Alle bedrijven;412  Algemene B&U-bouw;2006 4e kwartaal;133;9.2
49;Alle bedrijven;412  Algemene B&U-bouw;2006;108;8.5
50;Alle bedrijven;412  Algemene B&U-bouw;2007 1e kwartaal;101;13.4
51;Alle bedrijven;412  Algemene B&U-bouw;2007 2e kwartaal;127;9.4
52;Alle bedrijven;412  Algemene B&U-bouw;2007 3e kwartaal;107;11.2
53;Alle bedrijven;412  Algemene B&U-bouw;2007 4e kwartaal;144;8.3
54;Alle bedrijven;412  Algemene B&U-bouw;2007;120;10.3
55;Alle bedrijven;412  Algemene B&U-bouw;2008 1e kwartaal;115;14.6
56;Alle bedrijven;412  Algemene B&U-bouw;2008 2e kwartaal;141;11.2
57;Alle bedrijven;412  Algemene B&U-bouw;2008 3e kwartaal;119;11.1
58;Alle bedrijven;412  Algemene B&U-bouw;2008 4e kwartaal;153;6.6
59;Alle bedrijven;412  Algemene B&U-bouw;2008;132;10.5
60;Alle bedrijven;412  Algemene B&U-bouw;2009 1e kwartaal;114;-1.1
61;Alle bedrijven;412  Algemene B&U-bouw;2009 2e kwartaal;133;-5.7
62;Alle bedrijven;412  Algemene B&U-bouw;2009 3e kwartaal;110;-7.7
63;Alle bedrijven;412  Algemene B&U-bouw;2009 4e kwartaal;130;-15.3
64;Alle bedrijven;412  Algemene B&U-bouw;2009;122;-7.9
65;Alle bedrijven;412  Algemene B&U-bouw;2010 1e kwartaal;90;-21.1
66;Alle bedrijven;412  Algemene B&U-bouw;2010 2e kwartaal;118;-11.3
67;Alle bedrijven;412  Algemene B&U-bouw;2010 3e kwartaal;99;-9.7
68;Alle bedrijven;412  Algemene B&U-bouw;2010 4e kwartaal;122;-6.2
69;Alle bedrijven;412  Algemene B&U-bouw;2010;107;-11.9
70;Alle bedrijven;412  Algemene B&U-bouw;2011 1e kwartaal;99;9.8
71;Alle bedrijven;412  Algemene B&U-bouw;2011 2e kwartaal;119;1.0
72;Alle bedrijven;412  Algemene B&U-bouw;2011 3e kwartaal;103;3.9
73;Alle bedrijven;412  Algemene B&U-bouw;2011 4e kwartaal;122;-0.3
74;Alle bedrijven;412  Algemene B&U-bouw;2011;111;3.1
75;Alle bedrijven;412  Algemene B&U-bouw;2012 1e kwartaal;87;-11.9
76;Alle bedrijven;412  Algemene B&U-bouw;2012 2e kwartaal;108;-9.7
77;Alle bedrijven;412  Algemene B&U-bouw;2012 3e kwartaal;97;-5.4
78;Alle bedrijven;412  Algemene B&U-bouw;2012 4e kwartaal;105;-13.2
79;Alle bedrijven;412  Algemene B&U-bouw;2012;99;-10.2
80;Alle bedrijven;42 Grond-, water- en wegenbouw;2005 1e kwartaal;68;3.0
81;Alle bedrijven;42 Grond-, water- en wegenbouw;2005 2e kwartaal;102;10.6
82;Alle bedrijven;42 Grond-, water- en wegenbouw;2005 3e kwartaal;97;14.4
83;Alle bedrijven;42 Grond-, water- en wegenbouw;2005 4e kwartaal;133;4.0
84;Alle bedrijven;42 Grond-, water- en wegenbouw;2005;100;7.8
85;Alle bedrijven;42 Grond-, water- en wegenbouw;2006 1e kwartaal;73;7.4
86;Alle bedrijven;42 Grond-, water- en wegenbouw;2006 2e kwartaal;111;9.0
87;Alle bedrijven;42 Grond-, water- en wegenbouw;2006 3e kwartaal;109;11.7
88;Alle bedrijven;42 Grond-, water- en wegenbouw;2006 4e kwartaal;150;13.0
89;Alle bedrijven;42 Grond-, water- en wegenbouw;2006;111;10.7
90;Alle bedrijven;42 Grond-, water- en wegenbouw;2007 1e kwartaal;85;16.3
91;Alle bedrijven;42 Grond-, water- en wegenbouw;2007 2e kwartaal;117;5.7
92;Alle bedrijven;42 Grond-, water- en wegenbouw;2007 3e kwartaal;110;1.4
93;Alle bedrijven;42 Grond-, water- en wegenbouw;2007 4e kwartaal;154;2.6
94;Alle bedrijven;42 Grond-, water- en wegenbouw;2007;117;5.3
95;Alle bedrijven;42 Grond-, water- en wegenbouw;2008 1e kwartaal;91;7.2
96;Alle bedrijven;42 Grond-, water- en wegenbouw;2008 2e kwartaal;128;9.5
97;Alle bedrijven;42 Grond-, water- en wegenbouw;2008 3e kwartaal;118;7.3
98;Alle bedrijven;42 Grond-, water- en wegenbouw;2008 4e kwartaal;154;0.0
99;Alle bedrijven;42 Grond-, water- en wegenbouw;2008;123;5.4
100;Alle bedrijven;42 Grond-, water- en wegenbouw;2009 1e kwartaal;98;6.9
101;Alle bedrijven;42 Grond-, water- en wegenbouw;2009 2e kwartaal;130;1.4
102;Alle bedrijven;42 Grond-, water- en wegenbouw;2009 3e kwartaal;125;6.2
103;Alle bedrijven;42 Grond-, water- en wegenbouw;2009 4e kwartaal;157;2.0
104;Alle bedrijven;42 Grond-, water- en wegenbouw;2009;128;3.8
105;Alle bedrijven;42 Grond-, water- en wegenbouw;2010 1e kwartaal;83;-15.5
106;Alle bedrijven;42 Grond-, water- en wegenbouw;2010 2e kwartaal;125;-3.7
107;Alle bedrijven;42 Grond-, water- en wegenbouw;2010 3e kwartaal;116;-7.9
108;Alle bedrijven;42 Grond-, water- en wegenbouw;2010 4e kwartaal;151;-3.7
109;Alle bedrijven;42 Grond-, water- en wegenbouw;2010;119;-7.0
110;Alle bedrijven;42 Grond-, water- en wegenbouw;2011 1e kwartaal;92;11.4
111;Alle bedrijven;42 Grond-, water- en wegenbouw;2011 2e kwartaal;128;2.4
112;Alle bedrijven;42 Grond-, water- en wegenbouw;2011 3e kwartaal;120;3.8
113;Alle bedrijven;42 Grond-, water- en wegenbouw;2011 4e kwartaal;161;6.6
114;Alle bedrijven;42 Grond-, water- en wegenbouw;2011;125;5.7
115;Alle bedrijven;42 Grond-, water- en wegenbouw;2012 1e kwartaal;90;-1.7
116;Alle bedrijven;42 Grond-, water- en wegenbouw;2012 2e kwartaal;134;4.3
117;Alle bedrijven;42 Grond-, water- en wegenbouw;2012 3e kwartaal;123;2.2
118;Alle bedrijven;42 Grond-, water- en wegenbouw;2012 4e kwartaal;164;1.6
119;Alle bedrijven;42 Grond-, water- en wegenbouw;2012;128;1.8
120;Alle bedrijven;43 Gespecialiseerde bouw;2005 1e kwartaal;82;-1.4
121;Alle bedrijven;43 Gespecialiseerde bouw;2005 2e kwartaal;104;9.1
122;Alle bedrijven;43 Gespecialiseerde bouw;2005 3e kwartaal;95;8.7
123;Alle bedrijven;43 Gespecialiseerde bouw;2005 4e kwartaal;119;7.2
124;Alle bedrijven;43 Gespecialiseerde bouw;2005;100;6.1
125;Alle bedrijven;43 Gespecialiseerde bouw;2006 1e kwartaal;90;10.7
126;Alle bedrijven;43 Gespecialiseerde bouw;2006 2e kwartaal;110;5.7
127;Alle bedrijven;43 Gespecialiseerde bouw;2006 3e kwartaal;101;6.2
128;Alle bedrijven;43 Gespecialiseerde bouw;2006 4e kwartaal;130;9.0
129;Alle bedrijven;43 Gespecialiseerde bouw;2006;108;7.8
130;Alle bedrijven;43 Gespecialiseerde bouw;2007 1e kwartaal;103;14.1
131;Alle bedrijven;43 Gespecialiseerde bouw;2007 2e kwartaal;123;11.2
132;Alle bedrijven;43 Gespecialiseerde bouw;2007 3e kwartaal;111;10.5
133;Alle bedrijven;43 Gespecialiseerde bouw;2007 4e kwartaal;142;8.9
134;Alle bedrijven;43 Gespecialiseerde bouw;2007;120;10.9
135;Alle bedrijven;43 Gespecialiseerde bouw;2008 1e kwartaal;115;11.6
136;Alle bedrijven;43 Gespecialiseerde bouw;2008 2e kwartaal;139;13.2
137;Alle bedrijven;43 Gespecialiseerde bouw;2008 3e kwartaal;125;12.3
138;Alle bedrijven;43 Gespecialiseerde bouw;2008 4e kwartaal;151;6.8
139;Alle bedrijven;43 Gespecialiseerde bouw;2008;132;10.7
140;Alle bedrijven;43 Gespecialiseerde bouw;2009 1e kwartaal;118;2.3
141;Alle bedrijven;43 Gespecialiseerde bouw;2009 2e kwartaal;134;-3.4
142;Alle bedrijven;43 Gespecialiseerde bouw;2009 3e kwartaal;118;-5.4
143;Alle bedrijven;43 Gespecialiseerde bouw;2009 4e kwartaal;138;-8.5
144;Alle bedrijven;43 Gespecialiseerde bouw;2009;127;-4.1
145;Alle bedrijven;43 Gespecialiseerde bouw;2010 1e kwartaal;101;-14.4
146;Alle bedrijven;43 Gespecialiseerde bouw;2010 2e kwartaal;125;-7.2
147;Alle bedrijven;43 Gespecialiseerde bouw;2010 3e kwartaal;113;-4.3
148;Alle bedrijven;43 Gespecialiseerde bouw;2010 4e kwartaal;134;-3.1
149;Alle bedrijven;43 Gespecialiseerde bouw;2010;118;-7.1
150;Alle bedrijven;43 Gespecialiseerde bouw;2011 1e kwartaal;109;8.2
151;Alle bedrijven;43 Gespecialiseerde bouw;2011 2e kwartaal;131;5.0
152;Alle bedrijven;43 Gespecialiseerde bouw;2011 3e kwartaal;117;3.6
153;Alle bedrijven;43 Gespecialiseerde bouw;2011 4e kwartaal;138;3.0
154;Alle bedrijven;43 Gespecialiseerde bouw;2011;124;4.8
155;Alle bedrijven;43 Gespecialiseerde bouw;2012 1e kwartaal;101;-7.7
156;Alle bedrijven;43 Gespecialiseerde bouw;2012 2e kwartaal;119;-9.1
157;Alle bedrijven;43 Gespecialiseerde bouw;2012 3e kwartaal;110;-6.1
158;Alle bedrijven;43 Gespecialiseerde bouw;2012 4e kwartaal;125;-9.7
159;Alle bedrijven;43 Gespecialiseerde bouw;2012;114;-8.2
160;Kleinbedrijf;412-439 Bouw (geen projectontwikkeling);2005 1e kwartaal;77;-0.7
161;Kleinbedrijf;412-439 Bouw (geen projectontwikkeling);2005 2e kwartaal;105;8.3
162;Kleinbedrijf;412-439 Bouw (geen projectontwikkeling);2005 3e kwartaal;96;10.6
163;Kleinbedrijf;412-439 Bouw (geen projectontwikkeling);2005 4e kwartaal;123;9.1
164;Kleinbedrijf;412-439 Bouw (geen projectontwikkeling);2005;100;7.2
165;Kleinbedrijf;412-439 Bouw (geen projectontwikkeling);2006 1e kwartaal;88;14.5
166;Kleinbedrijf;412-439 Bouw (geen projectontwikkeling);2006 2e kwartaal;117;11.3
167;Kleinbedrijf;412-439 Bouw (geen projectontwikkeling);2006 3e kwartaal;106;11.2
168;Kleinbedrijf;412-439 Bouw (geen projectontwikkeling);2006 4e kwartaal;141;14.7
169;Kleinbedrijf;412-439 Bouw (geen projectontwikkeling);2006;113;12.9
170;Kleinbedrijf;412-439 Bouw (geen projectontwikkeling);2007 1e kwartaal;102;15.7
171;Kleinbedrijf;412-439 Bouw (geen projectontwikkeling);2007 2e kwartaal;129;10.6
172;Kleinbedrijf;412-439 Bouw (geen projectontwikkeling);2007 3e kwartaal;117;10.4
173;Kleinbedrijf;412-439 Bouw (geen projectontwikkeling);2007 4e kwartaal;150;6.5
174;Kleinbedrijf;412-439 Bouw (geen projectontwikkeling);2007;125;10.3
175;Kleinbedrijf;412-439 Bouw (geen projectontwikkeling);2008 1e kwartaal;122;20.0
176;Kleinbedrijf;412-439 Bouw (geen projectontwikkeling);2008 2e kwartaal;150;16.6
177;Kleinbedrijf;412-439 Bouw (geen projectontwikkeling);2008 3e kwartaal;136;15.9
