ID;GeslachtVanBetrokkenPartners;Perioden;Totaal_1;Huwelijkssluitingen_2;SluitingenVanGeregistreerdePartner_3;Totaal_4;ScheidingNaHuwelijk_5;ScheidingNaGeregistreerdPartnerschap_6;OverlijdenNaHuwelijk_7;OverlijdenNaGeregistreerdPartnerschap_8
0;Totaal;2010 januari;3516;2790;726;7974;2803;81;5059;31
1;Totaal;2010 februari;3888;3139;749;7133;2431;74;4597;31
2;Totaal;2010 maart;4711;3827;884;8021;2996;132;4858;35
3;Totaal;2010 april;6378;5662;716;7313;2675;90;4521;27
4;Totaal;2010 mei;10053;9305;748;7034;2323;75;4607;29
5;Totaal;2010 juni;10546;9785;761;7477;2906;109;4433;29
6;Totaal;2010 juli;8690;7917;773;7266;2688;81;4466;31
7;Totaal;2010 augustus;8761;7980;781;7187;2721;119;4309;38
8;Totaal;2010 september;11537;10732;805;7343;2795;100;4417;31
9;Totaal;2010 oktober;7489;6700;789;7475;2669;92;4680;34
10;Totaal;2010 november;4600;3667;933;7296;2614;98;4548;36
11;Totaal;2010 december;4801;3895;906;8226;2923;128;5143;32
12;Totaal;2010;84970;75399;9571;89745;32544;1179;55638;384
13;Totaal;2011 januari;3441;2710;731;7941;2889;91;4932;29
14;Totaal;2011 februari;3895;3105;790;7203;2692;98;4380;33
15;Totaal;2011 maart;4065;3270;795;7976;3038;126;4784;28
16;Totaal;2011 april;5758;5029;729;7266;2534;95;4602;35
17;Totaal;2011 mei;9637;8721;916;7580;2797;122;4632;29
18;Totaal;2011 juni;10691;9999;692;7038;2553;100;4358;27
19;Totaal;2011 juli;8981;8185;796;7388;2684;104;4562;38
20;Totaal;2011 augustus;8083;7170;913;7541;2933;98;4480;30
21;Totaal;2011 september;10564;9788;776;7136;2699;95;4296;46
22;Totaal;2011 oktober;5769;4913;856;7035;2361;87;4554;33
23;Totaal;2011 november;6098;5103;995;7532;2739;117;4644;32
24;Totaal;2011 december;4535;3579;956;7764;2591;112;5022;39
25;Totaal;2011;81517;71572;9945;89400;32510;1245;55246;399
26;Totaal;2012 januari;3413;2662;751;7905;2803;115;4941;46
27;Totaal;2012 februari;3660;2880;780;7684;2660;106;4881;37
28;Totaal;2012 maart;4125;3414;711;8153;2779;128;5202;44
29;Totaal;2012 april;6092;5447;645;7312;2410;106;4754;42
30;Totaal;2012 mei;9347;8498;849;7454;2633;121;4669;31
31;Totaal;2012 juni;11409;10630;779;7554;2873;127;4514;40
32;Totaal;2012 juli;7203;6446;757;7641;2988;129;4484;40
33;Totaal;2012 augustus;8044;7329;715;7710;3161;104;4415;30
34;Totaal;2012 september;9639;9020;619;7158;2609;139;4379;31
35;Totaal;2012 oktober;5923;5003;920;7654;2829;141;4643;41
36;Totaal;2012 november;4411;3576;835;7875;2970;111;4760;34
37;Totaal;2012 december;6273;5410;863;7787;2558;121;5061;47
38;Totaal;2012;79539;70315;9224;91887;33273;1448;56703;463
39;Totaal;2013 januari;3305;2516;789;8336;2880;154;5250;52
40;Totaal;2013 februari;3342;2586;756;7881;2855;103;4871;52
41;Totaal;2013 maart;4302;3593;709;8470;2922;107;5395;46
42;Totaal;2013 april;5504;4768;736;7662;2570;127;4912;53
43;Totaal;2013 mei;9056;8326;730;7547;2720;124;4656;47
44;Totaal;2013 juni;9658;8888;770;6995;2486;118;4345;46
45;Totaal;2013 juli;6728;5913;815;7870;3114;175;4531;50
46;Totaal;2013 augustus;8517;7778;739;7663;3067;150;4403;43
47;Totaal;2013 september;9516;8654;862;7137;2711;123;4263;40
48;Totaal;2013 oktober;5339;4485;854;7938;3009;132;4748;49
