ID;WijkenEnBuurten;Gemeentenaam_1;SoortRegio_2;Codering_3;IndelingswijzigingWijkenEnBuurten_4;AantalInstallatiesBijWoningen_5;OpgesteldVermogenVanZonnepanelen_6
0;Nederland;Nederland                               ;Land      ;NL00      ;.;960248.0;3236417.0
1;Aa en Hunze;Aa en Hunze                             ;Gemeente  ;GM1680    ;.;2573.0;10050.0
2;Wijk 00 Annen;Aa en Hunze                             ;Wijk      ;WK168000  ;1;408.0;1476.0
3;Annen;Aa en Hunze                             ;Buurt     ;BU16800000;1;396.0;1426.0
4;Verspreide huizen Annen;Aa en Hunze                             ;Buurt     ;BU16800009;1;12.0;50.0
5;Wijk 01 Eext;Aa en Hunze                             ;Wijk      ;WK168001  ;1;144.0;547.0
6;Eext;Aa en Hunze                             ;Buurt     ;BU16800100;1;132.0;489.0
7;Verspreide huizen Eext;Aa en Hunze                             ;Buurt     ;BU16800109;1;12.0;57.0
8;Wijk 02 Anloo;Aa en Hunze                             ;Wijk      ;WK168002  ;1;39.0;177.0
9;Anloo;Aa en Hunze                             ;Buurt     ;BU16800200;1;32.0;142.0
10;Verspreide huizen Anloo;Aa en Hunze                             ;Buurt     ;BU16800209;1;7.0;35.0
11;Wijk 03 Gasteren;Aa en Hunze                             ;Wijk      ;WK168003  ;1;53.0;227.0
12;Gasteren;Aa en Hunze                             ;Buurt     ;BU16800300;1;53.0;227.0
13;Verspreide huizen Gasteren;Aa en Hunze                             ;Buurt     ;BU16800309;1;;
14;Wijk 04 Anderen;Aa en Hunze                             ;Wijk      ;WK168004  ;1;27.0;129.0
15;Anderen;Aa en Hunze                             ;Buurt     ;BU16800400;1;24.0;114.0
16;Verspreide huizen Anderen;Aa en Hunze                             ;Buurt     ;BU16800409;1;3.0;15.0
17;Wijk 05 Schipborg;Aa en Hunze                             ;Wijk      ;WK168005  ;1;82.0;325.0
18;Schipborg;Aa en Hunze                             ;Buurt     ;BU16800500;1;79.0;312.0
19;Verspreide huizen Schipborg;Aa en Hunze                             ;Buurt     ;BU16800509;1;3.0;13.0
20;Wijk 06 Eexterveen;Aa en Hunze                             ;Wijk      ;WK168006  ;1;61.0;249.0
21;Eexterveen;Aa en Hunze                             ;Buurt     ;BU16800600;1;58.0;238.0
22;Verspreide huizen Eexterveen;Aa en Hunze                             ;Buurt     ;BU16800609;1;3.0;11.0
