ID;Vormen;Wijken;Perioden;TotaalJongerenMetJeugdzorgInNatura_1;k_0Tot4Jaar_2;k_4Tot12Jaar_3;k_12Tot18Jaar_4;k_18Tot23Jaar_5;ThuiswonendKindInEenouderhuishouden_6;ThuiswonendKindBijEenPaar_7;AnderHuishouden_8;TotaalTrajectenInNatura_9;GemeentelijkeToegang_10;Huisarts_11;Jeugdarts_12;GecertificeerdeInstelling_13;MedischSpecialist_14;RechterOfficierVanJustitie_15;GeenVerwijzer_16;VerwijzerOnbekend_17;Gemeentenaam_18;SoortRegio_19;Codering_20;IndelingswijzigingWijken_21
0;Totaal alle jeugdzorg in natura;Nederland;1e halfjaar 2024;398485.0;20805.0;189190.0;171150.0;17345.0;110015.0;256910.0;31565.0;562220.0;178730.0;181165.0;17330.0;43025.0;23235.0;1535.0;74630.0;2735.0;                                        ;         ;NL01      ;
1;Totaal alle jeugdzorg in natura;Aa en Hunze;1e halfjaar 2024;505.0;25.0;265.0;200.0;15.0;75.0;390.0;45.0;650.0;160.0;265.0;35.0;55.0;30.0;;60.0;10.0;Aa en Hunze                             ;Gemeente ;GM1680    ;1.0
2;Totaal alle jeugdzorg in natura;Wijk 00 Annen;1e halfjaar 2024;70.0;;30.0;35.0;;;60.0;;85.0;20.0;40.0;;;;;;;Aa en Hunze                             ;Wijk     ;WK168000  ;1.0
3;Totaal alle jeugdzorg in natura;Wijk 01 Eext;1e halfjaar 2024;25.0;;10.0;10.0;;;20.0;;30.0;;15.0;;;;;;;Aa en Hunze                             ;Wijk     ;WK168001  ;1.0
4;Totaal alle jeugdzorg in natura;Wijk 02 Anloo;1e halfjaar 2024;10.0;;;;;;10.0;;15.0;;;;;;;;;Aa en Hunze                             ;Wijk     ;WK168002  ;1.0
5;Totaal alle jeugdzorg in natura;Wijk 03 Gasteren;1e halfjaar 2024;10.0;;;;;;10.0;;10.0;;;;;;;;;Aa en Hunze                             ;Wijk     ;WK168003  ;1.0
6;Totaal alle jeugdzorg in natura;Wijk 04 Anderen;1e halfjaar 2024;;;;;;;;;;;;;;;;;;Aa en Hunze                             ;Wijk     ;WK168004  ;1.0
7;Totaal alle jeugdzorg in natura;Wijk 05 Schipborg;1e halfjaar 2024;10.0;;;;;;10.0;;10.0;;;;;;;;;Aa en Hunze                             ;Wijk     ;WK168005  ;1.0
8;Totaal alle jeugdzorg in natura;Wijk 06 Eexterveen;1e halfjaar 2024;10.0;;;;;;10.0;;10.0;;;;;;;;;Aa en Hunze                             ;Wijk     ;WK168006  ;1.0
9;Totaal alle jeugdzorg in natura;Wijk 07 Spijkerboor;1e halfjaar 2024;;;;;;;;;;;;;;;;;;Aa en Hunze                             ;Wijk     ;WK168007  ;1.0
10;Totaal alle jeugdzorg in natura;Wijk 08 Nieuw-Annerveen;1e halfjaar 2024;;;;;;;;;;;;;;;;;;Aa en Hunze                             ;Wijk     ;WK168008  ;1.0
11;Totaal alle jeugdzorg in natura;Wijk 09 Oud-Annerveen;1e halfjaar 2024;;;;;;;;;;;;;;;;;;Aa en Hunze                             ;Wijk     ;WK168009  ;1.0
12;Totaal alle jeugdzorg in natura;Wijk 11 Annerveenschekanaal;1e halfjaar 2024;;;;;;;;;;;;;;;;;;Aa en Hunze                             ;Wijk     ;WK168011  ;1.0
13;Totaal alle jeugdzorg in natura;Wijk 12 Eexterveenschekanaal;1e halfjaar 2024;;;;;;;;;;;;;;;;;;Aa en Hunze                             ;Wijk     ;WK168012  ;1.0
14;Totaal alle jeugdzorg in natura;Wijk 13 Eexterzandvoort;1e halfjaar 2024;;;;;;;;;;;;;;;;;;Aa en Hunze                             ;Wijk     ;WK168013  ;1.0
15;Totaal alle jeugdzorg in natura;Wijk 14 Gasselte;1e halfjaar 2024;20.0;;15.0;10.0;;;15.0;;30.0;10.0;10.0;;;;;;;Aa en Hunze                             ;Wijk     ;WK168014  ;1.0
16;Totaal alle jeugdzorg in natura;Wijk 15 Gasselternijveen;1e halfjaar 2024;40.0;;15.0;20.0;;;25.0;;50.0;15.0;15.0;;10.0;;;;;Aa en Hunze                             ;Wijk     ;WK168015  ;1.0
17;Totaal alle jeugdzorg in natura;Wijk 16 Gasselternijveenschemond;1e halfjaar 2024;20.0;;10.0;;;;10.0;;20.0;;;;;;;;;Aa en Hunze                             ;Wijk     ;WK168016  ;1.0
18;Totaal alle jeugdzorg in natura;Wijk 17 Gieten;1e halfjaar 2024;70.0;;30.0;35.0;;10.0;55.0;;90.0;25.0;55.0;;;;;;;Aa en Hunze                             ;Wijk     ;WK168017  ;1.0
19;Totaal alle jeugdzorg in natura;Wijk 18 Gieterveen;1e halfjaar 2024;25.0;;10.0;10.0;;;20.0;;35.0;10.0;10.0;;;;;;;Aa en Hunze                             ;Wijk     ;WK168018  ;1.0
20;Totaal alle jeugdzorg in natura;Wijk 19 Rolde;1e halfjaar 2024;75.0;;35.0;35.0;;10.0;55.0;10.0;90.0;30.0;45.0;;10.0;;;;;Aa en Hunze                             ;Wijk     ;WK168019  ;1.0
21;Totaal alle jeugdzorg in natura;Wijk 20 Grolloo;1e halfjaar 2024;25.0;;10.0;10.0;;;15.0;;30.0;10.0;15.0;;;;;;;Aa en Hunze                             ;Wijk     ;WK168020  ;1.0
22;Totaal alle jeugdzorg in natura;Wijk 21 Ekehaar;1e halfjaar 2024;15.0;;;;;;10.0;;15.0;;;;;;;;;Aa en Hunze                             ;Wijk     ;WK168021  ;1.0
23;Totaal alle jeugdzorg in natura;Aalsmeer;1e halfjaar 2024;880.0;30.0;425.0;405.0;20.0;175.0;675.0;35.0;1130.0;280.0;630.0;20.0;60.0;45.0;;40.0;;Aalsmeer                                ;Gemeente ;GM0358    ;1.0
24;Totaal alle jeugdzorg in natura;Wijk 00 Aalsmeer;1e halfjaar 2024;300.0;10.0;145.0;140.0;10.0;65.0;225.0;15.0;395.0;105.0;200.0;10.0;25.0;20.0;;15.0;;Aalsmeer                                ;Wijk     ;WK035800  ;1.0
25;Totaal alle jeugdzorg in natura;Wijk 01 Kudelstraat en Kalslagen;1e halfjaar 2024;255.0;10.0;115.0;125.0;;50.0;195.0;;310.0;70.0;200.0;;10.0;10.0;;10.0;;Aalsmeer                                ;Wijk     ;WK035801  ;1.0
26;Totaal alle jeugdzorg in natura;Wijk 02 Oosteinde;1e halfjaar 2024;305.0;10.0;155.0;135.0;;55.0;240.0;10.0;390.0;95.0;215.0;;25.0;15.0;;15.0;;Aalsmeer                                ;Wijk     ;WK035802  ;1.0
27;Totaal alle jeugdzorg in natura;Aalten;1e halfjaar 2024;575.0;30.0;245.0;265.0;35.0;130.0;405.0;40.0;845.0;370.0;155.0;10.0;40.0;15.0;;220.0;;Aalten                                  ;Gemeente ;GM0197    ;1.0
28;Totaal alle jeugdzorg in natura;Wijk 01 Buitengebied Aalten;1e halfjaar 2024;50.0;;20.0;25.0;;;40.0;;80.0;35.0;25.0;;;;;15.0;;Aalten                                  ;Wijk     ;WK019701  ;1.0
29;Totaal alle jeugdzorg in natura;Wijk 02 Bredevoort;1e halfjaar 2024;30.0;;;15.0;;;25.0;;45.0;20.0;;;;;;15.0;;Aalten                                  ;Wijk     ;WK019702  ;1.0
30;Totaal alle jeugdzorg in natura;Wijk 03 Aalten Kern;1e halfjaar 2024;270.0;15.0;125.0;120.0;15.0;60.0;200.0;10.0;400.0;180.0;80.0;;20.0;;;110.0;;Aalten                                  ;Wijk     ;WK019703  ;1.0
