ID;ExportCharacteristics;Periods;ExportGrowth_1;ContributionToTotalExportGrowth_2
0;Total;2012;20358508.0;5.0
1;Total;2013;3389471.0;0.8
2;Total;2014;299443.0;0.1
3;Total;2015;;
4;Total;2016;4245625.0;1.0
5;Total;2017;44206192.0;10.4
6;Total;2018;30440281.0;6.5
7;Total;2019;17390024.0;3.5
8;Total;2020;-32551398.0;-6.3
9;Total;2021;103928826.0;21.5
10;Total;2022;;
11;Exports of Dutch products;2012;2660338.0;0.6
12;Exports of Dutch products;2013;-402254.0;-0.1
13;Exports of Dutch products;2014;4630374.0;1.1
14;Exports of Dutch products;2015;;
15;Exports of Dutch products;2016;-4660019.0;-1.1
16;Exports of Dutch products;2017;22966903.0;5.4
17;Exports of Dutch products;2018;17893455.0;3.8
18;Exports of Dutch products;2019;6548427.0;1.3
19;Exports of Dutch products;2020;-21957615.0;-4.3
20;Exports of Dutch products;2021;62772755.0;13.0
21;Exports of Dutch products;2022;;
22;Re-exports;2012;17698169.0;4.3
23;Re-exports;2013;3791726.0;0.9
24;Re-exports;2014;-4330931.0;-1.0
25;Re-exports;2015;;
26;Re-exports;2016;8905644.0;2.1
27;Re-exports;2017;21239289.0;5.0
28;Re-exports;2018;12546826.0;2.7
29;Re-exports;2019;10841598.0;2.2
30;Re-exports;2020;-10593783.0;-2.1
31;Re-exports;2021;41156070.0;8.5
32;Re-exports;2022;;
33;Australia;2012;485753.0;0.1
34;Australia;2013;-65663.0;0.0
35;Australia;2014;-48427.0;0.0
36;Australia;2015;;
37;Australia;2016;94534.0;0.0
38;Australia;2017;265616.0;0.1
39;Australia;2018;476128.0;0.1
40;Australia;2019;176604.0;0.0
41;Australia;2020;-182579.0;0.0
42;Australia;2021;327390.0;0.1
43;Australia;2022;;
44;Belgium;2012;-159716.0;0.0
45;Belgium;2013;-687280.0;-0.2
46;Belgium;2014;-318672.0;-0.1
47;Belgium;2015;;
48;Belgium;2016;-351478.0;-0.1
49;Belgium;2017;4574038.0;1.1
50;Belgium;2018;2414029.0;0.5
51;Belgium;2019;1509920.0;0.3
52;Belgium;2020;-2624698.0;-0.5
53;Belgium;2021;13422777.0;2.8
54;Belgium;2022;;
55;Brazil;2012;800578.0;0.2
56;Brazil;2013;-889022.0;-0.2
