ID;Bronnen;Perioden;CO2_1;CH4_2;N2O_3
0;Totaal Stationaire en mobiele bronnen;1990;163600;1276.1;60.67
1;Totaal Stationaire en mobiele bronnen;1991 ;172000;1292.18;61.34
2;Totaal Stationaire en mobiele bronnen;1992;171700;1275.77;62.26
3;Totaal Stationaire en mobiele bronnen;1993 ;171600;1257.9;63.21
4;Totaal Stationaire en mobiele bronnen;1994 ;172400;1216.42;61.69
5;Totaal Stationaire en mobiele bronnen;1995;173900;1186.69;61.19
6;Totaal Stationaire en mobiele bronnen;1996 ;182900;1159.43;61.4
7;Totaal Stationaire en mobiele bronnen;1997 ;175900;1093.24;60.5
8;Totaal Stationaire en mobiele bronnen;1998 ;176800;1064.27;58.56
9;Totaal Stationaire en mobiele bronnen;1999 ;171400;1013.2;56.31
10;Totaal Stationaire en mobiele bronnen;2000;172500;968.48;54.09
11;Totaal Stationaire en mobiele bronnen;2001;177600;942.35;51.0
12;Totaal Stationaire en mobiele bronnen;2002;176900;896.71;47.95
13;Totaal Stationaire en mobiele bronnen;2003;180300;865.78;47.55
14;Totaal Stationaire en mobiele bronnen;2004;182200;849.54;48.79
15;Totaal Stationaire en mobiele bronnen;2005;178300;790.77;48.62
16;Totaal Stationaire en mobiele bronnen;2006;173400;772.85;48.89
17;Totaal Stationaire en mobiele bronnen;2007;173200;774.7;43.57
18;Totaal Stationaire en mobiele bronnen;2008;176100;783.93;30.99
19;Totaal Stationaire en mobiele bronnen;2009;170800;777.18;30.44
20;Totaal Stationaire en mobiele bronnen;2010;182800;774.32;29.47
21;Totaal Stationaire en mobiele bronnen;2011;169600;751.61;28.75
22;Totaal Stationaire en mobiele bronnen;2012;165900;734.93;28.15
23;Totaal Stationaire en mobiele bronnen;2013;165300;734.22;28.89
24;Totaal Stationaire en mobiele bronnen;2014;157900;716.72;29.32
25;Totaal Stationaire en mobiele bronnen;2015;164300;724.75;30.08
26;Totaal Stationaire en mobiele bronnen;2016;165100;729.57;29.05
27;Totaal Stationaire en mobiele bronnen;2017;162700;716.56;29.86
28;Totaal Stationaire en mobiele bronnen;2018;158600;692.67;29.14
29;Totaal Stationaire en mobiele bronnen;2019;152900;688.28;28.73
30;Totaal Stationaire en mobiele bronnen;2020;137100;677.63;28.15
31;Totaal Stationaire en mobiele bronnen;2021;140400;668.4;27.0
32;Stationaire bronnen, totaal;1990;130600;1267.57;60.22
33;Stationaire bronnen, totaal;1991 ;138600;1284.73;60.79
34;Stationaire bronnen, totaal;1992;136900;1268.72;61.58
35;Stationaire bronnen, totaal;1993 ;136000;1251.15;62.43
36;Stationaire bronnen, totaal;1994 ;137100;1210.09;60.83
37;Stationaire bronnen, totaal;1995;138000;1180.5;60.24
38;Stationaire bronnen, totaal;1996 ;145800;1153.37;60.39
39;Stationaire bronnen, totaal;1997 ;138900;1087.64;59.49
40;Stationaire bronnen, totaal;1998 ;139100;1058.98;57.55
41;Stationaire bronnen, totaal;1999 ;132800;1008.23;55.3
42;Stationaire bronnen, totaal;2000;134100;963.99;53.07
43;Stationaire bronnen, totaal;2001;138900;937.98;49.98
44;Stationaire bronnen, totaal;2002;137900;892.46;46.95
45;Stationaire bronnen, totaal;2003;140900;861.68;46.58
46;Stationaire bronnen, totaal;2004;142400;845.65;47.85
47;Stationaire bronnen, totaal;2005;138100;786.99;47.71
48;Stationaire bronnen, totaal;2006;132500;769.1;48.0
49;Stationaire bronnen, totaal;2007;133300;770.99;42.66
50;Stationaire bronnen, totaal;2008;136100;780.25;30.03
51;Stationaire bronnen, totaal;2009;132400;773.66;29.48
52;Stationaire bronnen, totaal;2010;143700;770.9;28.48
53;Stationaire bronnen, totaal;2011;130600;748.26;27.72
54;Stationaire bronnen, totaal;2012;128900;731.8;27.15
55;Stationaire bronnen, totaal;2013;129700;731.19;27.9
56;Stationaire bronnen, totaal;2014;124600;713.83;28.43
57;Stationaire bronnen, totaal;2015;130900;721.91;29.17
58;Stationaire bronnen, totaal;2016;131600;726.77;28.17
59;Stationaire bronnen, totaal;2017;128600;713.65;28.94
60;Stationaire bronnen, totaal;2018;124300;689.84;28.23
61;Stationaire bronnen, totaal;2019;119300;685.41;27.83
62;Stationaire bronnen, totaal;2020;107800;675.08;27.37
63;Stationaire bronnen, totaal;2021;111100;665.77;26.22
64;Energiesector;1990;52800;80.02;0.42
65;Energiesector;1991 ;53300;80.22;0.37
66;Energiesector;1992;53300;79.98;0.37
67;Energiesector;1993 ;55400;80.09;0.38
68;Energiesector;1994 ;58800;80.08;0.43
69;Energiesector;1995;61200;80.15;0.46
70;Energiesector;1996 ;62000;74.88;0.44
71;Energiesector;1997 ;62500;50.72;0.42
72;Energiesector;1998 ;64600;51.16;0.44
73;Energiesector;1999 ;60800;44.12;0.38
74;Energiesector;2000;62600;41.15;0.42
75;Energiesector;2001;66500;40.87;0.46
76;Energiesector;2002;66500;39.4;0.48
77;Energiesector;2003;67700;38.84;0.48
78;Energiesector;2004;69000;37.29;0.49
79;Energiesector;2005;66400;40.06;0.54
80;Energiesector;2006;61300;36.27;0.5
81;Energiesector;2007;63900;38.74;0.52
82;Energiesector;2008;63500;40.35;0.49
83;Energiesector;2009;62400;35.36;0.5
84;Energiesector;2010;64400;38.54;0.51
85;Energiesector;2011;60400;38.88;0.48
86;Energiesector;2012;57200;36.33;0.51
87;Energiesector;2013;57200;32.75;0.49
88;Energiesector;2014;61200;31.68;0.52
89;Energiesector;2015;66000;30.92;0.62
90;Energiesector;2016;64200;29.21;0.58
91;Energiesector;2017;60000;25.64;0.52
92;Energiesector;2018;56300;23.06;0.47
93;Energiesector;2019;53900;23.14;0.48
94;Energiesector;2020;43800;22.47;0.44
95;Energiesector;2021;44100;20.62;0.58
96;06 Winning van aardolie en aardgas;1990;2300;77.35;0.0
97;06 Winning van aardolie en aardgas;1991 ;2300;77.29;0.0
98;06 Winning van aardolie en aardgas;1992;2300;76.99;0.0
99;06 Winning van aardolie en aardgas;1993 ;2100;76.79;0.0
100;06 Winning van aardolie en aardgas;1994 ;1900;76.75;0.0
101;06 Winning van aardolie en aardgas;1995;2000;76.83;0.0
102;06 Winning van aardolie en aardgas;1996 ;2100;71.26;0.0
103;06 Winning van aardolie en aardgas;1997 ;2200;46.95;0.0
104;06 Winning van aardolie en aardgas;1998 ;2100;47.35;0.0
105;06 Winning van aardolie en aardgas;1999 ;2000;40.33;0.0
106;06 Winning van aardolie en aardgas;2000;2000;37.3;0.0
107;06 Winning van aardolie en aardgas;2001;2000;36.78;0.0
108;06 Winning van aardolie en aardgas;2002;2100;35.12;0.0
109;06 Winning van aardolie en aardgas;2003;2000;34.62;0.0
110;06 Winning van aardolie en aardgas;2004;2100;32.66;0.0
111;06 Winning van aardolie en aardgas;2005;2200;35.18;0.0
112;06 Winning van aardolie en aardgas;2006;2100;31.67;0.0
113;06 Winning van aardolie en aardgas;2007;1900;34.28;0.03
114;06 Winning van aardolie en aardgas;2008;1900;35.96;0.03
115;06 Winning van aardolie en aardgas;2009;2000;30.25;0.02
116;06 Winning van aardolie en aardgas;2010;2100;33.28;0.03
117;06 Winning van aardolie en aardgas;2011;2000;33.51;0.03
118;06 Winning van aardolie en aardgas;2012;2100;31.71;0.03
119;06 Winning van aardolie en aardgas;2013;2200;28.9;0.03
120;06 Winning van aardolie en aardgas;2014;2200;28.01;0.03
121;06 Winning van aardolie en aardgas;2015;1900;26.68;0.03
122;06 Winning van aardolie en aardgas;2016;1700;24.8;0.03
123;06 Winning van aardolie en aardgas;2017;1800;21.43;0.04
124;06 Winning van aardolie en aardgas;2018;1700;18.7;0.03
125;06 Winning van aardolie en aardgas;2019;1500;18.05;0.09
126;06 Winning van aardolie en aardgas;2020;1500;16.74;0.06
127;06 Winning van aardolie en aardgas;2021;1400;15.3;0.05
128;192 Aardolie-industrie;1990;11000;1.13;0.05
129;192 Aardolie-industrie;1991 ;11100;1.14;0.02
130;192 Aardolie-industrie;1992;10400;1.1;0.02
131;192 Aardolie-industrie;1993 ;11500;1.25;0.05
132;192 Aardolie-industrie;1994 ;11300;1.19;0.05
133;192 Aardolie-industrie;1995;11600;1.03;0.05
134;192 Aardolie-industrie;1996 ;11800;1.02;0.05
135;192 Aardolie-industrie;1997 ;12000;1.05;0.05
136;192 Aardolie-industrie;1998 ;12400;1.0;0.05
137;192 Aardolie-industrie;1999 ;11800;0.9;0.04
138;192 Aardolie-industrie;2000;12400;0.9;0.04
139;192 Aardolie-industrie;2001;12700;0.86;0.04
140;192 Aardolie-industrie;2002;11700;0.87;0.03
141;192 Aardolie-industrie;2003;12200;0.89;0.04
142;192 Aardolie-industrie;2004;12200;0.94;0.04
143;192 Aardolie-industrie;2005;12400;0.87;0.04
144;192 Aardolie-industrie;2006;11600;0.84;0.04
145;192 Aardolie-industrie;2007;11600;0.95;0.04
146;192 Aardolie-industrie;2008;11800;0.83;0.04
147;192 Aardolie-industrie;2009;10800;1.26;0.03
148;192 Aardolie-industrie;2010;10600;1.03;0.02
