ID;Perioden;AantalBedrijven_1;TotaalBedrijfsopbrengsten_2;TotaalNettoOmzet_3;OverigeBedrijfsopbrengstenNietEer_4;TotaalBedrijfslasten_5;TotaalArbeidskosten_6;LonenEnSalarissen_7;Pensioenlasten_8;SocialeLasten_9;AfschrijvingenOpVasteActiva_10;TotaalOverigeBedrijfslasten_11;TotaalAnderePersoneelskosten_12;KostenUitzendkrachtenEnOverigeInleen_13;OverigePersoneelskosten_14;OverigeBedrijfslastenNietEer_15;Bedrijfsresultaat_16;FinancieleBaten_17;FinancieleLasten_18;FinancieelResultaat_19;VrijvalVanVoorzieningen_20;ToevoegingenVoorzieningen_21;SaldoVoorzieningen_22;BuitengewoneBaten_23;BuitengewoneLasten_24;BuitengewoonResultaat_25;ResultaatVoorBelastingen_26
0;2002;450;108.7;107.5;1.2;25.4;8.0;6.9;0.2;0.9;1.7;15.6;2.8;2.2;0.6;12.8;83.4;0.0;0.3;-0.3;0;0.0;0.0;0.2;0.2;-0.1;83.0
1;2003;450;116.6;115.7;0.9;35.7;13.3;11.5;0.4;1.5;2.5;19.9;4.6;4.0;0.6;15.3;80.9;0.1;0.5;-0.4;0;0.0;0.0;0.2;0.1;0.1;80.6
2;2004;450;112.7;111.3;1.4;33.8;14.2;12.1;0.4;1.6;2.3;17.4;2.5;2.1;0.4;14.9;78.9;0.1;0.3;-0.2;0;0.1;-0.1;0.0;0.1;-0.1;78.6
3;2005;450;107.4;106.1;1.3;34.3;14.9;12.8;0.3;1.8;1.8;17.7;2.3;1.6;0.6;15.4;73.1;;;0.1;0;0.1;0.0;;;1.4;74.5
4;2006;470;117.5;115.3;2.3;36.7;13.8;11.9;0.2;1.6;2.2;20.7;3.1;2.4;0.8;17.6;80.8;;;-0.2;0;0.0;0.0;;;0.7;81.3
5;2007;480;120.1;118.2;1.9;38.1;14.2;12.3;0.3;1.5;2.3;21.6;2.6;2.0;0.6;19.0;82.0;;;-0.1;0;0.0;0.0;;;0.2;82.1
