ID;DiplomaOpPeilmoment;Geslacht;Herkomstkenmerken;DefinitiefSchooladvies;OnderwijspositieOpPeilmoment;Startjaar;Peilmoment;LeerlingenAantal_1
0;Totaal leerlingen startjaar;Totaal leerlingen startjaar;Totaal leerlingen startjaar;Totaal leerlingen startjaar;Totaal leerlingen startjaar;2008;4 jaar na startjaar;183570.0
1;Totaal leerlingen startjaar;Totaal leerlingen startjaar;Totaal leerlingen startjaar;Totaal leerlingen startjaar;Totaal leerlingen startjaar;2008;5 jaar na startjaar;183570.0
2;Totaal leerlingen startjaar;Totaal leerlingen startjaar;Totaal leerlingen startjaar;Totaal leerlingen startjaar;Totaal leerlingen startjaar;2008;6 jaar na startjaar;183570.0
3;Totaal leerlingen startjaar;Totaal leerlingen startjaar;Totaal leerlingen startjaar;Totaal leerlingen startjaar;Totaal leerlingen startjaar;2008;7 jaar na startjaar;183570.0
4;Totaal leerlingen startjaar;Totaal leerlingen startjaar;Totaal leerlingen startjaar;Totaal leerlingen startjaar;Totaal leerlingen startjaar;2010;4 jaar na startjaar;189180.0
5;Totaal leerlingen startjaar;Totaal leerlingen startjaar;Totaal leerlingen startjaar;Totaal leerlingen startjaar;Totaal leerlingen startjaar;2010;5 jaar na startjaar;189180.0
6;Totaal leerlingen startjaar;Totaal leerlingen startjaar;Totaal leerlingen startjaar;Totaal leerlingen startjaar;Totaal leerlingen startjaar;2010;6 jaar na startjaar;189180.0
7;Totaal leerlingen startjaar;Totaal leerlingen startjaar;Totaal leerlingen startjaar;Totaal leerlingen startjaar;Totaal leerlingen startjaar;2010;7 jaar na startjaar;189180.0
8;Totaal leerlingen startjaar;Totaal leerlingen startjaar;Totaal leerlingen startjaar;Totaal leerlingen startjaar;Totaal leerlingen startjaar;2012;4 jaar na startjaar;197080.0
9;Totaal leerlingen startjaar;Totaal leerlingen startjaar;Totaal leerlingen startjaar;Totaal leerlingen startjaar;Totaal leerlingen startjaar;2012;5 jaar na startjaar;197080.0
10;Totaal leerlingen startjaar;Totaal leerlingen startjaar;Totaal leerlingen startjaar;Totaal leerlingen startjaar;Totaal leerlingen startjaar;2012;6 jaar na startjaar;197080.0
11;Totaal leerlingen startjaar;Totaal leerlingen startjaar;Totaal leerlingen startjaar;Totaal leerlingen startjaar;Totaal leerlingen startjaar;2012;7 jaar na startjaar;197080.0
12;Totaal leerlingen startjaar;Totaal leerlingen startjaar;Totaal leerlingen startjaar;Totaal leerlingen startjaar;Totaal leerlingen startjaar;2014;4 jaar na startjaar;197280.0
13;Totaal leerlingen startjaar;Totaal leerlingen startjaar;Totaal leerlingen startjaar;Totaal leerlingen startjaar;Totaal leerlingen startjaar;2014;5 jaar na startjaar;197280.0
14;Totaal leerlingen startjaar;Totaal leerlingen startjaar;Totaal leerlingen startjaar;Totaal leerlingen startjaar;Totaal leerlingen startjaar;2014;6 jaar na startjaar;197280.0
