ID;RegioS;Geslacht;Leeftijd;AantalPersonenMet52WekenInkomen_1;GemiddeldBesteedbaarInkomen_2
0;Nederland;Mannen en vrouwen;Totaal leeftijd;10774.6;18.6
1;Nederland;Mannen en vrouwen;15 tot 25 jaar;1098.4;9.8
2;Nederland;Mannen en vrouwen;25 tot 45 jaar;4163.0;19.8
3;Nederland;Mannen en vrouwen;45 tot 65 jaar;3327.6;21.6
4;Nederland;Mannen en vrouwen;65 jaar en ouder;2185.6;16.1
5;Nederland;Man;Totaal leeftijd;5736.7;22.5
6;Nederland;Man;15 tot 25 jaar;561.8;10.3
7;Nederland;Man;25 tot 45 jaar;2279.0;23.5
8;Nederland;Man;45 tot 65 jaar;1976.8;26.2
9;Nederland;Man;65 jaar en ouder;919.2;19.7
10;Nederland;Vrouw;Totaal leeftijd;5037.9;14.2
11;Nederland;Vrouw;15 tot 25 jaar;536.6;9.2
12;Nederland;Vrouw;25 tot 45 jaar;1884.1;15.5
13;Nederland;Vrouw;45 tot 65 jaar;1350.8;15.0
14;Nederland;Vrouw;65 jaar en ouder;1266.5;13.5
15;Noord-Nederland (LD);Mannen en vrouwen;Totaal leeftijd;1121.1;17.2
16;Noord-Nederland (LD);Mannen en vrouwen;15 tot 25 jaar;114.4;9.4
17;Noord-Nederland (LD);Mannen en vrouwen;25 tot 45 jaar;411.4;18.2
18;Noord-Nederland (LD);Mannen en vrouwen;45 tot 65 jaar;348.0;20.2
19;Noord-Nederland (LD);Mannen en vrouwen;65 jaar en ouder;247.3;15.1
20;Noord-Nederland (LD);Man;Totaal leeftijd;604.8;20.6
21;Noord-Nederland (LD);Man;15 tot 25 jaar;59.0;10.1
22;Noord-Nederland (LD);Man;25 tot 45 jaar;228.3;21.3
23;Noord-Nederland (LD);Man;45 tot 65 jaar;212.6;24.0
24;Noord-Nederland (LD);Man;65 jaar en ouder;105.0;18.2
25;Noord-Nederland (LD);Vrouw;Totaal leeftijd;516.3;13.2
26;Noord-Nederland (LD);Vrouw;15 tot 25 jaar;55.5;8.7
27;Noord-Nederland (LD);Vrouw;25 tot 45 jaar;183.1;14.3
28;Noord-Nederland (LD);Vrouw;45 tot 65 jaar;135.4;14.2
29;Noord-Nederland (LD);Vrouw;65 jaar en ouder;142.3;12.7
30;Oost-Nederland (LD);Mannen en vrouwen;Totaal leeftijd;2231.2;18.0
31;Oost-Nederland (LD);Mannen en vrouwen;15 tot 25 jaar;242.6;9.7
32;Oost-Nederland (LD);Mannen en vrouwen;25 tot 45 jaar;865.4;19.1
33;Oost-Nederland (LD);Mannen en vrouwen;45 tot 65 jaar;678.5;21.0
34;Oost-Nederland (LD);Mannen en vrouwen;65 jaar en ouder;444.8;15.7
35;Oost-Nederland (LD);Man;Totaal leeftijd;1204.0;21.8
36;Oost-Nederland (LD);Man;15 tot 25 jaar;126.3;10.3
