ID;BronTechniek;Perioden;Elektriciteitsproductie_1;AandeelInTotaalElektriciteitsverbruik_2;Elektriciteitsproductie_3;AandeelInTotaalElektriciteitsverbruik_4;Elektriciteitsproductie_5;AandeelInTotaalElektriciteitsverbruik_6;Elektriciteit_7;AandeelInTotaalElektriciteitsverbruik_8;Elektriciteit_9;AandeelInTotaalElektriciteitsverbruik_10
0;Totaal energiebronnen;1990;811.0;1.0;811.0;1.0;720.0;0.92;;;;
1;Totaal energiebronnen;1991;933.0;1.12;943.0;1.13;846.0;1.05;;;;
2;Totaal energiebronnen;1992;992.0;1.15;1019.0;1.19;893.0;1.07;;;;
3;Totaal energiebronnen;1993;1138.0;1.3;1130.0;1.29;952.0;1.13;;;;
4;Totaal energiebronnen;1994;1260.0;1.4;1278.0;1.42;1087.0;1.25;;;;
5;Totaal energiebronnen;1995;1431.0;1.55;1423.0;1.54;1214.0;1.36;;;;
6;Totaal energiebronnen;1996;1849.0;1.93;1835.0;1.91;1576.0;1.71;;;;
7;Totaal energiebronnen;1997;2049.0;2.06;2032.0;2.05;1725.0;1.8;;;;
8;Totaal energiebronnen;1998;2264.0;2.2;2347.0;2.28;2018.0;2.03;;;;
9;Totaal energiebronnen;1999;2534.0;2.41;2531.0;2.41;2187.0;2.15;;;;
10;Totaal energiebronnen;2000;2873.0;2.65;3000.0;2.76;2650.0;2.53;;;;
11;Totaal energiebronnen;2001;3310.0;2.98;3330.0;3.0;2979.0;2.78;;;;
12;Totaal energiebronnen;2002 1e kwartaal;;;1036.0;3.6;938.0;3.38;137.0;0.49;;
13;Totaal energiebronnen;2002 2e kwartaal;;;872.0;3.25;790.0;3.05;2003.0;7.74;;
14;Totaal energiebronnen;2002 3e kwartaal;;;950.0;3.48;860.0;3.26;2638.0;10.01;;
15;Totaal energiebronnen;2002 4e kwartaal;;;1140.0;3.88;1033.0;3.63;3371.0;11.86;;
16;Totaal energiebronnen;2002;4064.0;3.62;3999.0;3.56;3621.0;3.34;8149.0;7.51;;
17;Totaal energiebronnen;2003 1e kwartaal;;;976.0;3.31;891.0;3.12;2281.0;8.0;;
18;Totaal energiebronnen;2003 2e kwartaal;;;906.0;3.36;827.0;3.17;2426.0;9.32;;
19;Totaal energiebronnen;2003 3e kwartaal;;;948.0;3.47;866.0;3.29;1800.0;6.83;;
20;Totaal energiebronnen;2003 4e kwartaal;;;1157.0;3.86;1056.0;3.64;3206.0;11.04;;
21;Totaal energiebronnen;2003;4054.0;3.56;3987.0;3.5;3640.0;3.31;9713.0;8.83;;
22;Totaal energiebronnen;2004 1e kwartaal;;;1267.0;4.14;1175.0;3.95;2385.0;8.01;;
23;Totaal energiebronnen;2004 2e kwartaal;;;1062.0;3.77;986.0;3.63;2501.0;9.21;;
24;Totaal energiebronnen;2004 3e kwartaal;;;1313.0;4.58;1218.0;4.44;1988.0;7.24;;
25;Totaal energiebronnen;2004 4e kwartaal;;;1689.0;5.41;1567.0;5.18;3588.0;11.86;;
26;Totaal energiebronnen;2004;5228.0;4.41;5331.0;4.49;4946.0;4.31;10462.0;9.13;3.0;0.0
27;Totaal energiebronnen;2005 1e kwartaal;;;2192.0;7.06;2054.0;6.87;2003.0;6.7;;
28;Totaal energiebronnen;2005 2e kwartaal;;;1761.0;6.24;1650.0;6.05;1492.0;5.47;;
29;Totaal energiebronnen;2005 3e kwartaal;;;1613.0;5.71;1511.0;5.5;2267.0;8.26;;
30;Totaal energiebronnen;2005 4e kwartaal;;;1902.0;6.11;1782.0;5.97;4037.0;13.52;;
