ID;Populatie;Vervoerwijzen;Motieven;RegioS;Perioden;VerplaatsingenPerPersoonPerDag_1;AfgelegdeAfstandPerVerplaatsing_2;AfgelegdeAfstandPerPersoonPerDag_3;ReisduurPerVerplaatsing_4;ReisduurPerPersoonPerDag_5
0;Hele bevolking;Alle hoofdvervoerwijzen;1;Nederland;1985;;;;;
1;Hele bevolking;Alle hoofdvervoerwijzen;1;Nederland;1986;;;;;
2;Hele bevolking;Alle hoofdvervoerwijzen;1;Nederland;1987;;;;;
3;Hele bevolking;Alle hoofdvervoerwijzen;1;Nederland;1988;;;;;
4;Hele bevolking;Alle hoofdvervoerwijzen;1;Nederland;1989;;;;;
5;Hele bevolking;Alle hoofdvervoerwijzen;1;Nederland;1990;;;;;
6;Hele bevolking;Alle hoofdvervoerwijzen;1;Nederland;1991;;;;;
7;Hele bevolking;Alle hoofdvervoerwijzen;1;Nederland;1992;;;;;
8;Hele bevolking;Alle hoofdvervoerwijzen;1;Nederland;1993;;;;;
9;Hele bevolking;Alle hoofdvervoerwijzen;1;Nederland;1994;3.21;9.6;30.79;19.18;61.49
10;Hele bevolking;Alle hoofdvervoerwijzen;1;Nederland;1995;3.17;9.92;31.43;19.51;61.84
11;Hele bevolking;Alle hoofdvervoerwijzen;1;Nederland;1996;3.15;9.92;31.29;19.34;60.99
12;Hele bevolking;Alle hoofdvervoerwijzen;1;Nederland;1997;3.17;10.23;32.39;19.88;62.96
13;Hele bevolking;Alle hoofdvervoerwijzen;1;Nederland;1998;3.14;10.21;32.08;19.69;61.84
14;Hele bevolking;Alle hoofdvervoerwijzen;1;Nederland;1999;3.15;10.29;32.44;19.6;61.79
15;Hele bevolking;Alle hoofdvervoerwijzen;1;Nederland;2000;3.11;10.3;32.01;19.56;60.76
16;Hele bevolking;Alle hoofdvervoerwijzen;1;Nederland;2001;3.07;10.35;31.75;19.55;59.98
17;Hele bevolking;Alle hoofdvervoerwijzen;1;Nederland;2002;3.07;10.37;31.82;19.34;59.36
18;Hele bevolking;Alle hoofdvervoerwijzen;1;Nederland;2003;3.09;10.31;31.92;19.36;59.91
