ID;BelemmeringenVoorInternVerplaatsing;GradatieBelangrijkheid;TotaalBedrijven_1;InternationaleVerplaatsingIn20012006_2;PlannenIntVerplaatsingIn20072009_3;GeenVerplaatsingEnGeenPlannen_4;TotaalBedrijven_5;InternationaleVerplaatsingIn20012006_6;PlannenIntVerplaatsingIn20072009_7;GeenVerplaatsingEnGeenPlannen_8
0;1;0;4633;628;209;3797;100;100;100;100
1;1;1;669;101;29;539;14;16;14;14
2;1;2;842;181;85;575;18;29;41;15
3;1;3;574;181;53;339;12;29;25;9
4;1;4;2548;165;42;2344;55;26;20;62
5;2;0;4633;628;209;3797;100;100;100;100
6;2;1;549;97;16;436;12;15;8;11
7;2;2;865;217;63;586;19;35;30;15
8;2;3;660;167;85;408;14;27;41;11
9;2;4;2559;147;45;2367;55;23;22;62
10;3;0;4633;628;209;3797;100;100;100;100
11;3;1;386;84;16;286;8;13;8;8
12;3;2;825;183;53;589;18;29;25;16
13;3;3;736;152;98;486;16;24;47;13
14;3;4;2686;209;42;2436;58;33;20;64
15;4;0;4633;628;209;3797;100;100;100;100
16;4;1;186;21;47;158;4;3;22;4
17;4;2;713;159;119;520;15;25;57;14
18;4;3;1002;215;35;667;22;34;17;18
19;4;4;2732;233;8;2452;59;37;4;65
20;5;0;4633;628;209;3797;100;100;100;100
21;5;1;364;47;23;294;8;7;11;8
22;5;2;928;211;91;626;20;34;44;16
23;5;3;720;158;66;496;16;25;32;13
24;5;4;2621;212;29;2381;57;34;14;63
25;6;0;4633;628;209;3797;100;100;100;100
26;6;1;222;47;25;150;5;7;12;4
27;6;2;419;106;37;277;9;17;18;7
28;6;3;1033;220;83;730;22;35;40;19
29;6;4;2959;255;64;2640;64;41;31;70
30;7;0;4633;628;209;3797;100;100;100;100
31;7;1;315;27;11;278;7;4;5;7
32;7;2;781;150;65;566;17;24;31;15
33;7;3;807;203;83;521;17;32;40;14
34;7;4;2730;248;50;2432;59;39;24;64
35;8;0;4633;628;209;3797;100;100;100;100
36;8;1;531;81;19;432;11;13;9;11
37;8;2;655;144;62;449;14;23;30;12
38;8;3;842;215;96;532;18;34;46;14
39;8;4;2605;188;32;2384;56;30;15;63
40;9;0;4633;628;209;3797;100;100;100;100
41;9;1;1071;130;41;900;23;21;20;24
42;9;2;687;192;55;440;15;31;26;12
43;9;3;609;150;74;385;13;24;35;10
44;9;4;2266;156;39;2072;49;25;19;55
45;10;0;4633;628;209;3797;100;100;100;100
46;10;1;288;55;25;209;6;9;12;6
47;10;2;915;204;52;602;20;32;25;16
48;10;3;913;176;108;684;20;28;52;18
49;10;4;2517;193;24;2302;54;31;11;61
50;11;0;4633;628;209;3797;100;100;100;100
51;11;1;294;58;27;208;6;9;13;5
52;11;2;720;167;68;485;16;27;33;13
53;11;3;859;156;82;620;19;25;39;16
54;11;4;2760;247;32;2484;60;39;15;65
55;12;0;4633;628;209;3797;100;100;100;100
56;12;1;459;67;29;363;10;11;14;10
57;12;2;889;215;98;576;19;34;47;15
58;12;3;504;122;44;338;11;19;21;9
59;12;4;2781;224;38;2520;60;36;18;66
60;13;0;4633;628;209;3797;100;100;100;100
61;13;1;74;22;3;49;2;4;1;1
62;13;2;37;18;4;16;1;3;2;0
63;13;3;0;0;0;0;0;0;0;0
64;13;4;4522;588;202;3732;98;94;97;98
