ID;ArbeidsmarktpositieBijUitstroom;PeilmomentenArbeidsmarktpositie;Regiokenmerken;Perioden;InstromersTotaal_1;InstromersVolgtRegulierOnderwijs_2;InstromersGeenRegulierOnderwijs_3
0;Totaal;Op instroommoment;Nederland;Jaar van instroom: 2007;1301.0;502.0;799.0
1;Totaal;Op instroommoment;Nederland;Jaar van instroom: 2008;1251.0;495.0;756.0
2;Totaal;Op instroommoment;Nederland;Jaar van instroom: 2009;1120.0;448.0;672.0
3;Totaal;Op instroommoment;Nederland;Jaar van instroom: 2010;1183.0;473.0;711.0
4;Totaal;Op instroommoment;Nederland;Jaar van instroom: 2011;1177.0;471.0;706.0
5;Totaal;Op instroommoment;Nederland;Jaar van instroom: 2012;1131.0;444.0;686.0
6;Totaal;Op instroommoment;Nederland;Jaar van instroom: 2013;1143.0;439.0;704.0
7;Totaal;Op instroommoment;Nederland;Jaar van instroom: 2014;1199.0;458.0;742.0
8;Totaal;Op instroommoment;Nederland;Jaar van instroom: 2015;1227.0;479.0;748.0
9;Totaal;Op instroommoment;Nederland;Jaar van instroom: 2016;1249.0;478.0;771.0
10;Totaal;Op instroommoment;Nederland;Jaar van instroom: 2017;1280.0;482.0;798.0
11;Totaal;Op instroommoment;Noord-Nederland (LD);Jaar van instroom: 2007;133.0;57.0;76.0
12;Totaal;Op instroommoment;Noord-Nederland (LD);Jaar van instroom: 2008;130.0;57.0;73.0
13;Totaal;Op instroommoment;Noord-Nederland (LD);Jaar van instroom: 2009;115.0;50.0;65.0
14;Totaal;Op instroommoment;Noord-Nederland (LD);Jaar van instroom: 2010;125.0;54.0;71.0
15;Totaal;Op instroommoment;Noord-Nederland (LD);Jaar van instroom: 2011;121.0;53.0;68.0
16;Totaal;Op instroommoment;Noord-Nederland (LD);Jaar van instroom: 2012;118.0;50.0;68.0
17;Totaal;Op instroommoment;Noord-Nederland (LD);Jaar van instroom: 2013;120.0;50.0;70.0
18;Totaal;Op instroommoment;Noord-Nederland (LD);Jaar van instroom: 2014;122.0;51.0;71.0
19;Totaal;Op instroommoment;Noord-Nederland (LD);Jaar van instroom: 2015;126.0;54.0;71.0
20;Totaal;Op instroommoment;Noord-Nederland (LD);Jaar van instroom: 2016;126.0;54.0;71.0
21;Totaal;Op instroommoment;Noord-Nederland (LD);Jaar van instroom: 2017;128.0;55.0;74.0
22;Totaal;Op instroommoment;Oost-Nederland (LD);Jaar van instroom: 2007;274.0;110.0;164.0
23;Totaal;Op instroommoment;Oost-Nederland (LD);Jaar van instroom: 2008;263.0;108.0;154.0
24;Totaal;Op instroommoment;Oost-Nederland (LD);Jaar van instroom: 2009;235.0;97.0;138.0
25;Totaal;Op instroommoment;Oost-Nederland (LD);Jaar van instroom: 2010;249.0;102.0;147.0
26;Totaal;Op instroommoment;Oost-Nederland (LD);Jaar van instroom: 2011;248.0;103.0;145.0
27;Totaal;Op instroommoment;Oost-Nederland (LD);Jaar van instroom: 2012;237.0;96.0;141.0
28;Totaal;Op instroommoment;Oost-Nederland (LD);Jaar van instroom: 2013;238.0;95.0;143.0
29;Totaal;Op instroommoment;Oost-Nederland (LD);Jaar van instroom: 2014;255.0;100.0;155.0
30;Totaal;Op instroommoment;Oost-Nederland (LD);Jaar van instroom: 2015;260.0;104.0;156.0
31;Totaal;Op instroommoment;Oost-Nederland (LD);Jaar van instroom: 2016;262.0;105.0;157.0
32;Totaal;Op instroommoment;Oost-Nederland (LD);Jaar van instroom: 2017;269.0;107.0;162.0
33;Totaal;Op instroommoment;West-Nederland (LD);Jaar van instroom: 2007;628.0;235.0;393.0
34;Totaal;Op instroommoment;West-Nederland (LD);Jaar van instroom: 2008;605.0;230.0;375.0
35;Totaal;Op instroommoment;West-Nederland (LD);Jaar van instroom: 2009;544.0;210.0;335.0
36;Totaal;Op instroommoment;West-Nederland (LD);Jaar van instroom: 2010;565.0;220.0;344.0
37;Totaal;Op instroommoment;West-Nederland (LD);Jaar van instroom: 2011;567.0;219.0;348.0
38;Totaal;Op instroommoment;West-Nederland (LD);Jaar van instroom: 2012;539.0;207.0;332.0
39;Totaal;Op instroommoment;West-Nederland (LD);Jaar van instroom: 2013;547.0;206.0;341.0
40;Totaal;Op instroommoment;West-Nederland (LD);Jaar van instroom: 2014;570.0;213.0;357.0
41;Totaal;Op instroommoment;West-Nederland (LD);Jaar van instroom: 2015;587.0;223.0;364.0
42;Totaal;Op instroommoment;West-Nederland (LD);Jaar van instroom: 2016;607.0;225.0;382.0
43;Totaal;Op instroommoment;West-Nederland (LD);Jaar van instroom: 2017;625.0;228.0;398.0
44;Totaal;Op instroommoment;Zuid-Nederland (LD);Jaar van instroom: 2007;267.0;101.0;165.0
45;Totaal;Op instroommoment;Zuid-Nederland (LD);Jaar van instroom: 2008;253.0;99.0;154.0
46;Totaal;Op instroommoment;Zuid-Nederland (LD);Jaar van instroom: 2009;226.0;91.0;135.0
47;Totaal;Op instroommoment;Zuid-Nederland (LD);Jaar van instroom: 2010;244.0;96.0;148.0
48;Totaal;Op instroommoment;Zuid-Nederland (LD);Jaar van instroom: 2011;241.0;95.0;146.0
49;Totaal;Op instroommoment;Zuid-Nederland (LD);Jaar van instroom: 2012;233.0;90.0;143.0
50;Totaal;Op instroommoment;Zuid-Nederland (LD);Jaar van instroom: 2013;238.0;88.0;150.0
