ID;Perioden;Werknemer_1;WerkzamePersoon_2;Werknemer_3;WerkzamePersoon_4;Totaal_5;NettoOmzet_6;OverigeBedrijfsopbrengsten_7;Totaal_8;InkoopwaardeOmzet_9;Totaal_10;Brutolonen_11;TotaalSocialeLastenEnPensioenpremies_12;OverigePersoneleKosten_13;Totaal_14;KostenEnergieverbruik_15;Huisvestingskosten_16;KostenApparatuurEnInventaris_17;KostenVervoermiddelen_18;Verkoopkosten_19;Communicatiekosten_20;KostenVanOverigeDiensten_21;NietEerderGenoemdeBedrijfskosten_22;AfschrijvingenOpVasteActiva_23;Bedrijfsresultaat_24;SaldoFinancieleBatenEnLasten_25;ResultaatVoorBelastingen_26
0;2008;11.9;1.4;10.1;1.2;234.3;232.3;2.0;236.6;5.3;207.9;164.5;30.7;12.7;21.6;1.3;5.4;0.6;1.9;0.9;0.9;2.2;8.4;1.8;-2.3;-0.1;-2.4
1;2009;11.3;1.5;9.5;1.2;231.8;229.1;2.8;228.7;7.0;200.9;159.3;29.1;12.4;18.9;1.3;5.3;0.4;1.5;1.4;0.9;1.9;6.2;1.9;3.1;0.3;3.4
2;2010;10.8;1.6;8.5;1.3;222.8;221.4;1.4;222.5;5.6;195.6;154.4;30.7;10.5;19.4;1.2;5.1;0.1;1.0;0.9;0.6;1.3;9.2;1.8;0.3;-0.2;0.1
3;2011;8.6;1.4;6.7;1.2;175.9;174.6;1.3;177.1;5.1;150.7;118.3;24.2;8.1;19.7;1.4;5.2;0.2;1.0;0.8;0.6;1.2;9.3;1.7;-1.3;0.5;-0.8
4;2012;6.5;1.3;5.1;0.9;155.3;154.1;1.3;155.9;4.6;130.4;102.1;21.1;7.2;19.2;1.3;5.7;0.6;1.8;0.6;0.7;1.2;7.3;1.8;-0.6;0.1;-0.4
5;2013;4.5;1.1;3.4;0.8;115.5;114.2;1.3;115.2;3.6;92.9;72.3;15.2;5.4;17.1;1.2;5.2;0.3;1.3;0.6;0.6;1.1;6.8;1.6;0.3;0.0;0.2
6;2014;4.7;1.1;3.4;0.9;120.2;119.9;0.3;118.3;10.4;91.3;70.2;16.0;5.1;15.1;0.8;4.4;0.0;1.3;0.4;0.3;1.3;6.6;1.5;2.1;0.2;2.3
7;2015;7.0;2.3;5.3;1.8;192.3;191.4;1.0;188.4;16.9;146.9;112.0;27.3;7.7;22.8;1.0;4.6;0.1;1.4;0.7;0.3;1.6;13.0;1.8;3.9;-1.5;2.5
8;2016;8.5;3.2;5.3;1.7;268.9;266.9;2.0;265.8;34.3;196.5;146.9;34.8;14.8;32.4;1.1;8.1;0.1;2.1;0.9;0.5;1.3;18.4;2.6;3.2;0.1;3.3
9;2017;7.4;2.8;4.9;1.8;246.8;243.8;2.9;242.8;44.0;162.3;119.8;28.9;13.5;34.5;1.0;8.0;0.1;2.1;0.8;0.5;1.3;20.8;2.1;3.9;-1.2;2.7
10;2018;7.8;2.3;5.6;1.8;284.5;277.7;6.8;284.2;26.8;209.4;149.9;36.9;22.6;44.6;1.2;14.7;0.3;1.7;1.1;0.7;2.1;22.8;3.4;0.3;0.0;0.3
11;2019;8.8;2.5;6.4;2.0;310.9;304.2;6.7;308.8;30.6;226.8;165.0;40.6;21.2;48.0;1.3;14.5;0.3;1.8;1.0;0.7;2.0;26.4;3.5;2.2;-0.4;1.8
12;2020;8.3;2.5;6.1;2.0;319.4;310.5;9.0;316.5;28.5;238.6;175.0;42.9;20.7;45.7;1.4;15.5;0.3;1.4;1.1;0.7;2.3;22.9;3.7;2.9;-0.5;2.4
13;2021;10.8;4.0;8.0;3.2;361.3;353.1;8.2;330.7;26.1;256.1;189.1;45.7;21.3;44.4;1.9;15.8;0.3;1.1;1.0;0.6;2.2;21.4;4.2;30.5;-13.7;16.8
