ID;Rijbewijscategorie;LeeftijdRijbewijshouder;RegioS;Perioden;PersonenMetRijbewijs_1
0;Autorijbewijs totaal;Totaal;Nederland;2014;10658020.0
1;Autorijbewijs totaal;Totaal;Nederland;2015;10755934.0
2;Autorijbewijs totaal;Totaal;Nederland;2016;10894336.0
3;Autorijbewijs totaal;Totaal;Nederland;2017;10986066.0
4;Autorijbewijs totaal;Totaal;Nederland;2018;11070447.0
5;Autorijbewijs totaal;Totaal;Nederland;2019;11176150.0
6;Autorijbewijs totaal;Totaal;Nederland;2020;11300119.0
7;Autorijbewijs totaal;Totaal;Nederland;2021;11437849.0
8;Autorijbewijs totaal;Totaal;Nederland;2022;11444831.0
9;Autorijbewijs totaal;Totaal;Nederland;2023;11528476.0
10;Autorijbewijs totaal;Totaal;Nederland;2024;11657142.0
11;Autorijbewijs totaal;Totaal;Nederland;2025;11781498.0
12;Autorijbewijs totaal;Totaal;Noord-Nederland (LD);2014;1109088.0
13;Autorijbewijs totaal;Totaal;Noord-Nederland (LD);2015;1116626.0
14;Autorijbewijs totaal;Totaal;Noord-Nederland (LD);2016;1123980.0
15;Autorijbewijs totaal;Totaal;Noord-Nederland (LD);2017;1129783.0
16;Autorijbewijs totaal;Totaal;Noord-Nederland (LD);2018;1135450.0
17;Autorijbewijs totaal;Totaal;Noord-Nederland (LD);2019;1143193.0
18;Autorijbewijs totaal;Totaal;Noord-Nederland (LD);2020;1153519.0
19;Autorijbewijs totaal;Totaal;Noord-Nederland (LD);2021;1166352.0
20;Autorijbewijs totaal;Totaal;Noord-Nederland (LD);2022;1167515.0
21;Autorijbewijs totaal;Totaal;Noord-Nederland (LD);2023;1174545.0
22;Autorijbewijs totaal;Totaal;Noord-Nederland (LD);2024;1185055.0
23;Autorijbewijs totaal;Totaal;Noord-Nederland (LD);2025;1194088.0
24;Autorijbewijs totaal;Totaal;Oost-Nederland (LD);2014;2293628.0
25;Autorijbewijs totaal;Totaal;Oost-Nederland (LD);2015;2314614.0
26;Autorijbewijs totaal;Totaal;Oost-Nederland (LD);2016;2340289.0
27;Autorijbewijs totaal;Totaal;Oost-Nederland (LD);2017;2359660.0
28;Autorijbewijs totaal;Totaal;Oost-Nederland (LD);2018;2379515.0
29;Autorijbewijs totaal;Totaal;Oost-Nederland (LD);2019;2406311.0
30;Autorijbewijs totaal;Totaal;Oost-Nederland (LD);2020;2436486.0
31;Autorijbewijs totaal;Totaal;Oost-Nederland (LD);2021;2469798.0
32;Autorijbewijs totaal;Totaal;Oost-Nederland (LD);2022;2479265.0
33;Autorijbewijs totaal;Totaal;Oost-Nederland (LD);2023;2502646.0
34;Autorijbewijs totaal;Totaal;Oost-Nederland (LD);2024;2531742.0
35;Autorijbewijs totaal;Totaal;Oost-Nederland (LD);2025;2560284.0
36;Autorijbewijs totaal;Totaal;West-Nederland (LD);2014;4842894.0
37;Autorijbewijs totaal;Totaal;West-Nederland (LD);2015;4893293.0
38;Autorijbewijs totaal;Totaal;West-Nederland (LD);2016;4972790.0
39;Autorijbewijs totaal;Totaal;West-Nederland (LD);2017;5020761.0
40;Autorijbewijs totaal;Totaal;West-Nederland (LD);2018;5062605.0
41;Autorijbewijs totaal;Totaal;West-Nederland (LD);2019;5112155.0
42;Autorijbewijs totaal;Totaal;West-Nederland (LD);2020;5170506.0
43;Autorijbewijs totaal;Totaal;West-Nederland (LD);2021;5233681.0
44;Autorijbewijs totaal;Totaal;West-Nederland (LD);2022;5229871.0
45;Autorijbewijs totaal;Totaal;West-Nederland (LD);2023;5265169.0
46;Autorijbewijs totaal;Totaal;West-Nederland (LD);2024;5325871.0
47;Autorijbewijs totaal;Totaal;West-Nederland (LD);2025;5385905.0
48;Autorijbewijs totaal;Totaal;Zuid-Nederland (LD);2014;2381440.0
49;Autorijbewijs totaal;Totaal;Zuid-Nederland (LD);2015;2399882.0
50;Autorijbewijs totaal;Totaal;Zuid-Nederland (LD);2016;2424152.0
51;Autorijbewijs totaal;Totaal;Zuid-Nederland (LD);2017;2440371.0
52;Autorijbewijs totaal;Totaal;Zuid-Nederland (LD);2018;2455140.0
53;Autorijbewijs totaal;Totaal;Zuid-Nederland (LD);2019;2474454.0
54;Autorijbewijs totaal;Totaal;Zuid-Nederland (LD);2020;2497632.0
55;Autorijbewijs totaal;Totaal;Zuid-Nederland (LD);2021;2523873.0
56;Autorijbewijs totaal;Totaal;Zuid-Nederland (LD);2022;2524888.0
57;Autorijbewijs totaal;Totaal;Zuid-Nederland (LD);2023;2541586.0
58;Autorijbewijs totaal;Totaal;Zuid-Nederland (LD);2024;2563997.0
59;Autorijbewijs totaal;Totaal;Zuid-Nederland (LD);2025;2585887.0
60;Autorijbewijs totaal;Totaal;Niet in te delen (LD);2014;30970.0
61;Autorijbewijs totaal;Totaal;Niet in te delen (LD);2015;31519.0
62;Autorijbewijs totaal;Totaal;Niet in te delen (LD);2016;33125.0
63;Autorijbewijs totaal;Totaal;Niet in te delen (LD);2017;35491.0
64;Autorijbewijs totaal;Totaal;Niet in te delen (LD);2018;37737.0
65;Autorijbewijs totaal;Totaal;Niet in te delen (LD);2019;40037.0
66;Autorijbewijs totaal;Totaal;Niet in te delen (LD);2020;41976.0
67;Autorijbewijs totaal;Totaal;Niet in te delen (LD);2021;44145.0
68;Autorijbewijs totaal;Totaal;Niet in te delen (LD);2022;43292.0
69;Autorijbewijs totaal;Totaal;Niet in te delen (LD);2023;44530.0
70;Autorijbewijs totaal;Totaal;Niet in te delen (LD);2024;50477.0
71;Autorijbewijs totaal;Totaal;Niet in te delen (LD);2025;55334.0
72;Autorijbewijs totaal;Totaal;Groningen (PV);2014;367538.0
73;Autorijbewijs totaal;Totaal;Groningen (PV);2015;370259.0
74;Autorijbewijs totaal;Totaal;Groningen (PV);2016;372564.0
75;Autorijbewijs totaal;Totaal;Groningen (PV);2017;374092.0
76;Autorijbewijs totaal;Totaal;Groningen (PV);2018;374853.0
77;Autorijbewijs totaal;Totaal;Groningen (PV);2019;376409.0
78;Autorijbewijs totaal;Totaal;Groningen (PV);2020;378929.0
79;Autorijbewijs totaal;Totaal;Groningen (PV);2021;382684.0
80;Autorijbewijs totaal;Totaal;Groningen (PV);2022;381943.0
81;Autorijbewijs totaal;Totaal;Groningen (PV);2023;383411.0
82;Autorijbewijs totaal;Totaal;Groningen (PV);2024;388270.0
83;Autorijbewijs totaal;Totaal;Groningen (PV);2025;390303.0
84;Autorijbewijs totaal;Totaal;Fryslân (PV);2014;414584.0
85;Autorijbewijs totaal;Totaal;Fryslân (PV);2015;417693.0
86;Autorijbewijs totaal;Totaal;Fryslân (PV);2016;420916.0
87;Autorijbewijs totaal;Totaal;Fryslân (PV);2017;423205.0
88;Autorijbewijs totaal;Totaal;Fryslân (PV);2018;426030.0
89;Autorijbewijs totaal;Totaal;Fryslân (PV);2019;429403.0
90;Autorijbewijs totaal;Totaal;Fryslân (PV);2020;433554.0
91;Autorijbewijs totaal;Totaal;Fryslân (PV);2021;438323.0
92;Autorijbewijs totaal;Totaal;Fryslân (PV);2022;439088.0
93;Autorijbewijs totaal;Totaal;Fryslân (PV);2023;442244.0
94;Autorijbewijs totaal;Totaal;Fryslân (PV);2024;445415.0
95;Autorijbewijs totaal;Totaal;Fryslân (PV);2025;449242.0
96;Autorijbewijs totaal;Totaal;Drenthe (PV);2014;326966.0
97;Autorijbewijs totaal;Totaal;Drenthe (PV);2015;328674.0
98;Autorijbewijs totaal;Totaal;Drenthe (PV);2016;330500.0
99;Autorijbewijs totaal;Totaal;Drenthe (PV);2017;332486.0
100;Autorijbewijs totaal;Totaal;Drenthe (PV);2018;334567.0
101;Autorijbewijs totaal;Totaal;Drenthe (PV);2019;337381.0
102;Autorijbewijs totaal;Totaal;Drenthe (PV);2020;341036.0
103;Autorijbewijs totaal;Totaal;Drenthe (PV);2021;345345.0
104;Autorijbewijs totaal;Totaal;Drenthe (PV);2022;346484.0
105;Autorijbewijs totaal;Totaal;Drenthe (PV);2023;348890.0
106;Autorijbewijs totaal;Totaal;Drenthe (PV);2024;351370.0
107;Autorijbewijs totaal;Totaal;Drenthe (PV);2025;354543.0
