ID;Cijfersoort;Perioden;Thuis_1;InZiekenhuis_2;Elders_3;GemiddeldeLengte_4;GemiddeldeLengteVanJongens_5;GemiddeldeLengteVanMeisjes_6;MinderDan46Cm_7;k_46Tot48Cm_8;k_48Tot50Cm_9;k_50Tot52Cm_10;k_52Tot54Cm_11;k_54TotEnMet55Cm_12;MeerDan55Cm_13;GemiddeldeLengte_14;GemiddeldeLengteVanJongens_15;GemiddeldeLengteVanMeisjes_16;MinderDan46Cm_17;k_46Tot48Cm_18;k_48Tot50Cm_19;k_50Tot52Cm_20;k_52Tot54Cm_21;k_54TotEnMet55Cm_22;MeerDan55Cm_23;GemiddeldGewicht_24;GemiddeldGewichtVanJongens_25;GemiddeldGewichtVanMeisjes_26;MinderDan1500Gram_27;k_1500Tot2000Gram_28;k_2000Tot2500Gram_29;k_2500Tot3000Gram_30;k_3000Tot3500Gram_31;k_3500Tot4000Gram_32;k_4000Tot4500Gram_33;MeerDan4500Gram_34;GemiddeldGewicht_35;GemiddeldGewichtVanJongens_36;GemiddeldGewichtVanMeisjes_37;MinderDan1500Gram_38;k_1500Tot2000Gram_39;k_2000Tot2500Gram_40;k_2500Tot3000Gram_41;k_3000Tot3500Gram_42;k_3500Tot4000Gram_43;k_4000Tot4500Gram_44;MeerDan4500Gram_45;VanafDeGeboorteBorstvoeding_46;OpLeeftijdVan6Weken_47;OpLeeftijdVan3Maanden_48;OpLeeftijdVan6Maanden_49;Kraamzorg_50;k_04Jarigen_51;k_0Jarigen_52;k_1Jarigen_53;k_2Jarigen_54;k_3Jarigen_55;k_4Jarigen_56
0;Percentage;1989/1991;38.2;61.2;0.6;50.3;50.5;50.0;4.3;7.9;20.2;35.8;22.9;7.2;1.6;50.3;50.6;50.0;4.1;7.6;20.0;36.1;23.4;7.3;1.6;3355;3390;3319;0.8;1.5;3.3;15.2;34.6;29.5;11.7;3.3;3372;3408;3336;0.7;1.3;2.6;14.7;35.1;30.0;12.0;3.4;67.4;52.7;44.1;26.2;;;;;;;
1;Percentage;1994/1996;34.1;65.3;0.6;50.4;50.8;50.0;4.3;6.2;20.3;37.0;22.3;6.9;3.0;50.5;50.8;50.1;3.8;5.8;20.2;37.3;22.7;7.1;3.1;3373;3432;3312;0.7;1.8;4.7;12.0;33.1;32.1;11.6;4.1;3402;3450;3350;0.7;1.2;3.7;11.7;33.7;32.9;12.0;4.2;70.1;58.0;48.2;26.6;;;;;;;
2;Percentage;1998/2000;34.1;65.8;0.1;50.4;50.7;50.1;5.0;6.5;19.3;34.5;23.9;6.8;4.0;50.5;50.8;50.2;4.2;6.1;19.3;34.7;24.6;6.9;4.1;3435;3483;3383;0.7;1.7;3.9;12.3;31.5;32.4;13.4;4.1;3467;3515;3416;0.5;1.4;2.9;11.9;31.9;33.5;13.8;4.2;69.4;57.3;45.4;24.0;;;;;;;
3;Percentage;2001/2003;31.9;67.9;0.2;50.5;50.8;50.1;5.1;5.9;18.5;35.3;23.5;7.9;3.8;50.6;50.9;50.2;4.3;5.7;18.4;35.7;24.1;8.0;3.8;3431;3490;3368;0.6;1.5;4.6;11.5;31.6;32.8;13.1;4.2;3459;3525;3389;0.5;1.1;3.8;10.9;32.2;33.8;13.4;4.3;74.6;60.5;50.9;27.2;93.2;90.4;100.0;97.4;91.5;83.2;82.3
4;Percentage;2004/2006;31.6;67.8;0.5;50.3;50.5;50.0;5.2;7.6;19.3;36.0;22.5;5.8;3.6;50.4;50.6;50.1;4.6;7.1;18.8;36.8;23.1;6.0;3.7;3397;3454;3340;1.0;1.4;4.6;14.6;30.9;31.9;12.0;3.5;3434;3488;3379;0.8;1.1;3.6;13.7;31.6;33.1;12.4;3.7;75.8;61.9;51.8;31.2;95.5;90.1;99.2;97.7;92.0;89.6;76.5
5;Percentage;2005/2007;29.4;70.2;0.4;50.3;50.5;50.0;5.5;7.3;19.2;35.8;22.3;6.2;3.6;50.3;50.5;50.1;5.2;6.9;19.0;36.3;22.6;6.4;3.7;3392;3431;3351;1.0;1.6;4.4;15.2;29.8;32.2;12.5;3.2;3426;3460;3390;0.9;1.1;3.4;14.5;30.3;33.3;13.0;3.4;76.7;63.1;51.6;30.9;95.3;90.3;99.5;99.4;92.8;86.8;78.5
6;Percentage;2006/2008;28.4;71.4;0.2;50.3;50.6;50.0;5.3;6.2;19.7;37.3;21.7;6.5;3.3;50.4;50.7;50.1;4.9;5.6;19.6;37.9;22.0;6.6;3.4;3415;3451;3377;0.8;1.4;4.1;14.1;30.6;32.5;12.7;3.8;3453;3494;3410;0.5;1.0;3.1;13.5;31.2;33.6;13.2;4.0;75.0;61.4;51.9;32.0;95.8;91.0;99.5;99.0;93.6;86.9;81.5
7;Percentage;2007/2009;23.9;75.6;0.5;50.4;50.8;50.1;4.7;5.9;19.1;36.7;21.9;8.1;3.6;50.5;50.8;50.2;4.4;5.3;18.6;37.3;22.4;8.3;3.7;3452;3525;3372;0.8;1.2;3.5;13.5;30.5;32.1;13.8;4.6;3485;3556;3406;0.5;0.8;2.9;12.6;31.1;33.0;14.3;4.8;75.3;63.1;53.4;34.5;95.7;92.5;100.0;99.4;94.6;87.0;83.4
8;Percentage;2008/2010;23.4;75.3;1.2;50.3;50.7;49.8;5.8;5.9;19.6;35.9;22.2;7.3;3.3;50.4;50.8;49.9;5.1;5.6;19.2;36.4;22.8;7.5;3.4;3436;3510;3355;0.9;1.4;3.6;13.6;31.3;31.4;13.5;4.3;3466;3544;3382;0.6;1.0;3.1;12.9;31.9;32.2;13.9;4.5;74.1;;;;94.7;93.8;99.7;99.5;95.5;91.7;83.4
9;Percentage;2009/2011;22.1;76.5;1.5;50.3;50.8;49.8;6.3;5.6;18.8;35.2;22.7;7.8;3.6;50.4;50.8;49.9;5.6;5.4;18.4;35.7;23.3;8.0;3.7;3420;3484;3349;0.8;1.7;3.6;14.2;30.6;32.2;12.9;3.9;3454;3511;3389;0.6;1.1;3.1;13.5;31.2;33.1;13.4;4.0;74.8;;;;95.0;93.9;99.2;99.6;95.7;91.9;83.7
10;Percentage;2010/2012;20.8;78.0;1.3;50.3;50.7;49.8;6.4;5.3;18.8;36.2;22.3;7.4;3.7;50.4;50.8;49.9;5.9;5.1;18.7;36.4;22.7;7.5;3.7;3413;3466;3355;0.8;1.8;3.8;14.2;31.2;31.5;12.8;3.8;3437;3489;3380;0.5;1.4;3.4;13.9;31.6;32.2;13.1;3.9;74.0;;;;95.4;94.6;98.7;99.4;96.7;92.9;85.3
11;Percentage;2011/2013;18.4;80.7;0.9;50.5;50.8;50.1;5.2;5.2;18.2;37.0;22.3;7.9;4.1;50.6;50.9;50.2;4.4;4.9;18.0;37.4;23.0;8.1;4.2;3431;3482;3374;0.7;1.5;3.6;13.3;31.7;32.3;13.2;3.7;3467;3513;3415;0.5;0.9;2.8;12.8;32.2;33.4;13.6;3.8;73.5;;;;95.5;94.6;98.9;99.2;96.7;93.5;85.2
12;Standaardfout;1989/1991;1.6;1.6;0.3;0.1;0.1;0.1;0.6;0.6;1.0;1.2;1.0;0.6;0.4;0.1;0.1;0.1;0.5;0.6;1.1;1.3;1.2;0.7;0.5;16;23;21;0.2;0.3;0.5;0.9;1.1;1.2;0.8;0.5;16;21;23;0.2;0.3;0.4;0.8;1.2;1.2;0.9;0.5;1.2;1.3;1.3;1.1;;;;;;;
13;Standaardfout;1994/1996;1.6;1.6;0.3;0.1;0.1;0.1;0.6;0.6;1.0;1.2;1.0;0.6;0.4;0.1;0.1;0.1;0.5;0.6;1.1;1.3;1.2;0.7;0.5;16;23;21;0.2;0.3;0.5;0.9;1.1;1.2;0.8;0.5;16;21;23;0.2;0.3;0.4;0.8;1.2;1.2;0.9;0.5;1.2;1.3;1.3;1.1;;;;;;;
14;Standaardfout;1998/2000;1.6;1.6;0.3;0.1;0.1;0.1;0.6;0.6;1.0;1.2;1.0;0.6;0.4;0.1;0.1;0.1;0.5;0.6;1.1;1.3;1.2;0.7;0.5;16;23;21;0.2;0.3;0.5;0.9;1.1;1.2;0.8;0.5;16;21;23;0.2;0.3;0.4;0.8;1.2;1.2;0.9;0.5;1.2;1.3;1.3;1.1;;;;;;;
15;Standaardfout;2001/2003;1.6;1.6;0.3;0.1;0.1;0.1;0.6;0.6;1.0;1.2;1.0;0.6;0.4;0.1;0.1;0.1;0.5;0.6;1.1;1.3;1.2;0.7;0.5;15;20;22;0.2;0.3;0.5;0.7;1.1;1.1;0.8;0.5;15;20;22;0.2;0.2;0.5;0.7;1.1;1.1;0.8;0.5;1.1;1.2;1.3;1.1;0.9;0.7;;0.8;1.4;1.9;2.0
16;Standaardfout;2004/2006;1.6;1.6;0.3;0.1;0.1;0.1;0.6;0.6;1.0;1.2;1.0;0.6;0.4;0.1;0.1;0.1;0.5;0.6;1.1;1.3;1.2;0.7;0.5;15;22;19;0.2;0.3;0.5;0.8;1.0;1.1;0.7;0.4;14;21;19;0.2;0.2;0.4;0.8;1.1;1.1;0.8;0.4;1.1;1.2;1.2;1.1;0.7;0.7;0.6;0.8;1.2;1.4;2.1
17;Standaardfout;2005/2007;1.6;1.6;0.3;0.1;0.1;0.1;0.6;0.6;1.0;1.2;1.0;0.6;0.4;0.1;0.1;0.1;0.5;0.6;1.1;1.3;1.2;0.7;0.5;15;22;20;0.2;0.3;0.5;0.8;1.1;1.1;0.8;0.4;15;22;20;0.2;0.3;0.4;0.8;1.1;1.1;0.8;0.4;1.1;1.2;1.2;1.1;0.8;0.7;0.5;0.4;1.2;1.6;2.1
18;Standaardfout;2006/2008;1.6;1.6;0.3;0.1;0.1;0.1;0.6;0.6;1.0;1.2;1.0;0.6;0.4;0.1;0.1;0.1;0.5;0.6;1.1;1.3;1.2;0.7;0.5;16;23;21;0.2;0.3;0.5;0.8;1.1;1.1;0.8;0.5;15;22;20;0.2;0.2;0.4;0.8;1.1;1.2;0.8;0.5;1.1;1.2;1.2;1.1;0.8;0.7;0.6;0.6;1.2;1.7;2.1
19;Standaardfout;2007/2009;1.6;1.6;0.3;0.1;0.1;0.1;0.6;0.6;1.0;1.2;1.0;0.6;0.4;0.1;0.1;0.1;0.5;0.6;1.1;1.3;1.2;0.7;0.5;16;23;22;0.2;0.3;0.5;0.8;1.1;1.2;0.8;0.5;16;21;23;0.2;0.2;0.4;0.8;1.2;1.2;0.9;0.5;1.1;1.2;1.2;1.1;0.8;0.7;;0.5;1.2;1.9;2.0
20;Standaardfout;2008/2010;1.6;1.6;0.3;0.1;0.1;0.1;0.6;0.6;1.0;1.2;1.0;0.6;0.4;0.1;0.1;0.1;0.5;0.6;1.1;1.3;1.2;0.7;0.5;15;21;20;0.2;0.3;0.4;0.8;1.0;1.0;0.7;0.4;14;20;20;0.2;0.2;0.4;0.7;1.0;1.0;0.8;0.5;1.0;;;;0.8;0.6;0.3;0.4;1.0;1.4;1.9
21;Standaardfout;2009/2011;1.6;1.6;0.3;0.1;0.1;0.1;0.6;0.6;1.0;1.2;1.0;0.6;0.4;0.1;0.1;0.1;0.5;0.6;1.1;1.3;1.2;0.7;0.5;14;19;20;0.2;0.3;0.4;0.7;1.0;1.0;0.7;0.4;14;19;19;0.2;0.2;0.4;0.7;1.0;1.0;0.7;0.4;1.0;;;;0.7;0.5;0.5;0.3;1.0;1.3;1.8
