ID;Effecten;ErvarenEffect;InternationaleVerplaatsingIn20012006_1;InternationaleVerplaatsingIn_2
0;1;0;628;100
1;1;1;17;3
2;1;2;67;11
3;1;3;492;78
4;1;4;52;8
5;2;0;628;100
6;2;1;21;3
7;2;2;134;21
8;2;3;296;47
9;2;4;177;28
10;3;0;628;100
11;3;1;69;11
12;3;2;167;27
13;3;3;160;25
14;3;4;232;37
15;4;0;628;100
16;4;1;4;1
17;4;2;178;28
18;4;3;188;30
19;4;4;258;41
20;5;0;628;100
21;5;1;27;4
22;5;2;266;42
23;5;3;88;14
24;5;4;247;39
25;6;0;628;100
26;6;1;4;1
27;6;2;86;14
28;6;3;368;59
29;6;4;170;27
30;7;0;628;100
31;7;1;57;9
32;7;2;231;37
33;7;3;118;19
34;7;4;222;35
35;8;0;628;100
36;8;1;14;2
37;8;2;234;37
38;8;3;121;19
39;8;4;259;41
40;9;0;628;100
41;9;1;0;0
42;9;2;0;0
43;9;3;15;2
44;9;4;613;98
