ID;Geslacht;LeeftijdOp31December;Perioden;Overledenen_1
0;Totaal mannen en vrouwen;Totaal;2017;149426
1;Totaal mannen en vrouwen;Totaal;2018;150885
2;Totaal mannen en vrouwen;Totaal;2019;152508
3;Totaal mannen en vrouwen;Totaal;2020;154253
4;Totaal mannen en vrouwen;Totaal;2021;156107
5;Totaal mannen en vrouwen;Totaal;2022;158035
6;Totaal mannen en vrouwen;Totaal;2023;160000
7;Totaal mannen en vrouwen;Totaal;2024;161861
8;Totaal mannen en vrouwen;Totaal;2025;163795
9;Totaal mannen en vrouwen;Totaal;2026;165805
10;Totaal mannen en vrouwen;Totaal;2027;167898
11;Totaal mannen en vrouwen;Totaal;2028;170068
12;Totaal mannen en vrouwen;Totaal;2029;172311
13;Totaal mannen en vrouwen;Totaal;2030;174601
14;Totaal mannen en vrouwen;Totaal;2031;176927
15;Totaal mannen en vrouwen;Totaal;2032;179251
16;Totaal mannen en vrouwen;Totaal;2033;181557
17;Totaal mannen en vrouwen;Totaal;2034;183821
18;Totaal mannen en vrouwen;Totaal;2035;186034
19;Totaal mannen en vrouwen;Totaal;2036;188169
20;Totaal mannen en vrouwen;Totaal;2037;190209
21;Totaal mannen en vrouwen;Totaal;2038;192126
22;Totaal mannen en vrouwen;Totaal;2039;193901
23;Totaal mannen en vrouwen;Totaal;2040;195502
24;Totaal mannen en vrouwen;Totaal;2041;196944
25;Totaal mannen en vrouwen;Totaal;2042;198234
26;Totaal mannen en vrouwen;Totaal;2043;199372
27;Totaal mannen en vrouwen;Totaal;2044;200355
28;Totaal mannen en vrouwen;Totaal;2045;201276
29;Totaal mannen en vrouwen;Totaal;2046;202028
30;Totaal mannen en vrouwen;Totaal;2047;202723
31;Totaal mannen en vrouwen;Totaal;2048;203422
32;Totaal mannen en vrouwen;Totaal;2049;204119
33;Totaal mannen en vrouwen;Totaal;2050;204787
34;Totaal mannen en vrouwen;Totaal;2051;205386
35;Totaal mannen en vrouwen;Totaal;2052;205858
36;Totaal mannen en vrouwen;Totaal;2053;206176
37;Totaal mannen en vrouwen;Totaal;2054;206305
38;Totaal mannen en vrouwen;Totaal;2055;206211
39;Totaal mannen en vrouwen;Totaal;2056;205869
40;Totaal mannen en vrouwen;Totaal;2057;205265
41;Totaal mannen en vrouwen;Totaal;2058;204398
42;Totaal mannen en vrouwen;Totaal;2059;203261
43;Totaal mannen en vrouwen;0 jaar;2017;512
44;Totaal mannen en vrouwen;0 jaar;2018;496
45;Totaal mannen en vrouwen;0 jaar;2019;482
46;Totaal mannen en vrouwen;0 jaar;2020;469
47;Totaal mannen en vrouwen;0 jaar;2021;459
48;Totaal mannen en vrouwen;0 jaar;2022;449
49;Totaal mannen en vrouwen;0 jaar;2023;440
50;Totaal mannen en vrouwen;0 jaar;2024;429
51;Totaal mannen en vrouwen;0 jaar;2025;417
52;Totaal mannen en vrouwen;0 jaar;2026;406
53;Totaal mannen en vrouwen;0 jaar;2027;394
54;Totaal mannen en vrouwen;0 jaar;2028;381
55;Totaal mannen en vrouwen;0 jaar;2029;368
56;Totaal mannen en vrouwen;0 jaar;2030;354
57;Totaal mannen en vrouwen;0 jaar;2031;340
58;Totaal mannen en vrouwen;0 jaar;2032;326
59;Totaal mannen en vrouwen;0 jaar;2033;312
60;Totaal mannen en vrouwen;0 jaar;2034;298
61;Totaal mannen en vrouwen;0 jaar;2035;285
62;Totaal mannen en vrouwen;0 jaar;2036;272
63;Totaal mannen en vrouwen;0 jaar;2037;259
64;Totaal mannen en vrouwen;0 jaar;2038;248
65;Totaal mannen en vrouwen;0 jaar;2039;237
66;Totaal mannen en vrouwen;0 jaar;2040;226
67;Totaal mannen en vrouwen;0 jaar;2041;215
68;Totaal mannen en vrouwen;0 jaar;2042;206
69;Totaal mannen en vrouwen;0 jaar;2043;196
70;Totaal mannen en vrouwen;0 jaar;2044;187
71;Totaal mannen en vrouwen;0 jaar;2045;179
72;Totaal mannen en vrouwen;0 jaar;2046;171
73;Totaal mannen en vrouwen;0 jaar;2047;164
74;Totaal mannen en vrouwen;0 jaar;2048;158
75;Totaal mannen en vrouwen;0 jaar;2049;152
76;Totaal mannen en vrouwen;0 jaar;2050;145
77;Totaal mannen en vrouwen;0 jaar;2051;141
78;Totaal mannen en vrouwen;0 jaar;2052;136
79;Totaal mannen en vrouwen;0 jaar;2053;131
80;Totaal mannen en vrouwen;0 jaar;2054;127
81;Totaal mannen en vrouwen;0 jaar;2055;123
82;Totaal mannen en vrouwen;0 jaar;2056;119
83;Totaal mannen en vrouwen;0 jaar;2057;114
84;Totaal mannen en vrouwen;0 jaar;2058;110
85;Totaal mannen en vrouwen;0 jaar;2059;107
86;Totaal mannen en vrouwen;1 jaar;2017;63
87;Totaal mannen en vrouwen;1 jaar;2018;60
88;Totaal mannen en vrouwen;1 jaar;2019;58
89;Totaal mannen en vrouwen;1 jaar;2020;56
90;Totaal mannen en vrouwen;1 jaar;2021;55
91;Totaal mannen en vrouwen;1 jaar;2022;53
92;Totaal mannen en vrouwen;1 jaar;2023;53
93;Totaal mannen en vrouwen;1 jaar;2024;51
94;Totaal mannen en vrouwen;1 jaar;2025;50
95;Totaal mannen en vrouwen;1 jaar;2026;49
96;Totaal mannen en vrouwen;1 jaar;2027;48
97;Totaal mannen en vrouwen;1 jaar;2028;46
98;Totaal mannen en vrouwen;1 jaar;2029;44
99;Totaal mannen en vrouwen;1 jaar;2030;43
100;Totaal mannen en vrouwen;1 jaar;2031;42
101;Totaal mannen en vrouwen;1 jaar;2032;40
102;Totaal mannen en vrouwen;1 jaar;2033;39
103;Totaal mannen en vrouwen;1 jaar;2034;37
104;Totaal mannen en vrouwen;1 jaar;2035;35
105;Totaal mannen en vrouwen;1 jaar;2036;34
106;Totaal mannen en vrouwen;1 jaar;2037;32
107;Totaal mannen en vrouwen;1 jaar;2038;30
108;Totaal mannen en vrouwen;1 jaar;2039;30
109;Totaal mannen en vrouwen;1 jaar;2040;28
110;Totaal mannen en vrouwen;1 jaar;2041;26
111;Totaal mannen en vrouwen;1 jaar;2042;25
112;Totaal mannen en vrouwen;1 jaar;2043;24
113;Totaal mannen en vrouwen;1 jaar;2044;23
114;Totaal mannen en vrouwen;1 jaar;2045;23
115;Totaal mannen en vrouwen;1 jaar;2046;21
116;Totaal mannen en vrouwen;1 jaar;2047;21
117;Totaal mannen en vrouwen;1 jaar;2048;19
118;Totaal mannen en vrouwen;1 jaar;2049;19
119;Totaal mannen en vrouwen;1 jaar;2050;18
120;Totaal mannen en vrouwen;1 jaar;2051;17
121;Totaal mannen en vrouwen;1 jaar;2052;16
122;Totaal mannen en vrouwen;1 jaar;2053;16
123;Totaal mannen en vrouwen;1 jaar;2054;16
124;Totaal mannen en vrouwen;1 jaar;2055;15
125;Totaal mannen en vrouwen;1 jaar;2056;14
126;Totaal mannen en vrouwen;1 jaar;2057;14
127;Totaal mannen en vrouwen;1 jaar;2058;14
128;Totaal mannen en vrouwen;1 jaar;2059;13
129;Totaal mannen en vrouwen;2 jaar;2017;34
130;Totaal mannen en vrouwen;2 jaar;2018;34
131;Totaal mannen en vrouwen;2 jaar;2019;31
132;Totaal mannen en vrouwen;2 jaar;2020;31
133;Totaal mannen en vrouwen;2 jaar;2021;29
134;Totaal mannen en vrouwen;2 jaar;2022;29
135;Totaal mannen en vrouwen;2 jaar;2023;28
136;Totaal mannen en vrouwen;2 jaar;2024;28
137;Totaal mannen en vrouwen;2 jaar;2025;28
138;Totaal mannen en vrouwen;2 jaar;2026;26
139;Totaal mannen en vrouwen;2 jaar;2027;26
