ID;AreasCivilEngineeringWorks;Periods;InputPriceIndices_1;ChangesComparedTo1YearEarlier_2
0;42/43 Civil engineering works;2008 January;96.2;
1;42/43 Civil engineering works;2008 April;98.1;
2;42/43 Civil engineering works;2008 July;102.5;
3;42/43 Civil engineering works;2008 October;100.5;
4;42/43 Civil engineering works;2009 January;97.2;1.0
5;42/43 Civil engineering works;2009 April;96.5;-1.5
6;42/43 Civil engineering works;2009 July;97.1;-5.3
7;42/43 Civil engineering works;2009 October;97.3;-3.2
8;42/43 Civil engineering works;2010 January;98.2;1.0
9;42/43 Civil engineering works;2010 April;100.0;3.6
10;42/43 Civil engineering works;2010 July;100.2;3.3
11;42/43 Civil engineering works;2010 October;100.4;3.2
12;42/43 Civil engineering works;2011 January;102.3;4.2
13;42/43 Civil engineering works;2011 April;104.1;4.0
14;42/43 Civil engineering works;2011 July;104.3;4.0
15;42/43 Civil engineering works;2011 October;104.3;4.0
16;42/43 Civil engineering works;2012 January;105.8;3.4
17;42/43 Civil engineering works;2012 April;106.8;2.6
18;42/43 Civil engineering works;2012 July;107.0;2.6
19;42/43 Civil engineering works;2012 October;107.7;3.2
20;42/43 Civil engineering works;2013 January;107.6;1.7
21;42/43 Civil engineering works;2013 April;107.0;0.2
22;42/43 Civil engineering works;2013 July;107.2;0.2
23;42/43 Civil engineering works;2013 October;107.0;-0.7
24;42/43 Civil engineering works;2014 January;107.5;-0.1
25;42/43 Civil engineering works;2014 April;107.1;0.0
26;42/43 Civil engineering works;2014 July;107.3;0.1
27;42/43 Civil engineering works;2014 October;107.3;0.4
28;42/43 Civil engineering works;2015 January;104.7;-2.6
29;42/43 Civil engineering works;2015 April;105.7;-1.3
30;42/43 Civil engineering works;2015 July;106.1;-1.1
31;42/43 Civil engineering works;2015 October;104.6;-2.5
32;42/43 Civil engineering works;2016 January;102.9;-1.7
33;42/43 Civil engineering works;2016 April;103.3;-2.2
34;42/43 Civil engineering works;2016 July;105.5;-0.5
35;42/43 Civil engineering works;2016 October;106.3;1.5
36;42/43 Civil engineering works;2017 January;108.2;5.2
37;42/43 Civil engineering works;2017 April;108.0;4.5
38;42/43 Civil engineering works;2017 July;106.9;1.3
39;42/43 Civil engineering works;2017 October;107.9;1.5
40;42/43 Civil engineering works;2018 January;110.3;1.9
41;42/43 Civil engineering works;2018 April;109.8;1.7
42;42/43 Civil engineering works;2018 July;112.3;5.0
43;42/43 Civil engineering works;2018 October;114.5;6.1
44;42/43 Civil engineering works;2019 January;113.2;2.7
45;42/43 Civil engineering works;2019 April;114.4;4.2
46;42/43 Civil engineering works;2019 July;115.0;2.4
47;42/43 Civil engineering works;2019 October;115.1;0.5
48;"4211a Road construction; brick paving";2008 January;94.7;
49;"4211a Road construction; brick paving";2008 April;95.9;
50;"4211a Road construction; brick paving";2008 July;98.1;
51;"4211a Road construction; brick paving";2008 October;97.6;
52;"4211a Road construction; brick paving";2009 January;97.7;3.2
53;"4211a Road construction; brick paving";2009 April;97.7;1.9
54;"4211a Road construction; brick paving";2009 July;98.1;0.0
55;"4211a Road construction; brick paving";2009 October;98.4;0.8
56;"4211a Road construction; brick paving";2010 January;99.4;1.8
57;"4211a Road construction; brick paving";2010 April;100.0;2.3
58;"4211a Road construction; brick paving";2010 July;100.0;2.0
59;"4211a Road construction; brick paving";2010 October;100.2;1.8
60;"4211a Road construction; brick paving";2011 January;101.4;2.1
61;"4211a Road construction; brick paving";2011 April;102.3;2.3
62;"4211a Road construction; brick paving";2011 July;102.4;2.4
63;"4211a Road construction; brick paving";2011 October;102.6;2.5
64;"4211a Road construction; brick paving";2012 January;103.8;2.3
65;"4211a Road construction; brick paving";2012 April;104.5;2.1
66;"4211a Road construction; brick paving";2012 July;104.4;1.9
67;"4211a Road construction; brick paving";2012 October;105.3;2.5
68;"4211a Road construction; brick paving";2013 January;104.9;1.1
69;"4211a Road construction; brick paving";2013 April;104.8;0.3
70;"4211a Road construction; brick paving";2013 July;104.7;0.3
71;"4211a Road construction; brick paving";2013 October;104.5;-0.7
72;"4211a Road construction; brick paving";2014 January;105.6;0.7
73;"4211a Road construction; brick paving";2014 April;105.4;0.5
74;"4211a Road construction; brick paving";2014 July;105.4;0.6
75;"4211a Road construction; brick paving";2014 October;105.6;1.0
76;"4211a Road construction; brick paving";2015 January;103.9;-1.6
77;"4211a Road construction; brick paving";2015 April;104.4;-0.9
78;"4211a Road construction; brick paving";2015 July;105.1;-0.2
79;"4211a Road construction; brick paving";2015 October;104.7;-0.8
80;"4211a Road construction; brick paving";2016 January;104.4;0.4
81;"4211a Road construction; brick paving";2016 April;104.8;0.4
82;"4211a Road construction; brick paving";2016 July;106.2;1.0
83;"4211a Road construction; brick paving";2016 October;106.5;1.7
84;"4211a Road construction; brick paving";2017 January;106.8;2.3
85;"4211a Road construction; brick paving";2017 April;106.9;2.0
86;"4211a Road construction; brick paving";2017 July;106.6;0.3
87;"4211a Road construction; brick paving";2017 October;107.4;0.8
88;"4211a Road construction; brick paving";2018 January;108.9;2.0
89;"4211a Road construction; brick paving";2018 April;109.4;2.4
90;"4211a Road construction; brick paving";2018 July;110.7;3.9
91;"4211a Road construction; brick paving";2018 October;112.5;4.7
92;"4211a Road construction; brick paving";2019 January;112.2;3.1
93;"4211a Road construction; brick paving";2019 April;113.0;3.3
94;"4211a Road construction; brick paving";2019 July;114.1;3.1
95;"4211a Road construction; brick paving";2019 October;114.5;1.8
96;"4211b Road construction; asphalt paving";2008 January;97.9;
97;"4211b Road construction; asphalt paving";2008 April;99.3;
98;"4211b Road construction; asphalt paving";2008 July;107.4;
99;"4211b Road construction; asphalt paving";2008 October;102.7;
100;"4211b Road construction; asphalt paving";2009 January;94.2;-3.9
101;"4211b Road construction; asphalt paving";2009 April;93.6;-5.8
102;"4211b Road construction; asphalt paving";2009 July;95.4;-11.2
103;"4211b Road construction; asphalt paving";2009 October;96.3;-6.3
104;"4211b Road construction; asphalt paving";2010 January;97.4;3.4
105;"4211b Road construction; asphalt paving";2010 April;100.2;7.1
106;"4211b Road construction; asphalt paving";2010 July;100.5;5.4
107;"4211b Road construction; asphalt paving";2010 October;100.6;4.4
108;"4211b Road construction; asphalt paving";2011 January;102.8;5.6
109;"4211b Road construction; asphalt paving";2011 April;106.7;6.4
110;"4211b Road construction; asphalt paving";2011 July;107.0;6.4
111;"4211b Road construction; asphalt paving";2011 October;107.4;6.7
112;"4211b Road construction; asphalt paving";2012 January;109.4;6.4
113;"4211b Road construction; asphalt paving";2012 April;111.4;4.5
114;"4211b Road construction; asphalt paving";2012 July;112.0;4.7
115;"4211b Road construction; asphalt paving";2012 October;112.7;5.0
116;"4211b Road construction; asphalt paving";2013 January;112.5;2.9
117;"4211b Road construction; asphalt paving";2013 April;111.5;0.1
118;"4211b Road construction; asphalt paving";2013 July;111.6;-0.3
119;"4211b Road construction; asphalt paving";2013 October;111.5;-1.1
120;"4211b Road construction; asphalt paving";2014 January;111.5;-0.9
121;"4211b Road construction; asphalt paving";2014 April;111.2;-0.3
122;"4211b Road construction; asphalt paving";2014 July;111.3;-0.3
123;"4211b Road construction; asphalt paving";2014 October;110.6;-0.8
124;"4211b Road construction; asphalt paving";2015 January;103.9;-6.8
125;"4211b Road construction; asphalt paving";2015 April;105.1;-5.5
126;"4211b Road construction; asphalt paving";2015 July;105.7;-5.0
127;"4211b Road construction; asphalt paving";2015 October;102.3;-7.5
128;"4211b Road construction; asphalt paving";2016 January;98.1;-5.7
129;"4211b Road construction; asphalt paving";2016 April;99.0;-5.8
130;"4211b Road construction; asphalt paving";2016 July;103.1;-2.4
131;"4211b Road construction; asphalt paving";2016 October;104.1;1.8
132;"4211b Road construction; asphalt paving";2017 January;107.2;9.3
133;"4211b Road construction; asphalt paving";2017 April;106.4;7.5
134;"4211b Road construction; asphalt paving";2017 July;104.4;1.2
135;"4211b Road construction; asphalt paving";2017 October;105.9;1.7
136;"4211b Road construction; asphalt paving";2018 January;109.5;2.2
137;"4211b Road construction; asphalt paving";2018 April;106.6;0.2
138;"4211b Road construction; asphalt paving";2018 July;112.6;7.9
139;"4211b Road construction; asphalt paving";2018 October;115.4;8.9
140;"4211b Road construction; asphalt paving";2019 January;111.6;1.9
141;"4211b Road construction; asphalt paving";2019 April;114.1;7.0
142;"4211b Road construction; asphalt paving";2019 July;114.8;2.0
143;"4211b Road construction; asphalt paving";2019 October;114.1;-1.1
144;4212  Railways and underground railways;2008 January;95.4;
145;4212  Railways and underground railways;2008 April;96.8;
146;4212  Railways and underground railways;2008 July;98.9;
147;4212  Railways and underground railways;2008 October;98.6;
148;4212  Railways and underground railways;2009 January;98.0;2.7
149;4212  Railways and underground railways;2009 April;97.4;0.6
150;4212  Railways and underground railways;2009 July;97.6;-1.3
151;4212  Railways and underground railways;2009 October;97.3;-1.3
152;4212  Railways and underground railways;2010 January;98.5;0.5
153;4212  Railways and underground railways;2010 April;99.6;2.3
154;4212  Railways and underground railways;2010 July;100.4;2.9
155;4212  Railways and underground railways;2010 October;100.5;3.3
156;4212  Railways and underground railways;2011 January;101.7;3.3
157;4212  Railways and underground railways;2011 April;101.7;2.1
158;4212  Railways and underground railways;2011 July;101.8;1.4
159;4212  Railways and underground railways;2011 October;101.4;0.8
160;4212  Railways and underground railways;2012 January;102.5;0.8
161;4212  Railways and underground railways;2012 April;103.0;1.2
162;4212  Railways and underground railways;2012 July;104.0;2.1
163;4212  Railways and underground railways;2012 October;104.0;2.6
164;4212  Railways and underground railways;2013 January;104.0;1.5
165;4212  Railways and underground railways;2013 April;103.9;0.9
166;4212  Railways and underground railways;2013 July;103.3;-0.6
167;4212  Railways and underground railways;2013 October;103.0;-0.9
168;4212  Railways and underground railways;2014 January;103.7;-0.3
169;4212  Railways and underground railways;2014 April;103.2;-0.7
170;4212  Railways and underground railways;2014 July;103.4;0.1
171;4212  Railways and underground railways;2014 October;104.3;1.3
172;4212  Railways and underground railways;2015 January;105.2;1.5
173;4212  Railways and underground railways;2015 April;106.7;3.5
174;4212  Railways and underground railways;2015 July;107.1;3.5
175;4212  Railways and underground railways;2015 October;106.6;2.2
176;4212  Railways and underground railways;2016 January;106.7;1.4
177;4212  Railways and underground railways;2016 April;106.4;-0.3
178;4212  Railways and underground railways;2016 July;107.3;0.2
179;4212  Railways and underground railways;2016 October;107.3;0.7
180;4212  Railways and underground railways;2017 January;109.3;2.5
181;4212  Railways and underground railways;2017 April;109.2;2.6
182;4212  Railways and underground railways;2017 July;108.7;1.3
183;4212  Railways and underground railways;2017 October;109.4;2.0
184;4212  Railways and underground railways;2018 January;110.3;0.9
185;4212  Railways and underground railways;2018 April;110.4;1.0
186;4212  Railways and underground railways;2018 July;111.7;2.8
187;4212  Railways and underground railways;2018 October;112.3;2.6
188;4212  Railways and underground railways;2019 January;112.4;1.9
189;4212  Railways and underground railways;2019 April;112.8;2.2
190;4212  Railways and underground railways;2019 July;113.7;1.8
191;4212  Railways and underground railways;2019 October;114.0;1.5
192;4213  Bridges and tunnels;2008 January;96.8;
193;4213  Bridges and tunnels;2008 April;100.9;
194;4213  Bridges and tunnels;2008 July;106.4;
195;4213  Bridges and tunnels;2008 October;101.0;
196;4213  Bridges and tunnels;2009 January;98.9;2.2
197;4213  Bridges and tunnels;2009 April;97.0;-3.8
198;4213  Bridges and tunnels;2009 July;96.9;-8.9
199;4213  Bridges and tunnels;2009 October;96.4;-4.5
200;4213  Bridges and tunnels;2010 January;97.1;-1.8
201;4213  Bridges and tunnels;2010 April;100.7;3.8
202;4213  Bridges and tunnels;2010 July;100.1;3.3
203;4213  Bridges and tunnels;2010 October;100.2;4.0
204;4213  Bridges and tunnels;2011 January;103.2;6.2
205;4213  Bridges and tunnels;2011 April;102.5;1.7
206;4213  Bridges and tunnels;2011 July;103.0;2.9
207;4213  Bridges and tunnels;2011 October;103.0;2.8
208;4213  Bridges and tunnels;2012 January;104.0;0.9
209;4213  Bridges and tunnels;2012 April;104.4;1.8
210;4213  Bridges and tunnels;2012 July;104.7;1.6
211;4213  Bridges and tunnels;2012 October;105.1;2.0
212;4213  Bridges and tunnels;2013 January;105.2;1.1
213;4213  Bridges and tunnels;2013 April;104.9;0.5
214;4213  Bridges and tunnels;2013 July;104.3;-0.3
215;4213  Bridges and tunnels;2013 October;104.7;-0.4
216;4213  Bridges and tunnels;2014 January;105.5;0.3
217;4213  Bridges and tunnels;2014 April;104.9;0.0
218;4213  Bridges and tunnels;2014 July;104.7;0.3
219;4213  Bridges and tunnels;2014 October;104.9;0.2
220;4213  Bridges and tunnels;2015 January;104.2;-1.3
221;4213  Bridges and tunnels;2015 April;104.4;-0.5
222;4213  Bridges and tunnels;2015 July;104.8;0.1
223;4213  Bridges and tunnels;2015 October;104.1;-0.7
224;4213  Bridges and tunnels;2016 January;103.7;-0.5
225;4213  Bridges and tunnels;2016 April;104.5;0.0
226;4213  Bridges and tunnels;2016 July;106.0;1.1
227;4213  Bridges and tunnels;2016 October;105.7;1.5
228;4213  Bridges and tunnels;2017 January;107.0;3.2
229;4213  Bridges and tunnels;2017 April;107.7;3.1
230;4213  Bridges and tunnels;2017 July;108.0;1.9
231;4213  Bridges and tunnels;2017 October;109.8;3.8
232;4213  Bridges and tunnels;2018 January;110.7;3.5
233;4213  Bridges and tunnels;2018 April;110.8;2.9
