ID;EffectVanDeSamenwerkingOp;GrootteVanHetEffect;BedrijfstakkenBranchesSBI93;Perioden;AantSamenwerkendeBedrijven250Wp_1;PercSamenwerkendeBedrijven250Wp_2
0;7;0;1;2006;1633;100
1;7;0;1;2007;1470;100
2;7;0;1;2008;1398;100
3;7;0;2;2006;406;100
4;7;0;2;2007;379;100
5;7;0;2;2008;377;100
6;7;0;3;2006;201;100
7;7;0;3;2007;178;100
8;7;0;3;2008;187;100
9;7;0;4;2006;91;100
10;7;0;4;2007;100;100
11;7;0;4;2008;78;100
12;7;0;5;2006;60;100
13;7;0;5;2007;54;100
14;7;0;5;2008;46;100
15;7;0;6;2006;291;100
16;7;0;6;2007;234;100
17;7;0;6;2008;224;100
18;7;0;7;2006;585;100
19;7;0;7;2007;525;100
20;7;0;7;2008;485;100
21;7;1;1;2006;109;7
22;7;1;1;2007;127;9
23;7;1;1;2008;129;9
24;7;1;2;2006;39;10
25;7;1;2;2007;43;11
26;7;1;2;2008;42;11
27;7;1;3;2006;23;11
28;7;1;3;2007;35;20
29;7;1;3;2008;39;21
30;7;1;4;2006;11;12
31;7;1;4;2007;9;9
32;7;1;4;2008;10;13
33;7;1;5;2006;2;3
34;7;1;5;2007;2;4
35;7;1;5;2008;4;9
36;7;1;6;2006;12;4
37;7;1;6;2007;12;5
38;7;1;6;2008;10;4
39;7;1;7;2006;23;4
40;7;1;7;2007;26;5
41;7;1;7;2008;24;5
42;7;2;1;2006;176;11
43;7;2;1;2007;144;10
44;7;2;1;2008;173;12
45;7;2;2;2006;72;18
46;7;2;2;2007;56;15
47;7;2;2;2008;69;18
48;7;2;3;2006;43;21
49;7;2;3;2007;29;16
50;7;2;3;2008;37;20
51;7;2;4;2006;6;7
52;7;2;4;2007;10;10
53;7;2;4;2008;10;13
54;7;2;5;2006;0;0
55;7;2;5;2007;3;6
56;7;2;5;2008;5;11
57;7;2;6;2006;20;7
58;7;2;6;2007;16;7
59;7;2;6;2008;6;3
60;7;2;7;2006;36;6
61;7;2;7;2007;31;6
62;7;2;7;2008;47;10
63;7;3;1;2006;672;41
64;7;3;1;2007;731;50
65;7;3;1;2008;739;53
66;7;3;2;2006;176;43
67;7;3;2;2007;191;50
68;7;3;2;2008;194;51
69;7;3;3;2006;66;33
70;7;3;3;2007;75;42
71;7;3;3;2008;70;37
72;7;3;4;2006;45;49
73;7;3;4;2007;51;51
74;7;3;4;2008;39;50
75;7;3;5;2006;18;30
76;7;3;5;2007;29;54
77;7;3;5;2008;27;59
78;7;3;6;2006;105;36
79;7;3;6;2007;101;43
80;7;3;6;2008;117;52
81;7;3;7;2006;263;45
82;7;3;7;2007;283;54
83;7;3;7;2008;292;60
84;7;4;1;2006;676;41
85;7;4;1;2007;468;32
86;7;4;1;2008;357;26
87;7;4;2;2006;119;29
88;7;4;2;2007;89;23
