ID;RegioS;Perioden;Jeugdbeschermingstrajecten_1;TotaalBegonnenTrajecten_2;NieuweTrajecten_3;HerhaaldBeroep_4;TotaalBeeindigdeTrajecten_5;k_0Tot3Maanden_6;k_3Tot6Maanden_7;k_6Tot12Maanden_8;k_1Tot2Jaar_9;k_2Tot3Jaar_10;k_3Tot4Jaar_11;k_4JaarOfLanger_12;Ondertoezichtstelling_13;TotaalBegonnenTrajecten_14;NieuweTrajecten_15;HerhaaldBeroep_16;TotaalBeeindigdeTrajecten_17;k_0Tot3Maanden_18;k_3Tot6Maanden_19;k_6Tot12Maanden_20;k_1Tot2Jaar_21;k_2Tot3Jaar_22;k_3Tot4Jaar_23;k_4JaarOfLanger_24;BereikenMeerderjarigheidJeugdige_25;TussentijdseOpheffing_26;NietVerlengd_27;BeeindigdVolgensPlan_28;GezagsbeeindigendeMaatregel_29;OverlijdenJeugdige_30;VanVoorlopigeNaarReguliereOTS_31;Voogdij_32;TotaalBegonnenTrajecten_33;NieuweTrajecten_34;HerhaaldBeroep_35;TotaalBeeindigdeTrajecten_36;k_0Tot3Maanden_37;k_3Tot6Maanden_38;k_6Tot12Maanden_39;k_1Tot2Jaar_40;k_2Tot3Jaar_41;k_3Tot4Jaar_42;k_4JaarOfLanger_43;BereikenMeerderjarigheidJeugdige_44;VoogdijNaarPleegouder_45;VoogdijNaarContactpersoon_46;HerstelGezag_47;OverlijdenJeugdige_48
0;Nederland;2015 1e kwartaal;36860.0;2445.0;2145.0;;3365.0;370.0;95.0;625.0;740.0;515.0;300.0;720.0;27555.0;2030.0;1745.0;;3010.0;330.0;80.0;600.0;695.0;465.0;265.0;575.0;;225.0;;;245.0;;;9305.0;415.0;400.0;;355.0;40.0;15.0;25.0;45.0;50.0;35.0;145.0;250.0;70.0;;35.0;
1;Nederland;2015 1e halfjaar;39525.0;5110.0;4565.0;;6815.0;725.0;190.0;1285.0;1475.0;1005.0;660.0;1465.0;29765.0;4240.0;3715.0;;6095.0;655.0;160.0;1230.0;1390.0;910.0;595.0;1155.0;;385.0;;;500.0;;;9765.0;870.0;850.0;;720.0;75.0;30.0;60.0;85.0;90.0;65.0;315.0;510.0;145.0;;70.0;
2;Nederland;2015 2e halfjaar;38155.0;5440.0;5050.0;;7180.0;770.0;265.0;1205.0;1460.0;1005.0;760.0;1715.0;28010.0;4340.0;3965.0;;6375.0;700.0;215.0;1150.0;1375.0;910.0;670.0;1350.0;;190.0;;;665.0;;;10145.0;1100.0;1085.0;;805.0;70.0;50.0;50.0;80.0;95.0;85.0;370.0;555.0;170.0;;80.0;
3;Nederland;2015;44965.0;10550.0;9610.0;;13990.0;1500.0;455.0;2490.0;2935.0;2010.0;1420.0;3185.0;34100.0;8580.0;7680.0;;12465.0;1355.0;375.0;2380.0;2770.0;1820.0;1265.0;2500.0;;580.0;;;1165.0;;;10865.0;1970.0;1935.0;;1525.0;145.0;80.0;110.0;165.0;190.0;155.0;680.0;1060.0;315.0;;150.0;
4;Nederland;2016 1e halfjaar;37000.0;6215.0;5660.0;;6650.0;830.0;275.0;985.0;1420.0;945.0;680.0;1515.0;26355.0;4890.0;4365.0;;5755.0;725.0;210.0;905.0;1300.0;855.0;610.0;1150.0;;165.0;;;920.0;;;10645.0;1325.0;1300.0;;895.0;105.0;65.0;80.0;120.0;90.0;65.0;365.0;635.0;150.0;;105.0;
5;Nederland;2016 2e halfjaar;36455.0;6105.0;5595.0;;6180.0;885.0;275.0;1035.0;1275.0;895.0;560.0;1245.0;25745.0;5150.0;4675.0;;5360.0;805.0;215.0;960.0;1180.0;825.0;490.0;885.0;;160.0;;;685.0;;;10705.0;955.0;920.0;;815.0;80.0;60.0;75.0;95.0;70.0;70.0;360.0;575.0;145.0;;90.0;
6;Nederland;2016;43105.0;12320.0;11260.0;;12830.0;1715.0;550.0;2020.0;2695.0;1845.0;1240.0;2760.0;31500.0;10035.0;9040.0;;11115.0;1530.0;425.0;1865.0;2480.0;1685.0;1100.0;2035.0;;325.0;;;1600.0;;;11600.0;2280.0;2220.0;;1710.0;185.0;125.0;155.0;215.0;160.0;140.0;725.0;1210.0;295.0;;195.0;
7;Nederland;2017 1e halfjaar;36765.0;6395.0;5755.0;;6115.0;920.0;285.0;1155.0;1225.0;810.0;480.0;1240.0;25790.0;5325.0;4725.0;;5250.0;825.0;235.0;1075.0;1125.0;720.0;410.0;870.0;;165.0;;;620.0;;;10980.0;1070.0;1030.0;;865.0;95.0;50.0;85.0;100.0;90.0;70.0;375.0;610.0;140.0;;110.0;
8;Nederland;2017 2e halfjaar;36505.0;5855.0;5270.0;;5760.0;870.0;265.0;1130.0;1210.0;835.0;475.0;980.0;25590.0;5055.0;4480.0;;4920.0;790.0;215.0;1055.0;1090.0;735.0;400.0;635.0;;155.0;;;445.0;;;10915.0;805.0;790.0;;840.0;75.0;50.0;75.0;120.0;100.0;75.0;345.0;630.0;130.0;;80.0;
9;Nederland;2017;42625.0;12250.0;11025.0;;11875.0;1790.0;550.0;2285.0;2435.0;1645.0;955.0;2220.0;30840.0;10380.0;9200.0;;10170.0;1615.0;445.0;2125.0;2210.0;1455.0;810.0;1505.0;;315.0;;;1070.0;;;11780.0;1875.0;1820.0;;1705.0;175.0;100.0;155.0;225.0;185.0;145.0;715.0;1240.0;270.0;;190.0;
