ID;RegioS;Perioden;JongerenMetJeugdhulpInNatura_1;JongerenMetJeugdhMetVerblInNat_2;JongerenMetJeugdbescherming_3;JeugdbeschEnJeugdhMetVerblInNat_4;JongerenMetJeugdreclassering_5
0;Nederland;1e halfjaar 2021;11.1;9.9;1.1;47.5;0.3
1;Nederland;2e halfjaar 2021;11.1;10.1;1.1;47.6;0.3
2;Nederland;2021;13.2;9.4;1.2;47.8;0.3
3;Nederland;1e halfjaar 2022;11.3;9.4;1.1;47.1;0.3
4;Nederland;2e halfjaar 2022;11.5;9.3;1.0;47.5;0.3
5;Nederland;2022;13.5;8.8;1.2;47.1;0.3
6;Nederland;1e halfjaar 2023;11.7;8.7;1.0;48.5;0.3
7;Nederland;2e halfjaar 2023;11.7;8.9;0.9;48.9;0.3
8;Nederland;2023;13.9;8.3;1.1;48.4;0.3
9;Nederland;1e half jaar 2024;11.5;8.3;0.9;46.6;0.3
10;Noord-Nederland (LD);1e halfjaar 2021;12.0;12.8;1.4;53.3;0.3
11;Noord-Nederland (LD);2e halfjaar 2021;12.0;12.8;1.4;51.7;0.3
12;Noord-Nederland (LD);2021;14.2;12.4;1.5;54.2;0.4
13;Noord-Nederland (LD);1e halfjaar 2022;12.1;12.3;1.3;51.6;0.3
14;Noord-Nederland (LD);2e halfjaar 2022;12.3;12.3;1.3;52.1;0.3
15;Noord-Nederland (LD);2022;14.2;11.8;1.5;52.0;0.4
16;Noord-Nederland (LD);1e halfjaar 2023;12.4;11.2;1.2;51.6;0.3
17;Noord-Nederland (LD);2e halfjaar 2023;12.3;11.4;1.2;51.9;0.3
18;Noord-Nederland (LD);2023;14.5;10.8;1.3;52.3;0.4
19;Noord-Nederland (LD);1e half jaar 2024;12.1;10.7;1.2;50.7;0.3
20;Oost-Nederland (LD);1e halfjaar 2021;11.0;11.7;1.3;49.7;0.3
21;Oost-Nederland (LD);2e halfjaar 2021;11.1;11.8;1.2;49.7;0.3
22;Oost-Nederland (LD);2021;13.0;11.0;1.4;49.7;0.3
23;Oost-Nederland (LD);1e halfjaar 2022;11.1;10.9;1.2;48.0;0.2
24;Oost-Nederland (LD);2e halfjaar 2022;11.2;10.8;1.2;49.1;0.3
25;Oost-Nederland (LD);2022;13.2;10.2;1.3;48.7;0.3
26;Oost-Nederland (LD);1e halfjaar 2023;11.5;10.1;1.1;50.3;0.3
27;Oost-Nederland (LD);2e halfjaar 2023;11.7;9.9;1.1;50.7;0.3
28;Oost-Nederland (LD);2023;13.7;9.4;1.2;50.2;0.3
29;Oost-Nederland (LD);1e half jaar 2024;11.4;9.3;1.0;50.7;0.3
30;West-Nederland (LD);1e halfjaar 2021;10.7;8.8;1.0;46.3;0.3
31;West-Nederland (LD);2e halfjaar 2021;10.8;8.9;1.0;46.5;0.3
32;West-Nederland (LD);2021;12.9;8.3;1.1;46.3;0.4
