ID;Perioden;TotaalLevendgeborenen_1;AutochtoneMoedersIncl2eGeneratie_2;Totaal1eGeneratieMoeders_3;TotaalNietWesters_4;Afrika_5;Azie_6;LatijnsAmerika_7;Marokko_8;NederlandseAntillenEnAruba_9;Suriname_10;Turkije_11;TotaalWesters_12;k_26EULanden_13;OverigEuropa_14;Indonesie_15;OverigBuitenEuropa_16
0;2010;182106;150281;31825;22120;3554;5018;1264;5399;1494;2168;3222;9706;6763;1928;445;569
1;2011;180605;148936;31669;21593;3535;5077;1309;5134;1504;2021;3013;10075;7133;1940;431;572
2;2012;179933;148438;31495;21056;3483;5126;1350;4873;1510;1891;2822;10439;7496;1954;417;572
3;2013;180055;148730;31325;20532;3408;5169;1387;4616;1518;1780;2654;10793;7835;1974;411;573
4;2014;180427;149266;31160;20040;3334;5206;1418;4359;1531;1684;2507;11120;8141;1996;409;573
5;2015;181027;150038;30989;19571;3263;5236;1446;4104;1545;1599;2378;11418;8414;2017;412;575
6;2016;181812;150992;30820;19131;3192;5265;1468;3856;1556;1527;2267;11689;8661;2035;416;577
7;2017;182926;152270;30655;18725;3125;5292;1485;3621;1568;1463;2171;11930;8878;2051;421;581
8;2018;184218;153714;30504;18356;3058;5320;1498;3399;1582;1409;2090;12148;9071;2064;427;586
9;2019;185429;155063;30367;18026;2997;5351;1507;3193;1598;1360;2020;12341;9239;2075;433;594
10;2020;186644;156413;30231;17722;2939;5378;1513;3001;1616;1315;1961;12509;9385;2080;440;604
11;2021;187575;157479;30096;17448;2888;5398;1518;2825;1633;1275;1911;12649;9505;2083;447;615
12;2022;188572;158607;29965;17206;2843;5417;1524;2665;1650;1239;1868;12759;9598;2082;453;626
13;2023;189375;159525;29850;17002;2805;5436;1530;2524;1668;1207;1832;12848;9673;2079;460;637
14;2024;189959;160206;29752;16834;2774;5459;1535;2400;1685;1177;1804;12918;9730;2074;466;648
15;2025;190456;160787;29669;16702;2749;5485;1542;2292;1702;1152;1782;12967;9770;2067;471;660
16;2026;190751;161145;29606;16604;2730;5515;1548;2197;1717;1131;1766;13002;9796;2059;475;671
17;2027;191041;161484;29557;16534;2716;5549;1556;2115;1731;1112;1755;13023;9810;2051;479;682
18;2028;191180;161651;29529;16493;2705;5590;1563;2045;1744;1097;1748;13036;9817;2043;482;694
19;2029;191222;161703;29519;16476;2699;5636;1572;1984;1755;1085;1745;13043;9817;2036;484;705
20;2030;191111;161584;29527;16479;2695;5686;1581;1932;1765;1076;1744;13049;9816;2030;486;716
21;2031;190823;161268;29554;16503;2694;5743;1591;1886;1775;1069;1745;13051;9810;2026;487;727
22;2032;190310;160713;29597;16542;2696;5803;1602;1845;1784;1065;1748;13054;9804;2024;488;738
23;2033;189610;159954;29655;16595;2699;5867;1613;1809;1792;1063;1752;13060;9799;2024;488;749
24;2034;188743;159015;29728;16658;2703;5933;1625;1777;1801;1062;1757;13070;9797;2025;489;760
25;2035;187797;157981;29817;16728;2708;6001;1637;1747;1810;1063;1762;13088;9800;2030;488;770
26;2036;186814;156895;29919;16805;2714;6069;1649;1720;1818;1065;1769;13114;9810;2034;488;781
27;2037;185856;155824;30032;16889;2720;6140;1661;1696;1828;1068;1776;13144;9825;2040;488;791
28;2038;184949;154799;30151;16971;2726;6207;1673;1673;1837;1072;1784;13179;9844;2047;488;800
29;2039;184166;153890;30276;17057;2732;6272;1686;1652;1847;1076;1793;13218;9867;2054;488;810
30;2040;183517;153109;30407;17145;2739;6336;1698;1634;1857;1080;1802;13263;9895;2062;487;819
31;2041;183022;152487;30535;17229;2745;6397;1710;1617;1867;1083;1810;13306;9922;2070;486;828
32;2042;182698;152037;30661;17312;2753;6453;1722;1602;1876;1087;1819;13349;9950;2077;486;836
33;2043;182548;151756;30792;17394;2759;6508;1733;1589;1886;1091;1828;13398;9983;2085;485;844
34;2044;182569;151649;30920;17474;2767;6560;1743;1578;1895;1094;1837;13446;10018;2092;484;852
35;2045;182752;151713;31040;17549;2774;6607;1754;1568;1904;1097;1845;13491;10049;2099;483;860
36;2046;183079;151921;31158;17623;2781;6653;1764;1559;1913;1100;1853;13535;10080;2106;483;867
37;2047;183527;152255;31272;17692;2789;6694;1773;1553;1921;1102;1860;13579;10112;2112;482;873
38;2048;184065;152679;31385;17762;2797;6736;1783;1547;1929;1104;1867;13623;10143;2119;481;880
39;2049;184663;153170;31493;17829;2805;6776;1790;1544;1936;1105;1872;13665;10174;2124;481;886
40;2050;185294;153702;31592;17890;2813;6810;1799;1541;1944;1106;1877;13702;10201;2130;480;892
41;2051;185933;154238;31695;17953;2821;6844;1806;1541;1951;1107;1882;13742;10231;2135;479;898
42;2052;186557;154764;31793;18014;2830;6878;1814;1542;1958;1108;1886;13779;10258;2140;479;903
43;2053;187143;155256;31888;18072;2838;6910;1820;1543;1964;1108;1889;13815;10285;2144;478;909
44;2054;187674;155700;31975;18125;2845;6939;1827;1544;1970;1108;1892;13849;10309;2148;478;914
45;2055;188134;156081;32054;18174;2852;6967;1832;1546;1976;1108;1894;13879;10331;2152;477;920
46;2056;188512;156381;32131;18219;2858;6994;1837;1546;1982;1107;1894;13912;10355;2155;477;925
47;2057;188799;156598;32201;18262;2863;7021;1843;1547;1987;1106;1895;13939;10375;2158;476;930
48;2058;188992;156725;32267;18300;2869;7046;1847;1547;1992;1105;1894;13967;10394;2161;476;935
49;2059;189088;156764;32324;18333;2873;7069;1851;1547;1996;1104;1893;13991;10412;2163;476;940
