ID;BatenLastenSaldo;RegioS;Perioden;TotaalProvincaleFuncties_1;TotaalAlgemeenBestuur_2;ProvincialeStaten_3;GedeputeerdeStaten_4;Kabinetszaken_5;BestuurlijkeOrganisatie_6;FinancieelToezicht_7;UitvoeringOvWettelijkeRegelingen_8;OverigeZakenBetrAlgemeenBestuur_9;OverigeBatenEnLasten_10;TotaalOpenbareOrdeEnVeiligheid_11;OpenbareOrdeEnVeiligheidAlgemeen_12;OpenbareOrdeEnVeiligheid_13;OverigeBeschermendeMaatregelen_14;TotaalVerkeerEnVervoer_15;VerkeerEnVervoerAlgemeen_16;Landwegen_17;BootEnVeerdiensten_18;Waterwegen_19;Vervoer_20;TotaalWaterhuishouding_21;WaterhuishoudingAlgemeen_22;Waterschapsaangelegenheden_23;Waterkeringen_24;KwantitatiefBeheerOppervlaktewater_25;KwantitatiefBeheerGrondwater_26;Landaanwinning_27;TotaalMilieubeheer_28;MilieubeheerAlgemeen_29;KwalitatiefBeheerOppervlaktewater_30;KwalitatiefBeheerGrondwaterEnBodem_31;BestrijdingLuchtverontreiniging_32;BestrijdingGeluidhinder_33;VergunningverleningEnHandhaving_34;Ontgrondingen_35;TotaalRecreatieEnNatuur_36;RecreatieEnNatuurAlgemeen_37;Recreatie_38;Natuur_39;TotaalEconomischeEnAgrarischeZaken_40;AlgemeneEconomischeAangelegenheden_41;BevorderingEconomischeActiviteiten_42;Nutsvoorzieningen_43;AgrarischeAangelegenheden_44;TotaalWelzijn_45;WelzijnAlgemeen_46;Educatie_47;LichamelijkeVormingEnSport_48;KunstEnOudheidkunde_49;SociaalCultureelWerkEnOntwikkeling_50;MaatschappelijkeVoorzieningen_51;Volksgezondheid_52;Ouderenzorg_53;Jeugdhulpverlening_54;TotaalRuimtelijkeOrdEnVolkshuisv_55;RuimtOrdEnVolkshuisvAlgemeen_56;RuimtelijkeOrdening_57;Volkshuisvesting_58;StedelijkeVernieuwing_59;TotaalFinancieringEnAlgDekkingsmid_60;GeldleningenEnUitzettingen1Jaar_61;GeldleningenEnUitzettingen1Jaar_62;VennootschapsbelastingVpb_63;AlgemeneUitkeringProvinciefonds_64;EigenMiddelen_65;OverigeFinancieleMiddelen_66;AlgemeneBatenEnLastenOnvoorzien_67;SaldoKostenplaatsen_68;SaldoVanDeRekeningBatenEnLasten_69;MutatiesResDieVhmDeHoofdfuncties_70;ResultaatVdRekeningBatenEnLasten_71;TotaalProvincaleFuncties_72;TotaalAlgemeenBestuur_73;ProvincialeStaten_74;GedeputeerdeStaten_75;Kabinetszaken_76;BestuurlijkeOrganisatie_77;FinancieelToezicht_78;UitvoeringOvWettelijkeRegelingen_79;OverigeZakenBetrAlgemeenBestuur_80;OverigeBatenEnLasten_81;TotaalOpenbareOrdeEnVeiligheid_82;OpenbareOrdeEnVeiligheidAlgemeen_83;OpenbareOrdeEnVeiligheid_84;OverigeBeschermendeMaatregelen_85;TotaalVerkeerEnVervoer_86;VerkeerEnVervoerAlgemeen_87;Landwegen_88;BootEnVeerdiensten_89;Waterwegen_90;Vervoer_91;TotaalWaterhuishouding_92;WaterhuishoudingAlgemeen_93;Waterschapsaangelegenheden_94;Waterkeringen_95;KwantitatiefBeheerOppervlaktewater_96;KwantitatiefBeheerGrondwater_97;Landaanwinning_98;TotaalMilieubeheer_99;MilieubeheerAlgemeen_100;KwalitatiefBeheerOppervlaktewater_101;KwalitatiefBeheerGrondwaterEnBodem_102;BestrijdingLuchtverontreiniging_103;BestrijdingGeluidhinder_104;VergunningverleningEnHandhaving_105;Ontgrondingen_106;TotaalRecreatieEnNatuur_107;RecreatieEnNatuurAlgemeen_108;Recreatie_109;Natuur_110;TotaalEconomischeEnAgrarischeZaken_111;AlgemeneEconomischeAangelegenheden_112;BevorderingEconomischeActiviteiten_113;Nutsvoorzieningen_114;AgrarischeAangelegenheden_115;TotaalWelzijn_116;WelzijnAlgemeen_117;Educatie_118;LichamelijkeVormingEnSport_119;KunstEnOudheidkunde_120;SociaalCultureelWerkEnOntwikkeling_121;MaatschappelijkeVoorzieningen_122;Volksgezondheid_123;Ouderenzorg_124;Jeugdhulpverlening_125;TotaalRuimtelijkeOrdEnVolkshuisv_126;RuimtOrdEnVolkshuisvAlgemeen_127;RuimtelijkeOrdening_128;Volkshuisvesting_129;StedelijkeVernieuwing_130;TotaalFinancieringEnAlgDekkingsmid_131;GeldleningenEnUitzettingen1Jaar_132;GeldleningenEnUitzettingen1Jaar_133;VennootschapsbelastingVpb_134;AlgemeneUitkeringProvinciefonds_135;EigenMiddelen_136;OverigeFinancieleMiddelen_137;AlgemeneBatenEnLastenOnvoorzien_138;SaldoKostenplaatsen_139;SaldoVanDeRekeningBatenEnLasten_140;MutatiesResDieVhmDeHoofdfuncties_141;ResultaatVdRekeningBatenEnLasten_142
0;Baten;Nederland;2007;8910.0;34.1;3.0;1.2;0.5;1.8;0.5;0.9;7.6;18.6;3.8;2.4;1.4;0.0;1054.6;233.4;203.0;3.1;41.3;573.7;36.4;3.1;0.6;7.6;6.1;18.9;0;256.2;58.0;1.6;121.7;56.5;4.0;10.7;3.5;360.6;60.4;108.4;191.8;1429.2;4.2;73.2;1302.8;48.9;1040.8;1.0;0.4;1.0;25.5;21.3;0.6;1.2;0.0;989.8;132.0;6.9;26.8;34.1;64.3;4562.3;75.6;249.1;;1130.2;1216.9;115.5;19.7;12.4;2819.4;1742.8;0.0;545;2;0;0;0;0;0;0;0;1;0;0;0;0;64;14;12;0;3;35;2;0;0;0;0;1;0;16;4;0;7;3;0;1;0;22;4;7;12;87;0;4;80;3;64;0;0;0;2;1;0;0;0;61;8;0;2;2;4;279;5;15;;69;74;7;1;1;172;107;0
1;Baten;Nederland;2008;8503.3;16.2;1.1;0.4;0.4;1.2;0.0;0.1;6.2;6.8;4.3;2.7;1.6;0.0;813.5;76.0;144.6;5.0;33.4;554.5;31.3;3.2;1.0;7.7;2.0;17.4;0;184.6;22.5;0.5;119.5;33.9;2.8;2.3;3.1;337.2;32.4;39.7;265.1;903.5;2.9;93.1;760.8;46.7;1074.7;0.5;0.1;2.8;20.0;16.5;0.4;0.1;0.0;1034.2;135.9;8.0;14.1;31.1;82.7;5002.2;113.2;276.1;;1208.8;1333.5;20.5;19.1;14.5;132.6;2016.5;0.0;518;1;0;0;0;0;0;0;0;0;0;0;0;0;50;5;9;0;2;34;2;0;0;0;0;1;0;11;1;0;7;2;0;0;0;21;2;2;16;55;0;6;46;3;66;0;0;0;1;1;0;0;0;63;8;0;1;2;5;305;7;17;;74;81;1;1;1;8;123;0
2;Baten;Nederland;2009;22200.4;20.3;2.9;0.7;0.3;1.4;0.0;0.1;7.3;7.5;4.5;2.9;1.6;0.0;917.8;112.5;165.6;4.8;37.7;597.3;32.3;3.4;0.1;9.5;3.1;16.2;0;247.5;24.8;0.4;164.0;43.0;7.7;4.1;3.5;393.6;64.7;37.7;291.2;13681.4;4.9;117.3;13497.1;62.0;1075.1;0.9;0.1;0.2;7.3;2.0;0.2;0.2;0.0;1064.3;141.6;7.2;21.4;31.9;81.1;5686.3;71.4;324.1;;1327.3;1402.0;29.1;19.2;19.4;66.4;2492.1;1.8;1347;1;0;0;0;0;0;0;0;0;0;0;0;0;56;7;10;0;2;36;2;0;0;1;0;1;0;15;2;0;10;3;0;0;0;24;4;2;18;830;0;7;819;4;65;0;0;0;0;0;0;0;0;65;9;0;1;2;5;345;4;20;;81;85;2;1;1;4;151;0
3;Baten;Nederland;2010;11077.3;16.7;1.0;0.6;0.7;0.7;0.0;0.1;7.3;6.3;5.5;2.9;2.7;0.0;1088.6;179.1;208.8;4.9;34.8;661.0;54.5;12.4;0.0;17.3;7.2;17.5;0;175.0;27.0;0.4;63.9;72.4;6.2;4.7;0.4;423.7;53.3;40.3;330.2;702.6;5.1;86.4;527.0;84.2;1092.0;0.3;0.3;0.0;11.3;1.7;0.2;0.1;0.1;1078.0;117.1;7.7;12.6;23.1;73.7;7401.5;28.0;509.7;;1476.3;1432.8;33.0;16.9;3.0;664.6;3901.8;0.0;668;1;0;0;0;0;0;0;0;0;0;0;0;0;66;11;13;0;2;40;3;1;0;1;0;1;0;11;2;0;4;4;0;0;0;26;3;2;20;42;0;5;32;5;66;0;0;0;1;0;0;0;0;65;7;0;1;1;4;447;2;31;;89;86;2;1;0;40;235;0
4;Baten;Nederland;2011;11354.8;27.7;1.3;2.2;0.5;0.6;0.0;0.1;10.9;12.1;1.0;0.1;0.9;0.0;1308.9;230.1;293.1;5.0;125.7;655.1;40.1;7.1;0.3;10.1;7.1;15.6;0;169.8;10.5;2.0;106.4;33.9;5.8;9.3;1.9;393.9;31.1;41.4;321.4;1528.0;10.4;107.2;1292.2;118.2;1124.0;0.8;0.8;0.0;9.2;3.2;0.6;0.0;0.0;1109.3;169.5;20.5;50.2;27.6;71.2;6591.9;33.5;486.0;;1253.7;1439.1;29.9;18.1;23.8;411.8;3307.7;0.0;682;2;0;0;0;0;0;0;1;1;0;0;0;0;79;14;18;0;8;39;2;0;0;1;0;1;0;10;1;0;6;2;0;1;0;24;2;2;19;92;1;6;78;7;67;0;0;0;1;0;0;0;0;67;10;1;3;2;4;396;2;29;;75;86;2;1;1;25;199;0
5;Baten;Nederland;2012;14033.3;23.8;0.9;0.5;0.4;0.8;0.0;0.0;6.5;14.6;2.1;0.2;1.9;0.0;1254.9;142.9;257.4;5.9;220.9;627.7;49.1;12.9;0.1;1.7;8.3;26.2;0;106.3;15.7;1.6;33.6;33.5;10.7;9.7;1.6;323.5;31.9;36.7;254.9;589.5;7.3;154.6;356.1;71.5;1160.9;1.6;0.4;1.0;10.6;3.0;3.0;0.0;0.2;1141.0;65.4;8.8;37.1;6.9;12.5;10457.9;36.7;566.7;;1677.0;1438.2;28.7;36.7;265.4;763.1;6408.6;0.0;839;1;0;0;0;0;0;0;0;1;0;0;0;0;75;9;15;0;13;38;3;1;0;0;0;2;0;6;1;0;2;2;1;1;0;19;2;2;15;35;0;9;21;4;69;0;0;0;1;0;0;0;0;68;4;1;2;0;1;625;2;34;;100;86;2;2;16;46;383;0
6;Baten;Nederland;2013;10275.4;36.1;1.2;0.6;0.3;0.4;0.0;0.1;12.2;21.3;0.8;0.3;0.5;0.0;1088.8;164.8;235.6;5.0;50.3;633.1;16.7;3.7;0.0;0.7;-0.7;13.0;0;138.6;7.5;0.3;67.5;42.0;5.9;10.6;4.8;278.7;16.0;130.0;132.8;369.5;12.7;62.1;274.3;20.4;1171.5;0.7;0.5;0.6;8.6;1.0;0.0;0.2;0.1;1159.7;44.2;8.0;28.2;5.3;2.6;7130.3;17.8;563.0;;1555.4;1414.9;10.2;6.7;2.7;337.1;3554.2;5.2;612;2;0;0;0;0;0;0;1;1;0;0;0;0;65;10;14;0;3;38;1;0;0;0;0;1;0;8;0;0;4;3;0;1;0;17;1;8;8;22;1;4;16;1;70;0;0;0;1;0;0;0;0;69;3;0;2;0;0;425;1;34;;93;84;1;0;0;20;212;0
7;Baten;Nederland;2014;9879.2;37.6;0.2;0.4;0.4;0.6;0.0;0.1;3.6;32.2;0.8;0.1;0.7;0.0;1003.1;147.6;180.3;5.1;15.5;654.6;26.8;10.2;0.0;1.4;1.5;13.8;0;125.1;15.3;0.3;58.5;30.5;2.6;14.8;3.2;179.9;10.8;30.6;138.5;444.6;21.7;47.0;376.7;-0.7;1199.0;1.1;0.3;1.3;11.8;0.7;-0.7;0.2;0.0;1184.3;73.3;23.2;37.0;8.8;4.3;6789.0;13.0;526.4;;1285.8;1533.7;19.1;4.6;1.4;751.3;3389.6;15.4;587;2;0;0;0;0;0;0;0;2;0;0;0;0;60;9;11;0;1;39;2;1;0;0;0;1;0;7;1;0;3;2;0;1;0;11;1;2;8;26;1;3;22;0;71;0;0;0;1;0;0;0;0;70;4;1;2;1;0;403;1;31;;76;91;1;0;0;45;201;1
8;Baten;Nederland;2015;10247.2;54.8;1.0;1.6;0.3;0.4;0.0;0.1;3.4;48.0;0.3;0.3;0.0;0.0;1601.9;322.0;466.0;4.6;22.0;787.2;21.9;2.9;0.2;1.1;0.3;17.5;0;149.4;93.8;0.4;38.4;4.9;2.3;8.4;1.3;193.9;7.6;21.0;165.2;567.2;16.5;105.0;451.5;-5.8;9.5;1.0;0.4;0.5;11.2;0.2;-0.1;0.3;0.0;-4.0;78.0;23.0;50.8;2.1;2.1;7570.3;2.9;520.5;;1112.7;1566.8;24.2;64.8;0.5;675.1;4277.9;0.0;606;3;0;0;0;0;0;0;0;3;0;0;0;0;95;19;28;0;1;47;1;0;0;0;0;1;0;9;6;0;2;0;0;0;0;11;0;1;10;34;1;6;27;0;1;0;0;0;1;0;0;0;0;0;5;1;3;0;0;448;0;31;;66;93;1;4;0;40;253;0
9;Baten;Nederland;2016;11763.2;52.0;0.4;0.4;0.4;1.2;0.0;0.2;7.3;42.3;0.7;0.4;0.3;0.0;1066.9;186.2;204.6;0.0;11.9;664.2;53.8;9.7;0.0;0.9;20.6;22.6;0;106.8;54.6;0.6;35.2;3.1;1.0;11.1;1.4;249.8;14.7;25.5;209.5;352.1;31.1;123.2;195.1;2.7;24.6;0.0;0.1;0.8;8.6;0.6;0.0;0.1;0.0;14.3;114.4;22.8;77.9;1.4;12.3;9742.0;1.2;442.2;0.0;2493.8;1557.1;32.5;79.8;1.3;261.5;5100.9;33.2;693;3;0;0;0;0;0;0;0;2;0;0;0;0;63;11;12;0;1;39;3;1;0;0;1;1;0;6;3;0;2;0;0;1;0;15;1;2;12;21;2;7;11;0;1;0;0;0;1;0;0;0;0;1;7;1;5;0;1;574;0;26;0.0;147;92;2;5;0;15;300;2
