ID;SBI93;Rechtsvorm;Perioden;Oprichtingen_1;WerkzamePersonen_2;AantalBedrijven_3
0;Totaal SBI;Totaal rechtsvorm;1993;28.6;46.5;380.9
1;Totaal SBI;Totaal rechtsvorm;1994;25.6;41.2;387.5
2;Totaal SBI;Totaal rechtsvorm;1995;32.5;54.6;386.4
3;Totaal SBI;Totaal rechtsvorm;1996;33.6;58.9;405.6
4;Totaal SBI;Totaal rechtsvorm;1997;30.6;53.3;423.0
5;Totaal SBI;Totaal rechtsvorm;1998;29.8;47.1;452.5
6;Totaal SBI;Totaal rechtsvorm;1999;30.5;54.1;464.6
7;Totaal SBI;Totaal rechtsvorm;2000;36.0;61.1;473.1
8;Totaal SBI;Totaal rechtsvorm;2001;35.0;52.3;482.3
9;Totaal SBI;Totaal rechtsvorm;2002;32.8;51.5;486.6
10;Totaal SBI;Totaal rechtsvorm;2003;31.0;45.9;487.1
11;Totaal SBI;Totaal rechtsvorm;2004;33.4;49.2;497.8
12;Totaal SBI;Totaal rechtsvorm;2005;40.1;56.6;506.7
13;Totaal SBI;Totaal rechtsvorm;2006;42.8;59.2;530.6
14;Totaal SBI;Totaal rechtsvorm;2007;42.7;56.0;548.1
15;Totaal SBI;Totaal rechtsvorm;2008;38.7;51.7;580.7
16;Totaal SBI;Totaal rechtsvorm;2009;35.4;46.5;621.3
17;Totaal SBI;Totaal rechtsvorm;2010;37.9;49.8;637.2
18;Totaal SBI;Eenmanszaken;1993;;;195.0
19;Totaal SBI;Eenmanszaken;1994;;;193.8
20;Totaal SBI;Eenmanszaken;1995;;;190.3
21;Totaal SBI;Eenmanszaken;1996;;;192.5
22;Totaal SBI;Eenmanszaken;1997;;;208.0
23;Totaal SBI;Eenmanszaken;1998;19.9;23.9;217.0
24;Totaal SBI;Eenmanszaken;1999;19.6;25.1;223.3
25;Totaal SBI;Eenmanszaken;2000;23.9;28.4;224.3
26;Totaal SBI;Eenmanszaken;2001;24.4;27.7;223.3
27;Totaal SBI;Eenmanszaken;2002;23.2;26.8;225.7
28;Totaal SBI;Eenmanszaken;2003;22.2;25.4;230.1
29;Totaal SBI;Eenmanszaken;2004;24.2;27.5;245.3
30;Totaal SBI;Eenmanszaken;2005;29.7;32.5;252.1
31;Totaal SBI;Eenmanszaken;2006;32.5;35.8;270.3
32;Totaal SBI;Eenmanszaken;2007;33.8;36.4;277.7
33;Totaal SBI;Eenmanszaken;2008;33.9;40.7;301.6
34;Totaal SBI;Eenmanszaken;2009;28.0;29.8;331.0
35;Totaal SBI;Eenmanszaken;2010;30.3;33.4;344.2
36;Totaal SBI;NV's en BV's;1993;;;103.5
37;Totaal SBI;NV's en BV's;1994;;;103.8
38;Totaal SBI;NV's en BV's;1995;;;104.4
39;Totaal SBI;NV's en BV's;1996;;;111.6
40;Totaal SBI;NV's en BV's;1997;;;109.4
41;Totaal SBI;NV's en BV's;1998;4.9;12.4;122.3
42;Totaal SBI;NV's en BV's;1999;5.4;16.1;126.7
43;Totaal SBI;NV's en BV's;2000;6.0;18.4;130.7
44;Totaal SBI;NV's en BV's;2001;5.7;13.6;136.2
45;Totaal SBI;NV's en BV's;2002;5.4;15.3;142.4
46;Totaal SBI;NV's en BV's;2003;4.9;12.4;138.3
47;Totaal SBI;NV's en BV's;2004;4.9;11.8;137.6
48;Totaal SBI;NV's en BV's;2005;5.7;14.0;138.7
49;Totaal SBI;NV's en BV's;2006;6.1;14.1;144.4
50;Totaal SBI;NV's en BV's;2007;4.8;11.1;152.8
51;Totaal SBI;NV's en BV's;2008;2.5;6.1;161.9
52;Totaal SBI;NV's en BV's;2009;3.7;8.5;171.3
53;Totaal SBI;NV's en BV's;2010;3.3;7.5;174.5
54;Totaal SBI;V.o.f. en Maatschappen;1993;;;70.2
55;Totaal SBI;V.o.f. en Maatschappen;1994;;;78.1
56;Totaal SBI;V.o.f. en Maatschappen;1995;;;79.8
57;Totaal SBI;V.o.f. en Maatschappen;1996;;;88.7
58;Totaal SBI;V.o.f. en Maatschappen;1997;;;91.8
59;Totaal SBI;V.o.f. en Maatschappen;1998;4.2;9.4;99.6
60;Totaal SBI;V.o.f. en Maatschappen;1999;5.0;11.5;101.2
61;Totaal SBI;V.o.f. en Maatschappen;2000;5.6;13.1;105.1
62;Totaal SBI;V.o.f. en Maatschappen;2001;4.4;9.3;109.6
63;Totaal SBI;V.o.f. en Maatschappen;2002;3.9;8.6;107.0
64;Totaal SBI;V.o.f. en Maatschappen;2003;3.5;7.2;108.0
65;Totaal SBI;V.o.f. en Maatschappen;2004;3.7;8.5;104.5
66;Totaal SBI;V.o.f. en Maatschappen;2005;4.1;8.7;105.5
67;Totaal SBI;V.o.f. en Maatschappen;2006;3.6;7.7;104.8
68;Totaal SBI;V.o.f. en Maatschappen;2007;3.5;7.3;106.5
69;Totaal SBI;V.o.f. en Maatschappen;2008;2.1;4.6;107.2
70;Totaal SBI;V.o.f. en Maatschappen;2009;3.3;7.2;108.8
71;Totaal SBI;V.o.f. en Maatschappen;2010;3.7;7.8;107.3
72;Totaal SBI;Overige rechtsvormen;1993;;;12.1
73;Totaal SBI;Overige rechtsvormen;1994;;;11.7
74;Totaal SBI;Overige rechtsvormen;1995;;;11.9
75;Totaal SBI;Overige rechtsvormen;1996;;;12.8
76;Totaal SBI;Overige rechtsvormen;1997;;;13.8
77;Totaal SBI;Overige rechtsvormen;1998;0.8;1.4;13.5
78;Totaal SBI;Overige rechtsvormen;1999;0.5;1.4;13.4
79;Totaal SBI;Overige rechtsvormen;2000;0.5;1.1;13.0
80;Totaal SBI;Overige rechtsvormen;2001;0.5;1.6;13.2
81;Totaal SBI;Overige rechtsvormen;2002;0.3;0.9;11.4
82;Totaal SBI;Overige rechtsvormen;2003;0.4;0.9;10.6
83;Totaal SBI;Overige rechtsvormen;2004;0.6;1.4;10.4
84;Totaal SBI;Overige rechtsvormen;2005;0.5;1.3;10.5
85;Totaal SBI;Overige rechtsvormen;2006;0.6;1.6;11.1
86;Totaal SBI;Overige rechtsvormen;2007;0.6;1.3;11.1
87;Totaal SBI;Overige rechtsvormen;2008;0.2;0.3;10.0
88;Totaal SBI;Overige rechtsvormen;2009;0.5;1.0;10.2
89;Totaal SBI;Overige rechtsvormen;2010;0.6;1.0;11.1
90;C/D Delfstoffenwinning/industrie;Totaal rechtsvorm;1993;2.4;4.4;42.8
91;C/D Delfstoffenwinning/industrie;Totaal rechtsvorm;1994;2.1;3.8;44.1
92;C/D Delfstoffenwinning/industrie;Totaal rechtsvorm;1995;2.3;4.2;43.0
93;C/D Delfstoffenwinning/industrie;Totaal rechtsvorm;1996;2.5;5.4;44.4
94;C/D Delfstoffenwinning/industrie;Totaal rechtsvorm;1997;2.2;4.2;45.1
