ID;Geslacht;Leeftijd;Perioden;TotaalBevolking_1;TotaalWerkzamePersonen_2;WerkzamePersonen12UurPerWeek_3;WerkzamePersonen12PerWeek_4;NettoArbeidsparticipatie_5;Werknemers_6;Zelfstandigen_7;OnderwijsniveauLaag_8;OnderwijsniveauMiddelbaar_9;OnderwijsniveauHoog_10;OnderwijsniveauOnbekend_11;Arbeidsduur12Tot20UurPerWeek_12;Arbeidsduur20Tot35UurPerWeek_13;Arbeidsduur35UurOfMeerPerWeek_14
0;Mannen en vrouwen;Totaal leeftijd vanaf 15 jaar;1992;12128;6656.0;737.0;5920.0;48.8;5268.0;652.0;1987.0;2546.0;1379.0;7.0;367.0;1087.0;4466.0
1;Mannen en vrouwen;Totaal leeftijd vanaf 15 jaar;1993;12245;6705.0;744.0;5961.0;48.7;5270.0;691.0;1907.0;2595.0;1453.0;5.0;377.0;1141.0;4443.0
2;Mannen en vrouwen;Totaal leeftijd vanaf 15 jaar;1994;12321;6747.0;794.0;5953.0;48.3;5229.0;724.0;1857.0;2625.0;1462.0;9.0;394.0;1194.0;4366.0
3;Mannen en vrouwen;Totaal leeftijd vanaf 15 jaar;1995;12372;6887.0;794.0;6093.0;49.2;5365.0;728.0;1830.0;2707.0;1543.0;12.0;432.0;1275.0;4386.0
4;Mannen en vrouwen;Totaal leeftijd vanaf 15 jaar;1996;12452;7011.0;795.0;6217.0;49.9;5464.0;753.0;1791.0;2829.0;1576.0;20.0;426.0;1335.0;4456.0
5;Mannen en vrouwen;Totaal leeftijd vanaf 15 jaar;1997;12506;7228.0;812.0;6416.0;51.3;5636.0;780.0;1809.0;2938.0;1646.0;23.0;457.0;1407.0;4552.0
6;Mannen en vrouwen;Totaal leeftijd vanaf 15 jaar;1998;12575;7435.0;811.0;6623.0;52.7;5860.0;763.0;1823.0;2973.0;1804.0;24.0;535.0;1478.0;4610.0
7;Mannen en vrouwen;Totaal leeftijd vanaf 15 jaar;1999;12659;7613.0;812.0;6801.0;53.7;6051.0;750.0;1882.0;3025.0;1866.0;27.0;551.0;1543.0;4707.0
8;Mannen en vrouwen;Totaal leeftijd vanaf 15 jaar;2000;12750;7798.0;847.0;6951.0;54.5;6126.0;825.0;1934.0;3087.0;1898.0;32.0;585.0;1656.0;4709.0
9;Mannen en vrouwen;Totaal leeftijd vanaf 15 jaar;2001;12848;7892.0;834.0;7059.0;54.9;6268.0;791.0;1984.0;3155.0;1883.0;37.0;611.0;1707.0;4740.0
10;Mannen en vrouwen;Totaal leeftijd vanaf 15 jaar;2002;12936;7942.0;867.0;7074.0;54.7;6266.0;808.0;1905.0;3151.0;1993.0;25.0;649.0;1814.0;4611.0
