ID;Perioden;TotaalLedenVakverenigingen_1;FNV_2;NVV_3;NKV_4;CNV_5;VCP_6;EVC_7;AVC_8;OverigeVakverenigingen_9
0;1901;;;;;1.0;;;;
1;1902;;;;;1.0;;;;
2;1903;;;;;2.0;;;;
3;1904;;;;;3.0;;;;
4;1905;;;;;2.0;;;;
5;1906;;;;;2.0;;;;
6;1907;;26.0;26.0;;3.0;;;;
7;1908;;32.0;32.0;;1.0;;;;
8;1909;;37.0;37.0;;1.0;;;;
9;1910;185.0;52.0;41.0;12.0;7.0;;;;126.0
10;1911;200.0;60.0;44.0;16.0;7.0;;;;132.0
11;1912;216.0;69.0;52.0;16.0;8.0;;;;140.0
12;1913;234.0;83.0;61.0;21.0;8.0;;;;143.0
13;1914;266.0;113.0;84.0;29.0;11.0;;;;142.0
14;1915;273.0;123.0;88.0;35.0;12.0;;;;138.0
15;1916;299.0;140.0;100.0;40.0;15.0;;;;144.0
16;1917;352.0;184.0;129.0;55.0;21.0;;;;148.0
17;1918;421.0;229.0;159.0;69.0;28.0;;;;164.0
18;1919;515.0;283.0;191.0;92.0;46.0;;;;186.0
19;1920;684.0;389.0;248.0;141.0;67.0;;;;228.0
20;1921;651.0;363.0;217.0;146.0;74.0;;;;215.0
21;1922;640.0;360.0;217.0;142.0;71.0;;;;209.0
22;1923;574.0;314.0;197.0;117.0;61.0;;;;198.0
23;1924;518.0;278.0;180.0;98.0;53.0;;;;186.0
24;1925;498.0;276.0;184.0;92.0;50.0;;;;171.0
25;1926;493.0;281.0;190.0;90.0;48.0;;;;165.0
26;1927;504.0;293.0;197.0;96.0;51.0;;;;160.0
27;1928;520.0;305.0;203.0;102.0;53.0;;;;162.0
28;1929;539.0;328.0;217.0;110.0;58.0;;;;154.0
29;1930;625.0;382.0;251.0;131.0;71.0;;;;171.0
30;1931;675.0;417.0;271.0;146.0;80.0;;;;178.0
31;1932;780.0;492.0;315.0;177.0;101.0;;;;187.0
