ID;Persoonskenmerken;Perioden;TotaalBevolking4UurWerkzaamPw_1;TotaalPersonenEenOfMeerOngevallen_2;TotaalAantalLetsels_3;Amputatie_4;Botbreuk_5;Brandwond_6;VergiftigingVergassing_7;Infectie_8;Kneuzing_9;OpenWond_10;Verrekking_11;NietGedefinieerdLetsel_12;TotaalPersonenEenOfMeerOngevallen_13;Amputatie_14;Botbreuk_15;Brandwond_16;VergiftigingVergassing_17;Infectie_18;Kneuzing_19;OpenWond_20;Verrekking_21;NietGedefinieerdLetsel_22
0;10;2000/2002;7705;151;161;2.0;18;7.0;;2.0;36;45;22;29;2.0;1.2;11.8;4.5;;1.0;23.9;29.7;14.6;19.5
1;10;2003/2005;7665;141;150;1.0;15;8.0;;1.0;32;45;19;28;1.8;0.6;10.5;5.4;;0.9;22.9;32.0;13.8;19.7
2;11;2000/2002;4394;115;122;2.0;15;4.0;;1.0;26;36;16;22;2.6;1.3;12.9;3.9;;1.0;22.6;31.5;13.9;19.4
3;11;2003/2005;4268;105;112;1.0;12;5.0;;1.0;23;37;14;21;2.5;0.8;11.1;4.6;;0.8;21.5;34.9;13.1;19.5
4;12;2000/2002;3312;37;39;;3;2.0;;;10;9;6;7;1.1;;8.4;6.2;;;28.0;24.2;16.8;19.8
5;12;2003/2005;3397;36;37;;3;3.0;;;10;8;6;7;1.0;;8.8;7.9;;;27.2;23.7;15.9;20.5
6;13;2000/2002;1210;32;34;;3;2.0;;;8;12;3;5;2.7;;8.5;7.2;;;23.6;38.1;10.7;15.6
7;13;2003/2005;1154;31;33;;3;3.0;;;6;13;3;5;2.7;;8.2;8.7;;;19.0;43.4;9.3;16.0
8;14;2000/2002;2019;45;48;1.0;4;2.0;;;11;13;7;10;2.2;1.3;9.3;4.7;;;23.3;28.7;14.8;22.7
9;14;2003/2005;1837;38;40;;4;1.0;;;9;12;6;8;2.1;;10.2;3.8;;;23.2;30.6;15.4;21.2
10;15;2000/2002;2097;38;41;1.0;5;1.0;;1.0;9;10;7;8;1.8;1.5;12.2;2.5;;1.4;24.6;26.3;17.6;20.0
11;15;2003/2005;2099;39;41;;4;2.0;;;10;11;6;8;1.9;;9.9;4.9;;;25.1;27.2;15.3;21.6
12;16;2000/2002;1729;26;28;;4;1.0;;;6;7;4;5;1.5;;16.0;4.8;;;23.5;25.5;16.0;18.7
13;16;2003/2005;1763;24;25;;3;1.0;;;5;7;3;5;1.3;;12.2;6.0;;;22.4;29.3;14.4;20.4
14;17;2000/2002;650;9;10;;2;;;;2;3;1;2;1.4;;22.7;;;;25.2;31.2;10.3;17.2
15;17;2003/2005;813;10;10;;2;;;;3;3;1;2;1.2;;17.1;;;;27.0;27.8;14.4;16.5
16;18;2000/2002;6488;123;131;2.0;15;5.0;;1.0;28;37;18;24;1.9;1.3;12.4;4.4;;1.1;23.0;30.2;14.5;19.2
17;18;2003/2005;6398;114;121;1.0;13;6.0;;1.0;25;37;16;23;1.8;0.6;11.1;5.2;;0.9;21.9;32.3;13.8;19.7
18;19;2000/2002;684;14;15;;1;1.0;;;3;3;2;4;2.0;;9.8;4.5;;;24.6;24.7;16.8;26.4
19;19;2003/2005;685;11;12;;1;1.0;;;3;3;2;2;1.7;;10.3;6.1;;;23.8;30.5;14.8;19.1
20;20;2000/2002;533;14;15;;1;1.0;;;4;4;2;2;2.7;;9.2;5.0;;;30.3;30.8;13.1;14.9
21;20;2003/2005;582;16;17;;1;1.0;;;5;5;2;3;2.7;;5.9;6.2;;;29.9;31.0;13.0;20.1
22;21;2000/2002;2299;66;69;1.0;7;3.0;;;17;21;9;12;2.9;0.9;10.7;5.1;;;25.5;31.9;13.4;18.0
23;21;2003/2005;2047;55;59;;6;3.0;;;13;19;7;11;2.7;;10.3;4.6;;;23.9;34.0;12.8;19.2
24;22;2000/2002;3401;70;74;1.0;9;3.0;;1.0;15;20;10;14;2.1;1.4;13.1;4.3;;1.3;21.4;29.1;14.6;20.6
25;22;2003/2005;3333;68;72;;7;4.0;;1.0;15;22;10;14;2.0;;10.4;5.8;;0.8;21.4;32.2;13.9;19.8
26;23;2000/2002;1974;15;16;;2;;;;4;3;3;3;0.7;;11.0;;;;28.9;21.7;19.5;21.7
27;23;2003/2005;2249;16;18;;2;1.0;;;4;4;3;4;0.7;;11.6;6.0;;;25.4;25.0;17.4;22.2
28;24;2000/2002;714;8;9;;1;1.0;;;1;4;1;1;1.2;;6.6;10.5;;;16.0;43.5;13.6;12.7
29;24;2003/2005;719;7;8;;0;1.0;;;2;4;1;1;1.0;;6.0;12.4;;;21.1;47.8;9.5;8.8
30;25;2000/2002;2318;32;34;;3;2.0;;;8;9;5;7;1.4;;8.7;6.0;;;25.0;29.1;14.2;20.6
31;25;2003/2005;2516;34;37;;3;2.0;;1.0;9;9;6;7;1.4;;8.8;6.9;;1.9;25.7;26.5;16.7;21.5
32;26;2000/2002;4673;110;118;1.0;14;4.0;;1.0;27;32;16;22;2.4;1.3;13.1;3.5;;1.0;24.1;28.9;14.8;19.7
33;26;2003/2005;4430;100;105;1.0;11;4.0;;1.0;22;33;13;20;2.3;0.7;11.4;4.4;;0.7;22.1;32.8;13.1;19.9
34;27;2000/2002;2653;74;79;1.0;9;4.0;;;19;23;10;13;2.8;0.8;11.8;5.2;;;25.4;31.4;13.4;17.8
35;27;2003/2005;2645;71;76;;8;4.0;;;17;24;9;13;2.7;;10.6;5.9;;;24.0;34.0;13.0;17.8
36;28;2000/2002;2843;58;61;1.0;7;2.0;;1.0;13;17;9;12;2.0;1.7;11.4;4.1;;1.4;21.6;29.4;15.1;20.7
37;28;2003/2005;2770;56;59;;6;3.0;;1.0;12;18;8;12;2.0;;10.1;5.4;;1.0;21.0;32.2;13.4;20.7
38;29;2000/2002;2105;16;17;;2;;;;4;3;3;4;0.8;;14.3;;;;26.2;19.3;18.8;24.1
39;29;2003/2005;2182;13;14;;2;;;;3;3;3;3;0.6;;12.1;;;;25.0;20.7;20.4;25.8
