ID;Omzetklassen;Perioden;Bedrijven_1;Bedrijfsopbrengsten_2;TotaalNettoOmzet_3;VerleendeDiensten_4;Handelsgoederen_5;OverigeOpbrengsten_6;TotaalBedrijfslasten_7;KostprijsVanDeOmzet_8;Personeelskosten_9;Afschrijvingen_10;OverigeBedrijfslasten_11;TotaalOverigeBedrijfslasten_12;Huisvestingskosten_13;InventarisEnMachinekosten_14;Autokosten_15;Verkoopkosten_16;AndereKosten_17;Bedrijfsresultaat_18;SaldoFinancieleResultaten_19;ResultaatVoorBelastingen_20;BrutoWinstmarge_21;OperationeleWinstmarge_22;WinstmargeVoorBelastingen_23;Investeringsquote_24;NettoOmzetPerFte_25;NettoOmzet_26;TotaalVerleendeDiensten_27;BurgelijkeEnUtiliteitsbouw_28;StedebouwVerkeerskundeED_29;GrondWegEnWaterbouw_30;ElectroInstallatietechniekED_31;WerktuigMachineEnApparatenbouw_32;Procestechniek_33;MilieutechniekEnAdvies_34;OverigTechnischOntwerp_35;OverigeDienstverlening_36;TotaalHandel_37;OntvangstenVoorUitleenEnSubsidie_38;TotaalPersoneelskosten_39;BrutoLonenEnSalarissen_40;SocialeLasten_41;Pensioenpremies_42;KostenUitzendkrachten_43;KostenIngeleendPersoneel_44;OverigePersoneelskosten_45;TotaalOverigeBedrijfslasten_46;TotaalHuisvestingskosten_47;BetaaldeHurenPachtenEDVanLeasing_48;OnroerendeZaakbelastingMilieuheffing_49;Energiekosten_50;ReparatieEnOnderhoudskosten_51;Verzekeringen_52;OverigeHuisvestingskosten_53;TotaalInventarisEnMachinekosten_54;BetaaldeHurenEnKostenVanOperLease_55;Onderhoudskosten_56;OverigeInventarisEnMachinekosten_57;TotaalAutokosten_58;BetaaldeHurenEnKostenVanOperLease_59;Brandstof_60;OverigeAutokosten_61;TotaalVerkoopkosten_62;ReclameEnAdvertentiekosten_63;ReisVerblijfsEnRepresentatiekosten_64;OverigeVerkoopkosten_65;TotaalAndereKosten_66;AccountantsEnAdviesdiensten_67;KantoorbenodigdhDrukwerkVakliteratuur_68;OverigeVerzekeringen_69;OverigeKostprijsverhogendeBelastingen_70;Communicatiekosten_71;Beheerskosten_72;OverigeAutomatiseringskosten_73;NogNietEerderGenoemdeBedrijfskosten_74;TotaalAantalWerkzamePersonen_75;WerknemersOpDeLoonlijst_76;WerknemersNietOpLoonlijst_77;OverigPersoneel_78;AantalVte_79;TotaalInvesteringen_80;TotaalMaterieleVasteActiva_81;Bedrijfsruimten_82;Vervoermiddelen_83;Computers_84;OverigeMachinesApparatenED_85;OverigeMaterieleVasteActiva_86;TotaalImmaterieleVasteActiva_87
0;Totaal SBI 742;1996;122.3;5993;6033;5895;107;-40;5499;31.1;48.4;3.1;17.3;953;199;61;125;135;434;494;-15;479;71.6;8.1;8.0;3.8;76.2;6033;97.7;22.7;7.5;7.6;8.1;11.8;20.5;7.9;9.6;2.0;2.3;0.5;2660;75.3;5.0;3.9;6.1;5.5;4.7;953;199;70.8;1.1;8.8;7.1;1.2;11.1;61;31.4;33.8;34.9;125;48.2;18.0;34.4;135;21.1;58.5;20.5;434;14.4;16.1;4.3;0.1;11.2;33.3;4.9;15.5;852;80.5;12.6;6.9;792;230;90.0;12.8;13.4;31.2;15.9;16.6;10.0
1;Totaal SBI 742;1997;131.6;6326;6159;6072;70;167;5776;30.7;48.8;3.2;17.4;1006;208;60;132;141;464;550;-5;545;71.2;8.5;8.6;3.5;77.3;6159;98.6;25.3;8.9;8.9;9.1;8.6;19.5;7.3;8.2;2.7;1.4;0.5;2816;75.7;4.7;4.0;6.1;5.1;5.0;1006;208;72.0;0.9;8.0;6.4;1.3;11.3;60;26.2;34.8;39.0;132;55.0;16.7;28.3;141;24.5;56.8;18.7;464;21.7;15.3;4.2;0.3;10.8;29.6;5.2;12.9;846;80.4;12.3;7.3;796;221;91.3;7.4;16.7;32.7;18.0;16.5;8.7
2;Totaal SBI 742;1998;132.1;6844;6583;6510;58;261;6295;29.7;49.0;3.3;18.1;1137;231;77;136;166;527;549;-11;538;71.6;8.0;7.9;4.5;79.8;6583;98.9;24.4;9.6;9.2;9.7;7.5;18.8;8.7;8.6;2.3;1.1;0.7;3086;71.7;7.7;4.0;6.3;5.7;5.3;1137;231;;;;;;;77;;;;136;;;;166;;;;527;;;;;;;;;885;79.9;11.6;8.5;825;306;93.1;17.6;13.5;29.6;17.7;14.7;6.9
3;Totaal SBI 742;1999;147.8;7453;7242;7193;33;211;6826;31.2;48.0;3.4;17.4;1184;252;74;155;162;542;626;-8;618;70.6;8.3;8.3;4.4;;7242;99.3;25.1;9.4;8.9;11.0;8.1;20.1;8.5;6.7;1.5;0.7;0.7;3276;72.2;8.2;4.1;6.4;4.4;5.4;1184;252;;;;;;;74;;;;155;;;;162;;;;542;;;;;;;;;931;80.7;11.2;8.0;853;330;84.1;16.2;11.8;25.9;13.8;16.3;15.9
4;Tot 250 000 euro;1996;98.9;614;602;566;28;12;445;25.4;32.0;7.2;35.4;158;29;8;30;20;70;169;7;176;81.2;27.6;28.6;8.9;;602;94.0;44.4;5.4;1.9;5.9;8.0;8.8;6.3;10.6;2.6;6.0;1.5;142;79.0;5.4;5.8;1.6;6.5;3.2;158;29;73.9;1.2;10.5;5.6;1.1;7.6;8;27.0;34.2;38.8;30;32.4;25.5;42.2;20;20.1;68.1;11.8;70;20.8;22.0;3.6;0.2;12.0;23.0;2.6;15.7;184;45.7;53.5;0.9;171;54;90.8;19.7;27.1;24.7;6.4;12.8;9.2
5;Tot 250 000 euro;1997;106.9;698;690;671;17;8;503;25.1;34.5;7.1;33.3;167;30;9;31;19;79;195;4;199;81.7;27.9;28.5;8.0;;690;97.3;50.6;5.0;3.6;8.3;7.5;6.1;6.3;7.5;2.6;2.7;0.7;173;78.9;4.5;5.7;1.0;6.8;4.0;167;30;75.7;0.7;10.1;2.9;1.1;9.6;9;20.5;28.5;50.9;31;38.1;21.6;40.4;19;31.5;58.6;9.9;79;29.5;21.4;3.5;0.5;11.3;17.7;2.1;14.0;173;42.5;55.1;2.4;165;56;94.6;11.8;32.3;25.0;8.2;17.3;5.4
6;Tot 250 000 euro;1998;107.0;695;683;668;13;12;487;21.4;37.9;7.3;33.3;162;29;9;28;18;78;208;2;210;84.7;30.4;30.3;10.8;;683;97.9;47.2;4.7;5.0;7.3;9.0;5.0;9.0;9.1;1.7;2.1;1.9;185;73.9;6.3;5.7;5.1;6.8;4.1;162;29;;;;;;;9;;;;28;;;;18;;;;78;;;;;;;;;175;41.3;55.0;3.7;160;75;88.2;25.4;24.1;17.9;10.1;10.7;11.8
7;Tot 250 000 euro;1999;117.4;728;720;715;5;8;484;23.0;34.8;8.2;34.0;165;27;7;32;25;73;244;4;248;84.5;34.3;34.1;8.6;;720;99.3;41.4;7.5;4.4;10.9;9.9;4.6;9.0;10.6;1.1;0.7;1.7;168;77.4;6.7;5.2;0.9;6.9;4.6;165;27;;;;;;;7;;;;32;;;;25;;;;73;;;;;;;;;173;40.8;56.5;2.7;162;63;82.7;15.7;26.8;18.7;13.0;8.5;17.3
8;250 000 tot 2 000 000 euro;1996;19.5;1310;1293;1265;24;17;1191;19.1;55.3;4.1;21.5;256;51;13;32;28;131;119;-20;99;82.4;8.0;7.6;4.9;;1293;97.8;41.9;7.2;2.9;11.6;11.2;2.5;7.7;10.7;2.2;2.2;0.9;658;78.9;5.2;3.6;2.8;5.6;4.8;256;51;74.2;1.1;9.1;7.1;1.1;7.3;13;21.4;41.0;37.7;32;40.1;21.0;38.8;28;25.5;53.6;21.0;131;13.5;15.3;4.9;0.2;9.0;41.6;3.8;11.7;216;92.2;3.6;4.2;192;64;87.9;10.4;15.2;27.1;12.7;22.5;12.1
9;250 000 tot 2 000 000 euro;1997;20.9;1416;1397;1375;15;19;1268;20.5;53.6;4.4;21.5;272;55;11;37;27;142;148;-7;141;81.4;10.3;9.9;5.0;;1397;98.4;42.0;8.3;3.8;11.0;9.0;2.4;9.3;10.3;2.3;1.6;1.1;680;81.0;5.2;4.0;2.7;2.8;5.4;272;55;74.9;0.9;8.2;7.4;1.2;7.4;11;21.5;49.3;29.2;37;54.0;17.5;28.5;27;31.0;50.7;18.4;142;30.5;13.0;4.3;0.3;9.0;29.3;3.5;9.9;214;93.4;3.5;3.1;195;71;90.2;8.0;18.2;25.6;22.5;15.9;9.8
