ID;Leeftijd;Perioden;TotaalBevolking_1;Mannen_2;Vrouwen_3
0;Totaal over alle leeftijden;2012;16727885;8281428;8446462
1;Totaal over alle leeftijden;2013;16798011;8317560;8480445
2;Totaal over alle leeftijden;2014;16865452;8351611;8513846
3;Totaal over alle leeftijden;2015;16926321;8381663;8544658
4;Totaal over alle leeftijden;2016;16983832;8409769;8574062
5;Totaal over alle leeftijden;2017;17039801;8437104;8602694
6;Totaal over alle leeftijden;2018;17096246;8464802;8631438
7;Totaal over alle leeftijden;2019;17153034;8492735;8660293
8;Totaal over alle leeftijden;2020;17209151;8520383;8688759
9;Totaal over alle leeftijden;2021;17264286;8547523;8716755
10;Totaal over alle leeftijden;2022;17318190;8573960;8744227
11;Totaal over alle leeftijden;2023;17370680;8599548;8771132
12;Totaal over alle leeftijden;2024;17421427;8624076;8797356
13;Totaal over alle leeftijden;2025;17470145;8647375;8822778
14;Totaal over alle leeftijden;2026;17516488;8669285;8847205
15;Totaal over alle leeftijden;2027;17560371;8689747;8870617
16;Totaal over alle leeftijden;2028;17601360;8708557;8892804
17;Totaal over alle leeftijden;2029;17639334;8725643;8913689
18;Totaal over alle leeftijden;2030;17674219;8741019;8933196
19;Totaal over alle leeftijden;2031;17705867;8754637;8951238
20;Totaal over alle leeftijden;2032;17734154;8766487;8967671
21;Totaal over alle leeftijden;2033;17758960;8776549;8982406
22;Totaal over alle leeftijden;2034;17780231;8784838;8995393
23;Totaal over alle leeftijden;2035;17797845;8791324;9006517
24;Totaal over alle leeftijden;2036;17811908;8796083;9015817
25;Totaal over alle leeftijden;2037;17822454;8799173;9023283
26;Totaal over alle leeftijden;2038;17829722;8800742;9028986
27;Totaal over alle leeftijden;2039;17833947;8800908;9033036
28;Totaal over alle leeftijden;2040;17835515;8799946;9035576
29;Totaal over alle leeftijden;2041;17834801;8798050;9036758
30;Totaal over alle leeftijden;2042;17832168;8795407;9036746
31;Totaal over alle leeftijden;2043;17827994;8792219;9035765
32;Totaal over alle leeftijden;2044;17822645;8788626;9034024
33;Totaal over alle leeftijden;2045;17816435;8784766;9031665
34;Totaal over alle leeftijden;2046;17809630;8780765;9028871
35;Totaal over alle leeftijden;2047;17802561;8776734;9025824
36;Totaal over alle leeftijden;2048;17795401;8772779;9022618
37;Totaal over alle leeftijden;2049;17788296;8768967;9019328
38;Totaal over alle leeftijden;2050;17781298;8765330;9015970
39;Totaal over alle leeftijden;2051;17774507;8761927;9012581
40;Totaal over alle leeftijden;2052;17768006;8758830;9009179
41;Totaal over alle leeftijden;2053;17761931;8756072;9005858
42;Totaal over alle leeftijden;2054;17756440;8753774;9002668
43;Totaal over alle leeftijden;2055;17751705;8752008;8999699
44;Totaal over alle leeftijden;2056;17747887;8750868;8997022
45;Totaal over alle leeftijden;2057;17745192;8750449;8994737
46;Totaal over alle leeftijden;2058;17743675;8750749;8992924
47;Totaal over alle leeftijden;2059;17743481;8751848;8991631
48;Totaal over alle leeftijden;2060;17744678;8753742;8990939
49;0;2012;180311;92337;87974
50;0;2013;179696;92019;87677
51;0;2014;179760;92052;87708
52;0;2015;180035;92194;87841
53;0;2016;180546;92456;88090
54;0;2017;181270;92828;88442
55;0;2018;182354;93384;88971
56;0;2019;183659;94054;89605
57;0;2020;184909;94698;90211
58;0;2021;186103;95312;90791
59;0;2022;187075;95811;91264
60;0;2023;188087;96333;91755
61;0;2024;188891;96745;92146
62;0;2025;189527;97073;92454
63;0;2026;190022;97329;92694
64;0;2027;190382;97513;92869
65;0;2028;190647;97651;92996
66;0;2029;190821;97744;93077
67;0;2030;190882;97775;93107
68;0;2031;190780;97723;93057
69;0;2032;190489;97576;92912
70;0;2033;190007;97331;92676
71;0;2034;189323;96981;92342
72;0;2035;188496;96561;91935
73;0;2036;187558;96079;91479
74;0;2037;186581;95582;90999
75;0;2038;185628;95092;90536
76;0;2039;184746;94643;90102
77;0;2040;183973;94248;89726
78;0;2041;183331;93918;89413
79;0;2042;182831;93665;89167
80;0;2043;182499;93496;89002
81;0;2044;182335;93413;88923
82;0;2045;182343;93418;88926
83;0;2046;182507;93502;89005
84;0;2047;182816;93661;89155
85;0;2048;183252;93885;89367
86;0;2049;183780;94156;89625
87;0;2050;184372;94458;89914
88;0;2051;185000;94782;90218
89;0;2052;185640;95110;90530
90;0;2053;186266;95431;90835
91;0;2054;186861;95736;91124
92;0;2055;187401;96014;91387
93;0;2056;187873;96258;91615
94;0;2057;188261;96458;91804
95;0;2058;188561;96612;91949
96;0;2059;188770;96720;92050
97;0;2060;188879;96776;92103
98;1;2012;184784;94267;90518
99;1;2013;181158;92742;88415
100;1;2014;180558;92428;88131
101;1;2015;180566;92430;88136
102;1;2016;180832;92568;88263
103;1;2017;181342;92830;88512
104;1;2018;182092;93218;88874
105;1;2019;183199;93788;89411
106;1;2020;184513;94465;90048
107;1;2021;185767;95114;90653
108;1;2022;186965;95733;91232
109;1;2023;187940;96237;91704
110;1;2024;188953;96760;92192
111;1;2025;189764;97176;92587
112;1;2026;190401;97506;92894
113;1;2027;190904;97766;93137
114;1;2028;191264;97952;93311
115;1;2029;191532;98093;93439
116;1;2030;191709;98187;93522
117;1;2031;191777;98222;93556
118;1;2032;191679;98174;93505
119;1;2033;191392;98031;93362
120;1;2034;190918;97790;93128
121;1;2035;190238;97442;92795
122;1;2036;189419;97029;92390
123;1;2037;188491;96552;91939
124;1;2038;187523;96061;91462
125;1;2039;186577;95574;91003
126;1;2040;185699;95127;90572
127;1;2041;184931;94734;90197
128;1;2042;184295;94409;89885
129;1;2043;183799;94157;89641
130;1;2044;183470;93993;89478
131;1;2045;183310;93909;89400
132;1;2046;183319;93915;89404
133;1;2047;183480;93999;89482
134;1;2048;183790;94158;89632
135;1;2049;184227;94384;89844
136;1;2050;184754;94653;90100
137;1;2051;185345;94956;90389
138;1;2052;185972;95279;90693
139;1;2053;186610;95607;91003
140;1;2054;187237;95929;91309
141;1;2055;187831;96235;91597
142;1;2056;188370;96511;91859
143;1;2057;188842;96754;92087
