ID;SectorBranchesSIC2008;Periods;ConsolidatedProduction_1;ContributionOfLabour_2;ContributionOfHoursWorked_3;ContributionOfLabourComposition_4;ContributionOfCapital_5;ContributionOfICTCapital_6;ContributionOfNonICTCapital_7;ContributionOfIntermediateConsumption_8;ContributionOfEnergy_9;ContributionOfMaterials_10;ContributionOfServices_11;ContributionOfMfp_12;ValueAdded_13;ContributionOfLabour_14;ContributionOfHoursWorked_15;ContributionOfLabourComposition_16;ContributionOfCapital_17;ContributionOfICTCapital_18;ContributionOfNonICTCapital_19;ContributionOfMfp_20;LabourProductivityChange_21;LabourProductivity2015100_22;LabourProductivityChange_23;LabourProductivity2015100_24;CapitalProductivityChange_25;CapitalProductivity2015100_26;CapitalProductivityChange_27;CapitalProductivity2015100_28;ConsolidatedProductionInMlnEuros_29;ConsolidatedProduction2015100_30;Total_31;ConsumptionOfEnergy_32;ConsumptionOfMaterials_33;ConsumptionOfServices_34;Total_35;ConsumptionOfEnergy_36;ConsumptionOfMaterials_37;ConsumptionOfServices_38;ValueAddedMlnEuros_39;ValueAdded2015100_40;HoursWorked_41;CompensationOfLabourMlnEuros_42;CompensationOfLabour2015100_43;CapitalServicesMlnEuros_44;CapitalServicesHoursWorkedEuros_45;ICTCapitalServicesMlnEuros_46;NonICTCaptalServicesMlnEuros_47;CapitalServicesNeoclassMlnEuros_48;CapitalServices2015100_49;CapitalServicesHoursWorked2015100_50;ICTCapitalServices2015100_51;NonICTCaptalServices2015100_52;CapitalServicesNeoclassical2015100_53;TotalInputKLEMS_54;TotalInputCapitalAndLabour_55;TotalInputKLEMS_56;TotalInputCapitalAndLabour_57
0;A-U Market sector (excl L,O,P,T);1995;;;;;;;;;;;;;;;;;;;;;;;;76.5;;;;88.8;;;;;;;;;;;238915.0;65.1;9400.0;162265.0;75.2;76584.0;8.1;6777.0;69807.0;;73.3;86.1;17.2;91.4;;;238850.0;;74.8
1;A-U Market sector (excl L,O,P,T);1996;;;;;;;;;;;;;3.9;2.7;2.5;0.3;0.8;0.2;0.5;0.4;;;0.2;76.7;;;1.5;90.1;;;;;;;;;;;249013.0;67.6;9740.0;169488.0;78.2;72066.0;7.4;6550.0;65516.0;;75.0;85.1;18.7;93.1;;;241554.0;;77.4
2;A-U Market sector (excl L,O,P,T);1997;;;;;;;;;;;;;4.9;2.0;1.7;0.3;0.4;0.3;0.1;2.6;;;2.5;78.6;;;3.6;93.4;;;;;;;;;;;266953.0;70.9;9969.0;179676.0;80.4;73536.0;7.4;7078.0;66458.0;;76.0;84.2;20.6;93.4;;;253212.0;;79.2
3;A-U Market sector (excl L,O,P,T);1998;;;;;;;;;;;;;5.3;2.9;1.7;1.2;0.8;0.5;0.3;1.6;;;2.9;80.9;;;2.6;95.8;;;;;;;;;;;285471.0;74.7;10203.0;192152.0;83.7;74508.0;7.3;7714.0;66795.0;;78.0;84.4;23.9;94.6;;;266660.0;;82.1
4;A-U Market sector (excl L,O,P,T);1999;;;;;;;;;;;;;5.4;2.3;2.2;0.1;1.2;0.6;0.5;2.0;;;2.3;82.7;;;1.1;96.8;;;;;;;;;;;302063.0;78.7;10507.0;207619.0;86.3;71685.0;6.8;8360.0;63325.0;;81.3;85.4;29.2;96.6;;;279304.0;;85.0
5;A-U Market sector (excl L,O,P,T);2000;;;;;;;;;;;;;5.1;0.8;0.8;0.1;1.1;0.6;0.5;3.1;;;4.0;86.1;;;0.7;97.5;;;;;;;;;;;326965.0;82.7;10613.0;225733.0;87.3;75003.0;7.1;9741.0;65262.0;;84.8;88.2;35.3;98.7;;;300736.0;;86.6
6;A-U Market sector (excl L,O,P,T);2001;;;;;;;;;;;;;2.4;1.8;0.8;0.9;1.1;0.5;0.5;-0.5;;;1.2;87.1;;;-1.9;95.7;;;;;;;;;;;353477.0;84.7;10731.0;237759.0;89.3;83340.0;7.8;11242.0;72099.0;;88.5;91.0;41.2;101.1;;;321099.0;;89.1
7;A-U Market sector (excl L,O,P,T);2002;;;;;;;;;;;;;-0.2;-0.2;-0.8;0.6;0.5;0.4;0.1;-0.5;;;0.9;87.9;;;-2.2;93.6;;;;;;;;;;;365803.0;84.5;10620.0;247220.0;89.1;92562.0;8.7;12109.0;80452.0;;90.3;93.9;45.9;101.7;;;339781.0;;89.3
8;A-U Market sector (excl L,O,P,T);2003;;;;;;;;;;;;;-0.1;-0.6;-1.3;0.7;0.2;0.3;0.0;0.3;;;1.7;89.4;;;-0.9;92.7;;;;;;;;;;;370634.0;84.4;10433.0;251882.0;88.4;96226.0;9.2;12187.0;84039.0;;91.1;96.4;49.5;101.5;;;348108.0;;89.0
9;A-U Market sector (excl L,O,P,T);2004;;;;;;;;;;;;;2.5;1.0;0.4;0.7;0.5;0.2;0.3;0.9;;;2.0;91.2;;;0.6;93.3;;;;;;;;;;;380746.0;86.6;10484.0;254696.0;89.7;98811.0;9.4;12673.0;86139.0;;92.8;97.8;52.6;102.8;;;353508.0;;90.4
