ID;BedrijfstakkenBranchesSBI2008;Perioden;Productie_1;GemiddeldeDagproductie_2;Productie_3;GemiddeldeDagproductie_4
84;B-E Nijverheid (geen bouw) en energie;1959 juli;;22.6;;11.7
85;B-E Nijverheid (geen bouw) en energie;1959 augustus;;22.7;;9.6
86;B-E Nijverheid (geen bouw) en energie;1959 september;;24.2;;11.0
87;B-E Nijverheid (geen bouw) en energie;1959 oktober;;26.3;;10.9
88;B-E Nijverheid (geen bouw) en energie;1959 november;;26.1;;11.0
89;B-E Nijverheid (geen bouw) en energie;1959 december;;25.2;;10.3
90;B-E Nijverheid (geen bouw) en energie;1959;;23.7;;9.9
91;B-E Nijverheid (geen bouw) en energie;1960 januari;;24.3;;12.1
92;B-E Nijverheid (geen bouw) en energie;1960 februari;;24.6;;11.7
93;B-E Nijverheid (geen bouw) en energie;1960 maart;;25.0;;10.2
94;B-E Nijverheid (geen bouw) en energie;1960 april;;26.4;;12.9
95;B-E Nijverheid (geen bouw) en energie;1960 mei;;26.4;;8.9
96;B-E Nijverheid (geen bouw) en energie;1960 juni;;26.4;;11.4
97;B-E Nijverheid (geen bouw) en energie;1960 juli;;24.3;;7.5
98;B-E Nijverheid (geen bouw) en energie;1960 augustus;;24.5;;7.9
99;B-E Nijverheid (geen bouw) en energie;1960 september;;26.2;;8.4
100;B-E Nijverheid (geen bouw) en energie;1960 oktober;;28.6;;8.7
101;B-E Nijverheid (geen bouw) en energie;1960 november;;28.5;;9.1
102;B-E Nijverheid (geen bouw) en energie;1960 december;;28.2;;12.2
103;B-E Nijverheid (geen bouw) en energie;1960;;26.1;;10.1
104;B-E Nijverheid (geen bouw) en energie;1961 januari;;25.8;;6.3
105;B-E Nijverheid (geen bouw) en energie;1961 februari;;26.6;;8.1
106;B-E Nijverheid (geen bouw) en energie;1961 maart;;26.9;;8.0
107;B-E Nijverheid (geen bouw) en energie;1961 april;;28.3;;7.2
108;B-E Nijverheid (geen bouw) en energie;1961 mei;;27.3;;3.3
109;B-E Nijverheid (geen bouw) en energie;1961 juni;;27.0;;2.1
110;B-E Nijverheid (geen bouw) en energie;1961 juli;;25.1;;3.2
111;B-E Nijverheid (geen bouw) en energie;1961 augustus;;25.1;;2.6
112;B-E Nijverheid (geen bouw) en energie;1961 september;;27.2;;4.0
113;B-E Nijverheid (geen bouw) en energie;1961 oktober;;29.2;;2.2
114;B-E Nijverheid (geen bouw) en energie;1961 november;;29.5;;3.7
115;B-E Nijverheid (geen bouw) en energie;1961 december;;29.0;;2.7
116;B-E Nijverheid (geen bouw) en energie;1961;;27.3;;4.4
117;B-E Nijverheid (geen bouw) en energie;1962 januari;;27.0;;4.7
118;B-E Nijverheid (geen bouw) en energie;1962 februari;;27.9;;5.0
119;B-E Nijverheid (geen bouw) en energie;1962 maart;;27.7;;3.0
120;B-E Nijverheid (geen bouw) en energie;1962 april;;28.3;;0.0
121;B-E Nijverheid (geen bouw) en energie;1962 mei;;28.6;;4.6
122;B-E Nijverheid (geen bouw) en energie;1962 juni;;28.9;;7.2
123;B-E Nijverheid (geen bouw) en energie;1962 juli;;26.1;;3.8
124;B-E Nijverheid (geen bouw) en energie;1962 augustus;;26.6;;5.8
125;B-E Nijverheid (geen bouw) en energie;1962 september;;28.7;;5.3
126;B-E Nijverheid (geen bouw) en energie;1962 oktober;;30.1;;3.0
127;B-E Nijverheid (geen bouw) en energie;1962 november;;30.5;;3.2
128;B-E Nijverheid (geen bouw) en energie;1962 december;;29.4;;1.3
129;B-E Nijverheid (geen bouw) en energie;1962;;28.3;;3.8
130;B-E Nijverheid (geen bouw) en energie;1963 januari;26.1;27.2;;0.5
131;B-E Nijverheid (geen bouw) en energie;1963 februari;26.9;27.7;;-0.9
132;B-E Nijverheid (geen bouw) en energie;1963 maart;28.3;28.8;;3.7
133;B-E Nijverheid (geen bouw) en energie;1963 april;29.6;29.7;;4.8
134;B-E Nijverheid (geen bouw) en energie;1963 mei;30.1;30.0;;4.9
135;B-E Nijverheid (geen bouw) en energie;1963 juni;31.0;30.4;;5.1
136;B-E Nijverheid (geen bouw) en energie;1963 juli;27.9;27.6;;5.8
137;B-E Nijverheid (geen bouw) en energie;1963 augustus;28.1;27.8;;4.5
138;B-E Nijverheid (geen bouw) en energie;1963 september;30.4;30.1;;4.8
139;B-E Nijverheid (geen bouw) en energie;1963 oktober;32.5;32.1;;6.7
140;B-E Nijverheid (geen bouw) en energie;1963 november;33.0;32.7;;7.4
