ID;BedrijfstakkenBranchesSBI2008;Perioden;Productie_1;GemiddeldeDagproductie_2;Productie_3;GemiddeldeDagproductie_4
695;B-E Nijverheid (geen bouw) en energie;2006 juli;82.6;84.8;0.2;1.1
696;B-E Nijverheid (geen bouw) en energie;2006 augustus;82.2;80.8;2.9;1.7
697;B-E Nijverheid (geen bouw) en energie;2006 september;89.5;90.4;-1.4;0.4
698;B-E Nijverheid (geen bouw) en energie;2006 oktober;96.2;96.6;4.0;1.6
699;B-E Nijverheid (geen bouw) en energie;2006 november;104.4;103.1;1.0;0.7
700;B-E Nijverheid (geen bouw) en energie;2006 december;102.1;103.9;-2.3;0.2
701;B-E Nijverheid (geen bouw) en energie;2006;95.6;95.6;2.1;2.1
702;B-E Nijverheid (geen bouw) en energie;2007 januari;102.7;103.3;-0.9;-0.6
703;B-E Nijverheid (geen bouw) en energie;2007 februari;99.1;100.8;-0.9;0.4
704;B-E Nijverheid (geen bouw) en energie;2007 maart;104.8;106.7;-5.1;-1.9
705;B-E Nijverheid (geen bouw) en energie;2007 april;90.8;92.7;-0.8;-0.5
706;B-E Nijverheid (geen bouw) en energie;2007 mei;93.2;92.1;1.7;2.9
707;B-E Nijverheid (geen bouw) en energie;2007 juni;95.2;95.1;2.3;3.3
708;B-E Nijverheid (geen bouw) en energie;2007 juli;88.0;88.7;6.5;4.6
709;B-E Nijverheid (geen bouw) en energie;2007 augustus;87.5;85.1;6.5;5.3
710;B-E Nijverheid (geen bouw) en energie;2007 september;96.1;97.4;7.4;7.7
711;B-E Nijverheid (geen bouw) en energie;2007 oktober;109.1;105.8;13.4;9.5
712;B-E Nijverheid (geen bouw) en energie;2007 november;115.6;112.5;10.7;9.1
713;B-E Nijverheid (geen bouw) en energie;2007 december;111.4;113.4;9.1;9.1
714;B-E Nijverheid (geen bouw) en energie;2007;99.5;99.5;4.0;4.0
715;B-E Nijverheid (geen bouw) en energie;2008 januari;108.0;111.1;5.2;7.5
716;B-E Nijverheid (geen bouw) en energie;2008 februari;106.0;107.5;6.9;6.6
717;B-E Nijverheid (geen bouw) en energie;2008 maart;108.3;114.0;3.3;6.8
718;B-E Nijverheid (geen bouw) en energie;2008 april;103.6;102.1;14.1;10.2
719;B-E Nijverheid (geen bouw) en energie;2008 mei;92.9;92.2;-0.3;0.1
720;B-E Nijverheid (geen bouw) en energie;2008 juni;96.2;94.5;1.0;-0.6
721;B-E Nijverheid (geen bouw) en energie;2008 juli;89.7;86.9;2.0;-2.0
722;B-E Nijverheid (geen bouw) en energie;2008 augustus;83.6;82.2;-4.5;-3.4
723;B-E Nijverheid (geen bouw) en energie;2008 september;99.5;95.8;3.5;-1.6
724;B-E Nijverheid (geen bouw) en energie;2008 oktober;108.0;105.4;-1.0;-0.4
725;B-E Nijverheid (geen bouw) en energie;2008 november;102.6;106.0;-11.2;-5.7
726;B-E Nijverheid (geen bouw) en energie;2008 december;104.3;105.1;-6.3;-7.3
727;B-E Nijverheid (geen bouw) en energie;2008;100.2;100.2;0.8;0.8
728;B-E Nijverheid (geen bouw) en energie;2009 januari;104.0;108.6;-3.7;-2.2
729;B-E Nijverheid (geen bouw) en energie;2009 februari;95.4;97.9;-10.0;-8.9
730;B-E Nijverheid (geen bouw) en energie;2009 maart;97.1;100.0;-10.4;-12.3
731;B-E Nijverheid (geen bouw) en energie;2009 april;82.7;82.6;-20.2;-19.2
732;B-E Nijverheid (geen bouw) en energie;2009 mei;83.6;84.7;-10.0;-8.2
733;B-E Nijverheid (geen bouw) en energie;2009 juni;88.5;86.1;-8.0;-8.8
734;B-E Nijverheid (geen bouw) en energie;2009 juli;85.0;81.1;-5.2;-6.7
735;B-E Nijverheid (geen bouw) en energie;2009 augustus;77.9;77.3;-6.8;-6.0
736;B-E Nijverheid (geen bouw) en energie;2009 september;90.8;87.9;-8.7;-8.3
737;B-E Nijverheid (geen bouw) en energie;2009 oktober;99.1;97.9;-8.2;-7.2
738;B-E Nijverheid (geen bouw) en energie;2009 november;102.5;103.2;-0.1;-2.7
739;B-E Nijverheid (geen bouw) en energie;2009 december;108.8;108.3;4.2;3.0
740;B-E Nijverheid (geen bouw) en energie;2009;93.0;93.0;-7.3;-7.3
741;B-E Nijverheid (geen bouw) en energie;2010 januari;107.9;113.5;3.7;4.5
742;B-E Nijverheid (geen bouw) en energie;2010 februari;102.4;105.4;7.4;7.7
743;B-E Nijverheid (geen bouw) en energie;2010 maart;108.7;110.8;12.0;10.9
744;B-E Nijverheid (geen bouw) en energie;2010 april;93.5;94.0;13.0;13.9
745;B-E Nijverheid (geen bouw) en energie;2010 mei;93.7;95.1;12.1;12.3
746;B-E Nijverheid (geen bouw) en energie;2010 juni;95.6;92.2;8.0;7.0
747;B-E Nijverheid (geen bouw) en energie;2010 juli;86.9;84.0;2.2;3.6
748;B-E Nijverheid (geen bouw) en energie;2010 augustus;84.0;81.8;7.8;5.9
749;B-E Nijverheid (geen bouw) en energie;2010 september;95.8;92.5;5.5;5.3
750;B-E Nijverheid (geen bouw) en energie;2010 oktober;102.9;103.7;3.8;6.0
751;B-E Nijverheid (geen bouw) en energie;2010 november;111.9;111.1;9.1;7.6
752;B-E Nijverheid (geen bouw) en energie;2010 december;116.7;115.8;7.3;7.0
753;B-E Nijverheid (geen bouw) en energie;2010;100.0;100.0;7.6;7.6
754;B-E Nijverheid (geen bouw) en energie;2011 januari;108.5;113.5;0.6;0.0
755;B-E Nijverheid (geen bouw) en energie;2011 februari;104.7;108.1;2.2;2.6
756;B-E Nijverheid (geen bouw) en energie;2011 maart;110.5;112.5;1.6;1.5
757;B-E Nijverheid (geen bouw) en energie;2011 april;91.9;93.0;-1.7;-1.1
758;B-E Nijverheid (geen bouw) en energie;2011 mei;96.3;92.1;2.8;-3.1
759;B-E Nijverheid (geen bouw) en energie;2011 juni;93.2;92.9;-2.6;0.8
760;B-E Nijverheid (geen bouw) en energie;2011 juli;88.4;87.4;1.8;4.0
761;B-E Nijverheid (geen bouw) en energie;2011 augustus;87.8;83.7;4.5;2.3
762;B-E Nijverheid (geen bouw) en energie;2011 september;97.9;93.9;2.2;1.5
763;B-E Nijverheid (geen bouw) en energie;2011 oktober;100.1;100.9;-2.7;-2.7
764;B-E Nijverheid (geen bouw) en energie;2011 november;107.5;106.8;-3.9;-3.9
765;B-E Nijverheid (geen bouw) en energie;2011 december;106.8;108.7;-8.5;-6.2
766;B-E Nijverheid (geen bouw) en energie;2011;99.5;99.5;-0.5;-0.5
767;B-E Nijverheid (geen bouw) en energie;2012 januari;105.2;109.1;-3.0;-3.8
768;B-E Nijverheid (geen bouw) en energie;2012 februari;110.4;110.7;5.4;2.3
769;B-E Nijverheid (geen bouw) en energie;2012 maart;104.8;109.4;-5.1;-2.7
770;B-E Nijverheid (geen bouw) en energie;2012 april;94.8;96.6;3.2;3.8
771;B-E Nijverheid (geen bouw) en energie;2012 mei;95.3;92.5;-1.0;0.4
772;B-E Nijverheid (geen bouw) en energie;2012 juni;95.6;94.0;2.6;1.2
773;B-E Nijverheid (geen bouw) en energie;2012 juli;87.2;84.2;-1.3;-3.6
774;B-E Nijverheid (geen bouw) en energie;2012 augustus;86.9;82.2;-1.0;-1.8
775;B-E Nijverheid (geen bouw) en energie;2012 september;93.1;92.1;-5.0;-1.9
776;B-E Nijverheid (geen bouw) en energie;2012 oktober;103.6;100.6;3.5;-0.3
777;B-E Nijverheid (geen bouw) en energie;2012 november;108.4;107.7;0.9;0.9
778;B-E Nijverheid (geen bouw) en energie;2012 december;102.7;108.9;-3.8;0.2
779;B-E Nijverheid (geen bouw) en energie;2012;99.0;99.0;-0.5;-0.5
780;B-E Nijverheid (geen bouw) en energie;2013 januari;108.8;111.2;3.4;1.9
781;B-E Nijverheid (geen bouw) en energie;2013 februari;105.7;108.2;-4.3;-2.3
782;B-E Nijverheid (geen bouw) en energie;2013 maart;110.1;115.3;5.0;5.3
783;B-E Nijverheid (geen bouw) en energie;2013 april;96.3;97.2;1.6;0.7
784;B-E Nijverheid (geen bouw) en energie;2013 mei;96.8;94.0;1.5;1.6
785;B-E Nijverheid (geen bouw) en energie;2013 juni;91.6;91.7;-4.1;-2.4
786;B-E Nijverheid (geen bouw) en energie;2013 juli;87.1;82.7;-0.1;-1.8
787;B-E Nijverheid (geen bouw) en energie;2013 augustus;84.8;81.3;-2.4;-1.1
788;B-E Nijverheid (geen bouw) en energie;2013 september;95.9;93.1;3.1;1.1
789;B-E Nijverheid (geen bouw) en energie;2013 oktober;102.8;99.9;-0.8;-0.7
790;B-E Nijverheid (geen bouw) en energie;2013 november;108.5;109.6;0.1;1.8
791;B-E Nijverheid (geen bouw) en energie;2013 december;105.9;110.3;3.1;1.3
792;B-E Nijverheid (geen bouw) en energie;2013;99.5;99.5;0.5;0.5
793;B-E Nijverheid (geen bouw) en energie;2014 januari;104.1;105.5;-4.4;-5.1
794;B-E Nijverheid (geen bouw) en energie;2014 februari;98.1;101.5;-7.2;-6.2
795;B-E Nijverheid (geen bouw) en energie;2014 maart;99.9;105.0;-9.3;-8.9
796;B-E Nijverheid (geen bouw) en energie;2014 april;95.0;95.1;-1.3;-2.2
797;B-E Nijverheid (geen bouw) en energie;2014 mei;94.6;92.0;-2.3;-2.2
798;B-E Nijverheid (geen bouw) en energie;2014 juni;90.9;90.7;-0.7;-1.1
799;B-E Nijverheid (geen bouw) en energie;2014 juli;88.5;84.8;1.6;2.5
800;B-E Nijverheid (geen bouw) en energie;2014 augustus;83.6;81.6;-1.4;0.4
801;B-E Nijverheid (geen bouw) en energie;2014 september;95.8;91.9;-0.1;-1.3
802;B-E Nijverheid (geen bouw) en energie;2014 oktober;101.1;98.3;-1.7;-1.6
803;B-E Nijverheid (geen bouw) en energie;2014 november;102.1;105.4;-6.0;-3.9
804;B-E Nijverheid (geen bouw) en energie;2014 december;106.6;108.5;0.6;-1.6
805;B-E Nijverheid (geen bouw) en energie;2014;96.7;96.7;-2.9;-2.9
806;B Delfstoffenwinning;1953 januari;;25.9;;
807;B Delfstoffenwinning;1953 februari;;24.2;;
808;B Delfstoffenwinning;1953 maart;;25.0;;
809;B Delfstoffenwinning;1953 april;;25.6;;
810;B Delfstoffenwinning;1953 mei;;25.9;;
811;B Delfstoffenwinning;1953 juni;;25.0;;
812;B Delfstoffenwinning;1953 juli;;24.8;;
813;B Delfstoffenwinning;1953 augustus;;24.5;;
814;B Delfstoffenwinning;1953 september;;25.9;;
815;B Delfstoffenwinning;1953 oktober;;25.9;;
816;B Delfstoffenwinning;1953 november;;25.9;;
817;B Delfstoffenwinning;1953 december;;24.8;;
818;B Delfstoffenwinning;1953;;25.3;;
819;B Delfstoffenwinning;1954 januari;;25.3;;-2.1
820;B Delfstoffenwinning;1954 februari;;24.5;;1.1
821;B Delfstoffenwinning;1954 maart;;24.5;;-2.2
822;B Delfstoffenwinning;1954 april;;26.1;;2.2
823;B Delfstoffenwinning;1954 mei;;25.9;;0.0
824;B Delfstoffenwinning;1954 juni;;25.6;;2.2
825;B Delfstoffenwinning;1954 juli;;25.9;;4.4
826;B Delfstoffenwinning;1954 augustus;;25.3;;3.4
827;B Delfstoffenwinning;1954 september;;25.9;;0.0
828;B Delfstoffenwinning;1954 oktober;;26.4;;2.1
829;B Delfstoffenwinning;1954 november;;26.1;;1.1
830;B Delfstoffenwinning;1954 december;;25.3;;2.2
831;B Delfstoffenwinning;1954;;25.6;;1.2
832;B Delfstoffenwinning;1955 januari;;25.6;;1.1
833;B Delfstoffenwinning;1955 februari;;25.0;;2.2
834;B Delfstoffenwinning;1955 maart;;25.6;;4.5
835;B Delfstoffenwinning;1955 april;;26.1;;0.0
836;B Delfstoffenwinning;1955 mei;;25.6;;-1.1
837;B Delfstoffenwinning;1955 juni;;25.0;;-2.2
838;B Delfstoffenwinning;1955 juli;;25.9;;0.0
839;B Delfstoffenwinning;1955 augustus;;25.3;;0.0
840;B Delfstoffenwinning;1955 september;;26.4;;2.1
841;B Delfstoffenwinning;1955 oktober;;26.1;;-1.0
842;B Delfstoffenwinning;1955 november;;26.1;;0.0
843;B Delfstoffenwinning;1955 december;;25.9;;2.2
844;B Delfstoffenwinning;1955;;25.7;;0.6
845;B Delfstoffenwinning;1956 januari;;24.8;;-3.2
846;B Delfstoffenwinning;1956 februari;;24.5;;-2.2
847;B Delfstoffenwinning;1956 maart;;25.3;;-1.1
848;B Delfstoffenwinning;1956 april;;27.0;;3.2
849;B Delfstoffenwinning;1956 mei;;26.1;;2.2
850;B Delfstoffenwinning;1956 juni;;26.7;;6.6
851;B Delfstoffenwinning;1956 juli;;26.1;;1.1
852;B Delfstoffenwinning;1956 augustus;;25.6;;1.1
853;B Delfstoffenwinning;1956 september;;26.1;;-1.0
854;B Delfstoffenwinning;1956 oktober;;26.7;;2.1
855;B Delfstoffenwinning;1956 november;;27.0;;3.1
856;B Delfstoffenwinning;1956 december;;26.4;;2.1
857;B Delfstoffenwinning;1956;;26.0;;1.2
858;B Delfstoffenwinning;1957 januari;;26.7;;7.7
859;B Delfstoffenwinning;1957 februari;;26.4;;7.8
860;B Delfstoffenwinning;1957 maart;;25.3;;-0.1
861;B Delfstoffenwinning;1957 april;;24.7;;-8.2
862;B Delfstoffenwinning;1957 mei;;26.7;;2.0
863;B Delfstoffenwinning;1957 juni;;26.4;;-1.1
864;B Delfstoffenwinning;1957 juli;;26.4;;1.0
865;B Delfstoffenwinning;1957 augustus;;25.8;;1.0
866;B Delfstoffenwinning;1957 september;;24.8;;-5.3
867;B Delfstoffenwinning;1957 oktober;;27.0;;1.0
868;B Delfstoffenwinning;1957 november;;28.1;;4.1
869;B Delfstoffenwinning;1957 december;;27.2;;3.2
870;B Delfstoffenwinning;1957;;26.3;;1.0
871;B Delfstoffenwinning;1958 januari;;27.2;;2.1
872;B Delfstoffenwinning;1958 februari;;27.0;;2.2
873;B Delfstoffenwinning;1958 maart;;27.5;;8.8
874;B Delfstoffenwinning;1958 april;;27.8;;12.4
875;B Delfstoffenwinning;1958 mei;;27.3;;2.2
876;B Delfstoffenwinning;1958 juni;;27.5;;4.3
877;B Delfstoffenwinning;1958 juli;;27.0;;2.2
878;B Delfstoffenwinning;1958 augustus;;26.4;;2.3
879;B Delfstoffenwinning;1958 september;;28.1;;13.5
880;B Delfstoffenwinning;1958 oktober;;28.6;;6.2
881;B Delfstoffenwinning;1958 november;;28.1;;0.0
882;B Delfstoffenwinning;1958 december;;27.2;;0.0
883;B Delfstoffenwinning;1958;;27.5;;4.6
884;B Delfstoffenwinning;1959 januari;;28.0;;2.9
885;B Delfstoffenwinning;1959 februari;;27.8;;2.9
886;B Delfstoffenwinning;1959 maart;;27.7;;0.7
887;B Delfstoffenwinning;1959 april;;28.2;;1.5
888;B Delfstoffenwinning;1959 mei;;28.2;;3.4
889;B Delfstoffenwinning;1959 juni;;26.8;;-2.8
890;B Delfstoffenwinning;1959 juli;;27.2;;1.0
891;B Delfstoffenwinning;1959 augustus;;26.8;;1.6
892;B Delfstoffenwinning;1959 september;;28.1;;0.2
893;B Delfstoffenwinning;1959 oktober;;29.4;;2.6
894;B Delfstoffenwinning;1959 november;;29.2;;4.2
895;B Delfstoffenwinning;1959 december;;28.6;;4.9
896;B Delfstoffenwinning;1959;;28.0;;1.9
897;B Delfstoffenwinning;1960 januari;;28.3;;1.1
898;B Delfstoffenwinning;1960 februari;;28.0;;0.9
899;B Delfstoffenwinning;1960 maart;;27.4;;-1.3
900;B Delfstoffenwinning;1960 april;;29.1;;3.1
901;B Delfstoffenwinning;1960 mei;;29.0;;3.1
902;B Delfstoffenwinning;1960 juni;;28.0;;4.5
903;B Delfstoffenwinning;1960 juli;;28.2;;3.7
904;B Delfstoffenwinning;1960 augustus;;27.1;;1.0
905;B Delfstoffenwinning;1960 september;;28.8;;2.3
906;B Delfstoffenwinning;1960 oktober;;30.9;;5.2
907;B Delfstoffenwinning;1960 november;;31.8;;8.7
908;B Delfstoffenwinning;1960 december;;30.3;;6.1
909;B Delfstoffenwinning;1960;;28.9;;3.2
910;B Delfstoffenwinning;1961 januari;;29.8;;5.1
911;B Delfstoffenwinning;1961 februari;;31.1;;10.9
912;B Delfstoffenwinning;1961 maart;;31.1;;13.8
913;B Delfstoffenwinning;1961 april;;31.4;;8.1
914;B Delfstoffenwinning;1961 mei;;30.5;;5.0
915;B Delfstoffenwinning;1961 juni;;30.1;;7.4
916;B Delfstoffenwinning;1961 juli;;29.9;;5.8
917;B Delfstoffenwinning;1961 augustus;;27.9;;2.9
918;B Delfstoffenwinning;1961 september;;30.2;;5.0
919;B Delfstoffenwinning;1961 oktober;;31.0;;0.4
920;B Delfstoffenwinning;1961 november;;31.9;;0.2
921;B Delfstoffenwinning;1961 december;;31.1;;2.4
922;B Delfstoffenwinning;1961;;30.5;;5.5
923;B Delfstoffenwinning;1962 januari;;29.3;;-1.8
924;B Delfstoffenwinning;1962 februari;;29.9;;-3.7
925;B Delfstoffenwinning;1962 maart;;28.8;;-7.6
926;B Delfstoffenwinning;1962 april;;29.7;;-5.4
927;B Delfstoffenwinning;1962 mei;;29.5;;-3.2
928;B Delfstoffenwinning;1962 juni;;29.0;;-3.5
929;B Delfstoffenwinning;1962 juli;;28.5;;-4.6
930;B Delfstoffenwinning;1962 augustus;;27.7;;-0.6
931;B Delfstoffenwinning;1962 september;;29.5;;-2.4
932;B Delfstoffenwinning;1962 oktober;;29.4;;-5.2
933;B Delfstoffenwinning;1962 november;;31.0;;-2.6
934;B Delfstoffenwinning;1962 december;;30.2;;-2.8
935;B Delfstoffenwinning;1962;;29.4;;-3.6
936;B Delfstoffenwinning;1963 januari;;27.8;;-5.0
937;B Delfstoffenwinning;1963 februari;;27.9;;-6.6
938;B Delfstoffenwinning;1963 maart;;30.0;;4.1
939;B Delfstoffenwinning;1963 april;;30.1;;1.2
940;B Delfstoffenwinning;1963 mei;;29.6;;0.4
941;B Delfstoffenwinning;1963 juni;;29.2;;0.5
942;B Delfstoffenwinning;1963 juli;;28.2;;-1.2
943;B Delfstoffenwinning;1963 augustus;;27.9;;0.7
944;B Delfstoffenwinning;1963 september;;30.0;;1.8
945;B Delfstoffenwinning;1963 oktober;;30.0;;1.9
946;B Delfstoffenwinning;1963 november;;30.3;;-2.3
947;B Delfstoffenwinning;1963 december;;29.8;;-1.2
948;B Delfstoffenwinning;1963;;29.2;;-0.5
949;B Delfstoffenwinning;1964 januari;;29.7;;6.8
950;B Delfstoffenwinning;1964 februari;;30.1;;7.7
951;B Delfstoffenwinning;1964 maart;;31.1;;3.7
952;B Delfstoffenwinning;1964 april;;30.4;;0.9
953;B Delfstoffenwinning;1964 mei;;29.5;;-0.6
954;B Delfstoffenwinning;1964 juni;;29.4;;0.8
955;B Delfstoffenwinning;1964 juli;;28.1;;-0.3
956;B Delfstoffenwinning;1964 augustus;;27.1;;-3.0
957;B Delfstoffenwinning;1964 september;;29.8;;-0.9
958;B Delfstoffenwinning;1964 oktober;;30.4;;1.4
959;B Delfstoffenwinning;1964 november;;31.4;;3.7
960;B Delfstoffenwinning;1964 december;;31.0;;3.9
961;B Delfstoffenwinning;1964;;29.8;;2.0
962;B Delfstoffenwinning;1965 januari;;31.3;;5.4
963;B Delfstoffenwinning;1965 februari;;31.4;;4.2
964;B Delfstoffenwinning;1965 maart;;29.5;;-5.0
965;B Delfstoffenwinning;1965 april;;30.4;;-0.1
966;B Delfstoffenwinning;1965 mei;;29.7;;0.6
967;B Delfstoffenwinning;1965 juni;;29.4;;0.1
968;B Delfstoffenwinning;1965 juli;;28.3;;0.9
969;B Delfstoffenwinning;1965 augustus;;27.9;;2.8
970;B Delfstoffenwinning;1965 september;;30.2;;1.6
971;B Delfstoffenwinning;1965 oktober;;32.2;;5.9
972;B Delfstoffenwinning;1965 november;;34.0;;8.3
973;B Delfstoffenwinning;1965 december;;32.8;;6.0
974;B Delfstoffenwinning;1965;;30.6;;2.6
975;B Delfstoffenwinning;1966 januari;;30.9;;-1.4
976;B Delfstoffenwinning;1966 februari;;31.1;;-0.7
977;B Delfstoffenwinning;1966 maart;;31.3;;6.3
978;B Delfstoffenwinning;1966 april;;30.6;;0.9
979;B Delfstoffenwinning;1966 mei;;27.8;;-6.3
980;B Delfstoffenwinning;1966 juni;;29.1;;-1.0
981;B Delfstoffenwinning;1966 juli;;25.4;;-10.3
982;B Delfstoffenwinning;1966 augustus;;26.6;;-4.3
983;B Delfstoffenwinning;1966 september;;27.6;;-8.8
984;B Delfstoffenwinning;1966 oktober;;29.0;;-9.8
985;B Delfstoffenwinning;1966 november;;32.5;;-4.6
986;B Delfstoffenwinning;1966 december;;31.5;;-4.1
987;B Delfstoffenwinning;1966;;29.5;;-3.7
988;B Delfstoffenwinning;1967 januari;;30.6;;-0.7
989;B Delfstoffenwinning;1967 februari;;28.8;;-7.7
990;B Delfstoffenwinning;1967 maart;;29.9;;-4.6
991;B Delfstoffenwinning;1967 april;;30.1;;-1.9
992;B Delfstoffenwinning;1967 mei;;26.4;;-5.0
993;B Delfstoffenwinning;1967 juni;;27.3;;-6.1
994;B Delfstoffenwinning;1967 juli;;23.4;;-7.8
995;B Delfstoffenwinning;1967 augustus;;25.5;;-4.3
996;B Delfstoffenwinning;1967 september;;27.3;;-1.1
997;B Delfstoffenwinning;1967 oktober;;29.3;;1.1
998;B Delfstoffenwinning;1967 november;;35.0;;7.7
999;B Delfstoffenwinning;1967 december;;34.5;;9.6
1000;B Delfstoffenwinning;1967;;29.0;;-1.5
1001;B Delfstoffenwinning;1968 januari;;36.7;;19.8
1002;B Delfstoffenwinning;1968 februari;;36.6;;27.3
1003;B Delfstoffenwinning;1968 maart;;34.3;;14.8
1004;B Delfstoffenwinning;1968 april;;31.4;;4.4
1005;B Delfstoffenwinning;1968 mei;;30.4;;15.0
1006;B Delfstoffenwinning;1968 juni;;29.1;;6.5
1007;B Delfstoffenwinning;1968 juli;;26.2;;11.7
1008;B Delfstoffenwinning;1968 augustus;;27.0;;6.0
1009;B Delfstoffenwinning;1968 september;;29.6;;8.5
1010;B Delfstoffenwinning;1968 oktober;;33.5;;14.1
1011;B Delfstoffenwinning;1968 november;;39.6;;13.3
1012;B Delfstoffenwinning;1968 december;;40.9;;18.5
1013;B Delfstoffenwinning;1968;;32.9;;13.6
1014;B Delfstoffenwinning;1969 januari;;39.6;;7.7
1015;B Delfstoffenwinning;1969 februari;;42.6;;16.5
1016;B Delfstoffenwinning;1969 maart;;43.1;;25.5
1017;B Delfstoffenwinning;1969 april;;38.3;;22.0
1018;B Delfstoffenwinning;1969 mei;;32.2;;5.9
1019;B Delfstoffenwinning;1969 juni;;33.0;;13.2
1020;B Delfstoffenwinning;1969 juli;;29.2;;11.6
1021;B Delfstoffenwinning;1969 augustus;;28.6;;5.9
1022;B Delfstoffenwinning;1969 september;;35.1;;18.8
1023;B Delfstoffenwinning;1969 oktober;;37.2;;11.1
1024;B Delfstoffenwinning;1969 november;;45.6;;15.3
1025;B Delfstoffenwinning;1969 december;;52.6;;28.6
1026;B Delfstoffenwinning;1969;;38.1;;15.6
1027;B Delfstoffenwinning;1970 januari;;53.2;;34.4
1028;B Delfstoffenwinning;1970 februari;;54.4;;27.7
1029;B Delfstoffenwinning;1970 maart;;54.0;;25.5
1030;B Delfstoffenwinning;1970 april;;51.5;;34.7
1031;B Delfstoffenwinning;1970 mei;;37.2;;15.6
1032;B Delfstoffenwinning;1970 juni;;39.3;;19.3
1033;B Delfstoffenwinning;1970 juli;;37.8;;29.4
1034;B Delfstoffenwinning;1970 augustus;;35.8;;25.0
1035;B Delfstoffenwinning;1970 september;;43.8;;24.8
1036;B Delfstoffenwinning;1970 oktober;;50.6;;36.1
1037;B Delfstoffenwinning;1970 november;;56.9;;24.7
1038;B Delfstoffenwinning;1970 december;;62.9;;19.7
1039;B Delfstoffenwinning;1970;;48.1;;26.4
1040;B Delfstoffenwinning;1971 januari;;66.4;;24.9
1041;B Delfstoffenwinning;1971 februari;;65.2;;19.7
1042;B Delfstoffenwinning;1971 maart;;68.0;;25.9
1043;B Delfstoffenwinning;1971 april;;59.1;;14.7
1044;B Delfstoffenwinning;1971 mei;;47.1;;26.7
1045;B Delfstoffenwinning;1971 juni;;53.9;;37.1
1046;B Delfstoffenwinning;1971 juli;;46.0;;21.6
1047;B Delfstoffenwinning;1971 augustus;;48.0;;34.2
1048;B Delfstoffenwinning;1971 september;;54.1;;23.5
1049;B Delfstoffenwinning;1971 oktober;;62.2;;22.9
1050;B Delfstoffenwinning;1971 november;;75.8;;33.2
1051;B Delfstoffenwinning;1971 december;;74.4;;18.2
1052;B Delfstoffenwinning;1971;;60.0;;24.7
1053;B Delfstoffenwinning;1972 januari;;84.8;;27.7
1054;B Delfstoffenwinning;1972 februari;;82.0;;25.9
1055;B Delfstoffenwinning;1972 maart;;79.2;;16.4
1056;B Delfstoffenwinning;1972 april;;77.1;;30.4
1057;B Delfstoffenwinning;1972 mei;;64.6;;37.1
1058;B Delfstoffenwinning;1972 juni;;64.1;;18.9
1059;B Delfstoffenwinning;1972 juli;;53.6;;16.5
1060;B Delfstoffenwinning;1972 augustus;;57.1;;19.0
1061;B Delfstoffenwinning;1972 september;;66.9;;23.5
1062;B Delfstoffenwinning;1972 oktober;;77.0;;23.8
1063;B Delfstoffenwinning;1972 november;;85.4;;12.6
1064;B Delfstoffenwinning;1972 december;;84.6;;13.6
1065;B Delfstoffenwinning;1972;;73.0;;21.7
1066;B Delfstoffenwinning;1973 januari;;94.6;;11.6
1067;B Delfstoffenwinning;1973 februari;;95.3;;16.2
1068;B Delfstoffenwinning;1973 maart;;85.1;;7.5
1069;B Delfstoffenwinning;1973 april;;83.5;;8.3
1070;B Delfstoffenwinning;1973 mei;;67.5;;4.5
1071;B Delfstoffenwinning;1973 juni;;59.1;;-7.7
1072;B Delfstoffenwinning;1973 juli;;53.3;;-0.4
1073;B Delfstoffenwinning;1973 augustus;;54.3;;-4.9
1074;B Delfstoffenwinning;1973 september;;61.5;;-8.1
1075;B Delfstoffenwinning;1973 oktober;;82.3;;6.8
1076;B Delfstoffenwinning;1973 november;;96.9;;13.6
1077;B Delfstoffenwinning;1973 december;;100.8;;19.2
1078;B Delfstoffenwinning;1973;;77.9;;6.6
1079;B Delfstoffenwinning;1974 januari;;102.9;;8.7
1080;B Delfstoffenwinning;1974 februari;;105.4;;10.6
1081;B Delfstoffenwinning;1974 maart;;102.4;;20.3
1082;B Delfstoffenwinning;1974 april;;88.3;;5.8
1083;B Delfstoffenwinning;1974 mei;;84.3;;24.9
1084;B Delfstoffenwinning;1974 juni;;75.6;;27.9
1085;B Delfstoffenwinning;1974 juli;;71.7;;34.4
1086;B Delfstoffenwinning;1974 augustus;;70.6;;30.0
1087;B Delfstoffenwinning;1974 september;;84.7;;37.8
1088;B Delfstoffenwinning;1974 oktober;;106.7;;29.7
1089;B Delfstoffenwinning;1974 november;;111.8;;15.4
1090;B Delfstoffenwinning;1974 december;;107.9;;7.0
1091;B Delfstoffenwinning;1974;;92.7;;19.1
1092;B Delfstoffenwinning;1975 januari;;114.5;;11.3
1093;B Delfstoffenwinning;1975 februari;;120.8;;14.6
1094;B Delfstoffenwinning;1975 maart;;116.5;;13.7
1095;B Delfstoffenwinning;1975 april;;105.2;;19.1
1096;B Delfstoffenwinning;1975 mei;;82.6;;-2.1
1097;B Delfstoffenwinning;1975 juni;;76.9;;1.7
1098;B Delfstoffenwinning;1975 juli;;63.9;;-10.8
1099;B Delfstoffenwinning;1975 augustus;;61.5;;-12.9
1100;B Delfstoffenwinning;1975 september;;74.7;;-11.8
1101;B Delfstoffenwinning;1975 oktober;;98.4;;-7.7
1102;B Delfstoffenwinning;1975 november;;114.9;;2.8
1103;B Delfstoffenwinning;1975 december;;120.5;;11.7
