ID;Omzetklassen;Perioden;Bedrijven_1;Bedrijfsopbrengsten_2;TotaalNettoOmzet_3;VerleendeDiensten_4;Handelsgoederen_5;OverigeOpbrengsten_6;TotaalBedrijfslasten_7;KostprijsVanDeOmzet_8;Personeelskosten_9;Afschrijvingen_10;OverigeBedrijfslasten_11;TotaalOverigeBedrijfslasten_12;Huisvestingskosten_13;InventarisEnMachinekosten_14;Autokosten_15;Verkoopkosten_16;AndereKosten_17;Bedrijfsresultaat_18;SaldoFinancieleResultaten_19;ResultaatVoorBelastingen_20;BrutoWinstmarge_21;OperationeleWinstmarge_22;WinstmargeVoorBelastingen_23;Investeringsquote_24;NettoOmzet_25;TotaalHandel_26;TotaalVerleendeDiensten_27;TotaalDranken_28;Gedistilleerd_29;BierAlcoholhoudend_30;BierAlcoholvrijArm_31;ZwakAlcoholischeDranken_32;KoffieEnThee_33;OverigeNietAlcoholischeDranken_34;Keuken_35;IJsEnSorbets_36;Logies_37;VerhuurZalenEnBanen_38;OverigeHorecaActiviteiten_39;OverigeDienstverlening_40;OntvangstenVoorUitleenEnSubsidie_41;TotaalPersoneelskosten_42;BrutoLonenEnSalarissen_43;SocialeLasten_44;Pensioenpremies_45;KostenUitzendkrachten_46;KostenIngeleendPersoneel_47;OverigePersoneelskosten_48;TotaalOverigeBedrijfslasten_49;TotaalHuisvestingskosten_50;BetaaldeHurenPachtenEDVanLeasing_51;OnroerendeZaakbelastingMilieuheffing_52;Energiekosten_53;ReparatieEnOnderhoudskosten_54;Verzekeringen_55;OverigeHuisvestingskosten_56;TotaalInventarisEnMachinekosten_57;BetaaldeHurenEnKostenVanOperLease_58;Onderhoudskosten_59;OverigeInventarisEnMachinekosten_60;TotaalAutokosten_61;BetaaldeHurenEnKostenVanOperLease_62;Brandstof_63;OverigeAutokosten_64;TotaalVerkoopkosten_65;ReclameEnAdvertentiekosten_66;ReisVerblijfsEnRepresentatiekosten_67;OverigeVerkoopkosten_68;TotaalAndereKosten_69;AccountantsEnAdviesdiensten_70;KantoorbenodigdhDrukwerkVakliteratuur_71;OverigeVerzekeringen_72;OverigeKostprijsverhogendeBelastingen_73;Communicatiekosten_74;Beheerskosten_75;OverigeAutomatiseringskosten_76;NogNietEerderGenoemdeBedrijfskosten_77;TotaalAantalWerkzamePersonen_78;WerknemersOpDeLoonlijst_79;WerknemersNietOpLoonlijst_80;OverigPersoneel_81;AantalVte_82;TotaalInvesteringen_83;TotaalMaterieleVasteActiva_84;Bedrijfsruimten_85;Vervoermiddelen_86;Computers_87;OverigeMachinesApparatenED_88;OverigeMaterieleVasteActiva_89;TotaalImmaterieleVasteActiva_90
0;Totaal SBI 55302,55303;1996;107.7;1707;1655;1622;32;52;1421;44.6;18.9;7.7;28.8;409;207;23;21;64;95;286;-28;258;61.7;14.8;15.1;2.9;1655;2.0;98.0;17.5;1.1;4.4;0.3;0.9;3.5;7.4;70.1;5.0;0.4;0.1;4.9;0.1;1.3;269;86.5;10.0;1.2;0.5;0.1;3.0;409;207;58.9;2.0;21.3;7.2;2.7;7.9;23;12.4;52.9;34.7;21;30.4;25.0;44.6;64;42.8;5.6;51.6;95;32.7;6.5;10.2;0.3;7.4;7.3;1.8;33.8;569;74.9;24.5;0.6;335;50;90.5;16.5;14.5;0.6;35.7;23.1;9.5
1;Totaal SBI 55302,55303;1997;109.7;1833;1785;1767;18;48;1522;44.1;19.4;7.6;29.0;442;217;27;22;71;105;311;-26;285;62.4;15.2;15.5;2.2;1785;1.0;99.0;17.6;0.9;4.4;0.3;0.8;3.8;7.5;71.2;5.1;0.2;0.1;4.7;0.0;1.2;295;85.9;9.8;1.3;0.9;0.4;3.1;442;217;58.6;1.9;21.8;7.1;2.4;8.3;27;14.2;61.1;24.7;22;36.1;22.2;41.8;71;38.8;6.5;54.7;105;30.1;7.3;10.5;1.1;6.9;9.3;0.9;33.8;612;73.2;26.1;0.7;331;40;93.1;8.0;9.9;0.8;36.0;38.3;6.9
2;Totaal SBI 55302,55303;1998;106.8;1877;1821;1807;14;56;1577;43.8;19.9;7.5;28.9;455;232;24;20;73;106;300;-33;267;62.1;14.1;14.2;3.8;1821;0.8;99.2;17.5;0.8;4.1;0.2;0.7;4.2;7.5;72.5;4.6;0.1;0.1;4.4;0.1;1.0;314;82.6;12.5;1.3;1.2;0.2;3.2;455;232;;;;;;;24;;;;20;;;;73;;;;106;;;;;;;;;601;74.5;24.6;0.9;340;71;96.6;15.3;18.1;1.5;49.3;12.3;3.4
3;Totaal SBI 55302,55303;1999;107.9;2040;1980;1964;15;60;1712;43.6;20.3;7.4;28.6;490;258;28;23;75;106;328;-24;304;62.3;14.3;14.9;10.9;1980;0.8;99.2;18.3;0.8;4.2;0.1;0.7;4.4;8.0;70.9;5.2;0.1;0.1;4.4;0.3;1.3;348;82.1;13.5;1.4;0.7;0.2;3.3;490;258;;;;;;;28;;;;23;;;;75;;;;106;;;;;;;;;658;75.6;23.6;0.8;355;222;97.9;35.0;9.4;0.4;29.9;23.1;2.1
4;Tot 250 000 euro;1996;94.0;908;898;889;8;10;720;50.0;12.6;7.7;29.7;214;109;12;13;27;54;188;-10;178;59.9;19.2;19.6;3.1;898;0.9;99.1;14.7;1.1;4.8;0.3;0.8;2.3;5.3;72.4;5.6;0.5;0.1;5.8;0.0;1.4;91;86.3;10.7;0.7;0.4;0.1;3.2;214;109;56.5;2.2;25.2;7.4;3.0;5.6;12;13.2;50.1;36.7;13;30.0;24.2;45.8;27;27.6;4.4;68.0;54;38.0;7.0;10.6;0.2;8.2;1.4;0.9;33.7;304;60.4;39.3;0.3;190;28;99.2;18.6;19.3;0.4;35.7;25.2;0.8
5;Tot 250 000 euro;1997;96.0;981;973;965;7;8;776;50.2;12.4;7.8;29.5;229;115;15;14;28;57;205;-11;194;60.0;19.4;19.7;2.0;973;0.8;99.2;14.8;1.0;5.0;0.2;0.7;2.6;5.4;72.7;5.4;0.3;0.1;5.9;0.0;1.2;96;85.3;10.1;0.7;0.8;0.5;3.7;229;115;55.9;2.1;25.8;6.4;2.7;7.2;15;18.7;51.8;29.4;14;36.4;23.1;40.5;28;28.9;5.5;65.6;57;36.4;7.0;11.7;0.7;7.9;2.3;0.5;33.5;329;56.9;42.6;0.5;189;20;93.3;8.7;16.8;0.9;43.7;23.3;6.7
6;Tot 250 000 euro;1998;92.7;964;955;952;3;9;766;50.3;12.1;7.9;29.7;228;117;11;12;28;59;198;-13;185;59.6;19.0;19.2;4.2;955;0.3;99.7;14.2;0.9;4.8;0.2;0.7;2.6;5.0;74.3;5.1;0.2;0.1;5.7;0.0;1.2;93;83.5;12.5;0.9;1.2;0.2;2.8;228;117;;;;;;;11;;;;12;;;;28;;;;59;;;;;;;;;318;58.3;40.8;0.8;187;41;94.6;10.7;22.4;1.6;47.9;12.0;5.4
7;Tot 250 000 euro;1999;92.9;1026;1014;1012;2;12;808;50.4;12.3;7.8;29.6;239;127;13;14;29;56;218;-12;206;59.9;19.8;20.1;11.4;1014;0.2;99.8;14.2;0.9;4.5;0.1;0.7;2.9;5.0;74.3;5.6;0.2;0.1;5.2;0.2;1.6;99;83.3;13.4;1.0;0.6;0.1;3.2;239;127;;;;;;;13;;;;14;;;;29;;;;56;;;;;;;;;335;58.8;40.4;0.8;197;117;99.4;38.4;11.2;0.1;33.3;16.5;0.6
8;250 000 tot 750 000 euro;1996;12.0;437;428;415;13;9;376;44.3;23.8;7.1;24.8;93;49;6;5;12;21;61;-9;52;61.0;12.1;11.9;3.0;428;3.1;96.9;18.4;1.4;5.5;0.5;1.4;3.3;6.3;68.1;4.7;0.5;0.0;5.2;0.0;1.8;89;88.1;9.7;1.1;0.3;0.0;2.6;93;49;57.1;2.1;22.7;8.9;3.0;6.0;6;16.5;52.8;30.8;5;24.4;29.1;46.5;12;28.9;4.7;66.4;21;32.5;5.8;12.9;0.1;7.9;10.6;1.3;28.9;141;86.6;13.0;0.4;81;13;88.2;21.3;11.6;1.0;41.6;12.7;11.8
9;250 000 tot 750 000 euro;1997;12.2;456;452;444;8;4;391;42.9;26.1;6.5;24.5;96;44;6;5;15;25;65;-6;59;62.9;13.0;13.0;2.8;452;1.9;98.1;17.2;1.1;5.3;0.4;1.1;3.4;5.9;71.5;5.4;0.0;0.0;3.9;0.0;1.9;102;87.4;9.6;1.1;1.0;0.4;2.4;96;44;54.8;1.9;26.3;7.4;3.1;6.4;6;11.9;72.0;16.1;5;30.0;24.2;45.7;15;19.4;4.4;76.2;25;30.1;8.4;11.5;2.2;6.0;16.9;0.4;24.5;155;87.9;11.6;0.5;76;13;99.3;9.1;1.3;0.4;32.0;56.5;0.7
