ID;Perioden;TotaalUitgavenAanZorg_1;UitgavenAanGezondheidszorg_2;UitgavenAanWelzijnszorg_3;KostenBeleidsEnBeheersorganisatie_4;TotaalFinancieringsbronnen_5;Overheid_6;ZiekenfondswetZorgverzekeringswet_7;AWBZ_8;OverigeFinancieringsbronnen_9;UitgavenAanZorgInConstantePrijzen_10;UitgavenPerHoofdVanDeBevolking_11;UitgavenAlsPercentageVanHetBBP_12;TotaalUitgavenAanZorg_13;UitgavenAanGezondheidszorg_14;UitgavenAanWelzijnszorg_15;UitgavenAanZorgInConstantePrijzen_16;BevolkingInNederland_17;UitgavenPerHoofdVanDeBevolking_18
0;1972;6450;4052;2175;223;6450;1615;2081;1003;1751;21424.0;484;8.7;100;100;100;100.0;100;100
1;1973;7539;4654;2621;264;7539;1884;2395;1251;2009;22362.0;561;8.9;117;115;121;104.0;101;116
2;1974;8917;5454;3154;309;8917;2238;2820;1532;2327;23124.0;658;9.2;138;135;145;108.0;102;136
3;1975;10592;6365;3871;356;10592;2758;3355;1853;2626;23769.0;775;9.9;164;157;178;111.0;103;160
4;1976;12063;7180;4496;387;12063;3108;3791;2194;2970;24583.0;876;9.9;187;177;207;115.0;103;181
5;1977;13362;7901;5038;424;13362;3420;4216;2455;3271;25250.0;964;10.1;207;195;232;118.0;104;199
6;1978;14652;8695;5496;461;14652;3696;4658;2727;3572;25995.0;1051;10.3;227;215;253;121.0;105;217
7;1979;15833;9436;5869;528;15833;3839;5056;2985;3953;26558.0;1128;10.5;245;233;270;124.0;105;233
8;1980;17310;10228;6491;590;17310;4065;5525;3485;4235;27129.0;1223;10.6;268;252;299;127.0;106;253
9;1981;18591;10948;7002;640;18591;4350;6006;3743;4493;27549.0;1305;10.9;288;270;322;129.0;107;270
10;1982;19919;11657;7549;713;19919;4613;6534;3999;4773;27958.0;1392;11.2;309;288;347;131.0;107;288
11;1983;20696;11996;7907;792;20696;4798;6660;4211;5027;28448.0;1440;11.2;321;296;364;133.0;108;298
12;1984;21007;12142;8032;833;21007;4771;6780;4319;5137;28553.0;1456;10.9;326;300;369;133.0;108;301
13;1985;21771;12553;8357;861;21771;4916;6956;4447;5453;29048.0;1502;10.8;338;310;384;136.0;109;310
14;1986;22637;13071;8625;941;22637;5040;6893;4621;6083;29622.0;1553;10.9;351;323;397;138.0;109;321
15;1987;23190;13479;8780;931;23190;5080;7110;4798;6201;30227.0;1581;11.1;360;333;404;141.0;110;327
16;1988;23927;13942;9036;950;23927;5191;7272;4961;6503;30718.0;1621;11.0;371;344;416;143.0;111;335
17;1989;24922;14537;9338;1047;24922;4785;6854;6476;6807;31623.0;1678;10.8;386;359;429;148.0;111;347
18;1990;26658;15649;9934;1075;26658;5018;7241;6940;7459;32695.0;1783;10.9;413;386;457;153.0;112;368
19;1991;28737;17002;10591;1144;28737;5399;8041;7529;7768;33537.0;1907;11.2;446;420;487;157.0;113;394
20;1992;30725;18298;11184;1242;30725;5681;7015;10432;7598;34465.0;2024;11.5;476;452;514;161.0;114;418
21;1993;32167;19133;11756;1278;32167;5909;7331;11132;7795;35223.0;2104;11.7;499;472;541;164.0;115;435
22;1994;33368;19767;12213;1387;33368;6113;7642;11454;8160;35999.0;2169;11.5;517;488;562;168.0;115;448
23;1995;35148;20625;13062;1461;35148;6706;7570;12030;8842;37327.0;2274;10.8;545;509;601;174.0;116;470
24;1996;36413;21399;13538;1476;36413;6823;10124;9055;10412;38050.0;2345;10.8;565;528;623;178.0;117;485
25;1997;38208;22333;14359;1515;38208;4802;10888;11923;10595;39205.0;2448;10.5;592;551;660;183.0;117;506
26;1998 voor revisie;40828;23602;15648;1578;40828;5434;11310;12693;11391;40828.0;2599;10.5;633;582;720;191.0;118;537
27;1998 na revisie;40678;23474;15388;1816;40678;5504;11763;12732;10679;40678.0;2590;10.5;631;579;707;190.0;118;535
28;1999;43751;25147;16660;1943;43751;6108;12350;13569;11724;42088.0;2767;10.6;678;621;766;196.0;119;572
29;2000;46919;26801;18080;2039;46919;6585;13138;14580;12616;43534.0;2946;10.5;727;661;831;203.0;119;609
30;2001;52515;30026;20294;2195;52515;7409;14709;16255;14140;45821.0;3273;11.0;814;741;933;214.0;120;676
31;2002;58638;33675;22642;2320;58638;7833;16158;18566;16080;47945.0;3631;11.9;909;831;1041;224.0;121;750
32;2003;63197;36183;24571;2443;63197;8148;17088;20332;17629;50275.0;3895;12.5;980;893;1130;235.0;122;805
33;2004;65381;37693;25075;2613;65381;8148;17112;21106;19014;51839.0;4016;12.6;1014;930;1153;242.0;122;830
34;2005;67614;39010;25821;2783;67614;8119;17554;22052;19890;53351.0;4143;12.5;1048;963;1187;249.0;122;856
35;2006;70722;40688;27026;3007;70722;8206;26727;23177;12612;55137.0;4327;12.3;1096;1004;1243;257.0;123;894
36;2007;74643;43306;28262;3074;74643;10724;27693;23007;13220;57420.0;4556;12.3;1157;1069;1299;268.0;123;941
37;2008;79755;46553;30175;3026;79755;11328;32325;22169;13933;59981.0;4850;12.5;1236;1149;1387;280.0;123;1002
38;2009;83884;48688;32195;3001;83884;12390;34143;23201;14150;63025.0;5075;13.6;1301;1202;1480;294.0;124;1048
39;2010;87342;50831;33495;3016;87342;12712;35553;24469;14607;64925.0;5257;13.8;1354;1254;1540;303.0;125;1086
40;2011;89330;51684;34444;3202;89330;12909;35871;25368;15183;67120.0;5351;13.9;1385;1275;1583;313.0;125;1105
41;2012;92767;52787;36771;3210;92767;12306;36895;28070;15496;67426.0;5537;14.5;1438;1303;1691;315.0;126;1144
42;2013;93901;53850;36760;3291;93901;11374;39989;27444;15095;;5596;14.6;1456;1329;1690;;126;1156
