ID;BedrijfstakBranchesSBI93;Perioden;TotaalBedrijfsopbrengsten_1;NettoOmzet_2;OverigeBedrijfsopbrengsten_3;TotaalBedrijfslasten_4;TotaleBedrijfskosten_5;Personeelskosten_6;OverigeBedrijfskosten_7;OverigeBedrijfslasten_8;Exploitatiesaldo_9;TotaalPersonen_10;InLoondienst_11;IngehuurdePersonen_12;VrijwilligersStagiaires_13;TotaalFteS_14;InLoondienst_15;IngehuurdeFteS_16;VrijwilligersStagiaires_17;Investeringen_18
0;921 + 922 Totaal audiovisuele diensten;1996;2195.0;1804.0;391.0;1966.0;1596.0;417.0;1179.0;370.0;229.0;39.0;13.0;10.0;16.0;15.0;9.0;6.0;;
1;921 + 922 Totaal audiovisuele diensten;1999;2970.0;2810.0;163.0;2725.0;2489.0;680.0;1809.0;236.0;245.0;30.0;16.0;10.0;5.0;20.0;13.0;5.0;1.0;338.0
2;921 + 922 Totaal audiovisuele diensten;2001;3316.0;3281.0;35.0;3152.0;2990.0;700.0;2291.0;162.0;326.0;30.0;20.0;4.0;8.0;20.0;16.0;2.0;2.0;423.0
3;921 + 922 Totaal audiovisuele diensten;2003;3688.0;3401.0;287.0;3341.0;3251.0;747.0;2504.0;90.0;347.0;32.0;18.0;8.0;6.0;20.0;15.0;4.0;2.0;264.0
4;921 + 922 Totaal audiovisuele diensten;2005;3950.0;3859.0;91.0;3774.0;3726.0;960.0;2766.0;48.0;176.0;30.0;21.0;6.0;3.0;22.0;18.0;3.0;1.0;199.0
5;921 Totaal activiteiten film en video;1996;742.0;719.0;22.0;565.0;470.0;123.0;347.0;95.0;177.0;15.0;5.0;7.0;3.0;7.0;3.0;4.0;;
6;921 Totaal activiteiten film en video;1999;732.0;713.0;19.0;538.0;395.0;109.0;285.0;143.0;194.0;11.0;5.0;5.0;1.0;6.0;3.0;2.0;0.0;108.0
7;921 Totaal activiteiten film en video;2001;1212.0;1200.0;12.0;1013.0;909.0;153.0;756.0;104.0;199.0;9.0;6.0;1.0;2.0;5.0;4.0;1.0;1.0;335.0
8;921 Totaal activiteiten film en video;2003;1333.0;1221.0;111.0;1231.0;1192.0;157.0;1036.0;39.0;102.0;14.0;7.0;5.0;2.0;8.0;4.0;2.0;1.0;155.0
9;921 Totaal activiteiten film en video;2005;1848.0;1840.0;8.0;1808.0;1775.0;354.0;1422.0;32.0;40.0;12.0;9.0;2.0;1.0;8.0;7.0;1.0;0.0;92.0
10;92111/2+9212Prod/ondrst/dist video/films;1996;618.0;603.0;15.0;453.0;390.0;92.0;298.0;63.0;165.0;11.0;3.0;6.0;2.0;6.0;2.0;4.0;;
11;92111/2+9212Prod/ondrst/dist video/films;1999;614.0;599.0;15.0;434.0;293.0;79.0;214.0;140.0;181.0;7.0;2.0;5.0;0.0;5.0;2.0;2.0;0.0;71.0
12;92111/2+9212Prod/ondrst/dist video/films;2001;1035.0;1024.0;10.0;856.0;759.0;112.0;657.0;97.0;179.0;5.0;4.0;1.0;0.0;3.0;3.0;0.0;0.0;312.0
13;92111/2+9212Prod/ondrst/dist video/films;2003;1107.0;1005.0;102.0;1025.0;995.0;115.0;880.0;30.0;82.0;8.0;3.0;4.0;1.0;5.0;3.0;2.0;1.0;122.0
