ID;Perioden;JaTotaal_1;JaVaak_2;JaSoms_3;JaZelden_4;Nee_5;Onveilig_6;BijnaAltijdBang_7;MeestalBang_8;SomsWelSomsNietBang_9;MeestalNietBang_10;NooitBang_11;NVTNooitAlleenThuis_12;Onveilig_13;DoetGewoonOpen_14;DoetAlleenOpenVoorBekende_15;DoetAlleenOpenBijVertrouwdeIndruk_16;DoetNietOpen_17;Anders_18;Onveilig_19;WelOnveiligePlekken_20;GeenOnveiligePlekken_21;Onveilig_22;GaatDaaromMinderVaakUit_23;KomtNietMeerOpBepaaldePlaatsen_24;GaatSAvondsNooitMeerAlleenWeg_25;GaatSAvondsNietMeerUit_26;NietVeranderd_27;Onveilig_28;Groot_29;NietGrootEnNietKlein_30;Klein_31;Onveilig_32
0;1983;;;;;;;;;;;;;20.0;;;;;;50.5;;;28.7;;;;;;;;;;
1;1985;;;;;;;;;;;;;25.3;;;;;;50.4;;;27.9;;;;;;;;;;
2;1987;;;;;;;;;;;;;27.4;;;;;;53.7;;;32.5;;;;;;;;;;
3;1989;;;;;;;;;;;;;22.4;;;;;;53.3;;;30.8;;;;;;;;;;
4;1991;;;;;;;;;;;;;24.3;;;;;;50.7;;;32.4;;;;;;;;;;
5;1992;;;;;;;2.4;2.4;8.6;10.1;73.3;3.2;24.2;48.1;27.6;13.3;9.8;1.2;51.9;33.8;66.2;33.8;3.1;5.9;7.4;3.5;82.8;17.2;;;;
6;1993;;;;;;;2.0;2.0;9.4;10.5;73.1;3.1;24.6;45.6;29.8;13.8;9.6;1.2;54.4;35.1;64.9;35.1;3.7;6.5;7.8;3.7;81.0;19.0;;;;
7;1994;;;;;;;1.8;2.7;9.3;8.8;75.1;2.3;23.2;44.3;29.9;14.2;10.4;1.2;55.7;35.0;65.0;35.0;3.2;6.1;7.4;3.5;81.8;18.2;;;;
8;1995;;;;;;;2.0;2.5;8.0;9.7;76.0;1.7;22.6;44.3;29.4;13.7;11.5;1.1;55.7;34.3;65.7;34.3;2.9;5.6;6.9;3.7;82.6;17.4;;;;
9;1996;;;;;;;1.5;2.0;7.8;9.2;77.2;2.2;21.1;43.0;30.3;14.4;11.0;1.2;57.0;33.4;66.6;33.4;2.6;5.9;6.3;3.4;83.0;17.0;;;;
10;1997;;;;;;;1.5;1.5;5.9;8.7;77.7;4.7;18.5;45.2;27.7;13.1;10.8;3.3;54.8;23.2;76.8;23.2;2.3;4.4;6.6;3.2;84.6;15.4;9.5;32.0;58.5;9.5
11;1998;;;;;;;1.3;1.4;5.5;9.2;79.0;3.6;18.1;46.1;26.6;12.6;10.7;4.0;53.9;22.0;78.0;22.0;3.1;5.4;5.9;3.7;84.6;15.4;8.8;31.1;60.1;8.8
12;1999;21.9;3.0;14.2;4.7;78.1;21.9;1.0;1.2;6.4;9.9;76.8;4.6;19.5;43.2;27.8;13.5;11.5;4.0;56.8;30.7;69.3;30.7;3.1;6.9;7.3;4.4;81.6;18.4;6.6;28.5;64.9;6.6
13;2000;20.7;2.7;13.2;4.8;79.3;20.7;1.0;1.2;6.5;10.5;77.6;3.2;19.8;44.3;28.8;12.1;11.2;3.6;55.7;29.2;70.8;29.2;2.7;6.0;6.2;3.6;84.6;15.4;5.8;27.1;67.0;5.8
14;2001;22.4;3.1;13.7;5.6;77.6;22.4;1.3;1.3;6.1;9.5;78.6;3.2;18.7;43.2;29.1;12.5;12.1;3.1;56.8;29.2;70.8;29.2;2.4;6.0;5.9;3.1;85.0;15.0;6.1;26.2;67.8;6.1
15;2002;25.4;3.2;16.1;6.0;74.6;25.4;1.4;1.3;5.8;8.7;80.0;2.8;17.7;43.1;28.7;12.6;11.8;3.8;56.9;29.8;70.2;29.8;2.0;5.3;5.8;3.1;85.6;14.4;5.9;26.7;67.3;5.9
16;2003;23.6;3.1;14.5;5.9;76.4;23.6;1.0;1.2;5.8;8.3;80.3;3.4;16.8;43.0;27.8;14.0;12.1;3.1;57.0;28.8;71.2;28.8;2.7;5.5;5.3;3.3;85.5;14.5;5.5;26.2;68.2;5.5
17;2004;21.8;2.9;13.4;5.5;78.2;21.8;1.0;1.1;5.7;7.8;81.7;2.8;16.0;39.5;30.7;13.2;12.6;4.0;60.5;28.6;71.4;28.6;1.9;4.6;4.7;2.9;87.6;12.4;5.0;24.9;70.1;5.0
