ID;Delictgroep;Geslacht;Leeftijd;Opleiding;Perioden;HaltJongeren_1;HaltJongerenRelatief_2
0;Totaal Halt-jongeren;Totaal;Totaal;Totaal opleidingen;2005;22230   ;.       
1;Totaal Halt-jongeren;Totaal;Totaal;Totaal opleidingen;2006;21550   ;167     
2;Totaal Halt-jongeren;Totaal;Totaal;Totaal opleidingen;2007;23310   ;182     
3;Totaal Halt-jongeren;Totaal;Totaal;Totaal opleidingen;2008;21510   ;170     
4;Totaal Halt-jongeren;Totaal;Totaal;Totaal opleidingen;2009;20480   ;165     
5;Totaal Halt-jongeren;Totaal;Totaal;Totaal opleidingen;2010;17020   ;138     
6;Totaal Halt-jongeren;Totaal;Totaal;Totaal opleidingen;2011;17300   ;140     
7;Totaal Halt-jongeren;Totaal;Totaal;Totaal opleidingen;2012;17510   ;141     
8;Totaal Halt-jongeren;Totaal;Totaal;Totaal opleidingen;2013; 16540  ;132     
9;Totaal Halt-jongeren;Totaal;Totaal;Totaal opleidingen;2014; 16590  ;133     
10;Totaal Halt-jongeren;Totaal;Totaal;Totaal opleidingen;2015; 16250  ;130     
11;Totaal Halt-jongeren;Totaal;Totaal;Totaal opleidingen;2016; 15640  ;125     
12;Totaal Halt-jongeren;Totaal;Totaal;Totaal opleidingen;2017; 16290  ;126     
13;Totaal Halt-jongeren;Totaal;Totaal;Totaal opleidingen;2018; 14320  ;113     
14;Totaal Halt-jongeren;Totaal;Totaal;Totaal opleidingen;2019; 15100  ;120     
15;Totaal Halt-jongeren;Totaal;Totaal;Totaal opleidingen;2020; 13230  ;104     
16;Totaal Halt-jongeren;Totaal;Totaal;Totaal opleidingen;2021; 10030  ;80      
17;Totaal Halt-jongeren;Totaal;Totaal;Totaal opleidingen;2022;  9570  ;77      
18;Totaal Halt-jongeren;Totaal;Totaal;Totaal opleidingen;2023;10260   ;84      
19;Totaal Halt-jongeren;Totaal;Totaal;Basisonderwijs;2005;.       ;.       
20;Totaal Halt-jongeren;Totaal;Totaal;Basisonderwijs;2006;.       ;.       
21;Totaal Halt-jongeren;Totaal;Totaal;Basisonderwijs;2007;.       ;.       
22;Totaal Halt-jongeren;Totaal;Totaal;Basisonderwijs;2008;.       ;.       
23;Totaal Halt-jongeren;Totaal;Totaal;Basisonderwijs;2009;.       ;.       
24;Totaal Halt-jongeren;Totaal;Totaal;Basisonderwijs;2010;.       ;.       
25;Totaal Halt-jongeren;Totaal;Totaal;Basisonderwijs;2011;.       ;.       
26;Totaal Halt-jongeren;Totaal;Totaal;Basisonderwijs;2012;.       ;.       
27;Totaal Halt-jongeren;Totaal;Totaal;Basisonderwijs;2013;   120  ;24      
28;Totaal Halt-jongeren;Totaal;Totaal;Basisonderwijs;2014;    80  ;18      
29;Totaal Halt-jongeren;Totaal;Totaal;Basisonderwijs;2015;   100  ;23      
30;Totaal Halt-jongeren;Totaal;Totaal;Basisonderwijs;2016;    60  ;15      
31;Totaal Halt-jongeren;Totaal;Totaal;Basisonderwijs;2017;    60  ;14      
32;Totaal Halt-jongeren;Totaal;Totaal;Basisonderwijs;2018;    40  ;11      
33;Totaal Halt-jongeren;Totaal;Totaal;Basisonderwijs;2019;    40  ;11      
34;Totaal Halt-jongeren;Totaal;Totaal;Basisonderwijs;2020;    50  ;15      
35;Totaal Halt-jongeren;Totaal;Totaal;Basisonderwijs;2021;    40  ;11      
36;Totaal Halt-jongeren;Totaal;Totaal;Basisonderwijs;2022;    50  ;12      
37;Totaal Halt-jongeren;Totaal;Totaal;Basisonderwijs;2023;.       ;.       
38;Totaal Halt-jongeren;Totaal;Totaal;Vmbo;2005;.       ;.       
39;Totaal Halt-jongeren;Totaal;Totaal;Vmbo;2006;.       ;.       
40;Totaal Halt-jongeren;Totaal;Totaal;Vmbo;2007;.       ;.       
41;Totaal Halt-jongeren;Totaal;Totaal;Vmbo;2008;.       ;.       
42;Totaal Halt-jongeren;Totaal;Totaal;Vmbo;2009;.       ;.       
43;Totaal Halt-jongeren;Totaal;Totaal;Vmbo;2010;.       ;.       
44;Totaal Halt-jongeren;Totaal;Totaal;Vmbo;2011;.       ;.       
45;Totaal Halt-jongeren;Totaal;Totaal;Vmbo;2012;.       ;.       
46;Totaal Halt-jongeren;Totaal;Totaal;Vmbo;2013;  6430  ;201     
47;Totaal Halt-jongeren;Totaal;Totaal;Vmbo;2014;  6290  ;192     
48;Totaal Halt-jongeren;Totaal;Totaal;Vmbo;2015;  5970  ;181     
49;Totaal Halt-jongeren;Totaal;Totaal;Vmbo;2016;  5730  ;178     
50;Totaal Halt-jongeren;Totaal;Totaal;Vmbo;2017;  5430  ;177     
51;Totaal Halt-jongeren;Totaal;Totaal;Vmbo;2018;  4410  ;151     
52;Totaal Halt-jongeren;Totaal;Totaal;Vmbo;2019;  4510  ;161     
53;Totaal Halt-jongeren;Totaal;Totaal;Vmbo;2020;  3600  ;134     
54;Totaal Halt-jongeren;Totaal;Totaal;Vmbo;2021;  2880  ;111     
55;Totaal Halt-jongeren;Totaal;Totaal;Vmbo;2022;  2860  ;110     
56;Totaal Halt-jongeren;Totaal;Totaal;Vmbo;2023;.       ;.       
