ID;AGGZInstellingen;Periode;AantalInstellingen_1;AantalVestigingen_2;AantalSpreekuuradressen_3;TotaalWerkzamePersonen_4;Fulltimers_5;Parttimers_6;TotaalBezet_7;Mannen_8;Vrouwen_9;TotaalArtsen_10;Mannen_11;Vrouwen_12;TotaalOverigeAcademici_13;Mannen_14;Vrouwen_15;TotaalPsychotherapeuten_16;Mannen_17;Vrouwen_18;TotaalSocPsychVerpleegkundigen_19;Mannen_20;Vrouwen_21;TotaalMaatschappelijkWerkenden_22;Mannen_23;Vrouwen_24;TotaalAnderPersoneel_25;Mannen_26;Vrouwen_27;OproepkrachtenGewerkteUren_28;Uitzendkrachten_29;Stagiaires_30;OverigPersoneel_31
0;1;1985;90;;;6870;2570;4300;5055;2348;2707;552.0;397.0;155.0;1100;679.0;421.0;;;;826;410;416;1182;600;582;1395;262;1133;;112.0;223.0;113.0
1;1;1986;87;;;7074;2574;4500;5278;2419;2859;565.0;402.0;163.0;1151;670.0;481.0;;;;906;444;462;1168;583;585;1488;320;1168;;131.0;264.0;888.0
2;1;1987;87;;;7276;2517;4759;5434;2530;2904;568.0;402.0;166.0;1051;606.0;445.0;;;;956;488;468;1147;596;551;1712;438;1274;;166.0;274.0;91.0
3;1;1988;87;;;7415;2517;4898;5514;2562;2952;600.0;419.0;181.0;890;501.0;389.0;417.0;234.0;183.0;955;483;472;1086;565;521;1566;360;1206;;118.0;229.0;99.0
4;1;1989;90;;;7874;2514;5360;5722;2312;3410;599.0;412.0;187.0;933;504.0;429.0;429.0;-64.0;493.0;1000;527;473;1110;582;528;1651;351;1300;;146.0;266.0;114.0
5;1;1990;87;;;7862;2349;5513;5735;2293;3442;570.0;402.0;168.0;997;514.0;483.0;483.0;-24.0;507.0;981;513;468;1047;552;495;1657;336;1321;;163.0;334.0;170.0
6;1;1991;87;;;8259;2302;5957;5992;2339;3653;582.0;409.0;173.0;1033;495.0;538.0;538.0;-23.0;561.0;1061;552;509;1043;545;498;1735;361;1374;;143.0;303.0;106.0
7;1;1992;88;;;8352;2266;6086;6115;2669;3446;613.0;415.0;198.0;1004;450.0;554.0;555.0;298.0;257.0;1114;571;543;1033;550;483;1796;385;1411;;140.0;337.0;66.0
8;1;1993;87;;;8592;2251;6341;6276;2700;3576;603.0;406.0;197.0;960;417.0;543.0;607.0;323.0;284.0;1154;586;568;968;506;462;1984;462;1522;;140.0;323.0;92.0
9;1;1994;87;305.0;87.0;8761;2165;6596;6353;2715;3638;623.0;409.0;214.0;911;387.0;524.0;621.0;328.0;293.0;1182;585;597;992;520;472;2024;486;1538;;118.0;448.0;103.0
10;1;1995;84;298.0;75.0;8949;2169;6780;6530;2758;3772;608.0;412.0;196.0;954;395.0;559.0;650.0;331.0;319.0;1235;612;623;944;490;454;2139;518;1621;;115.0;425.0;110.0
11;1;1996;85;291.0;71.0;9283;2176;7107;6757;2835;3922;607.0;405.0;202.0;843;339.0;504.0;659.0;338.0;321.0;1277;642;635;973;494;479;2400;624;1776;;116.0;419.0;149.0
12;1;1997;90;;;9796;2409;7387;7195;2993;4202;627.0;398.0;229.0;813;301.0;512.0;656.0;325.0;331.0;1321;634;687;1025;524;501;2753;811;1942;;195.0;317.0;106.0
13;2;1985;61;;;5202;1842;3360;3791;1713;2078;446.0;324.0;122.0;947;567.0;380.0;;;;694;365;329;662;284;378;1042;173;869;;;;
14;2;1986;59;;;5456;1871;3585;4057;1804;2253;466.0;340.0;126.0;1010;568.0;442.0;;;;764;393;371;664;281;383;1153;222;931;;;;
15;2;1987;59;;;5666;1870;3796;4232;1915;2317;485.0;350.0;135.0;933;520.0;413.0;;;;820;442;378;657;296;361;1337;307;1030;;;;
16;2;1988;59;;;5807;1866;3941;4313;1961;2352;516.0;364.0;152.0;773;414.0;359.0;386.0;215.0;171.0;820;438;382;587;268;319;1231;262;969;;;;
17;2;1989;59;;;6151;1850;4301;4523;2018;2505;507.0;357.0;150.0;798;410.0;388.0;465.0;252.0;213.0;866;479;387;569;261;308;1318;259;1059;;;;
18;2;1990;58;;;6278;1789;4489;4609;2017;2592;521.0;367.0;154.0;852;418.0;434.0;484.0;263.0;221.0;900;477;423;525;244;281;1327;248;1079;;;;
19;2;1991;58;;;6571;1779;4792;4813;2070;2743;532.0;373.0;159.0;892;402.0;490.0;543.0;288.0;255.0;968;515;453;509;245;264;1369;247;1122;;;;
20;2;1992;58;;;6692;1784;4908;4928;2085;2843;558.0;379.0;179.0;887;374.0;513.0;544.0;290.0;254.0;1015;535;480;488;235;253;1436;272;1164;;;;
21;2;1993;59;;;6941;1774;5167;5098;2131;2967;559.0;377.0;182.0;869;361.0;508.0;591.0;313.0;278.0;1063;551;512;462;223;239;1554;306;1248;;;;
22;2;1994;59;;;7029;1685;5344;5108;2106;3002;576.0;375.0;201.0;835;339.0;496.0;601.0;315.0;286.0;1071;544;527;445;214;231;1580;319;1261;;;;
23;2;1995;61;;;7384;1717;5667;5371;2208;3163;577.0;390.0;187.0;871;345.0;526.0;647.0;330.0;317.0;1130;575;555;420;211;209;1726;357;1369;;;;
24;2;1996;61;;;7552;1678;5874;5455;2221;3234;576.0;380.0;196.0;756;287.0;469.0;654.0;336.0;318.0;1157;597;560;403;193;210;1910;429;1481;;;;
25;2;1997;61;;;7641;1757;5884;5564;2212;3352;595.0;381.0;214.0;752;269.0;483.0;648.0;323.0;325.0;1184;581;603;376;178;198;2009;481;1528;;;;
26;3;1985;18;;;1149;550;599;924;498;426;29.0;25.0;4.0;112;88.0;24.0;;;;72;30;42;456;294;162;255;61;194;;;;
