ID;Persoonskenmerken;Perioden;PersoonlijkeVerzorging_1;VerzorgingVanAnderen_2;Onderweg_3;BetaaldWerk_4;Onderwijs_5;HuishoudelijkeVerplichtingen_6;Vrijwilligerswerk_7;VrijeTijd_8;OverigeOfOnbekendeTijdsbesteding_9;PersoonlijkeVerzorging_10;VerzorgingVanAnderen_11;Onderweg_12;BetaaldWerk_13;Onderwijs_14;HuishoudelijkeVerplichtingen_15;Vrijwilligerswerk_16;VrijeTijd_17;OverigeOfOnbekendeTijdsbesteding_18
0;Totaal (12 jaar en ouder);1997;10:52 ;0:36  ;0:48  ;2:26  ;0:37  ;1:54  ;0:11  ;6:02  ;0:35  ;100.0;26.0;58.0;33.0;13.0;68.0;7.0;98.0;31.0
1;Totaal (12 jaar en ouder);1999;10:13 ;0:31  ;0:53  ;2:38  ;0:31  ;2:36  ;0:11  ;5:53  ;0:33  ;100.0;26.0;57.0;34.0;12.0;77.0;6.0;97.0;30.0
2;Totaal (12 jaar en ouder);2001;10:15 ;0:29  ;0:54  ;2:47  ;0:34  ;2:27  ;0:11  ;5:55  ;0:27  ;100.0;23.0;59.0;36.0;12.0;76.0;7.0;98.0;27.0
3;Totaal (12 jaar en ouder);2003;10:14 ;0:26  ;0:56  ;2:40  ;0:33  ;2:27  ;0:10  ;6:09  ;0:25  ;100.0;22.0;63.0;35.0;12.0;78.0;6.0;99.0;22.0
4;Mannen;1997;10:26 ;0:23  ;0:51  ;3:21  ;0:38  ;1:29  ;0:13  ;6:05  ;0:35  ;100.0;21.0;60.0;42.0;14.0;57.0;8.0;97.0;29.0
5;Mannen;1999;9:56  ;0:21  ;1:00  ;3:31  ;0:35  ;1:54  ;0:12  ;5:58  ;0:32  ;100.0;20.0;61.0;42.0;13.0;66.0;6.0;97.0;28.0
6;Mannen;2001;9:59  ;0:19  ;1:01  ;3:42  ;0:35  ;1:44  ;0:13  ;6:01  ;0:26  ;100.0;18.0;63.0;44.0;12.0;67.0;8.0;98.0;25.0
7;Mannen;2003;9:57  ;0:18  ;1:02  ;3:28  ;0:33  ;1:48  ;0:12  ;6:18  ;0:25  ;100.0;17.0;66.0;43.0;12.0;68.0;6.0;99.0;21.0
8;Vrouwen;1997;11:18 ;0:48  ;0:45  ;1:32  ;0:35  ;2:18  ;0:08  ;5:59  ;0:36  ;100.0;31.0;56.0;24.0;13.0;79.0;5.0;98.0;33.0
9;Vrouwen;1999;10:30 ;0:41  ;0:45  ;1:47  ;0:28  ;3:18  ;0:09  ;5:47  ;0:33  ;100.0;31.0;53.0;27.0;11.0;88.0;6.0;97.0;31.0
