ID;Perioden;IndexcijfersVoorraadGereedProduct_1;OntwikkelingVoorraadGereedProduct_2
0;2012 januari;94.9;
1;2012 februari;96.8;
2;2012 maart;96.2;
3;2012 1e kwartaal;96.0;
4;2012 april;97.5;
5;2012 mei;104.2;
6;2012 juni;98.6;
7;2012 2e kwartaal;100.1;
8;2012 juli;101.2;
9;2012 augustus;97.5;
10;2012 september;98.1;
11;2012 3e kwartaal;98.9;
12;2012 oktober;92.4;
13;2012 november;97.7;
14;2012 december;95.3;
15;2012 4e kwartaal;95.1;
16;2012;97.5;
17;2013 januari;100.3;5.7
18;2013 februari;97.9;1.1
19;2013 maart;99.4;3.3
20;2013 1e kwartaal;99.2;3.4
21;2013 april;99.1;1.6
22;2013 mei;99.5;-4.5
23;2013 juni;96.8;-1.8
24;2013 2e kwartaal;98.5;-1.6
25;2013 juli;94.7;-6.4
26;2013 augustus;96.5;-1.0
27;2013 september;97.0;-1.1
28;2013 3e kwartaal;96.1;-2.9
29;2013 oktober;99.6;7.8
30;2013 november;100.5;2.9
31;2013 december;95.0;-0.3
32;2013 4e kwartaal;98.4;3.4
33;2013;98.0;0.5
34;2014 januari;98.6;-1.7
35;2014 februari;97.4;-0.5
36;2014 maart;99.0;-0.4
37;2014 1e kwartaal;98.3;-0.9
38;2014 april;99.4;0.3
39;2014 mei;100.1;0.6
40;2014 juni;99.3;2.6
41;2014 2e kwartaal;99.6;1.2
42;2014 juli;100.6;6.2
43;2014 augustus;102.4;6.1
44;2014 september;99.7;2.8
45;2014 3e kwartaal;100.9;5.0
46;2014 oktober;99.6;0.0
47;2014 november;101.9;1.4
48;2014 december;98.2;3.4
49;2014 4e kwartaal;99.9;1.6
50;2014;99.7;1.7
51;2015 januari;102.8;4.3
52;2015 februari;103.4;6.2
53;2015 maart;99.9;0.9
54;2015 1e kwartaal;102.0;3.8
55;2015 april;100.3;0.9
56;2015 mei;100.3;0.2
57;2015 juni;97.8;-1.5
58;2015 2e kwartaal;99.5;-0.1
59;2015 juli;98.8;-1.8
60;2015 augustus;98.8;-3.5
61;2015 september;98.7;-1.0
62;2015 3e kwartaal;98.8;-2.1
63;2015 oktober;101.0;1.4
64;2015 november;98.5;-3.3
65;2015 december;99.7;1.5
66;2015 4e kwartaal;99.7;-0.2
67;2015;100.0;0.3
68;2016 januari;102.8;0.0
69;2016 februari;105.3;1.8
70;2016 maart;102.0;2.1
71;2016 1e kwartaal;103.4;1.3
72;2016 april;100.7;0.4
73;2016 mei;98.7;-1.6
74;2016 juni;94.6;-3.3
75;2016 2e kwartaal;98.0;-1.5
76;2016 juli;97.9;-0.9
77;2016 augustus;96.9;-1.9
78;2016 september;97.0;-1.7
79;2016 3e kwartaal;97.3;-1.5
80;2016 oktober;100.1;-0.9
81;2016 november;100.6;2.1
82;2016 december;99.6;-0.1
83;2016 4e kwartaal;100.1;0.4
84;2016;99.7;-0.3
85;2017 januari;102.2;-0.6
86;2017 februari;100.1;-4.9
87;2017 maart;100.0;-2.0
88;2017 1e kwartaal;100.8;-2.5
89;2017 april;101.9;1.2
90;2017 mei;103.4;4.8
91;2017 juni;101.0;6.8
92;2017 2e kwartaal;102.1;4.2
93;2017 juli;104.2;6.4
94;2017 augustus;103.7;7.0
95;2017 september;103.1;6.3
96;2017 3e kwartaal;103.7;6.6
97;2017 oktober;106.0;5.9
98;2017 november;103.8;3.2
99;2017 december;102.2;2.6
100;2017 4e kwartaal;104.0;3.9
101;2017;102.6;3.0
102;2018 januari;108.4;6.1
103;2018 februari;110.2;10.1
104;2018 maart;107.9;7.9
105;2018 1e kwartaal;108.8;8.0
106;2018 april;108.1;6.1
107;2018 mei;110.5;6.9
108;2018 juni;107.9;6.8
109;2018 2e kwartaal;108.8;6.6
110;2018 juli;113.5;8.9
111;2018 augustus;111.6;7.6
112;2018 september;107.0;3.8
113;2018 3e kwartaal;110.7;6.8
