ID;TypeOfNonFinancialAsset;Sector;Year;OpeningBalanceSheet_1;Revaluation_2;CapitalFormation_3;OtherChangesInVolume_4;StatisticalDiscrepancy_5;ClosingBalanceSheet_6;VolumeIndices2015100_7
0;Non-financial assets;Total all sectors;1995;;;;;;1358295;79.1
1;Non-financial assets;Total all sectors;1996;1358295.0;90300.0;23077.0;2475.0;0.0;1474146;80.5
2;Non-financial assets;Total all sectors;1997;1474146.0;95451.0;27079.0;3030.0;0.0;1599704;82.1
3;Non-financial assets;Total all sectors;1998;1599704.0;84574.0;30675.0;5568.0;0.0;1720523;83.8
4;Non-financial assets;Total all sectors;1999;1720523.0;145967.0;33966.0;5998.0;0.0;1906453;85.6
5;Non-financial assets;Total all sectors;2000;1906453.0;255985.0;33120.0;4443.0;0.0;2200002;87.1
6;Non-financial assets;Total all sectors;2001;2200002.0;209188.0;34108.0;4340.0;0.0;2447636;88.5
7;Non-financial assets;Total all sectors;2002;2447636.0;85469.0;25539.0;5376.0;0.0;2564022;89.6
8;Non-financial assets;Total all sectors;2003;2564022.0;61504.0;22438.0;5443.0;0.0;2653408;90.5
9;Non-financial assets;Total all sectors;2004;2653408.0;63531.0;22461.0;4999.0;0.0;2744399;91.5
10;Non-financial assets;Total all sectors;2005;2744399.0;109407.0;25384.0;1757.0;0.0;2880948;92.3
11;Non-financial assets;Total all sectors;2006;2880948.0;147941.0;31622.0;91.0;0.0;3060601;93.3
12;Non-financial assets;Total all sectors;2007;3060601.0;113323.0;49024.0;4582.0;0.0;3227528;94.9
13;Non-financial assets;Total all sectors;2008;3227528.0;142961.0;40767.0;3248.0;0.0;3414506;96.1
14;Non-financial assets;Total all sectors;2009;3414506.0;-96317.0;25428.0;14299.0;0.0;3357916;97.3
15;Non-financial assets;Total all sectors;2010;3357916.0;-33432.0;19052.0;-4630.0;0.0;3338907;97.7
16;Non-financial assets;Total all sectors;2011;3338907.0;-18581.0;21835.0;-1225.0;-5.0;3340931;98.3
17;Non-financial assets;Total all sectors;2012;3340931.0;-82779.0;12112.0;-5907.0;0.0;3264355;98.5
18;Non-financial assets;Total all sectors;2013;3264355.0;-114139.0;9012.0;-2768.0;0.0;3156457;98.7
19;Non-financial assets;Total all sectors;2014;3156457.0;3530.0;5571.0;-6933.0;5.0;3158630;98.6
20;Non-financial assets;Total all sectors;2015;3158630.0;29496.0;43057.0;1100.0;0.0;3232286;100.0
21;Non-financial assets;Total all sectors;2016;3234015.0;19996.0;27299.0;2442.0;-3.0;3283749;100.9
22;Non-financial assets;Total all sectors;2017;3283749.0;168549.0;30340.0;-23995.0;1.0;3458644;101.1
23;Non-financial assets;Total all sectors;2018;3458644.0;205666.0;34525.0;7401.0;1.0;3706237;102.3
24;Non-financial assets;Total all sectors;2019;3704661.0;166480.0;46356.0;8747.0;-1.0;3926243;103.7
25;Non-financial assets;Total all sectors;2020;3926243.0;187672.0;33635.0;13288.0;2.0;4160840;104.9
26;Non-financial assets;Total all sectors;2021;4160840.0;460647.0;40575.0;12890.0;1.0;4674953;106.1
27;Non-financial assets;Total all sectors;2022;4674953.0;624623.0;44756.0;-21879.0;-3.0;5322450;106.6
28;Non-financial assets;The non-financial corporations sector;1995;;;;;;533284;76.4
29;Non-financial assets;The non-financial corporations sector;1996;533284.0;20634.0;9767.0;300.0;0.0;563984;77.8
30;Non-financial assets;The non-financial corporations sector;1997;563984.0;24935.0;11883.0;308.0;0.0;601110;79.4
31;Non-financial assets;The non-financial corporations sector;1998;601110.0;24448.0;13663.0;1108.0;0.0;640328;81.3
32;Non-financial assets;The non-financial corporations sector;1999;640328.0;42144.0;14111.0;396.0;0.0;696977;83.0
33;Non-financial assets;The non-financial corporations sector;2000;696977.0;56427.0;12075.0;164.0;0.0;765644;84.4
34;Non-financial assets;The non-financial corporations sector;2001;765644.0;39004.0;12569.0;860.0;0.0;818078;85.8
35;Non-financial assets;The non-financial corporations sector;2002;818078.0;30315.0;5169.0;1337.0;0.0;854898;86.4
36;Non-financial assets;The non-financial corporations sector;2003;854898.0;13803.0;3467.0;788.0;0.0;872954;86.8
37;Non-financial assets;The non-financial corporations sector;2004;872954.0;17261.0;3910.0;2286.0;0.0;896409;87.5
38;Non-financial assets;The non-financial corporations sector;2005;896409.0;22697.0;4836.0;493.0;0.0;924433;88.0
39;Non-financial assets;The non-financial corporations sector;2006;924432.0;24507.0;8049.0;502.0;0.0;957489;88.8
40;Non-financial assets;The non-financial corporations sector;2007;957489.0;35960.0;23062.0;568.0;0.0;1017080;90.9
41;Non-financial assets;The non-financial corporations sector;2008;1017080.0;22938.0;13004.0;673.0;0.0;1053693;92.1
42;Non-financial assets;The non-financial corporations sector;2009;1053693.0;-3939.0;5348.0;2861.0;0.0;1057965;92.8
43;Non-financial assets;The non-financial corporations sector;2010;1057965.0;611.0;6118.0;2723.0;0.0;1067413;93.6
44;Non-financial assets;The non-financial corporations sector;2011;1067413.0;-9340.0;9229.0;4974.0;0.0;1072274;94.8
45;Non-financial assets;The non-financial corporations sector;2012;1072274.0;-22652.0;5750.0;3376.0;0.0;1058747;95.6
46;Non-financial assets;The non-financial corporations sector;2013;1058747.0;-19701.0;7445.0;3766.0;-74.0;1050183;96.7
47;Non-financial assets;The non-financial corporations sector;2014;1050183.0;5001.0;2277.0;3106.0;0.0;1060568;97.1
48;Non-financial assets;The non-financial corporations sector;2015;1060568.0;10931.0;31762.0;-312.0;0.0;1102950;100.0
49;Non-financial assets;The non-financial corporations sector;2016;1103030.0;19800.0;9806.0;1161.0;53.0;1133850;101.0
50;Non-financial assets;The non-financial corporations sector;2017;1133850.0;35930.0;10090.0;380.0;-2.0;1180248;101.9
51;Non-financial assets;The non-financial corporations sector;2018;1180240.0;46788.0;12310.0;1022.0;-3.0;1240357;103.0
52;Non-financial assets;The non-financial corporations sector;2019;1240276.0;41105.0;21281.0;945.0;-5.0;1303602;104.8
53;Non-financial assets;The non-financial corporations sector;2020;1303602.0;44558.0;5515.0;-395.0;1.0;1353281;105.2
54;Non-financial assets;The non-financial corporations sector;2021;1353281.0;96575.0;11622.0;2346.0;2.0;1463826;106.2
55;Non-financial assets;The non-financial corporations sector;2022;1463826.0;140342.0;12902.0;-278.0;1.0;1616793;107.0
56;Non-financial assets;Financial corporations;1995;;;;;;47521;138.3
57;Non-financial assets;Financial corporations;1996;47521.0;3047.0;204.0;459.0;0.0;51232;140.1
58;Non-financial assets;Financial corporations;1997;51232.0;3675.0;-88.0;420.0;0.0;55239;140.9
59;Non-financial assets;Financial corporations;1998;55239.0;3795.0;1240.0;964.0;0.0;61238;146.2
60;Non-financial assets;Financial corporations;1999;61238.0;6379.0;-98.0;697.0;0.0;68215;147.5
61;Non-financial assets;Financial corporations;2000;68215.0;8335.0;470.0;2142.0;0.0;79162;152.5
62;Non-financial assets;Financial corporations;2001;79162.0;6199.0;-118.0;1582.0;0.0;86824;155.1
63;Non-financial assets;Financial corporations;2002;86824.0;3940.0;-2105.0;1277.0;0.0;89937;153.7
64;Non-financial assets;Financial corporations;2003;89937.0;2100.0;-2380.0;-80.0;0.0;89578;149.6
65;Non-financial assets;Financial corporations;2004;89578.0;2428.0;-3202.0;-1867.0;0.0;86935;141.4
66;Non-financial assets;Financial corporations;2005;86935.0;2690.0;-3799.0;409.0;0.0;86237;136.0
67;Non-financial assets;Financial corporations;2006;86237.0;2858.0;-2545.0;49.0;0.0;86600;132.2
68;Non-financial assets;Financial corporations;2007;86600.0;3662.0;-3870.0;-371.0;0.0;86020;126.0
69;Non-financial assets;Financial corporations;2008;86020.0;2057.0;-1110.0;-603.0;0.0;86362;123.6
70;Non-financial assets;Financial corporations;2009;86362.0;-1062.0;-1394.0;-184.0;0.0;83721;121.3
71;Non-financial assets;Financial corporations;2010;83721.0;-1026.0;-3766.0;242.0;0.0;79174;116.1
72;Non-financial assets;Financial corporations;2011;79174.0;-1887.0;-1499.0;-985.0;0.0;74802;112.4
73;Non-financial assets;Financial corporations;2012;74802.0;-3601.0;-1426.0;50.0;0.0;69824;110.2
74;Non-financial assets;Financial corporations;2013;69824.0;-2718.0;-1419.0;-201.0;0.0;65486;107.5
75;Non-financial assets;Financial corporations;2014;65486.0;581.0;-2716.0;75.0;0.0;63427;103.2
76;Non-financial assets;Financial corporations;2015;63427.0;1225.0;-556.0;-1470.0;0.0;62625;100.0
77;Non-financial assets;Financial corporations;2016;62625.0;2003.0;-495.0;301.0;-1.0;64433;99.7
78;Non-financial assets;Financial corporations;2017;64433.0;3422.0;809.0;708.0;-1.0;69371;101.9
79;Non-financial assets;Financial corporations;2018;69371.0;4538.0;-999.0;1263.0;0.0;74173;102.3
80;Non-financial assets;Financial corporations;2019;74173.0;3633.0;-751.0;1416.0;-2.0;78469;103.2
81;Non-financial assets;Financial corporations;2020;78469.0;4489.0;-323.0;1085.0;0.0;83720;104.1
82;Non-financial assets;Financial corporations;2021;83720.0;9440.0;-454.0;369.0;1.0;93076;104.0
83;Non-financial assets;Financial corporations;2022;93076.0;10875.0;-425.0;-163.0;-1.0;103362;103.4
84;Non-financial assets;General government;1995;;;;;;294661;101.8
85;Non-financial assets;General government;1996;294661.0;20281.0;2409.0;-478.0;0.0;316874;102.4
86;Non-financial assets;General government;1997;316874.0;9940.0;2210.0;27.0;0.0;329049;103.1
87;Non-financial assets;General government;1998;329049.0;-4258.0;2111.0;-1927.0;0.0;324975;103.1
88;Non-financial assets;General government;1999;324975.0;-8217.0;3442.0;-1561.0;0.0;318639;103.7
89;Non-financial assets;General government;2000;318639.0;52743.0;3824.0;-2870.0;0.0;372335;104.0
90;Non-financial assets;General government;2001;372335.0;67254.0;4612.0;-3081.0;0.0;441119;104.4
91;Non-financial assets;General government;2002;441119.0;-9022.0;6172.0;-3258.0;0.0;435012;105.1
92;Non-financial assets;General government;2003;435012.0;12732.0;5951.0;-3985.0;0.0;449711;105.5
93;Non-financial assets;General government;2004;449711.0;828.0;4158.0;-2961.0;0.0;451736;105.8
94;Non-financial assets;General government;2005;451736.0;37578.0;3718.0;-5618.0;0.0;487416;105.4
95;Non-financial assets;General government;2006;487416.0;61897.0;5191.0;-8042.0;0.0;546462;104.8
96;Non-financial assets;General government;2007;546462.0;8020.0;4913.0;-5428.0;0.0;553966;104.7
97;Non-financial assets;General government;2008;553966.0;64969.0;6413.0;-3983.0;0.0;621368;105.2
98;Non-financial assets;General government;2009;621368.0;-55661.0;7290.0;5730.0;0.0;578726;107.6
99;Non-financial assets;General government;2010;578726.0;-3070.0;6349.0;-9847.0;0.0;572159;106.9
100;Non-financial assets;General government;2011;572159.0;34142.0;5259.0;-10449.0;0.0;601110;106.0
101;Non-financial assets;General government;2012;601110.0;34491.0;3367.0;-13689.0;0.0;625278;104.3
102;Non-financial assets;General government;2013;625278.0;-8615.0;1844.0;-12654.0;0.0;605851;102.5
103;Non-financial assets;General government;2014;605851.0;-15961.0;1136.0;-17600.0;0.0;573427;99.6
104;Non-financial assets;General government;2015;573427.0;-21252.0;2047.0;188.0;0.0;554412;100.0
105;Non-financial assets;General government;2016;554412.0;-70164.0;2122.0;-4053.0;-1.0;482316;99.6
106;Non-financial assets;General government;2017;482316.0;19541.0;2201.0;-30495.0;1.0;473564;94.0
107;Non-financial assets;General government;2018;473564.0;16374.0;2478.0;-2235.0;-1.0;490180;94.0
108;Non-financial assets;General government;2019;490180.0;5173.0;2912.0;-3527.0;-2.0;494736;93.9
109;Non-financial assets;General government;2020;494736.0;-630.0;4453.0;-271.0;1.0;498289;94.7
110;Non-financial assets;General government;2021;498289.0;40068.0;3419.0;-81.0;0.0;541695;95.3
111;Non-financial assets;General government;2022;541695.0;139154.0;3586.0;-37243.0;1.0;647193;90.6
112;Non-financial assets;Households including NPISHs;1995;;;;;;482829;71.0
113;Non-financial assets;Households including NPISHs;1996;482829.0;46338.0;10698.0;2194.0;0.0;542057;72.7
114;Non-financial assets;Households including NPISHs;1997;542057.0;56900.0;13075.0;2275.0;0.0;614306;74.6
115;Non-financial assets;Households including NPISHs;1998;614306.0;60589.0;13662.0;5423.0;0.0;693982;76.7
116;Non-financial assets;Households including NPISHs;1999;693982.0;105661.0;16511.0;6466.0;0.0;822622;78.9
117;Non-financial assets;Households including NPISHs;2000;822622.0;138481.0;16750.0;5007.0;0.0;982860;80.7
118;Non-financial assets;Households including NPISHs;2001;982860.0;96730.0;17045.0;4979.0;0.0;1101614;82.3
119;Non-financial assets;Households including NPISHs;2002;1101614.0;60236.0;16302.0;6020.0;0.0;1184175;83.9
120;Non-financial assets;Households including NPISHs;2003;1184175.0;32868.0;15400.0;8720.0;0.0;1241165;85.5
121;Non-financial assets;Households including NPISHs;2004;1241165.0;43014.0;17597.0;7541.0;0.0;1309318;87.2
122;Non-financial assets;Households including NPISHs;2005;1309318.0;46442.0;20630.0;6473.0;0.0;1382862;89.0
123;Non-financial assets;Households including NPISHs;2006;1382862.0;58678.0;20926.0;7582.0;0.0;1470050;90.7
124;Non-financial assets;Households including NPISHs;2007;1470050.0;65681.0;24918.0;9812.0;0.0;1570462;92.8
125;Non-financial assets;Households including NPISHs;2008;1570462.0;52998.0;22459.0;7161.0;0.0;1653083;94.5
126;Non-financial assets;Households including NPISHs;2009;1653083.0;-35655.0;14183.0;5891.0;0.0;1637504;95.6
127;Non-financial assets;Households including NPISHs;2010;1637504.0;-29948.0;10351.0;2252.0;0.0;1620161;96.4
128;Non-financial assets;Households including NPISHs;2011;1620161.0;-41496.0;8846.0;5234.0;0.0;1592745;97.2
129;Non-financial assets;Households including NPISHs;2012;1592745.0;-91016.0;4421.0;4355.0;0.0;1510506;97.8
130;Non-financial assets;Households including NPISHs;2013;1510506.0;-83105.0;1143.0;6322.0;71.0;1434937;98.3
131;Non-financial assets;Households including NPISHs;2014;1434937.0;13908.0;4876.0;7486.0;0.0;1461208;99.2
132;Non-financial assets;Households including NPISHs;2015;1461208.0;38592.0;9805.0;2694.0;0.0;1512299;100.0
133;Non-financial assets;Households including NPISHs;2016;1513948.0;68357.0;15866.0;5033.0;-53.0;1603151;101.3
134;Non-financial assets;Households including NPISHs;2017;1603151.0;109657.0;17241.0;5412.0;0.0;1735461;102.7
135;Non-financial assets;Households including NPISHs;2018;1735468.0;137966.0;20736.0;7351.0;6.0;1901527;104.2
136;Non-financial assets;Households including NPISHs;2019;1900033.0;116569.0;22919.0;9913.0;1.0;2049435;105.9
137;Non-financial assets;Households including NPISHs;2020;2049435.0;139254.0;23991.0;12870.0;1.0;2225551;107.7
138;Non-financial assets;Households including NPISHs;2021;2225551.0;314564.0;25986.0;10256.0;-1.0;2576356;109.2
139;Non-financial assets;Households including NPISHs;2022;2576356.0;334252.0;28696.0;15805.0;-3.0;2955106;110.9
140;Non-financial assets;Households;1995;;;;;;481496;70.9
141;Non-financial assets;Households;1996;481496.0;46316.0;10684.0;2200.0;0.0;540693;72.6
142;Non-financial assets;Households;1997;540693.0;56865.0;13067.0;2282.0;0.0;612907;74.5
143;Non-financial assets;Households;1998;612907.0;60562.0;13655.0;5430.0;0.0;692557;76.6
144;Non-financial assets;Households;1999;692557.0;105609.0;16496.0;6411.0;0.0;821073;78.8
145;Non-financial assets;Households;2000;821073.0;138413.0;16746.0;5019.0;0.0;981251;80.6
146;Non-financial assets;Households;2001;981251.0;96682.0;17036.0;4990.0;0.0;1099959;82.3
147;Non-financial assets;Households;2002;1099959.0;60189.0;16295.0;6032.0;0.0;1182478;83.8
148;Non-financial assets;Households;2003;1182478.0;32859.0;15416.0;8732.0;0.0;1239487;85.5
149;Non-financial assets;Households;2004;1239487.0;43005.0;17614.0;7553.0;0.0;1307660;87.2
150;Non-financial assets;Households;2005;1307660.0;46411.0;20647.0;6485.0;0.0;1381202;88.9
151;Non-financial assets;Households;2006;1381202.0;58656.0;20937.0;7594.0;0.0;1468391;90.7
152;Non-financial assets;Households;2007;1468391.0;65615.0;24922.0;9825.0;0.0;1568754;92.8
153;Non-financial assets;Households;2008;1568754.0;52978.0;22470.0;7174.0;0.0;1651378;94.4
154;Non-financial assets;Households;2009;1651378.0;-35675.0;14215.0;5902.0;0.0;1635820;95.6
155;Non-financial assets;Households;2010;1635820.0;-29951.0;10380.0;2262.0;0.0;1618513;96.4
156;Non-financial assets;Households;2011;1618513.0;-41479.0;8874.0;5240.0;0.0;1591147;97.2
157;Non-financial assets;Households;2012;1591147.0;-91000.0;4430.0;4361.0;0.0;1508941;97.8
158;Non-financial assets;Households;2013;1508941.0;-83102.0;1170.0;6326.0;72.0;1433407;98.3
159;Non-financial assets;Households;2014;1433407.0;13903.0;4889.0;7491.0;0.0;1459691;99.2
160;Non-financial assets;Households;2015;1459691.0;38594.0;9830.0;2698.0;0.0;1510814;100.0
161;Non-financial assets;Households;2016;1512464.0;68347.0;15931.0;5037.0;-54.0;1601725;101.3
162;Non-financial assets;Households;2017;1601725.0;109641.0;17277.0;5413.0;1.0;1734057;102.7
163;Non-financial assets;Households;2018;1734064.0;137937.0;20777.0;7336.0;5.0;1900119;104.2
164;Non-financial assets;Households;2019;1898625.0;116545.0;22944.0;9915.0;2.0;2048031;105.9
165;Non-financial assets;Households;2020;2048031.0;139221.0;23890.0;12872.0;0.0;2224014;107.7
166;Non-financial assets;Households;2021;2224014.0;314518.0;26038.0;10256.0;0.0;2574826;109.2
167;Non-financial assets;Households;2022;2574826.0;334169.0;28749.0;15807.0;-2.0;2953549;110.9
168;Non-financial assets;Non-profit institutions serv. households;1995;;;;;;1333;118.7
169;Non-financial assets;Non-profit institutions serv. households;1996;1333.0;22.0;13.0;-6.0;0.0;1363;119.5
170;Non-financial assets;Non-profit institutions serv. households;1997;1363.0;35.0;8.0;-7.0;0.0;1399;119.5
171;Non-financial assets;Non-profit institutions serv. households;1998;1399.0;26.0;8.0;-7.0;0.0;1426;119.6
172;Non-financial assets;Non-profit institutions serv. households;1999;1426.0;52.0;15.0;54.0;0.0;1549;125.4
173;Non-financial assets;Non-profit institutions serv. households;2000;1549.0;67.0;5.0;-12.0;0.0;1609;124.8
174;Non-financial assets;Non-profit institutions serv. households;2001;1609.0;48.0;9.0;-11.0;0.0;1655;124.7
175;Non-financial assets;Non-profit institutions serv. households;2002;1655.0;47.0;6.0;-12.0;0.0;1697;124.3
176;Non-financial assets;Non-profit institutions serv. households;2003;1697.0;9.0;-15.0;-12.0;0.0;1678;122.3
177;Non-financial assets;Non-profit institutions serv. households;2004;1678.0;10.0;-18.0;-12.0;0.0;1659;120.2
178;Non-financial assets;Non-profit institutions serv. households;2005;1659.0;31.0;-17.0;-12.0;0.0;1660;118.0
179;Non-financial assets;Non-profit institutions serv. households;2006;1660.0;21.0;-11.0;-12.0;0.0;1659;116.5
180;Non-financial assets;Non-profit institutions serv. households;2007;1659.0;66.0;-4.0;-13.0;0.0;1709;115.4
181;Non-financial assets;Non-profit institutions serv. households;2008;1709.0;19.0;-11.0;-13.0;0.0;1704;113.8
182;Non-financial assets;Non-profit institutions serv. households;2009;1704.0;20.0;-32.0;-11.0;0.0;1683;111.1
183;Non-financial assets;Non-profit institutions serv. households;2010;1683.0;3.0;-28.0;-10.0;0.0;1649;108.7
184;Non-financial assets;Non-profit institutions serv. households;2011;1649.0;-17.0;-28.0;-6.0;0.0;1597;106.3
185;Non-financial assets;Non-profit institutions serv. households;2012;1597.0;-17.0;-9.0;-6.0;0.0;1565;105.3
186;Non-financial assets;Non-profit institutions serv. households;2013;1565.0;-3.0;-28.0;-4.0;0.0;1531;103.2
187;Non-financial assets;Non-profit institutions serv. households;2014;1531.0;5.0;-14.0;-5.0;0.0;1517;102.0
188;Non-financial assets;Non-profit institutions serv. households;2015;1517.0;-3.0;-25.0;-4.0;0.0;1485;100.0
189;Non-financial assets;Non-profit institutions serv. households;2016;1485.0;9.0;-64.0;-4.0;-1.0;1425;95.4
190;Non-financial assets;Non-profit institutions serv. households;2017;1425.0;16.0;-36.0;-1.0;0.0;1404;92.9
191;Non-financial assets;Non-profit institutions serv. households;2018;1404.0;29.0;-41.0;15.0;0.0;1407;91.2
192;Non-financial assets;Non-profit institutions serv. households;2019;1407.0;24.0;-25.0;-2.0;1.0;1405;89.6
193;Non-financial assets;Non-profit institutions serv. households;2020;1405.0;33.0;102.0;-2.0;-1.0;1537;95.8
194;Non-financial assets;Non-profit institutions serv. households;2021;1537.0;46.0;-53.0;0.0;0.0;1530;92.6
195;Non-financial assets;Non-profit institutions serv. households;2022;1530.0;82.0;-53.0;-2.0;0.0;1557;89.4
196;AN11 Total fixed assets;Total all sectors;1995;966029.0;19256.0;18329.0;-550.0;0.0;1003064;72.1
197;AN11 Total fixed assets;Total all sectors;1996;1003064.0;24308.0;19956.0;-463.0;0.0;1046865;73.5
198;AN11 Total fixed assets;Total all sectors;1997;1046865.0;18949.0;23333.0;-611.0;0.0;1088536;75.1
199;AN11 Total fixed assets;Total all sectors;1998;1088536.0;23628.0;26613.0;-218.0;0.0;1138560;76.8
200;AN11 Total fixed assets;Total all sectors;1999;1138560.0;31820.0;32641.0;-257.0;0.0;1202763;79.0
201;AN11 Total fixed assets;Total all sectors;2000;1202763.0;55102.0;32757.0;-215.0;0.0;1290407;81.0
202;AN11 Total fixed assets;Total all sectors;2001;1290407.0;64192.0;32087.0;-240.0;0.0;1386446;82.9
203;AN11 Total fixed assets;Total all sectors;2002;1386446.0;64026.0;26176.0;-135.0;0.0;1476512;84.4
204;AN11 Total fixed assets;Total all sectors;2003;1476512.0;45013.0;22928.0;-131.0;0.0;1544322;85.7
205;AN11 Total fixed assets;Total all sectors;2004;1544322.0;31246.0;21841.0;-174.0;0.0;1597236;86.8
206;AN11 Total fixed assets;Total all sectors;2005;1597236.0;31231.0;24100.0;-173.0;0.0;1652394;88.1
207;AN11 Total fixed assets;Total all sectors;2006;1652394.0;50000.0;30617.0;-155.0;0.0;1732856;89.7
208;AN11 Total fixed assets;Total all sectors;2007;1732856.0;37263.0;47147.0;-182.0;0.0;1817083;92.1
209;AN11 Total fixed assets;Total all sectors;2008;1817083.0;55825.0;40597.0;-150.0;0.0;1913356;94.1
210;AN11 Total fixed assets;Total all sectors;2009;1913356.0;47894.0;28101.0;-209.0;0.0;1989141;95.4
211;AN11 Total fixed assets;Total all sectors;2010;1989141.0;30782.0;15298.0;-194.0;0.0;2035026;96.1
212;AN11 Total fixed assets;Total all sectors;2011;2035026.0;-18686.0;20961.0;-160.0;0.0;2037141;97.1
213;AN11 Total fixed assets;Total all sectors;2012;2037141.0;-7429.0;11267.0;-159.0;0.0;2040820;97.6
214;AN11 Total fixed assets;Total all sectors;2013;2040820.0;-2225.0;8248.0;-189.0;0.0;2046654;98.0
215;AN11 Total fixed assets;Total all sectors;2014;2046654.0;-19176.0;3994.0;-186.0;0.0;2031287;98.2
216;AN11 Total fixed assets;Total all sectors;2015;2031287.0;-24245.0;40812.0;-4226.0;0.0;2043628;100.0
217;AN11 Total fixed assets;Total all sectors;2016;2045357.0;-9299.0;24121.0;-369.0;0.0;2059810;101.2
218;AN11 Total fixed assets;Total all sectors;2017;2059810.0;13717.0;27208.0;-253.0;0.0;2100482;102.5
219;AN11 Total fixed assets;Total all sectors;2018;2100482.0;66636.0;30589.0;-181.0;0.0;2197526;103.9
220;AN11 Total fixed assets;Total all sectors;2019;2195950.0;81483.0;39576.0;-109.0;1.0;2316901;105.7
221;AN11 Total fixed assets;Total all sectors;2020;2316901.0;84478.0;33560.0;-219.0;0.0;2434720;107.2
222;AN11 Total fixed assets;Total all sectors;2021;2434720.0;106218.0;37693.0;-157.0;0.0;2578474;108.8
223;AN11 Total fixed assets;Total all sectors;2022;2578474.0;170348.0;40774.0;-166.0;0.0;2789430;110.4
224;AN11 Total fixed assets;The non-financial corporations sector;1995;401238.0;6609.0;6743.0;-315.0;0.0;414276;73.0
225;AN11 Total fixed assets;The non-financial corporations sector;1996;414276.0;7676.0;6817.0;-221.0;0.0;428548;74.1
226;AN11 Total fixed assets;The non-financial corporations sector;1997;428548.0;6441.0;8324.0;-76.0;0.0;443237;75.5
227;AN11 Total fixed assets;The non-financial corporations sector;1998;443237.0;7900.0;10078.0;-41.0;0.0;461175;77.2
228;AN11 Total fixed assets;The non-financial corporations sector;1999;461175.0;9703.0;13051.0;-90.0;0.0;483838;79.3
229;AN11 Total fixed assets;The non-financial corporations sector;2000;483838.0;18452.0;12166.0;-46.0;0.0;514410;81.3
230;AN11 Total fixed assets;The non-financial corporations sector;2001;514410.0;20268.0;10959.0;26.0;0.0;545663;82.9
231;AN11 Total fixed assets;The non-financial corporations sector;2002;545663.0;21556.0;6273.0;5.0;0.0;573496;83.9
232;AN11 Total fixed assets;The non-financial corporations sector;2003;573496.0;12037.0;4095.0;486.0;0.0;590113;84.5
233;AN11 Total fixed assets;The non-financial corporations sector;2004;590113.0;9659.0;3624.0;2088.0;0.0;605482;85.3
234;AN11 Total fixed assets;The non-financial corporations sector;2005;605482.0;10697.0;4314.0;430.0;0.0;620922;86.0
235;AN11 Total fixed assets;The non-financial corporations sector;2006;620921.0;16230.0;7915.0;396.0;0.0;645462;87.1
236;AN11 Total fixed assets;The non-financial corporations sector;2007;645462.0;13527.0;21537.0;382.0;0.0;680908;90.0
237;AN11 Total fixed assets;The non-financial corporations sector;2008;680908.0;19818.0;13225.0;341.0;0.0;714291;91.7
238;AN11 Total fixed assets;The non-financial corporations sector;2009;714291.0;16365.0;8241.0;477.0;0.0;739373;92.8
239;AN11 Total fixed assets;The non-financial corporations sector;2010;739373.0;11889.0;3352.0;480.0;0.0;755091;93.3
240;AN11 Total fixed assets;The non-financial corporations sector;2011;755091.0;-1797.0;8940.0;1453.0;0.0;763687;94.6
241;AN11 Total fixed assets;The non-financial corporations sector;2012;763687.0;2421.0;5902.0;370.0;0.0;772380;95.4
242;AN11 Total fixed assets;The non-financial corporations sector;2013;772380.0;3733.0;6790.0;256.0;-74.0;783085;96.2
243;AN11 Total fixed assets;The non-financial corporations sector;2014;783085.0;-1191.0;1239.0;463.0;0.0;783596;96.4
244;AN11 Total fixed assets;The non-financial corporations sector;2015;783596.0;-3114.0;31319.0;-2362.0;0.0;809439;100.0
245;AN11 Total fixed assets;The non-financial corporations sector;2016;809519.0;-1591.0;8032.0;507.0;54.0;816521;101.1
246;AN11 Total fixed assets;The non-financial corporations sector;2017;816521.0;5673.0;8975.0;-23.0;0.0;831146;102.2
247;AN11 Total fixed assets;The non-financial corporations sector;2018;831138.0;19992.0;9590.0;-24.0;-6.0;860690;103.3
248;AN11 Total fixed assets;The non-financial corporations sector;2019;860609.0;25730.0;14360.0;-27.0;-4.0;900668;105.0
249;AN11 Total fixed assets;The non-financial corporations sector;2020;900668.0;24804.0;7395.0;-49.0;1.0;932819;105.8
250;AN11 Total fixed assets;The non-financial corporations sector;2021;932819.0;34495.0;10125.0;-31.0;1.0;977409;106.9
251;AN11 Total fixed assets;The non-financial corporations sector;2022;977409.0;62978.0;12530.0;-38.0;1.0;1052880;108.2
252;AN11 Total fixed assets;Financial corporations;1995;35292.0;680.0;343.0;0.0;0.0;36314;129.1
253;AN11 Total fixed assets;Financial corporations;1996;36314.0;1013.0;655.0;0.0;0.0;37983;131.4
254;AN11 Total fixed assets;Financial corporations;1997;37983.0;678.0;538.0;0.0;0.0;39199;133.2
255;AN11 Total fixed assets;Financial corporations;1998;39199.0;949.0;1764.0;0.0;0.0;41912;139.1
256;AN11 Total fixed assets;Financial corporations;1999;41912.0;1186.0;916.0;0.0;0.0;44014;142.0
257;AN11 Total fixed assets;Financial corporations;2000;44014.0;2241.0;2116.0;0.0;0.0;48371;148.5
258;AN11 Total fixed assets;Financial corporations;2001;48371.0;2681.0;1241.0;0.0;0.0;52293;152.1
259;AN11 Total fixed assets;Financial corporations;2002;52293.0;2198.0;-483.0;0.0;0.0;54009;150.8
