ID;Geslacht;Achtergrondkenmerken;Perioden;WerknemersDieRegelmatigOverwerken_1;WerknemersDieRegelmatigOverwerken_2
0;1100;100;2000;2005.0;33.0
1;1100;100;2001voor revisie;2049.0;33.0
2;1100;100;2001 na revisie;1977.0;32.0
3;1100;100;2002;1946.0;32.0
4;1100;100;2003;2099.0;35.0
5;1100;100;2004;2216.0;37.0
6;1100;100;2005;2283.0;38.0
7;1100;100;2006;2339.0;38.0
8;1100;100;2007;2389.0;38.0
9;1100;100;2008;2415.0;37.0
10;1100;100;2009;2434.0;38.0
11;1100;100;2010;2329.0;37.0
12;1100;100;2011;2257.0;36.0
13;1100;100;2012;2215.0;35.0
14;1100;100;2013;2001.0;33.0
15;1100;53050;2000;188.0;23.0
16;1100;53050;2001voor revisie;179.0;22.0
17;1100;53050;2001 na revisie;177.0;22.0
18;1100;53050;2002;185.0;22.0
19;1100;53050;2003;192.0;24.0
20;1100;53050;2004;194.0;26.0
21;1100;53050;2005;204.0;28.0
22;1100;53050;2006;201.0;28.0
23;1100;53050;2007;210.0;27.0
24;1100;53050;2008;206.0;26.0
25;1100;53050;2009;212.0;28.0
26;1100;53050;2010;186.0;26.0
27;1100;53050;2011;186.0;25.0
28;1100;53050;2012;182.0;25.0
29;1100;53050;2013;158.0;23.0
30;1100;53500;2000;621.0;34.0
31;1100;53500;2001voor revisie;600.0;33.0
32;1100;53500;2001 na revisie;587.0;33.0
33;1100;53500;2002;558.0;33.0
34;1100;53500;2003;597.0;36.0
35;1100;53500;2004;637.0;39.0
36;1100;53500;2005;619.0;39.0
37;1100;53500;2006;622.0;40.0
38;1100;53500;2007;615.0;40.0
39;1100;53500;2008;604.0;39.0
40;1100;53500;2009;600.0;40.0
41;1100;53500;2010;596.0;40.0
42;1100;53500;2011;570.0;39.0
43;1100;53500;2012;557.0;38.0
44;1100;53500;2013;511.0;35.0
45;1100;53700;2000;594.0;35.0
46;1100;53700;2001voor revisie;624.0;36.0
47;1100;53700;2001 na revisie;616.0;36.0
48;1100;53700;2002;599.0;34.0
49;1100;53700;2003;633.0;37.0
50;1100;53700;2004;663.0;39.0
51;1100;53700;2005;694.0;40.0
52;1100;53700;2006;697.0;40.0
