ID;SectorNietFinancieleVennootschappen;Perioden;Totaal_1;Output_2;SubsidiesNietProductgebonden_3;Totaal_4;RenteConformNationaleRekeningen_5;CorrectieVoorIGDFI_6;WerkelijkBetaaldeOntvangenRente_7;Totaal_8;Dividenden_9;InkomenOnttrokkenAanQuasiVennootsch_10;HerbelegdeWinstenOpDirBuitenlInv_11;Totaal_12;InkomenToegerekendAanPolishouders_13;InkTeBetalenAanPensioengerechtigden_14;InkomenToegerekendAanAandeelhouders_15;InkomenUitNatuurlijkeHulpbronnen_16;ToegSocialePremiesTLVWerkgevers_17;Totaal_18;UitkeringenSchadeverzekeringen_19;OverigeInkomensoverdrachtenNEG_20;Totaal_21;Investeringsbijdragen_22;OverigeKapitaaloverdrachten_23;Totaal_24;IntermediairVerbruik_25;Totaal_26;Lonen_27;SocialePremiesTLVWerkgevers_28;NietProductgebondenBelastingen_29;Totaal_30;RenteConformNationaleRekeningen_31;CorrectieVoorIGDFI_32;WerkelijkBetaaldeOntvangenRente_33;Totaal_34;Dividenden_35;InkomenOnttrokkenAanQuasiVennootsch_36;HerbelegdeWinstenOpDirBuitenlInv_37;InkTeBetalenAanPensioengerechtigden_38;InkomenUitNatuurlijkeHulpbronnen_39;BelastingenOpInkomen_40;UitkeringenOverigeSocialeVerzekering_41;Totaal_42;PremiesSchadeverzekeringNetto_43;OverigeInkomensoverdrachtenNEG_44;OverigeKapitaaloverdrachten_45;Totaal_46;Totaal_47;VerbruikVanVasteActiva_48;InvesteringenInVasteActivaNetto_49;Totaal_50;VeranderingenInVoorraden_51;SaldoAanEnVerkopenKostbaarheden_52;SaldoAanEnVerkopenVanNietGeprod_53;BrutoToegevoegdeWaarde_54;NettoToegevoegdeWaarde_55;BrutoExploitatieoverschot_56;NettoExploitatieoverschot_57;SaldoPrimaireInkomensBruto_58;SaldoPrimaireInkomensNetto_59;BrutoBeschikbaarInkomen_60;NettoBeschikbaarInkomen_61;BrutoBesparingen_62;NettoBesparingen_63;SaldoNettoBespEnKapitaaloverdr_64;Vorderingensaldo_65
0;Niet-financiële vennootschappen;2015;1060345;941983;6160;96558;18931;-898;19829;74485;74257;228;2915;214;105;0;109;13;7181;6145;3341;2804;2318;1509;809;1052540;544649;237864;189685;48179;5428;140511;19947;-11481;31428;75221;73360;1861;37581;0;7762;13920;7181;8097;3356;4741;1;92782;90236;63231;27005;2546;2286;260;2107;397334;334103;160202;96971;116249;53018;100377;37146;100377;37146;39463;7805
1;Niet-financiële vennootschappen;2016;1066921;959410;6688;85555;18417;-1251;19668;72921;72736;185;-5924;129;93;0;36;12;7713;5531;3425;2106;2024;805;1219;1053791;553103;245789;195820;49969;5570;137640;18653;-11258;29911;86576;84690;1886;27748;0;4663;18805;7713;7963;3300;4663;11;75933;72500;64663;7837;3433;3257;176;1264;406307;341644;161636;96973;109551;44888;88314;23651;88314;23651;25664;13130
2;Niet-financiële vennootschappen;2017;1131283;1018944;7127;89639;17191;-876;18067;72354;72160;194;-99;178;147;0;31;15;8605;6314;3807;2507;654;335;319;1102870;593517;256050;204573;51477;5829;132524;19632;-9979;29611;81658;79590;2068;26710;0;4524;18607;8605;7821;3807;4014;15;78835;75672;66699;8973;3163;3008;155;1067;425427;358728;170675;103976;127790;61091;107676;40977;107676;40977;41616;28413
3;Niet-financiële vennootschappen;2018;1219482;1081471;7474;112947;17514;-568;18082;93440;93262;178;1752;230;190;0;40;11;9236;6466;3822;2644;1888;512;1376;1194858;635118;270292;215146;55146;6276;160275;18839;-8395;27234;116885;114619;2266;20686;0;3865;20509;9236;7976;3751;4225;0;83528;79516;69916;9600;4012;3880;132;1648;446353;376437;177259;107343;129931;60015;107912;37996;107912;37996;39884;24624
4;Niet-financiële vennootschappen;2019;1245354;1115509;8064;103398;17041;-1406;18447;96231;96107;124;-10058;171;125;0;46;13;9893;6505;3743;2762;1985;1408;577;1235010;647523;285359;226050;59309;6567;158923;18397;-9036;27433;96892;94324;2568;40626;0;3008;24490;9893;8753;3744;5009;9;93057;86610;72630;13980;6447;6419;28;436;467986;395356;184124;111494;128599;55969;101861;29231;101861;29231;31207;10344
5;Niet-financiële vennootschappen;2020;1191959;1064705;27489;79106;16287;-1555;17842;69303;69131;172;-6639;144;106;0;38;11;10863;7706;3964;3742;2090;672;1418;1173945;614355;294333;232156;62177;7280;131696;16617;-9621;26238;85003;82275;2728;28639;0;1437;21646;10863;9665;3793;5872;5;82750;82911;75502;7409;-161;-348;187;1352;450350;374848;176226;100724;123636;48134;100031;24529;100031;24529;26614;18014
6;Niet-financiële vennootschappen;2021;1341516;1190170;25536;105119;15430;-1512;16942;74828;74656;172;14721;126;110;0;16;14;11500;7567;3821;3746;1624;878;746;1292878;688005;306603;242296;64307;7304;151377;16335;-9360;25695;87088;83835;3253;44570;0;3384;27950;11500;7737;3760;3977;45;91610;89077;78942;10135;2533;2350;183;747;502165;423223;213794;134852;167536;88594;139416;60474;139416;60474;62053;48638
7;Ondern. onder Nederlandse zeggenschap;2015;640735;589353;4474;35375;7067;-569;7636;25965;25858;107;2196;134;66;0;68;13;5446;3844;2090;1754;2243;1505;738;609285;311087;177835;141299;36536;4040;48754;7741;-7278;15019;32333;32333;0;1223;0;7457;8060;5446;5066;2100;2966;1;48200;45896;40553;5343;2304;2125;179;796;278266;237713;100865;60312;87486;46933;78204;37651;78204;37651;39893;31450
8;Ondern. onder Nederlandse zeggenschap;2016;643774;600770;4742;27088;6901;-790;7691;28388;28277;111;-8294;81;58;0;23;12;5780;3479;2145;1334;1915;773;1142;628225;317634;181991;144545;37446;4143;50950;7290;-7106;14396;39035;39035;0;263;0;4362;11687;5780;4986;2066;2920;11;50424;48225;41344;6881;2199;2073;126;619;283136;241792;101744;60400;77882;36538;64688;23344;64688;23344;25248;15549
9;Ondern. onder Nederlandse zeggenschap;2017;687233;629309;4951;42013;7250;-549;7799;32902;32788;114;1737;110;91;0;19;14;6441;3918;2351;1567;601;333;268;660502;337590;188973;150441;38532;4229;54159;8394;-6256;14650;40076;40076;0;1370;0;4319;11718;6441;4830;2351;2479;15;51708;49775;41323;8452;1933;1813;120;839;291719;250396;103468;62145;91322;49999;78692;37369;78692;37369;37955;26731
