ID;Perioden;ConsumptieaardappelenTotaal_1;ConsumptieaardappelenOpKleigrond_2;ConsumptieaardappelenOpZandVeengrond_3;Pootaardappelen_4;Zetmeelaardappelen_5;Suikerbieten_6;AppelsTotaal_7;Elstar_8;JonagoldJonagored_9;OverigeAppels_10;PerenTotaal_11;Conference_12;DoyenneDuComice_13;OverigePeren_14;CorncobMix_15;GerstWinter_16;GerstZomer_17;Haver_18;Korrelmais_19;Rogge_20;TarweWinter_21;TarweZomer_22;Triticale_23;AspergesTotaal_24;AspergesProductie_25;AspergesNogGeenProductie_26;Knolselderij_27;Sluitkool_28;Spruitkool_29;Suikermais_30;Winterpeen_31;Waspeen_32;Zaaiuien_33;Aubergine_34;Komkommer_35;Paprika_36;Tomaat_37;GraslandTijdelijk_38;Snijmais_39;Cichorei_40;KoolEnRaapzaad_41;Braaklegging_42
0;2012;67452;47047;20405;39159;43321;72724;7948;3289;1845;2814;8169;6059;935;1175;5813;4213;25631;1739;15505;1934;136388;15237;1925;2893;2411;482;1559;2617;2707;577;6176;2196;20993;105;622;1313;1691;191660;231811;2913;2129;7941
1;2013;71200;48000;23200;39700;43800;73000;7790;3200;1800;2790;8330;6160;930;1240;5800;4400;25100;1900;15600;1800;124100;28100;1900;3180;2550;630;1510;2770;2640;670;6120;2560;21750;105;630;1310;1760;208700;229700;3900;3500;8100
