ID;CentralDecentralProduction;EnergyCommodities;Periods;TotalElectricityAndHeatTJ_1;ElectricityMWh_2;ElectricityTJ_3;Electricity_4;HeatTJ_5;InputTJ_6
0;Total central/decentral production;Total energy commodities;1998;543666.0;92006273.0;331223.0;100.0;212443.0;917304.0
1;Total central/decentral production;Total energy commodities;1999;523993.0;87617304.0;315422.0;100.0;208570.0;873424.0
2;Total central/decentral production;Total energy commodities;2000;544265.0;90180577.0;324650.0;100.0;219615.0;898064.0
3;Total central/decentral production;Total energy commodities;2001;552063.0;94072426.0;338661.0;100.0;213402.0;941190.0
4;Total central/decentral production;Total energy commodities;2002;555856.0;95082892.0;342298.0;100.0;213558.0;946736.0
5;Total central/decentral production;Total energy commodities;2003;566507.0;98140305.0;353305.0;100.0;213202.0;969785.0
6;Total central/decentral production;Total energy commodities;2004;583869.0;102144798.0;367721.0;100.0;216147.0;988034.0
7;Total central/decentral production;Total energy commodities;2005;583571.0;100768710.0;362767.0;100.0;220804.0;983898.0
8;Total central/decentral production;Total energy commodities;2006;576359.0;98834621.0;355805.0;100.0;220554.0;951468.0
9;Total central/decentral production;Total energy commodities;2007;602092.0;105164161.0;378591.0;100.0;223501.0;991362.0
10;Total central/decentral production;Total energy commodities;2008;632654.0;108202778.0;389530.0;100.0;243124.0;1027510.0
11;Total central/decentral production;Total energy commodities;2009;625170.0;113502778.0;408610.0;100.0;216560.0;1031680.0
12;Total central/decentral production;Total energy commodities;2010;656960.0;118138889.0;425300.0;100.0;231660.0;1076100.0
13;Total central/decentral production;Total energy commodities;2011;631248.0;112965935.0;406677.0;100.0;224571.0;1006840.0
14;Total central/decentral production;Total energy commodities;2012;594340.0;102505526.0;369020.0;100.0;225320.0;952860.0
15;Total central/decentral production;Total energy commodities;2013;582832.0;100875336.0;363151.0;100.0;219681.0;927909.0
16;Total central/decentral production;Total energy commodities;2014;570396.0;103417851.0;372304.0;100.0;198092.0;931573.0
17;Total central/decentral production;Total energy commodities;2015;583961.0;110213427.0;396768.0;100.0;187193.0;965161.0
