ID;BedrijfstakkenBranchesSBI2008;Perioden;PrijsindexArbeid_1;JaarmutatiePrijsVanArbeid_2
127;B-F Nijverheid en energie;2002;90.3;4.8
128;B-F Nijverheid en energie;2003;93.7;3.8
129;B-F Nijverheid en energie;2004;95.8;2.2
130;B-F Nijverheid en energie;2005;97.0;1.3
131;B-F Nijverheid en energie;2006;100.0;3.1
132;B-F Nijverheid en energie;2007;102.4;2.4
133;B-F Nijverheid en energie;2008;106.4;3.9
134;B-F Nijverheid en energie;2009;108.1;1.6
135;B-F Nijverheid en energie;2010;108.4;0.3
136;B-F Nijverheid en energie;2011;109.6;1.1
137;B-F Nijverheid en energie;2012;111.3;1.6
138;B-F Nijverheid en energie;2013;114.7;3.1
139;B-F Nijverheid en energie;2006 januari - 2006 december;100.0;3.1
140;B-F Nijverheid en energie;2006 april - 2007 maart;100.9;
141;B-F Nijverheid en energie;2006 juli - 2007 juni;101.4;
142;B-F Nijverheid en energie;2006 oktober - 2007 september;101.8;
143;B-F Nijverheid en energie;2007 januari - 2007 december;102.4;2.4
144;B-F Nijverheid en energie;2007 april - 2008 maart;104.0;3.1
145;B-F Nijverheid en energie;2007 juli - 2008 juni;105.4;3.9
146;B-F Nijverheid en energie;2007 oktober - 2008 september;106.0;4.1
147;B-F Nijverheid en energie;2008 januari - 2008 december;106.4;3.9
148;B-F Nijverheid en energie;2008 april - 2009 maart;107.2;3.1
149;B-F Nijverheid en energie;2008 juli - 2009 juni;108.4;2.8
150;B-F Nijverheid en energie;2008 oktober - 2009 september;108.6;2.5
151;B-F Nijverheid en energie;2009 januari - 2009 december;108.1;1.6
152;B-F Nijverheid en energie;2009 april - 2010 maart;108.1;0.8
153;B-F Nijverheid en energie;2009 juli - 2010 juni;108.5;0.1
154;B-F Nijverheid en energie;2009 oktober - 2010 september;108.5;-0.1
155;B-F Nijverheid en energie;2010 januari - 2010 december;108.4;0.3
156;B-F Nijverheid en energie;2010 april - 2011 maart;108.3;0.2
157;B-F Nijverheid en energie;2010 juli - 2011 juni;108.1;-0.4
158;B-F Nijverheid en energie;2010 oktober - 2011 september;108.4;-0.1
159;B-F Nijverheid en energie;2011 januari - 2011 december;109.6;1.1
160;B-F Nijverheid en energie;2011 april - 2012 maart;109.7;1.3
161;B-F Nijverheid en energie;2011 juli - 2012 juni;110.3;2.0
162;B-F Nijverheid en energie;2011 oktober - 2012 september;111.0;2.4
163;B-F Nijverheid en energie;2012 januari - 2012 december;111.3;1.6
164;B-F Nijverheid en energie;2012 april - 2013 maart;113.0;3.0
165;B-F Nijverheid en energie;2012 juli - 2013 juni;113.9;3.3
166;B-F Nijverheid en energie;2012 oktober - 2013 september;114.1;2.8
167;B-F Nijverheid en energie;2013 januari - 2013 december;114.7;3.1
168;B-E Nijverheid (geen bouw) en energie;2001;86.9;
169;B-E Nijverheid (geen bouw) en energie;2002;90.8;4.5
170;B-E Nijverheid (geen bouw) en energie;2003;94.4;4.0
171;B-E Nijverheid (geen bouw) en energie;2004;96.3;2.0
172;B-E Nijverheid (geen bouw) en energie;2005;97.2;0.9
173;B-E Nijverheid (geen bouw) en energie;2006;100.0;2.9
174;B-E Nijverheid (geen bouw) en energie;2007;102.5;2.5
175;B-E Nijverheid (geen bouw) en energie;2008;106.3;3.7
176;B-E Nijverheid (geen bouw) en energie;2009;108.1;1.7
177;B-E Nijverheid (geen bouw) en energie;2010;108.6;0.5
178;B-E Nijverheid (geen bouw) en energie;2011;110.1;1.4
179;B-E Nijverheid (geen bouw) en energie;2012;111.7;1.5
180;B-E Nijverheid (geen bouw) en energie;2013;115.5;3.4
181;B-E Nijverheid (geen bouw) en energie;2006 januari - 2006 december;100.0;2.9
182;B-E Nijverheid (geen bouw) en energie;2006 april - 2007 maart;100.9;
183;B-E Nijverheid (geen bouw) en energie;2006 juli - 2007 juni;101.3;
184;B-E Nijverheid (geen bouw) en energie;2006 oktober - 2007 september;101.7;
185;B-E Nijverheid (geen bouw) en energie;2007 januari - 2007 december;102.5;2.5
186;B-E Nijverheid (geen bouw) en energie;2007 april - 2008 maart;104.2;3.3
187;B-E Nijverheid (geen bouw) en energie;2007 juli - 2008 juni;105.4;4.0
188;B-E Nijverheid (geen bouw) en energie;2007 oktober - 2008 september;106.0;4.2
189;B-E Nijverheid (geen bouw) en energie;2008 januari - 2008 december;106.3;3.7
190;B-E Nijverheid (geen bouw) en energie;2008 april - 2009 maart;107.1;2.8
191;B-E Nijverheid (geen bouw) en energie;2008 juli - 2009 juni;108.2;2.7
192;B-E Nijverheid (geen bouw) en energie;2008 oktober - 2009 september;108.5;2.4
193;B-E Nijverheid (geen bouw) en energie;2009 januari - 2009 december;108.1;1.7
194;B-E Nijverheid (geen bouw) en energie;2009 april - 2010 maart;108.1;0.9
195;B-E Nijverheid (geen bouw) en energie;2009 juli - 2010 juni;108.5;0.3
196;B-E Nijverheid (geen bouw) en energie;2009 oktober - 2010 september;108.7;0.2
197;B-E Nijverheid (geen bouw) en energie;2010 januari - 2010 december;108.6;0.5
198;B-E Nijverheid (geen bouw) en energie;2010 april - 2011 maart;108.8;0.6
199;B-E Nijverheid (geen bouw) en energie;2010 juli - 2011 juni;108.6;0.1
200;B-E Nijverheid (geen bouw) en energie;2010 oktober - 2011 september;108.9;0.2
201;B-E Nijverheid (geen bouw) en energie;2011 januari - 2011 december;110.1;1.4
202;B-E Nijverheid (geen bouw) en energie;2011 april - 2012 maart;110.0;1.1
203;B-E Nijverheid (geen bouw) en energie;2011 juli - 2012 juni;110.4;1.7
204;B-E Nijverheid (geen bouw) en energie;2011 oktober - 2012 september;111.2;2.1
205;B-E Nijverheid (geen bouw) en energie;2012 januari - 2012 december;111.7;1.5
206;B-E Nijverheid (geen bouw) en energie;2012 april - 2013 maart;113.4;3.1
207;B-E Nijverheid (geen bouw) en energie;2012 juli - 2013 juni;114.4;3.6
208;B-E Nijverheid (geen bouw) en energie;2012 oktober - 2013 september;114.6;3.1
209;B-E Nijverheid (geen bouw) en energie;2013 januari - 2013 december;115.5;3.4
210;C Industrie;2001;86.9;
211;C Industrie;2002;90.8;4.5
212;C Industrie;2003;94.3;3.9
213;C Industrie;2004;96.2;2.0
214;C Industrie;2005;97.3;1.1
215;C Industrie;2006;100.0;2.8
216;C Industrie;2007;102.5;2.5
217;C Industrie;2008;106.5;3.9
218;C Industrie;2009;108.1;1.5
219;C Industrie;2010;108.6;0.5
220;C Industrie;2011;110.1;1.4
221;C Industrie;2012;111.7;1.5
222;C Industrie;2013;115.6;3.5
223;C Industrie;2006 januari - 2006 december;100.0;2.8
224;C Industrie;2006 april - 2007 maart;100.9;
225;C Industrie;2006 juli - 2007 juni;101.4;
226;C Industrie;2006 oktober - 2007 september;101.8;
227;C Industrie;2007 januari - 2007 december;102.5;2.5
228;C Industrie;2007 april - 2008 maart;104.3;3.4
229;C Industrie;2007 juli - 2008 juni;105.5;4.0
230;C Industrie;2007 oktober - 2008 september;106.1;4.2
231;C Industrie;2008 januari - 2008 december;106.5;3.9
232;C Industrie;2008 april - 2009 maart;107.2;2.8
233;C Industrie;2008 juli - 2009 juni;108.3;2.7
234;C Industrie;2008 oktober - 2009 september;108.6;2.4
235;C Industrie;2009 januari - 2009 december;108.1;1.5
236;C Industrie;2009 april - 2010 maart;108.0;0.7
237;C Industrie;2009 juli - 2010 juni;108.3;0.0
238;C Industrie;2009 oktober - 2010 september;108.6;0.0
239;C Industrie;2010 januari - 2010 december;108.6;0.5
240;C Industrie;2010 april - 2011 maart;108.8;0.7
241;C Industrie;2010 juli - 2011 juni;108.6;0.3
242;C Industrie;2010 oktober - 2011 september;108.9;0.3
243;C Industrie;2011 januari - 2011 december;110.1;1.4
244;C Industrie;2011 april - 2012 maart;109.9;1.0
245;C Industrie;2011 juli - 2012 juni;110.4;1.7
246;C Industrie;2011 oktober - 2012 september;111.2;2.1
247;C Industrie;2012 januari - 2012 december;111.7;1.5
248;C Industrie;2012 april - 2013 maart;113.5;3.3
249;C Industrie;2012 juli - 2013 juni;114.5;3.7
250;C Industrie;2012 oktober - 2013 september;114.7;3.1
251;C Industrie;2013 januari - 2013 december;115.6;3.5
252;24-30, 33 Metaal-elektro industrie;2001;86.8;
253;24-30, 33 Metaal-elektro industrie;2002;89.9;3.6
254;24-30, 33 Metaal-elektro industrie;2003;93.4;3.9
255;24-30, 33 Metaal-elektro industrie;2004;96.1;2.9
256;24-30, 33 Metaal-elektro industrie;2005;97.3;1.2
257;24-30, 33 Metaal-elektro industrie;2006;100.0;2.8
258;24-30, 33 Metaal-elektro industrie;2007;102.6;2.6
259;24-30, 33 Metaal-elektro industrie;2008;107.9;5.2
260;24-30, 33 Metaal-elektro industrie;2009;111.1;3.0
261;24-30, 33 Metaal-elektro industrie;2010;110.2;-0.8
262;24-30, 33 Metaal-elektro industrie;2011;112.1;1.7
263;24-30, 33 Metaal-elektro industrie;2012;114.2;1.9
264;24-30, 33 Metaal-elektro industrie;2013;118.3;3.6
265;24-30, 33 Metaal-elektro industrie;2006 januari - 2006 december;100.0;2.8
266;24-30, 33 Metaal-elektro industrie;2006 april - 2007 maart;100.9;
267;24-30, 33 Metaal-elektro industrie;2006 juli - 2007 juni;101.8;
268;24-30, 33 Metaal-elektro industrie;2006 oktober - 2007 september;102.1;
269;24-30, 33 Metaal-elektro industrie;2007 januari - 2007 december;102.6;2.6
270;24-30, 33 Metaal-elektro industrie;2007 april - 2008 maart;104.4;3.5
271;24-30, 33 Metaal-elektro industrie;2007 juli - 2008 juni;106.0;4.1
272;24-30, 33 Metaal-elektro industrie;2007 oktober - 2008 september;107.0;4.8
273;24-30, 33 Metaal-elektro industrie;2008 januari - 2008 december;107.9;5.2
274;24-30, 33 Metaal-elektro industrie;2008 april - 2009 maart;109.2;4.6
275;24-30, 33 Metaal-elektro industrie;2008 juli - 2009 juni;110.9;4.6
276;24-30, 33 Metaal-elektro industrie;2008 oktober - 2009 september;111.4;4.1
277;24-30, 33 Metaal-elektro industrie;2009 januari - 2009 december;111.1;3.0
278;24-30, 33 Metaal-elektro industrie;2009 april - 2010 maart;110.5;1.2
279;24-30, 33 Metaal-elektro industrie;2009 juli - 2010 juni;110.1;-0.7
280;24-30, 33 Metaal-elektro industrie;2009 oktober - 2010 september;110.3;-1.0
281;24-30, 33 Metaal-elektro industrie;2010 januari - 2010 december;110.2;-0.8
282;24-30, 33 Metaal-elektro industrie;2010 april - 2011 maart;110.5;0.0
283;24-30, 33 Metaal-elektro industrie;2010 juli - 2011 juni;110.6;0.5
284;24-30, 33 Metaal-elektro industrie;2010 oktober - 2011 september;110.9;0.5
285;24-30, 33 Metaal-elektro industrie;2011 januari - 2011 december;112.1;1.7
286;24-30, 33 Metaal-elektro industrie;2011 april - 2012 maart;112.1;1.4
287;24-30, 33 Metaal-elektro industrie;2011 juli - 2012 juni;112.8;2.0
288;24-30, 33 Metaal-elektro industrie;2011 oktober - 2012 september;113.8;2.6
289;24-30, 33 Metaal-elektro industrie;2012 januari - 2012 december;114.2;1.9
290;24-30, 33 Metaal-elektro industrie;2012 april - 2013 maart;115.8;3.3
291;24-30, 33 Metaal-elektro industrie;2012 juli - 2013 juni;117.0;3.7
292;24-30, 33 Metaal-elektro industrie;2012 oktober - 2013 september;117.2;3.0
293;24-30, 33 Metaal-elektro industrie;2013 januari - 2013 december;118.3;3.6
294;F Bouwnijverheid;2001;84.6;
295;F Bouwnijverheid;2002;88.9;5.1
296;F Bouwnijverheid;2003;92.2;3.7
297;F Bouwnijverheid;2004;94.7;2.7
298;F Bouwnijverheid;2005;96.6;2.0
299;F Bouwnijverheid;2006;100.0;3.5
300;F Bouwnijverheid;2007;102.4;2.4
301;F Bouwnijverheid;2008;106.6;4.1
302;F Bouwnijverheid;2009;107.9;1.2
303;F Bouwnijverheid;2010;107.8;-0.1
304;F Bouwnijverheid;2011;108.4;0.6
305;F Bouwnijverheid;2012;110.6;2.0
306;F Bouwnijverheid;2013;112.9;2.1
307;F Bouwnijverheid;2006 januari - 2006 december;100.0;3.5
308;F Bouwnijverheid;2006 april - 2007 maart;101.0;
309;F Bouwnijverheid;2006 juli - 2007 juni;101.5;
310;F Bouwnijverheid;2006 oktober - 2007 september;102.0;
311;F Bouwnijverheid;2007 januari - 2007 december;102.4;2.4
312;F Bouwnijverheid;2007 april - 2008 maart;103.6;2.6
313;F Bouwnijverheid;2007 juli - 2008 juni;105.2;3.6
314;F Bouwnijverheid;2007 oktober - 2008 september;106.2;4.1
315;F Bouwnijverheid;2008 januari - 2008 december;106.6;4.1
316;F Bouwnijverheid;2008 april - 2009 maart;107.7;4.0
317;F Bouwnijverheid;2008 juli - 2009 juni;108.9;3.5
318;F Bouwnijverheid;2008 oktober - 2009 september;108.9;2.5
319;F Bouwnijverheid;2009 januari - 2009 december;107.9;1.2
320;F Bouwnijverheid;2009 april - 2010 maart;108.0;0.3
321;F Bouwnijverheid;2009 juli - 2010 juni;108.3;-0.6
322;F Bouwnijverheid;2009 oktober - 2010 september;108.1;-0.7
323;F Bouwnijverheid;2010 januari - 2010 december;107.8;-0.1
324;F Bouwnijverheid;2010 april - 2011 maart;107.1;-0.8
325;F Bouwnijverheid;2010 juli - 2011 juni;107.0;-1.2
326;F Bouwnijverheid;2010 oktober - 2011 september;107.2;-0.8
327;F Bouwnijverheid;2011 januari - 2011 december;108.4;0.6
328;F Bouwnijverheid;2011 april - 2012 maart;109.2;2.0
329;F Bouwnijverheid;2011 juli - 2012 juni;110.1;2.9
330;F Bouwnijverheid;2011 oktober - 2012 september;110.7;3.3
331;F Bouwnijverheid;2012 januari - 2012 december;110.6;2.0
332;F Bouwnijverheid;2012 april - 2013 maart;112.2;2.7
333;F Bouwnijverheid;2012 juli - 2013 juni;112.7;2.4
334;F Bouwnijverheid;2012 oktober - 2013 september;112.7;1.8
335;F Bouwnijverheid;2013 januari - 2013 december;112.9;2.1
336;G-N Commerciële dienstverlening;2001;88.7;
337;G-N Commerciële dienstverlening;2002;92.8;4.6
338;G-N Commerciële dienstverlening;2003;95.5;2.9
339;G-N Commerciële dienstverlening;2004;96.3;0.8
340;G-N Commerciële dienstverlening;2005;97.9;1.7
341;G-N Commerciële dienstverlening;2006;100.0;2.1
342;G-N Commerciële dienstverlening;2007;103.2;3.2
343;G-N Commerciële dienstverlening;2008;105.9;2.6
344;G-N Commerciële dienstverlening;2009;106.4;0.5
345;G-N Commerciële dienstverlening;2010;107.0;0.6
346;G-N Commerciële dienstverlening;2011;108.8;1.7
347;G-N Commerciële dienstverlening;2012;109.9;1.0
348;G-N Commerciële dienstverlening;2013;112.5;2.4
349;G-N Commerciële dienstverlening;2006 januari - 2006 december;100.0;2.1
350;G-N Commerciële dienstverlening;2006 april - 2007 maart;101.1;
351;G-N Commerciële dienstverlening;2006 juli - 2007 juni;101.7;
352;G-N Commerciële dienstverlening;2006 oktober - 2007 september;102.3;
353;G-N Commerciële dienstverlening;2007 januari - 2007 december;103.2;3.2
354;G-N Commerciële dienstverlening;2007 april - 2008 maart;104.1;3.0
355;G-N Commerciële dienstverlening;2007 juli - 2008 juni;105.1;3.3
356;G-N Commerciële dienstverlening;2007 oktober - 2008 september;105.9;3.5
357;G-N Commerciële dienstverlening;2008 januari - 2008 december;105.9;2.6
358;G-N Commerciële dienstverlening;2008 april - 2009 maart;106.5;2.3
359;G-N Commerciële dienstverlening;2008 juli - 2009 juni;107.4;2.2
360;G-N Commerciële dienstverlening;2008 oktober - 2009 september;107.1;1.1
361;G-N Commerciële dienstverlening;2009 januari - 2009 december;106.4;0.5
362;G-N Commerciële dienstverlening;2009 april - 2010 maart;106.0;-0.5
363;G-N Commerciële dienstverlening;2009 juli - 2010 juni;106.5;-0.8
364;G-N Commerciële dienstverlening;2009 oktober - 2010 september;106.8;-0.3
365;G-N Commerciële dienstverlening;2010 januari - 2010 december;107.0;0.6
366;G-N Commerciële dienstverlening;2010 april - 2011 maart;107.1;1.0
367;G-N Commerciële dienstverlening;2010 juli - 2011 juni;107.3;0.8
368;G-N Commerciële dienstverlening;2010 oktober - 2011 september;107.7;0.8
369;G-N Commerciële dienstverlening;2011 januari - 2011 december;108.8;1.7
370;G-N Commerciële dienstverlening;2011 april - 2012 maart;108.8;1.6
371;G-N Commerciële dienstverlening;2011 juli - 2012 juni;109.1;1.7
372;G-N Commerciële dienstverlening;2011 oktober - 2012 september;109.8;1.9
373;G-N Commerciële dienstverlening;2012 januari - 2012 december;109.9;1.0
374;G-N Commerciële dienstverlening;2012 april - 2013 maart;111.4;2.4
375;G-N Commerciële dienstverlening;2012 juli - 2013 juni;112.0;2.7
376;G-N Commerciële dienstverlening;2012 oktober - 2013 september;112.1;2.1
377;G-N Commerciële dienstverlening;2013 januari - 2013 december;112.5;2.4
378;G-I Handel, vervoer en horeca;2001;90.2;
379;G-I Handel, vervoer en horeca;2002;94.0;4.2
380;G-I Handel, vervoer en horeca;2003;96.4;2.6
381;G-I Handel, vervoer en horeca;2004;96.3;-0.1
382;G-I Handel, vervoer en horeca;2005;97.5;1.2
383;G-I Handel, vervoer en horeca;2006;100.0;2.6
384;G-I Handel, vervoer en horeca;2007;102.4;2.4
385;G-I Handel, vervoer en horeca;2008;105.3;2.8
386;G-I Handel, vervoer en horeca;2009;105.9;0.6
387;G-I Handel, vervoer en horeca;2010;106.8;0.8
388;G-I Handel, vervoer en horeca;2011;108.0;1.1
389;G-I Handel, vervoer en horeca;2012;108.8;0.7
390;G-I Handel, vervoer en horeca;2013;110.3;1.4
391;G-I Handel, vervoer en horeca;2006 januari - 2006 december;100.0;2.6
392;G-I Handel, vervoer en horeca;2006 april - 2007 maart;100.9;
393;G-I Handel, vervoer en horeca;2006 juli - 2007 juni;101.4;
394;G-I Handel, vervoer en horeca;2006 oktober - 2007 september;102.0;
395;G-I Handel, vervoer en horeca;2007 januari - 2007 december;102.4;2.4
396;G-I Handel, vervoer en horeca;2007 april - 2008 maart;103.3;2.4
397;G-I Handel, vervoer en horeca;2007 juli - 2008 juni;104.2;2.8
398;G-I Handel, vervoer en horeca;2007 oktober - 2008 september;104.8;2.7
399;G-I Handel, vervoer en horeca;2008 januari - 2008 december;105.3;2.8
400;G-I Handel, vervoer en horeca;2008 april - 2009 maart;106.1;2.7
401;G-I Handel, vervoer en horeca;2008 juli - 2009 juni;107.0;2.7
402;G-I Handel, vervoer en horeca;2008 oktober - 2009 september;106.8;1.9
403;G-I Handel, vervoer en horeca;2009 januari - 2009 december;105.9;0.6
404;G-I Handel, vervoer en horeca;2009 april - 2010 maart;105.8;-0.3
405;G-I Handel, vervoer en horeca;2009 juli - 2010 juni;106.3;-0.7
406;G-I Handel, vervoer en horeca;2009 oktober - 2010 september;106.6;-0.2
407;G-I Handel, vervoer en horeca;2010 januari - 2010 december;106.8;0.8
408;G-I Handel, vervoer en horeca;2010 april - 2011 maart;106.6;0.8
409;G-I Handel, vervoer en horeca;2010 juli - 2011 juni;106.8;0.5
