ID;BedrijfstakkenBranchesSBI2008;Perioden;PrijsindexArbeid_1;JaarmutatiePrijsVanArbeid_2
0;A-U Alle economische activiteiten;2001;87.2;
1;A-U Alle economische activiteiten;2002;91.2;4.6
2;A-U Alle economische activiteiten;2003;94.1;3.2
3;A-U Alle economische activiteiten;2004;95.7;1.7
4;A-U Alle economische activiteiten;2005;97.6;2.0
5;A-U Alle economische activiteiten;2006;100.0;2.5
6;A-U Alle economische activiteiten;2007;103.2;3.2
7;A-U Alle economische activiteiten;2008;106.3;3.0
8;A-U Alle economische activiteiten;2009;107.8;1.4
9;A-U Alle economische activiteiten;2010;108.7;0.8
10;A-U Alle economische activiteiten;2011;110.1;1.3
11;A-U Alle economische activiteiten;2012;111.7;1.5
12;A-U Alle economische activiteiten;2013;114.0;2.1
13;A-U Alle economische activiteiten;2006 januari - 2006 december;100.0;2.5
14;A-U Alle economische activiteiten;2006 april - 2007 maart;101.1;
15;A-U Alle economische activiteiten;2006 juli - 2007 juni;101.7;
16;A-U Alle economische activiteiten;2006 oktober - 2007 september;102.3;
17;A-U Alle economische activiteiten;2007 januari - 2007 december;103.2;3.2
18;A-U Alle economische activiteiten;2007 april - 2008 maart;104.2;3.1
19;A-U Alle economische activiteiten;2007 juli - 2008 juni;105.2;3.4
20;A-U Alle economische activiteiten;2007 oktober - 2008 september;105.8;3.4
21;A-U Alle economische activiteiten;2008 januari - 2008 december;106.3;3.0
22;A-U Alle economische activiteiten;2008 april - 2009 maart;106.9;2.6
23;A-U Alle economische activiteiten;2008 juli - 2009 juni;108.0;2.7
24;A-U Alle economische activiteiten;2008 oktober - 2009 september;108.1;2.2
25;A-U Alle economische activiteiten;2009 januari - 2009 december;107.8;1.4
26;A-U Alle economische activiteiten;2009 april - 2010 maart;107.7;0.7
27;A-U Alle economische activiteiten;2009 juli - 2010 juni;108.4;0.4
28;A-U Alle economische activiteiten;2009 oktober - 2010 september;108.6;0.5
29;A-U Alle economische activiteiten;2010 januari - 2010 december;108.7;0.8
30;A-U Alle economische activiteiten;2010 april - 2011 maart;108.7;0.9
31;A-U Alle economische activiteiten;2010 juli - 2011 juni;108.7;0.3
32;A-U Alle economische activiteiten;2010 oktober - 2011 september;109.0;0.4
33;A-U Alle economische activiteiten;2011 januari - 2011 december;110.1;1.3
34;A-U Alle economische activiteiten;2011 april - 2012 maart;110.2;1.4
35;A-U Alle economische activiteiten;2011 juli - 2012 juni;110.6;1.7
36;A-U Alle economische activiteiten;2011 oktober - 2012 september;111.4;2.2
37;A-U Alle economische activiteiten;2012 januari - 2012 december;111.7;1.5
38;A-U Alle economische activiteiten;2012 april - 2013 maart;113.1;2.6
39;A-U Alle economische activiteiten;2012 juli - 2013 juni;113.6;2.7
40;A-U Alle economische activiteiten;2012 oktober - 2013 september;113.7;2.1
41;A-U Alle economische activiteiten;2013 januari - 2013 december;114.0;2.1
42;A-F Landbouw en nijverheid;2001;86.3;
43;A-F Landbouw en nijverheid;2002;90.4;4.8
44;A-F Landbouw en nijverheid;2003;93.9;3.9
45;A-F Landbouw en nijverheid;2004;95.8;2.0
46;A-F Landbouw en nijverheid;2005;97.1;1.4
47;A-F Landbouw en nijverheid;2006;100.0;3.0
48;A-F Landbouw en nijverheid;2007;102.5;2.5
49;A-F Landbouw en nijverheid;2008;106.4;3.8
50;A-F Landbouw en nijverheid;2009;108.0;1.5
51;A-F Landbouw en nijverheid;2010;108.4;0.4
52;A-F Landbouw en nijverheid;2011;109.7;1.2
53;A-F Landbouw en nijverheid;2012;111.4;1.5
54;A-F Landbouw en nijverheid;2013;114.8;3.1
55;A-F Landbouw en nijverheid;2006 januari - 2006 december;100.0;3.0
56;A-F Landbouw en nijverheid;2006 april - 2007 maart;100.9;
57;A-F Landbouw en nijverheid;2006 juli - 2007 juni;101.4;
58;A-F Landbouw en nijverheid;2006 oktober - 2007 september;101.8;
59;A-F Landbouw en nijverheid;2007 januari - 2007 december;102.5;2.5
60;A-F Landbouw en nijverheid;2007 april - 2008 maart;103.9;3.0
61;A-F Landbouw en nijverheid;2007 juli - 2008 juni;105.3;3.8
62;A-F Landbouw en nijverheid;2007 oktober - 2008 september;106.1;4.2
63;A-F Landbouw en nijverheid;2008 januari - 2008 december;106.4;3.8
64;A-F Landbouw en nijverheid;2008 april - 2009 maart;107.2;3.2
65;A-F Landbouw en nijverheid;2008 juli - 2009 juni;108.4;2.9
66;A-F Landbouw en nijverheid;2008 oktober - 2009 september;108.6;2.4
67;A-F Landbouw en nijverheid;2009 januari - 2009 december;108.0;1.5
68;A-F Landbouw en nijverheid;2009 april - 2010 maart;108.0;0.7
69;A-F Landbouw en nijverheid;2009 juli - 2010 juni;108.5;0.1
70;A-F Landbouw en nijverheid;2009 oktober - 2010 september;108.5;-0.1
71;A-F Landbouw en nijverheid;2010 januari - 2010 december;108.4;0.4
72;A-F Landbouw en nijverheid;2010 april - 2011 maart;108.3;0.3
73;A-F Landbouw en nijverheid;2010 juli - 2011 juni;108.2;-0.3
74;A-F Landbouw en nijverheid;2010 oktober - 2011 september;108.5;0.0
75;A-F Landbouw en nijverheid;2011 januari - 2011 december;109.7;1.2
76;A-F Landbouw en nijverheid;2011 april - 2012 maart;109.8;1.4
77;A-F Landbouw en nijverheid;2011 juli - 2012 juni;110.4;2.0
78;A-F Landbouw en nijverheid;2011 oktober - 2012 september;111.1;2.4
79;A-F Landbouw en nijverheid;2012 januari - 2012 december;111.4;1.5
80;A-F Landbouw en nijverheid;2012 april - 2013 maart;113.1;3.0
81;A-F Landbouw en nijverheid;2012 juli - 2013 juni;114.0;3.3
82;A-F Landbouw en nijverheid;2012 oktober - 2013 september;114.1;2.7
83;A-F Landbouw en nijverheid;2013 januari - 2013 december;114.8;3.1
84;A Landbouw, bosbouw en visserij;2001;87.5;
85;A Landbouw, bosbouw en visserij;2002;93.3;6.6
86;A Landbouw, bosbouw en visserij;2003;97.5;4.5
87;A Landbouw, bosbouw en visserij;2004;96.5;-1.0
88;A Landbouw, bosbouw en visserij;2005;99.3;2.9
89;A Landbouw, bosbouw en visserij;2006;100.0;0.7
90;A Landbouw, bosbouw en visserij;2007;102.7;2.7
91;A Landbouw, bosbouw en visserij;2008;106.4;3.6
92;A Landbouw, bosbouw en visserij;2009;107.1;0.7
93;A Landbouw, bosbouw en visserij;2010;109.5;2.2
94;A Landbouw, bosbouw en visserij;2011;111.1;1.5
95;A Landbouw, bosbouw en visserij;2012;113.5;2.2
96;A Landbouw, bosbouw en visserij;2013;116.3;2.5
97;A Landbouw, bosbouw en visserij;2006 januari - 2006 december;100.0;0.7
98;A Landbouw, bosbouw en visserij;2006 april - 2007 maart;100.7;
99;A Landbouw, bosbouw en visserij;2006 juli - 2007 juni;100.8;
100;A Landbouw, bosbouw en visserij;2006 oktober - 2007 september;101.4;
101;A Landbouw, bosbouw en visserij;2007 januari - 2007 december;102.7;2.7
102;A Landbouw, bosbouw en visserij;2007 april - 2008 maart;102.3;1.6
103;A Landbouw, bosbouw en visserij;2007 juli - 2008 juni;103.8;3.0
104;A Landbouw, bosbouw en visserij;2007 oktober - 2008 september;107.8;6.3
105;A Landbouw, bosbouw en visserij;2008 januari - 2008 december;106.4;3.6
106;A Landbouw, bosbouw en visserij;2008 april - 2009 maart;106.8;4.4
107;A Landbouw, bosbouw en visserij;2008 juli - 2009 juni;107.6;3.7
108;A Landbouw, bosbouw en visserij;2008 oktober - 2009 september;108.0;0.2
109;A Landbouw, bosbouw en visserij;2009 januari - 2009 december;107.1;0.7
110;A Landbouw, bosbouw en visserij;2009 april - 2010 maart;107.4;0.6
111;A Landbouw, bosbouw en visserij;2009 juli - 2010 juni;108.0;0.4
112;A Landbouw, bosbouw en visserij;2009 oktober - 2010 september;108.2;0.2
113;A Landbouw, bosbouw en visserij;2010 januari - 2010 december;109.5;2.2
114;A Landbouw, bosbouw en visserij;2010 april - 2011 maart;109.6;2.0
115;A Landbouw, bosbouw en visserij;2010 juli - 2011 juni;109.6;1.5
116;A Landbouw, bosbouw en visserij;2010 oktober - 2011 september;110.2;1.8
117;A Landbouw, bosbouw en visserij;2011 januari - 2011 december;111.1;1.5
118;A Landbouw, bosbouw en visserij;2011 april - 2012 maart;111.7;1.9
119;A Landbouw, bosbouw en visserij;2011 juli - 2012 juni;112.1;2.3
120;A Landbouw, bosbouw en visserij;2011 oktober - 2012 september;112.9;2.5
121;A Landbouw, bosbouw en visserij;2012 januari - 2012 december;113.5;2.2
122;A Landbouw, bosbouw en visserij;2012 april - 2013 maart;114.9;2.9
123;A Landbouw, bosbouw en visserij;2012 juli - 2013 juni;115.8;3.3
124;A Landbouw, bosbouw en visserij;2012 oktober - 2013 september;116.1;2.8
125;A Landbouw, bosbouw en visserij;2013 januari - 2013 december;116.3;2.5
126;B-F Nijverheid en energie;2001;86.2;
