ID;PrognoseInterval;Perioden;Bevolkingsomvang_1;k_0Tot20Jaar_2;k_20Tot65Jaar_3;k_65JaarEnOuder_4;k_0Tot20Jaar_5;k_20Tot65Jaar_6;k_65JaarEnOuder_7;DemografischeDruk_8;Levendgeborenen_9;TotaalVruchtbaarheidscijfer_10;Overledenen_11;LevensverwachtingMannen_12;LevensverwachtingVrouwen_13;Immigratie_14;EmigratieInclSaldoAdmCorrecties_15;MigratiesaldoInclSaldoAdmCorr_16
0;1;2004;;;;;;;;;194088;1.73;142261;76.41;81.09;92089;111151;-19062
1;1;2005;16294590.0;3989045.0;10022162.0;2283383.0;24.5;61.5;14.0;62.58;190547;1.73;143220;76.67;81.16;92687;109461;-16774
2;1;2006;16328170.0;3985731.0;10023638.0;2318804.0;24.4;61.4;14.2;62.89;187193;1.74;144358;76.9;81.22;94748;107962;-13214
3;1;2007;16360820.0;3976352.0;10036229.0;2348243.0;24.3;61.3;14.4;63.01;184399;1.74;145538;77.1;81.29;97843;106816;-8973
4;1;2008;16393740.0;3964702.0;10045896.0;2383145.0;24.2;61.3;14.5;63.18;182100;1.75;146853;77.27;81.35;101489;105983;-4494
5;1;2009;16427530.0;3952981.0;10045638.0;2428906.0;24.1;61.2;14.8;63.52;180326;1.75;148192;77.42;81.44;105266;105500;-234
6;1;2010;16462450.0;3938635.0;10042388.0;2481432.0;23.9;61.0;15.1;63.93;178989;1.75;149606;77.54;81.53;108655;105304;3352
7;1;2011;16498220.0;3915947.0;10058193.0;2524079.0;23.7;61.0;15.3;64.02;177913;1.75;151110;77.66;81.61;111512;105307;6205
8;1;2012;16534260.0;3893238.0;10011697.0;2629321.0;23.5;60.6;15.9;65.14;177389;1.75;152679;77.76;81.69;113732;105437;8295
9;1;2013;16570290.0;3873187.0;9972842.0;2724261.0;23.4;60.2;16.4;66.15;177408;1.75;154391;77.86;81.76;115061;105585;9476
10;1;2014;16605810.0;3855313.0;9945825.0;2804675.0;23.2;59.9;16.9;66.96;177730;1.75;156147;77.95;81.83;115646;105705;9941
11;1;2015;16640360.0;3837439.0;9927170.0;2875759.0;23.1;59.7;17.3;67.62;178361;1.75;158008;78.03;81.89;115906;105743;10163
12;1;2016;16673910.0;3825429.0;9907551.0;2940934.0;22.9;59.4;17.6;68.29;179201;1.75;159956;78.11;81.95;116045;105694;10351
13;1;2017;16706540.0;3814973.0;9889402.0;3002165.0;22.8;59.2;18.0;68.93;180217;1.75;162034;78.18;82.0;116162;105567;10595
14;1;2018;16738350.0;3804000.0;9867416.0;3066931.0;22.7;59.0;18.3;69.63;181376;1.75;164162;78.25;82.05;116230;105359;10871
15;1;2019;16769460.0;3788207.0;9853202.0;3128055.0;22.6;58.8;18.7;70.19;182611;1.75;166480;78.31;82.1;116284;105087;11197
16;1;2020;16799820.0;3772088.0;9839220.0;3188512.0;22.5;58.6;19.0;70.74;183691;1.75;168884;78.37;82.14;116312;104765;11547
17;1;2021;16829200.0;3752574.0;9828160.0;3248469.0;22.3;58.4;19.3;71.23;184759;1.75;171402;78.42;82.18;116265;104374;11891
18;1;2022;16857480.0;3737592.0;9810431.0;3309460.0;22.2;58.2;19.6;71.83;185702;1.75;174026;78.48;82.22;116217;103940;12277
