ID;HerkomstBestemming;Perioden;TotaalAfval_1
0;Totaal herkomst afval;1990;58061
1;Totaal herkomst afval;1992;59182
2;Totaal herkomst afval;1994;59592
3;Totaal herkomst afval;1996;64590
4;Totaal herkomst afval;1998;69885
5;Totaal herkomst afval;2000;73952
6;Totaal herkomst afval;2002;80568
7;Totaal herkomst afval;2004;79893
8;Totaal herkomst afval;2006;81616
9;Totaal herkomst afval;2008;86922
10;Totaal herkomst afval;2010;82660
11;Totaal herkomst afval;2012;86086
12;Totaal herkomst afval;2014;85695
13;Totaal herkomst afval;2016;84453
14;Totaal herkomst afval;2018;85534
15;Totaal herkomst afval;2020;84239
16;Totaal herkomst afval;2022;84620
17;Herkomst: Nederlandse economie;1990;49925
18;Herkomst: Nederlandse economie;1992;49840
19;Herkomst: Nederlandse economie;1994;49179
20;Herkomst: Nederlandse economie;1996;52443
21;Herkomst: Nederlandse economie;1998;57625
22;Herkomst: Nederlandse economie;2000;60931
23;Herkomst: Nederlandse economie;2002;60774
24;Herkomst: Nederlandse economie;2004;60071
25;Herkomst: Nederlandse economie;2006;59356
26;Herkomst: Nederlandse economie;2008;61684
27;Herkomst: Nederlandse economie;2010;58843
28;Herkomst: Nederlandse economie;2012;59160
29;Herkomst: Nederlandse economie;2014;58819
30;Herkomst: Nederlandse economie;2016;59931
31;Herkomst: Nederlandse economie;2018;60837
32;Herkomst: Nederlandse economie;2020;59695
33;Herkomst: Nederlandse economie;2022;58179
34;Herkomst: buitenland;1990;8136
35;Herkomst: buitenland;1992;9342
36;Herkomst: buitenland;1994;10413
37;Herkomst: buitenland;1996;12147
38;Herkomst: buitenland;1998;12260
39;Herkomst: buitenland;2000;13020
40;Herkomst: buitenland;2002;19793
41;Herkomst: buitenland;2004;19822
42;Herkomst: buitenland;2006;22259
43;Herkomst: buitenland;2008;25238
44;Herkomst: buitenland;2010;23817
45;Herkomst: buitenland;2012;26926
46;Herkomst: buitenland;2014;26877
47;Herkomst: buitenland;2016;24523
48;Herkomst: buitenland;2018;24697
49;Herkomst: buitenland;2020;24545
50;Herkomst: buitenland;2022;26440
51;Totaal bestemming afval;1990;58061
52;Totaal bestemming afval;1992;59182
53;Totaal bestemming afval;1994;59592
54;Totaal bestemming afval;1996;64590
55;Totaal bestemming afval;1998;69885
56;Totaal bestemming afval;2000;73952
57;Totaal bestemming afval;2002;80568
58;Totaal bestemming afval;2004;79893
59;Totaal bestemming afval;2006;81616
60;Totaal bestemming afval;2008;86922
61;Totaal bestemming afval;2010;82660
62;Totaal bestemming afval;2012;86086
63;Totaal bestemming afval;2014;85695
64;Totaal bestemming afval;2016;84453
65;Totaal bestemming afval;2018;85534
66;Totaal bestemming afval;2020;84239
67;Totaal bestemming afval;2022;84620
